A                : ste                  ve                   Ġuh                  Ġwith                Ġthe                 Ġelection            Ġyear                Ġand


A                : Ġdistricts           Ġof                  Ġvery                Ġpowerful            Ġpeople              Ġpolitically         <emp>                Ġthat
Timings          : (129.775, 130.345)   (130.345, 130.798)   (131.167, 131.435)   (131.435, 131.935)   (131.935, 132.57)    (132.984, 133.505)   (133.876, 134.222)   (134.111, 134.371)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                right                <ebc>
Timings          : (129.775, 130.345)   (130.345, 130.798)   (131.167, 131.435)   (131.435, 131.935)   (131.935, 132.57)    (132.984, 133.505)   (133.876, 134.222)   (-1.0, -1.0)
Token Types      : 0                    0                    0                    0                    0                    0                    3                    3
turn_ids         : 0                    0                    0                    0                    0                    0                    74444131270659       74444131270659
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    1                    1


A                : Ġthat                Ġhistorical          Ġfor                 Ġsome                Ġreason              Ġhistorical          Ġsites               Ġwith
Timings          : (134.381, 134.531)   (134.891, 135.251)   (135.251, 135.381)   (135.381, 135.671)   (135.671, 136.151)   (136.151, 136.621)   (136.621, 136.981)   (136.981, 137.171)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (134.381, 134.531)   (134.891, 135.251)   (135.251, 135.381)   (135.381, 135.671)   (135.671, 136.151)   (136.151, 136.621)   (136.621, 136.981)   (136.981, 137.171)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġyou                 Ġknow                Ġthe                 Ġthe                 Ġfull                Ġfederal             Ġmoney               Ġand
Timings          : (137.261, 137.351)   (137.351, 137.451)   (137.451, 137.651)   (137.651, 137.751)   (137.751, 137.961)   (137.961, 138.351)   (138.351, 138.731)   (138.731, 138.831)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (137.261, 137.351)   (137.351, 137.451)   (137.451, 137.651)   (137.651, 137.751)   (137.751, 137.961)   (137.961, 138.351)   (138.351, 138.731)   (138.731, 138.831)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġeverything          Ġseem                Ġto                  Ġappear              Ġas                  Ġas                  Ġalmost              Ġas
Timings          : (138.831, 139.221)   (140.287, 140.536)   (140.536, 140.676)   (140.676, 141.146)   (141.146, 141.416)   (141.416, 141.965)   (142.334, 142.616)   (142.616, 142.746)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (138.831, 139.221)   (140.287, 140.536)   (140.536, 140.676)   (140.676, 141.146)   (141.146, 141.416)   (141.416, 141.965)   (142.334, 142.616)   (142.616, 142.746)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġlike                Ġpolitical           Ġfavors              Ġto                  Ġto                  Ġvery                Ġstrong              Ġpoliticians
Timings          : (142.746, 142.926)   (142.926, 143.356)   (143.356, 143.876)   (143.876, 144.34)    (144.34, 144.584)    (145.405, 145.626)   (145.626, 146.226)   (146.226, 146.931)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102       74441446916102
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (142.746, 142.926)   (142.926, 143.356)   (143.356, 143.876)   (143.876, 144.34)    (144.34, 144.584)    (145.405, 145.626)   (145.626, 146.226)   (146.226, 146.931)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : <eot>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (-1.0, -1.0)         (148.71, 148.816)    (148.816, 148.922)   (148.922, 149.105)   (149.105, 149.287)   (149.287, 149.436)   (149.436, 149.584)   (149.584, 149.799)
Token Types      : 1                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 74441446916102       0                    0                    0                    0                    0                    0                    0
turn_end_types   : 1                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġyeah                Ġit                  's                   Ġit                  's                   Ġit                  's                   Ġfunny
Timings          : (148.199, 148.51)    (148.71, 148.816)    (148.816, 148.922)   (148.922, 149.105)   (149.105, 149.287)   (149.287, 149.436)   (149.436, 149.584)   (149.584, 149.799)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (149.799, 150.139)   (150.139, 150.369)   (150.369, 150.489)   (150.489, 150.739)   (150.739, 150.889)   (150.889, 150.989)   (150.989, 151.119)   (151.119, 151.409)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġbecause             Ġuh                  Ġit                  Ġwas                 Ġone                 Ġof                  Ġthe                 Ġthings
Timings          : (149.799, 150.139)   (150.139, 150.369)   (150.369, 150.489)   (150.489, 150.739)   (150.739, 150.889)   (150.889, 150.989)   (150.989, 151.119)   (151.119, 151.409)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (151.409, 151.559)   (151.559, 151.739)   (151.739, 151.849)   (151.849, 152.069)   (152.611, 152.809)   (152.809, 153.019)   (153.019, 153.179)   (153.179, 153.239)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġthat                Ġbush                Ġis                  Ġbeen                Ġtrying              Ġreally              Ġhard                Ġto
Timings          : (151.409, 151.559)   (151.559, 151.739)   (151.739, 151.849)   (151.849, 152.069)   (152.611, 152.809)   (152.809, 153.019)   (153.019, 153.179)   (153.179, 153.239)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (153.239, 153.429)   (153.429, 153.569)   (153.569, 153.709)   (153.709, 153.869)   (153.869, 154.203)   (154.203, 154.361)   (154.361, 154.659)   (154.659, 154.899)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġget                 Ġa                   hold                 Ġof                  Ġis                  Ġthe                 Ġline                Ġitem
Timings          : (153.239, 153.429)   (153.429, 153.569)   (153.569, 153.709)   (153.709, 153.869)   (153.869, 154.203)   (154.203, 154.361)   (154.361, 154.659)   (154.659, 154.899)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (154.899, 155.283)   (155.806, 156.139)   (156.139, 156.399)   (156.829, 156.909)   (156.909, 157.089)   (157.089, 157.559)   (157.559, 157.679)   (157.679, 157.869)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġveto                Ġwhere               Ġuh                  Ġyou                 Ġknow                Ġcongress            Ġis                  Ġable
Timings          : (154.899, 155.283)   (155.806, 156.139)   (156.139, 156.399)   (156.829, 156.909)   (156.909, 157.089)   (157.089, 157.559)   (157.559, 157.679)   (157.679, 157.869)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (157.869, 157.989)   (157.989, 158.409)   (158.409, 158.549)   (158.549, 158.859)   (158.859, 159.116)   (159.763, 160.175)   (160.175, 160.535)   (160.535, 161.135)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġto                  Ġattach              Ġall                 Ġkinds               Ġof                  Ġuh                  Ġfunny               Ġamendments
Timings          : (157.869, 157.989)   (157.989, 158.409)   (158.409, 158.549)   (158.549, 158.859)   (158.859, 159.116)   (159.763, 160.175)   (160.175, 160.535)   (160.535, 161.135)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                Ġu                   hh
Timings          : (161.135, 161.57)    (161.57, 162.384)    (163.045, 163.447)   (163.699, 163.925)   (163.925, 164.455)   (164.455, 165.245)   (165.312, 165.425)   (165.425, 165.538)
Token Types      : 0                    0                    0                    0                    0                    0                    3                    3
turn_ids         : 0                    0                    0                    0                    0                    0                    74443594399750       74443594399750
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġfor                 Ġindividual          Ġuh                  Ġcongressional       Ġcongressional       Ġdistricts           Ġto                  <emp>
Timings          : (161.135, 161.57)    (161.57, 162.384)    (163.045, 163.447)   (163.699, 163.925)   (163.925, 164.455)   (164.455, 165.245)   (165.245, 165.505)   (165.425, 165.538)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : uh                   <ebc>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (165.538, 165.65)    (-1.0, -1.0)         (165.815, 166.015)   (166.015, 166.285)   (166.285, 166.525)   (166.525, 167.035)   (167.035, 167.251)   (168.588, 168.669)
Token Types      : 3                    3                    0                    0                    0                    0                    0                    0
turn_ids         : 74443594399750       74443594399750       0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġthe                 Ġto                  Ġthe                 Ġmain                Ġbudget              Ġproposals           Ġand                 Ġthe
Timings          : (165.505, 165.695)   (165.695, 165.815)   (165.815, 166.015)   (166.015, 166.285)   (166.285, 166.525)   (166.525, 167.035)   (167.035, 167.251)   (168.588, 168.669)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (168.669, 168.9)     (168.9, 169.359)     (169.359, 169.657)   (169.951, 170.21)    (170.21, 170.63)     (170.63, 170.909)    (171.609, 171.79)    (171.79, 172.109)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġpoor                Ġpresident           Ġhas                 Ġhas                 Ġto                  Ġuh                  Ġeither              Ġaccept
Timings          : (168.669, 168.9)     (168.9, 169.359)     (169.359, 169.657)   (169.951, 170.21)    (170.21, 170.63)     (170.63, 170.909)    (171.609, 171.79)    (171.79, 172.109)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                Ġso                  Ġit                  Ġsounds
Timings          : (172.109, 172.169)   (172.169, 172.449)   (172.449, 172.52)    (172.52, 172.71)     (172.71, 173.171)    (174.447, 174.584)   (174.584, 174.684)   (174.684, 174.894)
Token Types      : 0                    0                    0                    0                    0                    1                    1                    1
turn_ids         : 0                    0                    0                    0                    0                    74441446916104       74441446916104       74441446916104
turn_end_types   : 0                    0                    0                    0                    0                    2                    2                    2
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġor                  Ġreject              Ġthe                 Ġwhole               Ġthing               <eot>                <emp>                <emp>
Timings          : (172.109, 172.169)   (172.169, 172.449)   (172.449, 172.52)    (172.52, 172.71)     (172.71, 173.171)    (-1.0, -1.0)         (174.584, 174.684)   (174.684, 174.894)
Token Types      : 1                    1                    1                    1                    1                    1                    0                    0
turn_ids         : 74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       74441983787015       0                    0
turn_end_types   : 1                    1                    1                    1                    1                    1                    0                    0
speaker_ids      : 1                    1                    1                    1                    1                    1                    0                    0


A                : Ġlike                Ġyou                 Ġuh                  Ġyou                 Ġthink               Ġthat                Ġthat                Ġwe
Timings          : (174.894, 175.074)   (175.074, 175.394)   (175.394, 175.688)   (175.872, 175.964)   (175.964, 176.224)   (176.224, 176.485)   (176.485, 176.724)   (176.724, 176.789)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (174.894, 175.074)   (175.074, 175.394)   (175.394, 175.688)   (175.872, 175.964)   (175.964, 176.224)   (176.224, 176.485)   (176.485, 176.724)   (176.724, 176.789)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : 'd                   Ġbe                  Ġable                Ġto                  Ġsave                Ġsome                Ġmoney               Ġby
Timings          : (176.789, 176.854)   (176.854, 176.924)   (176.924, 177.044)   (177.044, 177.104)   (177.104, 177.294)   (177.294, 177.434)   (177.434, 177.694)   (177.694, 177.994)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (176.789, 176.854)   (176.854, 176.924)   (176.924, 177.044)   (177.044, 177.104)   (177.104, 177.294)   (177.294, 177.434)   (177.434, 177.694)   (177.694, 177.994)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġuh                  Ġpassing             Ġthe                 Ġline                Ġitem                Ġveto                <yield>              <emp>
Timings          : (177.994, 178.318)   (178.638, 178.934)   (178.934, 178.994)   (178.994, 179.134)   (179.134, 179.304)   (179.304, 179.641)   (-1.0, -1.0)         (179.846, 179.966)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    0
turn_ids         : 74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       74441446916104       0
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                Ġuh                  <eint>               <emp>                <emp>                <emp>                Ġi                   Ġi
Timings          : (177.994, 178.318)   (178.579, 178.808)   (-1.0, -1.0)         (178.994, 179.134)   (179.134, 179.304)   (179.304, 179.641)   (179.696, 179.846)   (179.846, 179.966)
Token Types      : 0                    5                    5                    0                    0                    0                    1                    1
turn_ids         : 0                    74446278754310       74446278754310       0                    0                    0                    74441983787017       74441983787017
turn_end_types   : 0                    0                    0                    0                    0                    0                    1                    1
speaker_ids      : 0                    1                    1                    0                    0                    0                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (179.966, 180.196)   (180.196, 180.276)   (180.276, 180.486)   (180.486, 180.656)   (180.656, 180.916)   (180.916, 181.026)   (181.026, 181.193)   (181.193, 181.356)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġthink               Ġthe                 Ġline                Ġitem                Ġveto                Ġis                  Ġnot                 Ġnot
Timings          : (179.966, 180.196)   (180.196, 180.276)   (180.276, 180.486)   (180.486, 180.656)   (180.656, 180.916)   (180.916, 181.026)   (181.026, 181.193)   (181.193, 181.356)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (181.612, 181.766)   (181.766, 181.986)   (181.986, 182.626)   (182.626, 182.666)   (182.666, 182.936)   (182.936, 183.226)   (183.226, 183.716)   (183.716, 184.052)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġis                  Ġnot                 Ġnecessarily         Ġa                   Ġbad                 Ġthing               Ġassuming            Ġthat
Timings          : (181.612, 181.766)   (181.766, 181.986)   (181.986, 182.626)   (182.626, 182.666)   (182.666, 182.936)   (182.936, 183.226)   (183.226, 183.716)   (183.716, 184.052)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (184.052, 184.421)   (184.836, 185.18)    (185.73, 185.893)    (186.097, 186.297)   (186.297, 186.853)   (187.222, 187.906)   (188.407, 188.787)   (188.787, 188.921)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġthe                 Ġuh                  Ġthe                 Ġthe                 Ġpresident           Ġuh                  Ġuses                Ġit
Timings          : (184.052, 184.421)   (184.836, 185.18)    (185.73, 185.893)    (186.097, 186.297)   (186.297, 186.853)   (187.222, 187.906)   (188.407, 188.787)   (188.787, 188.921)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017       74441983787017
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (189.44, 189.517)    (189.517, 189.697)   (189.697, 189.857)   (189.857, 190.127)   (190.127, 190.649)   (192.001, 192.157)   (192.157, 192.357)   (192.357, 192.457)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġto                  Ġget                 Ġrid                 Ġof                  Ġuh                  Ġthis                Ġkind                Ġof
Timings          : (189.44, 189.517)    (189.517, 189.697)   (189.697, 189.857)   (189.857, 190.127)   (190.127, 190.649)   (192.001, 192.157)   (192.157, 192.357)   (192.357, 192.457)
