A                : ok                  ay                  Ġrand               all                 Ġuh                 Ġuh                 Ġdo                 Ġyou                Ġhave               Ġany                Ġspecial            Ġinterest           Ġin                 Ġuh                 Ġspace             
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (167.148, 167.288)  (167.288, 167.378)  (167.378, 167.588)  (167.588, 167.938)  (167.938, 168.078)  (168.078, 168.178)  (168.178, 168.368)  (168.368, 168.538)  (168.538, 168.827)  (169.007, 169.165)  (169.165, 169.322)  (-1.0, -1.0)        (169.399, 169.516)  (169.516, 169.633)  (169.633, 169.788) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82397873831950      82397873831950      82397873831950      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : Ġget                Ġas                 Ġmuch               Ġpower              Ġas                 Ġyou                Ġneed               Ġup                 Ġthere              <emp>               <emp>               Ġit                 's                  Ġa                  Ġmatter            
Timings          : (167.148, 167.288)  (167.288, 167.378)  (167.378, 167.588)  (167.588, 167.938)  (167.938, 168.078)  (168.078, 168.178)  (168.178, 168.368)  (168.368, 168.538)  (168.538, 168.827)  (169.007, 169.165)  (169.165, 169.322)  (169.283, 169.399)  (169.399, 169.516)  (169.516, 169.633)  (169.633, 169.788) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.788, 169.848)  (169.848, 170.008)  (170.008, 170.228)  (170.228, 170.328)  (170.328, 170.638)  (170.638, 170.726)  (171.063, 171.198)  (171.198, 171.333)  (-1.0, -1.0)        (171.568, 171.638)  (171.638, 172.145)  (172.676, 172.768)  (172.768, 173.088)  (173.088, 173.388)  (173.388, 173.478) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82397873831951      82397873831951      82397873831951      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġhow                Ġbig                Ġyou                Ġbuild              Ġit                 <emp>               Ġuh                 Ġand                Ġof                 Ġcourse             Ġthe                Ġside               Ġeffects            Ġof                
Timings          : (169.788, 169.848)  (169.848, 170.008)  (170.008, 170.228)  (170.228, 170.328)  (170.328, 170.638)  (170.638, 170.726)  (171.063, 171.198)  (171.253, 171.468)  (171.468, 171.568)  (171.568, 171.638)  (171.638, 172.145)  (172.676, 172.768)  (172.768, 173.088)  (173.088, 173.388)  (173.388, 173.478) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.478, 173.718)  (173.718, 173.808)  (173.808, 173.948)  (173.948, 174.098)  (174.098, 174.288)  (174.288, 174.408)  (174.408, 174.799)  (175.165, 175.398)  (175.398, 175.768)  (175.768, 176.178)  (176.178, 176.708)  (176.708, 177.018)  (177.018, 177.318)  (177.318, 177.938)  (177.938, 178.157) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthis               Ġis                 Ġthat               Ġyou                Ġhave               Ġto                 Ġhave               Ġuh                 Ġlunar              Ġmining             Ġbases              Ġand                Ġspace              Ġstations           Ġand               
Timings          : (173.478, 173.718)  (173.718, 173.808)  (173.808, 173.948)  (173.948, 174.098)  (174.098, 174.288)  (174.288, 174.408)  (174.408, 174.799)  (175.165, 175.398)  (175.398, 175.768)  (175.768, 176.178)  (176.178, 176.708)  (176.708, 177.018)  (177.018, 177.318)  (177.318, 177.938)  (177.938, 178.157) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.496, 178.768)  (178.768, 179.308)  (179.308, 179.438)  (179.438, 179.848)  (179.848, 179.968)  (179.968, 180.2)    (180.778, 180.998)  (180.998, 181.115)  (181.115, 181.239)  (181.239, 181.448)  (181.448, 181.548)  (181.548, 181.698)  (181.698, 181.831)  (181.831, 182.212)  (182.681, 182.811) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġeasy               Ġtransport          Ġinto               Ġspace              Ġand                Ġno                 Ġthings             Ġthat               Ġi                  Ġthink              Ġwe                 Ġshould             Ġbe                 Ġdoing              Ġso                
Timings          : (178.496, 178.768)  (178.768, 179.308)  (179.308, 179.438)  (179.438, 179.848)  (179.848, 179.968)  (179.968, 180.2)    (180.778, 180.998)  (180.998, 181.115)  (181.115, 181.239)  (181.239, 181.448)  (181.448, 181.548)  (181.548, 181.698)  (181.698, 181.831)  (181.831, 182.212)  (182.681, 182.811) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (182.811, 182.891)  (182.891, 183.151)  (183.151, 183.471)  (183.471, 183.601)  (183.601, 183.971)  (183.971, 184.181)  (184.181, 184.331)  (184.331, 184.411)  (184.411, 184.561)  (184.561, 184.671)  (184.671, 184.771)  (184.771, 185.085)  (185.553, 185.681)  (185.681, 185.751)  (185.751, 186.313) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġside               Ġeffects            Ġof                 Ġdoing              Ġthat               Ġwhich              Ġi                  Ġthink              Ġwould              Ġbe                 Ġgood               Ġyou                Ġknow               Ġvery              
Timings          : (182.811, 182.891)  (182.891, 183.151)  (183.151, 183.471)  (183.471, 183.601)  (183.601, 183.971)  (183.971, 184.181)  (184.181, 184.331)  (184.331, 184.411)  (184.411, 184.561)  (184.561, 184.671)  (184.671, 184.771)  (184.771, 185.085)  (185.553, 185.681)  (185.681, 185.751)  (185.751, 186.313) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (186.313, 186.681)  (186.681, 186.841)  (186.841, 187.241)  (187.241, 187.451)  (187.451, 187.601)  (187.601, 187.911)  (187.911, 188.011)  (188.011, 188.081)  (188.081, 188.391)  (188.391, 188.704)  (189.22, 189.481)   (189.481, 189.873)  (190.261, 190.521)  (190.521, 190.723)  (190.723, 190.941) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġvery               Ġgood               Ġfor                Ġall                Ġfor                Ġeveryone           Ġin                 Ġthe                Ġlong               Ġrun                Ġis                 Ġuh                 Ġis                 Ġit                 Ġsome              
Timings          : (186.313, 186.681)  (186.681, 186.841)  (186.841, 187.241)  (187.241, 187.451)  (187.451, 187.601)  (187.601, 187.911)  (187.911, 188.011)  (188.011, 188.081)  (188.081, 188.391)  (188.391, 188.704)  (189.22, 189.481)   (189.481, 189.873)  (190.261, 190.521)  (190.521, 190.723)  (190.723, 190.941) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġyeah              
Timings          : (190.941, 191.001)  (191.001, 191.061)  (191.061, 191.191)  (191.191, 191.431)  (191.431, 191.496)  (191.496, 191.561)  (191.561, 191.691)  (191.691, 191.781)  (191.781, 191.971)  (191.971, 192.261)  (192.261, 192.401)  (192.401, 192.711)  (192.711, 193.175)  (193.381, 193.738)  (193.997, 194.139) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82395726348298      82395726348298     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġof                 Ġthe                Ġother              Ġthings             Ġi                  'd                  Ġlike               Ġto                 Ġsee                Ġhappen             Ġwould              Ġhappen             Ġalso               <eot>               Ġso                
Timings          : (190.941, 191.001)  (191.001, 191.061)  (191.061, 191.191)  (191.191, 191.431)  (191.431, 191.496)  (191.496, 191.561)  (191.561, 191.691)  (191.691, 191.781)  (191.781, 191.971)  (191.971, 192.261)  (192.261, 192.401)  (192.401, 192.711)  (192.711, 193.175)  (-1.0, -1.0)        (194.003, 194.434) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   5                  
turn_ids         : 82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82396263219209      82400558186504     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġit                 Ġseems              Ġlike               Ġuh                 Ġthere              's                  Ġuh                 Ġso                 Ġyou                're                 Ġtalking            Ġabout              Ġpositive           Ġside               Ġeffects           
Timings          : (194.139, 194.229)  (194.229, 194.469)  (194.469, 194.719)  (194.719, 194.977)  (195.268, 195.358)  (195.358, 195.448)  (195.448, 195.609)  (195.609, 195.709)  (195.709, 195.764)  (195.764, 195.819)  (195.819, 196.099)  (196.099, 196.289)  (196.289, 196.679)  (196.679, 196.889)  (196.889, 197.249) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eint>              <emp>               <emp>               <emp>               <emp>               Ġi                  'm                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (194.229, 194.469)  (194.469, 194.719)  (194.719, 194.977)  (195.268, 195.358)  (195.339, 195.469)  (195.469, 195.598)  (-1.0, -1.0)        (195.709, 195.764)  (195.764, 195.819)  (195.819, 196.099)  (196.099, 196.289)  (196.289, 196.679)  (196.679, 196.889)  (196.889, 197.249) 
Token Types      : 5                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82400558186504      0                   0                   0                   0                   82400558186505      82400558186505      82400558186505      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthen               <emp>               Ġokay               Ġi                  Ġunderstand         <yield>             Ġsure               Ġthat               Ġthat               Ġmakes              Ġa                  Ġlot                Ġof                 Ġsense              <eot>              
Timings          : (197.249, 197.506)  (197.473, 197.761)  (197.973, 198.309)  (198.309, 198.449)  (198.449, 198.867)  (-1.0, -1.0)        (199.813, 200.227)  (200.227, 200.436)  (200.436, 200.595)  (200.595, 200.765)  (200.765, 200.825)  (200.825, 200.965)  (200.965, 201.035)  (201.035, 201.446)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82395726348298      82398947573772      82398947573772      82398947573772      82398947573772      82398947573772      82398947573772      82398947573772      82398947573772      82398947573772     
turn_end_types   : 2                   2                   2                   2                   2                   2                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyeah               <emp>               <emp>               Ġright              Ġright              Ġum                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright             
Timings          : (197.249, 197.506)  (197.473, 197.761)  (197.973, 198.309)  (198.309, 198.449)  (198.393, 198.704)  (199.302, 200.015)  (200.015, 200.37)   (-1.0, -1.0)        (200.436, 200.595)  (200.595, 200.765)  (200.765, 200.825)  (200.825, 200.965)  (200.965, 201.035)  (201.035, 201.446)  (201.44, 201.659)  
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   82399484444683      82399484444683      82399484444683      82399484444683      82399484444683      82399484444683      82399484444683      0                   0                   0                   0                   0                   0                   82396263219213     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (201.659, 201.739)  (201.739, 201.869)  (201.869, 202.249)  (202.249, 202.449)  (202.449, 202.519)  (202.519, 202.929)  (202.929, 203.259)  (203.259, 203.534)  (203.933, 204.079)  (204.079, 204.529)  (204.529, 205.256)  (205.622, 206.408)  (206.726, 206.872)  (206.872, 207.018)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82397873831954      82397873831954      82397873831954     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġthe                Ġonly               Ġproblem            Ġis                 Ġof                 Ġcourse             Ġthat               Ġuh                 Ġthat               Ġrequires           Ġsignificant        Ġcommitment         <emp>               <emp>               Ġfrom              
Timings          : (201.659, 201.739)  (201.739, 201.869)  (201.869, 202.249)  (202.249, 202.449)  (202.449, 202.519)  (202.519, 202.929)  (202.929, 203.259)  (203.259, 203.534)  (203.933, 204.079)  (204.079, 204.529)  (204.529, 205.256)  (205.622, 206.408)  (206.726, 206.872)  (206.872, 207.018)  (206.995, 207.209) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>              
Timings          : (207.209, 207.619)  (207.619, 207.896)  (208.344, 208.669)  (208.669, 209.069)  (209.069, 209.149)  (209.149, 209.399)  (209.399, 209.589)  (209.842, 210.009)  (210.009, 210.309)  (210.309, 210.489)  (210.489, 210.669)  (210.669, 210.819)  (210.819, 211.139)  (211.395, 211.619)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82397873831955      82397873831955     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġpeople             Ġto                 Ġactually           Ġdecide             Ġthey               Ġwant               Ġto                 Ġput                Ġthings             Ġlike               Ġthat               Ġup                 Ġthere              Ġand                Ġthey              
Timings          : (207.209, 207.619)  (207.619, 207.896)  (208.344, 208.669)  (208.669, 209.069)  (209.069, 209.149)  (209.149, 209.399)  (209.399, 209.589)  (209.842, 210.009)  (210.009, 210.309)  (210.309, 210.489)  (210.489, 210.669)  (210.669, 210.819)  (210.819, 211.139)  (211.577, 211.618)  (211.618, 211.678) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213      82396263219213     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (211.678, 211.858)  (211.858, 211.978)  (211.978, 212.138)  (212.138, 212.238)  (212.238, 212.991)  (213.202, 213.495)  (-1.0, -1.0)        (214.776, 214.859)  (214.859, 214.942)  (214.942, 215.339)  (217.207, 217.299)  (217.299, 217.504)  (217.715, 218.009)  (218.009, 218.119)  (218.119, 218.405) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82397873831956      82397873831956      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwant               Ġto                 Ġdo                 Ġthe                Ġresearch           Ġand                Ġuh                 Ġthey               're                 Ġall                Ġyou                Ġknow               Ġno                 Ġno                 Ġone               
Timings          : (211.678, 211.858)  (211.858, 211.978)  (211.978, 212.138)  (212.138, 212.238)  (212.238, 212.991)  (212.991, 213.755)  (214.335, 214.776)  (214.776, 214.859)  (214.859, 214.942)  (214.942, 215.339)  (217.207, 217.299)  (217.299, 217.504)  (217.715, 218.009)  (218.009, 218.119)  (218.119, 218.405) 
