A                : what                Ġdo                 Ġyou                Ġthink              Ġabout              Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġknow               Ġsure               Ġi                  Ġi                  Ġget                Ġthirty             Ġor                 Ġforty              Ġyears              Ġfor                Ġmaybe              Ġrape               Ġor                 Ġsomething         
Timings          : (143.075, 143.185)  (143.185, 143.405)  (143.405, 143.785)  (143.785, 143.905)  (143.905, 144.075)  (144.075, 144.428)  (144.933, 145.285)  (145.285, 145.345)  (145.345, 145.625)  (145.625, 146.155)  (146.155, 146.335)  (146.335, 146.665)  (146.665, 146.975)  (146.975, 147.075)  (147.075, 147.551) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (148.018, 148.515)  (149.694, 149.944)  (149.944, 150.22)   (150.376, 150.635)  (150.635, 150.794)  (150.794, 151.054)  (151.054, 151.194)  (151.194, 151.484)  (151.484, 151.874)  (151.874, 152.044)  (152.044, 152.564)  (152.564, 152.634)  (152.634, 152.704)  (152.704, 152.944)  (152.944, 153.044) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġum                 Ġbut                Ġthen               Ġfor                Ġif                 Ġi                  Ġif                 Ġi                  Ġelicit             Ġgood               Ġbehavior           Ġi                  'm                  Ġout                Ġin                
Timings          : (148.018, 148.515)  (149.694, 149.944)  (149.944, 150.22)   (150.376, 150.635)  (150.635, 150.794)  (150.794, 151.054)  (151.054, 151.194)  (151.194, 151.484)  (151.484, 151.874)  (151.874, 152.044)  (152.044, 152.564)  (152.564, 152.634)  (152.634, 152.704)  (152.704, 152.944)  (152.944, 153.044) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      82482162565133     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġreally             <eot>               <emp>               <emp>               Ġgoodness           <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (153.044, 153.399)  (153.629, 153.864)  (153.864, 153.934)  (153.934, 154.284)  (154.876, 155.098)  (155.098, 155.565)  (-1.0, -1.0)        (155.833, 156.291)  (156.445, 156.593)  (156.542, 157.124)  (-1.0, -1.0)        (156.813, 157.023)  (157.023, 157.213)  (157.213, 157.955)  (158.294, 158.553) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82481625694222      82481625694222      82481625694222      0                   0                   82485920661520      82485920661520      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġmaybe              Ġfive               Ġor                 Ġten                <eot>               <emp>               Ġoh                 Ġsure               Ġyou                Ġknow               Ġi                  Ġmean               Ġjust               Ġbecause            Ġlike              
Timings          : (153.044, 153.399)  (153.629, 153.864)  (153.864, 153.934)  (153.934, 154.284)  (-1.0, -1.0)        (155.098, 155.565)  (155.643, 155.833)  (155.833, 156.291)  (156.445, 156.593)  (156.593, 156.753)  (156.753, 156.813)  (156.813, 157.023)  (157.023, 157.213)  (157.213, 157.955)  (158.294, 158.553) 
Token Types      : 1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565133      82482162565133      82482162565133      82482162565133      82482162565133      0                   82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135     
turn_end_types   : 1                   1                   1                   1                   1                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (158.553, 158.623)  (158.623, 158.803)  (158.803, 159.123)  (159.123, 159.203)  (159.203, 159.303)  (159.303, 159.403)  (159.403, 159.553)  (159.553, 159.813)  (159.813, 160.033)  (160.033, 160.133)  (160.133, 160.216)  (160.216, 160.845)  (160.981, 161.206)  (161.206, 161.431)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82483773177871      82483773177871      82483773177871     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġwe                 Ġsaid               Ġbefore             Ġthey               Ġdon                't                  Ġhave               Ġenough             Ġroom               Ġin                 Ġthe                Ġjails              Ġum                 <emp>               Ġyou               
Timings          : (158.553, 158.623)  (158.623, 158.803)  (158.803, 159.123)  (159.123, 159.203)  (159.203, 159.303)  (159.303, 159.403)  (159.403, 159.553)  (159.553, 159.813)  (159.813, 160.033)  (160.033, 160.133)  (160.133, 160.216)  (160.216, 160.845)  (160.845, 161.423)  (161.206, 161.431)  (161.563, 161.633) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (161.633, 161.923)  (161.923, 162.008)  (162.008, 162.093)  (162.093, 162.143)  (162.143, 162.313)  (162.313, 162.403)  (162.403, 162.883)  (162.883, 163.394)  (163.842, 164.013)  (164.013, 164.093)  (164.093, 164.203)  (164.203, 164.413)  (164.413, 164.653)  (164.653, 164.993)  (165.435, 165.715) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82483773177872     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġknow               Ġthere              's                  Ġa                  Ġlot                Ġof                 Ġincentive          Ġfor                Ġthem               Ġto                 Ġbe                 Ġlet                Ġout                Ġearly              <emp>              
Timings          : (161.633, 161.923)  (161.923, 162.008)  (162.008, 162.093)  (162.093, 162.143)  (162.143, 162.313)  (162.313, 162.403)  (162.403, 162.883)  (162.883, 163.394)  (163.842, 164.013)  (164.013, 164.093)  (164.093, 164.203)  (164.203, 164.413)  (164.413, 164.653)  (164.653, 164.993)  (165.435, 165.715) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (166.295, 166.435)  (166.435, 166.51)   (166.51, 166.585)   (166.585, 166.805)  (166.805, 166.885)  (166.885, 167.105)  (167.105, 167.515)  (167.515, 167.775)  (167.775, 167.945)  (167.945, 168.095)  (168.095, 168.421)  (168.993, 169.615)  (170.52, 170.57)    (170.57, 170.65)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82483773177872      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġif                 Ġyou                've                 Ġgot                Ġthe                Ġdeath              Ġpenalty            Ġhanging            Ġover               Ġyour               Ġhead               Ġum                 Ġi                  Ġdon               
Timings          : (165.875, 166.175)  (166.295, 166.435)  (166.435, 166.51)   (166.51, 166.585)   (166.585, 166.805)  (166.805, 166.885)  (166.885, 167.105)  (167.105, 167.515)  (167.515, 167.775)  (167.775, 167.945)  (167.945, 168.095)  (168.095, 168.421)  (168.993, 169.615)  (170.52, 170.57)    (170.57, 170.65)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (170.65, 170.73)    (170.73, 170.85)    (170.85, 170.93)    (170.93, 171.12)    (171.12, 171.27)    (171.27, 171.538)   (171.677, 172.07)   (172.07, 172.12)    (172.12, 172.3)     (172.3, 172.37)     (172.37, 172.53)    (172.53, 172.71)    (172.658, 173.07)   (-1.0, -1.0)        (173.29, 173.48)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82483773177873      82483773177873      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : 't                  Ġknow               Ġi                  Ġthink              Ġthat               Ġmay                Ġsolve              Ġa                  Ġlot                Ġof                 Ġthat               Ġmaybe              Ġnot                Ġsolve              Ġit                
Timings          : (170.65, 170.73)    (170.73, 170.85)    (170.85, 170.93)    (170.93, 171.12)    (171.12, 171.27)    (171.27, 171.538)   (171.677, 172.07)   (172.07, 172.12)    (172.12, 172.3)     (172.3, 172.37)     (172.37, 172.53)    (172.53, 172.71)    (172.71, 172.91)    (172.91, 173.29)    (173.29, 173.48)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġyeah               Ġi                  Ġtend               <emp>               Ġto                 Ġthink              Ġthe                Ġrepeal            
Timings          : (173.48, 173.78)    (174.751, 174.852)  (174.852, 174.926)  (174.926, 175.001)  (175.001, 175.171)  (175.171, 175.482)  (175.363, 175.646)  (175.944, 176.22)   (176.22, 176.42)    (176.42, 176.7)     (176.492, 176.652)  (176.7, 176.84)     (176.84, 177.1)     (177.1, 177.23)     (177.23, 177.68)   
Token Types      : 0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġbut                Ġi                  Ġdon                't                  Ġknow               Ġmaybe              Ġeven               Ġhelp               <emp>               Ġa                  Ġlittle             Ġbit                <yield>             <emp>               <emp>              
Timings          : (173.48, 173.78)    (174.751, 174.852)  (174.852, 174.926)  (174.926, 175.001)  (175.001, 175.171)  (175.171, 175.482)  (175.482, 175.74)   (176.067, 176.357)  (176.22, 176.42)    (176.357, 176.492)  (176.492, 176.652)  (176.652, 176.792)  (-1.0, -1.0)        (177.1, 177.23)     (177.23, 177.68)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      82482162565135      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġsystem             Ġfor                Ġthe                Ġdeath              Ġpenalty            Ġis                 Ġa                  Ġlittle             Ġlittle             Ġtoo                Ġlen                ient                Ġum                 Ġkind               Ġof                
Timings          : (177.68, 178.17)    (178.17, 178.36)    (178.36, 178.47)    (178.47, 178.73)    (178.73, 179.2)     (179.2, 179.38)     (179.38, 179.49)    (179.49, 179.899)   (180.415, 180.67)   (180.67, 181.1)     (181.1, 181.55)     (181.55, 181.999)   (182.237, 182.629)  (182.818, 183.09)   (183.09, 183.15)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (177.68, 178.17)    (178.17, 178.36)    (178.36, 178.47)    (178.47, 178.73)    (178.73, 179.2)     (179.2, 179.38)     (179.38, 179.49)    (179.49, 179.899)   (180.415, 180.67)   (180.67, 181.1)     (181.1, 181.55)     (181.55, 181.999)   (182.202, 182.542)  (-1.0, -1.0)        (183.09, 183.15)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82484310048780      82484310048780      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                  


A                : Ġtakes              Ġaway               Ġfrom               Ġthe                Ġsignificance       Ġof                 Ġthe                Ġdeath              Ġpenalty            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (183.15, 183.44)    (183.44, 183.931)   (184.939, 185.189)  (185.189, 185.279)  (185.279, 186.109)  (186.109, 186.309)  (186.309, 186.37)   (186.37, 186.669)   (186.669, 187.451)  (-1.0, -1.0)        (187.699, 187.871)  (188.523, 188.636)  (188.636, 188.696)  (188.696, 188.766)  (188.766, 189.046) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      82484846919696      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġwhat               Ġdo                 Ġyou                Ġdo                
Timings          : (183.15, 183.44)    (183.44, 183.931)   (184.939, 185.189)  (185.189, 185.279)  (185.279, 186.109)  (186.109, 186.309)  (186.309, 186.37)   (186.37, 186.669)   (186.669, 187.451)  (187.526, 187.699)  (187.699, 187.871)  (188.523, 188.636)  (188.636, 188.696)  (188.696, 188.766)  (188.766, 189.046) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82482162565137      82482162565137      82482162565137      82482162565137      82482162565137      82482162565137     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġi                  'm                  Ġa                  Ġgraduate           Ġstudent            Ġat                 Ġthe                Ġuniversity         Ġof                 Ġtex                as                  Ġin                
Timings          : (189.046, 189.199)  (189.199, 189.353)  (189.353, 189.506)  (189.754, 189.864)  (189.864, 189.974)  (189.974, 190.114)  (190.114, 190.534)  (190.534, 190.904)  (190.904, 191.024)  (191.024, 191.094)  (191.094, 191.554)  (191.554, 191.634)  (191.634, 191.922)  (191.922, 192.21)   (192.387, 192.514) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226      82481625694226     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġge                 orge                anne                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                
Timings          : (189.046, 189.199)  (189.199, 189.353)  (189.353, 189.506)  (-1.0, -1.0)        (189.864, 189.974)  (189.974, 190.114)  (190.114, 190.534)  (190.534, 190.904)  (190.904, 191.024)  (191.024, 191.094)  (191.094, 191.554)  (191.554, 191.634)  (191.634, 191.922)  (191.922, 192.21)   (192.4, 192.6)     
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 82482162565137      82482162565137      82482162565137      82482162565137      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82485383790611     
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġd                  allas               <yield>             <emp>               <emp>               <emp>               <emp>               Ġum                 Ġaud                iology              <eot>               <emp>               Ġyeah               Ġwhat               Ġdo                
Timings          : (192.514, 192.879)  (192.879, 193.245)  (-1.0, -1.0)        (193.42, 193.61)    (193.61, 193.98)    (193.98, 194.1)     (194.1, 194.25)     (194.676, 195.067)  (195.067, 195.461)  (195.461, 195.855)  (-1.0, -1.0)        (196.551, 197.258)  (197.471, 197.801)  (197.801, 197.951)  (197.951, 198.011) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   0                   5                   5                   5                  
turn_ids         : 82481625694226      82481625694226      82481625694226      0                   0                   0                   0                   82481625694228      82481625694228      82481625694228      82481625694228      0                   82485920661527      82485920661527      82485920661527     
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   0                   1                   1                   1                  

B                : Ġokay               <emp>               Ġgreat              Ġwhat               Ġprogram            Ġyou                Ġin                 <eot>               <emp>               <emp>               Ġokay               Ġfantastic          <emp>               Ġuh                 <emp>              
Timings          : (192.6, 192.978)    (192.879, 193.245)  (193.137, 193.42)   (193.42, 193.61)    (193.61, 193.98)    (193.98, 194.1)     (194.1, 194.25)     (-1.0, -1.0)        (195.067, 195.461)  (195.461, 195.855)  (196.008, 196.416)  (196.551, 197.258)  (197.471, 197.801)  (197.85, 198.358)   (197.951, 198.011) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 82485383790611      82485383790611      82485383790611      82485383790611      82485383790611      82485383790611      82485383790611      82485383790611      0                   0                   82482162565141      82482162565141      82482162565141      82482162565141      82482162565141     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                  


A                : Ġyou                Ġdo                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                
Timings          : (198.011, 198.151)  (198.151, 198.383)  (-1.0, -1.0)        (198.65, 198.729)   (198.729, 198.809)  (198.809, 199.178)  (199.178, 199.548)  (199.548, 199.609)  (199.609, 200.048)  (200.048, 200.109)  (200.109, 200.389)  (200.389, 200.553)  (200.553, 200.718)  (200.718, 200.882)  (201.042, 201.222) 
