A                : ok                  ay                  Ġum                 Ġi                  'm                  Ġi                  'm                  Ġnot                Ġto                 Ġfamiliar           Ġwith               Ġthe                Ġtopic              Ġbecause            Ġuh                
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġum                 Ġrequires           Ġa                  Ġlittle             Ġmore               Ġresearch           Ġthat               Ġkind               Ġof                 Ġthing              Ġso                 Ġthat               's                  Ġwhy                Ġi                 
Timings          : (144.801, 145.25)   (145.508, 145.904)  (145.904, 145.964)  (145.964, 146.114)  (146.114, 146.304)  (146.304, 147.355)  (147.771, 147.964)  (147.964, 148.184)  (148.184, 148.304)  (148.304, 148.703)  (149.14, 149.222)   (149.222, 149.316)  (149.316, 149.41)   (149.41, 149.534)   (149.534, 149.594) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (145.508, 145.904)  (145.904, 145.964)  (145.964, 146.114)  (146.114, 146.304)  (146.304, 147.355)  (147.771, 147.964)  (147.964, 148.184)  (148.184, 148.304)  (148.304, 148.703)  (149.043, 149.312)  (-1.0, -1.0)        (149.316, 149.41)   (149.41, 149.534)   (149.534, 149.594) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 82553029525511      0                   0                   0                   0                   0                   0                   0                   0                   0                   82553029525512      82553029525512      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġsay                Ġit                 Ġprobably           Ġmost               Ġin                 Ġmost               Ġcases              Ġi                  Ġwould              Ġthink              Ġit                 Ġwould              Ġcome               Ġthe                Ġoutcome           
Timings          : (149.594, 149.904)  (149.904, 150.034)  (150.034, 150.681)  (151.005, 151.211)  (151.211, 151.394)  (151.394, 151.634)  (151.634, 151.932)  (151.932, 152.075)  (152.075, 152.214)  (152.214, 152.404)  (152.404, 152.474)  (152.474, 152.564)  (152.564, 152.684)  (152.684, 152.934)  (152.934, 153.374) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (149.594, 149.904)  (149.904, 150.034)  (150.034, 150.681)  (151.005, 151.211)  (151.211, 151.394)  (151.394, 151.634)  (151.634, 151.932)  (151.932, 152.075)  (152.075, 152.214)  (152.214, 152.404)  (152.404, 152.474)  (152.474, 152.564)  (152.564, 152.684)  (152.684, 152.934)  (152.934, 153.374) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwould              Ġbe                 Ġbetter             Ġin                 Ġmost               Ġcases              Ġnot                Ġalways             Ġbut                <emp>               <emp>               <emp>               Ġuh                 <yield>             <emp>              
Timings          : (153.374, 153.494)  (153.494, 153.654)  (153.654, 153.934)  (153.934, 154.134)  (154.134, 154.424)  (154.424, 154.804)  (154.804, 155.034)  (155.034, 155.432)  (155.945, 156.199)  (156.393, 156.507)  (156.507, 156.667)  (156.667, 156.783)  (156.894, 157.085)  (-1.0, -1.0)        (157.144, 157.45)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                  
turn_ids         : 82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      82553566396428      0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġtell               Ġyou                Ġwhat               Ġthe                Ġto                
Timings          : (153.374, 153.494)  (153.494, 153.654)  (153.654, 153.934)  (153.934, 154.134)  (154.134, 154.424)  (154.424, 154.804)  (154.804, 155.034)  (155.034, 155.432)  (155.945, 156.199)  (156.393, 156.507)  (156.507, 156.667)  (156.667, 156.783)  (156.783, 156.992)  (156.992, 157.144)  (157.144, 157.45)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.45, 157.757)   (157.757, 158.064)  (158.583, 158.838)  (158.838, 159.279)  (159.279, 159.489)  (159.489, 159.979)  (159.979, 160.049)  (160.049, 160.239)  (160.239, 160.737)  (160.936, 161.469)  (161.469, 161.899)  (161.899, 162.039)  (162.039, 162.269)  (162.269, 162.472)  (162.472, 162.71)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : '                   pic                 Ġalong              Ġalong              Ġthose              Ġlines              Ġa                  Ġlittle             Ġmore               Ġexciting           Ġtopic              Ġis                 Ġwhat               Ġthe                Ġuh                
Timings          : (157.45, 157.757)   (157.757, 158.064)  (158.583, 158.838)  (158.838, 159.279)  (159.279, 159.489)  (159.489, 159.979)  (159.979, 160.049)  (160.049, 160.239)  (160.239, 160.737)  (160.936, 161.469)  (161.469, 161.899)  (161.899, 162.039)  (162.039, 162.269)  (162.269, 162.472)  (162.472, 162.71)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                 
Timings          : (163.84, 164.085)   (164.085, 164.279)  (164.874, 165.491)  (165.491, 165.683)  (165.683, 166.303)  (166.303, 166.723)  (166.723, 166.984)  (166.984, 167.304)  (168.038, 168.643)  (168.643, 168.764)  (168.764, 168.979)  (168.979, 169.193)  (169.193, 169.393)  (169.393, 169.736)  (170.219, 170.368) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82552492654601     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġthe                Ġuh                 Ġcriminal           Ġuh                 Ġpunishment         Ġpanel              Ġis                 Ġuh                 Ġreviewing          Ġin                 Ġaust               in                  Ġright              Ġnow                <emp>              
Timings          : (163.84, 164.085)   (164.085, 164.279)  (164.874, 165.491)  (165.491, 165.683)  (165.683, 166.303)  (166.303, 166.723)  (166.723, 166.984)  (166.984, 167.304)  (168.038, 168.643)  (168.643, 168.764)  (168.764, 168.979)  (168.979, 169.193)  (169.193, 169.393)  (169.393, 169.736)  (170.219, 170.368) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (170.368, 170.518)  (170.518, 170.667)  (-1.0, -1.0)        (171.809, 172.063)  (172.063, 172.353)  (172.353, 172.663)  (174.215, 174.975)  (174.975, 175.306)  (175.306, 175.589)  (175.589, 175.939)  (175.939, 176.379)  (176.379, 176.547)  (176.848, 177.449)  (177.449, 177.579)  (177.579, 177.849) 
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82552492654601      82552492654601      82552492654601      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġnow                Ġwhich              Ġis                 Ġuh                 Ġreducing           Ġa                  Ġrape               Ġcase               Ġwithout            Ġa                  Ġfirearm            Ġor                 Ġwithout           
Timings          : (170.368, 170.518)  (170.518, 170.667)  (171.486, 171.809)  (171.809, 172.063)  (172.063, 172.353)  (172.353, 172.663)  (174.215, 174.975)  (174.975, 175.306)  (175.306, 175.589)  (175.589, 175.939)  (175.939, 176.379)  (176.379, 176.547)  (176.848, 177.449)  (177.449, 177.579)  (177.579, 177.849) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġreally             <ebc>               Ġhum                <eint>              <emp>               <emp>              
Timings          : (177.849, 177.899)  (177.899, 178.419)  (178.419, 178.869)  (178.869, 178.959)  (178.959, 179.209)  (179.209, 179.659)  (179.659, 179.709)  (179.709, 180.534)  (181.089, 181.29)   (181.29, 181.833)   (-1.0, -1.0)        (183.691, 183.997)  (-1.0, -1.0)        (184.169, 184.455)  (184.455, 184.563) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82552492654602      82552492654602      82552492654602      82554640138253      82554640138253      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġa                  Ġweapon             Ġto                 Ġuh                 Ġjust               Ġpractically        Ġa                  Ġmisdemeanor        <emp>               <emp>               Ġyeah               Ġactually           Ġthey               Ġcall               Ġit                
Timings          : (177.849, 177.899)  (177.899, 178.419)  (178.419, 178.869)  (178.869, 178.959)  (178.959, 179.209)  (179.209, 179.659)  (179.659, 179.709)  (179.709, 180.534)  (181.089, 181.29)   (181.29, 181.833)   (182.095, 182.634)  (183.674, 184.008)  (184.008, 184.169)  (184.169, 184.455)  (184.455, 184.563) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.563, 184.669)  (184.669, 184.973)  (186.926, 187.349)  (187.684, 187.936)  (187.936, 188.113)  (188.113, 188.409)  (188.409, 188.749)  (188.749, 189.269)  (189.269, 189.499)  (189.499, 189.721)  (190.717, 190.813)  (190.813, 190.908)  (190.908, 191.147)  (191.147, 191.257)  (191.257, 191.387) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġfifth              Ġfifth              Ġfourth             Ġor                 Ġfifth              Ġdegree             Ġfelony             Ġwhich              Ġis                 Ġcan                't                  Ġeven               Ġyou                Ġknow              
Timings          : (184.563, 184.669)  (184.669, 184.973)  (186.926, 187.349)  (187.684, 187.936)  (187.936, 188.113)  (188.113, 188.409)  (188.409, 188.749)  (188.749, 189.269)  (189.269, 189.499)  (189.499, 189.721)  (190.717, 190.813)  (190.813, 190.908)  (190.908, 191.147)  (191.147, 191.257)  (191.257, 191.387) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      82554103267341     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġright              Ġright              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.387, 191.567)  (191.567, 191.936)  (192.109, 192.447)  (192.447, 193.002)  (192.852, 193.516)  (193.964, 194.582)  (-1.0, -1.0)        (194.878, 195.169)  (195.825, 195.951)  (195.951, 196.051)  (196.051, 196.361)  (196.361, 196.461)  (196.461, 196.891)  (196.891, 197.351)  (197.351, 197.431) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82550345170958      82550345170958      82550345170958      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbe                 Ġno                 Ġjail               Ġtime               <eot>               <emp>               Ġand                Ġuh                 Ġand                Ġof                 Ġcourse             Ġthe                Ġhottest            Ġtopic              Ġof                
Timings          : (191.387, 191.567)  (191.567, 191.936)  (192.109, 192.447)  (192.447, 193.002)  (-1.0, -1.0)        (193.964, 194.582)  (194.466, 194.878)  (194.878, 195.169)  (195.825, 195.951)  (195.951, 196.051)  (196.051, 196.361)  (196.361, 196.461)  (196.461, 196.891)  (196.891, 197.351)  (197.351, 197.431) 
Token Types      : 4                   4                   4                   4                   4                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82554103267341      82554103267341      82554103267341      82554103267341      82554103267341      0                   82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871     
turn_end_types   : 1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (197.431, 197.582)  (197.582, 197.828)  (197.828, 198.198)  (198.879, 199.122)  (199.122, 199.366)  (199.366, 199.609)  (199.609, 199.852)  (199.852, 200.327)  (200.327, 200.545)  (200.545, 200.792)  (200.792, 201.048)  (202.03, 202.138)   (202.138, 202.573)  (202.573, 202.891)  (202.891, 202.951) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġday                Ġalong              Ġjur                is                  pr                  udence              Ġlines              Ġis                 Ġthe                Ġuh                 Ġthe                Ġearly              Ġrelease            Ġof                
Timings          : (197.431, 197.582)  (197.582, 197.828)  (197.828, 198.198)  (198.879, 199.122)  (199.122, 199.366)  (199.366, 199.609)  (199.609, 199.852)  (199.852, 200.327)  (200.327, 200.545)  (200.545, 200.792)  (200.792, 201.048)  (202.03, 202.138)   (202.138, 202.573)  (202.573, 202.891)  (202.891, 202.951) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġheard              Ġabout              Ġthat              
Timings          : (202.951, 203.421)  (203.421, 203.501)  (203.501, 203.701)  (203.701, 203.941)  (203.941, 204.051)  (204.051, 204.151)  (204.151, 204.396)  (204.396, 204.641)  (204.641, 204.731)  (204.731, 205.09)   (205.489, 206.181)  (206.516, 206.65)   (206.65, 206.828)   (206.828, 207.088)  (207.088, 207.483) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82550345170960      82550345170960      82550345170960      82550345170960      82550345170960     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġprisoners          Ġat                 Ġleast              Ġdown               Ġhere               Ġin                 Ġh                  ouston              Ġit                 Ġis                 <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (202.951, 203.421)  (203.421, 203.501)  (203.501, 203.701)  (203.701, 203.941)  (203.941, 204.051)  (204.051, 204.151)  (204.151, 204.396)  (204.396, 204.641)  (204.641, 204.731)  (204.731, 205.09)   (-1.0, -1.0)        (206.516, 206.65)   (206.65, 206.828)   (206.828, 207.088)  (207.088, 207.483) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      82550882041871      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġyeah               Ġyeah               Ġthat               's                  Ġthat               's                  Ġreal               Ġscary              Ġyou                Ġknow               Ġi                  Ġi                  Ġi                  Ġjust               Ġthink             
Timings          : (207.483, 207.97)   (209.197, 209.409)  (209.409, 209.695)  (209.695, 209.98)   (210.232, 210.373)  (210.373, 210.513)  (210.513, 210.66)   (210.66, 211.31)    (211.31, 211.524)   (211.524, 211.857)  (212.162, 212.4)    (212.4, 212.615)    (212.615, 212.813)  (212.813, 213.023)  (213.023, 213.233) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960      82550345170960     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (207.483, 207.97)   (209.197, 209.409)  (209.409, 209.695)  (209.695, 209.98)   (210.232, 210.373)  (210.373, 210.513)  (210.513, 210.66)   (210.66, 211.31)    (211.31, 211.524)   (211.524, 211.857)  (212.162, 212.4)    (212.4, 212.615)    (212.615, 212.813)  (212.813, 213.023)  (213.023, 213.233) 
