A                : why                 Ġdon                't                  Ġyou                Ġgo                 Ġahead              Ġand                Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
turn_ids         : 80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (155.656, 155.986)  (155.986, 156.306)  (157.132, 157.327)  (157.327, 157.412)  (157.412, 157.497)  (157.497, 157.612)  (157.612, 157.802)  (157.802, 157.927)  (157.927, 158.052)  (158.052, 158.449)  (158.588, 158.952)  (158.952, 159.398)  (159.515, 160.132)  (161.626, 162.296)  (162.296, 162.443) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtime               Ġits                Ġi                  Ġdon                't                  Ġknow               Ġmaybe              Ġi                  'm                  Ġtoo                Ġtoo                Ġuh                 Ġuh                 Ġconservative       Ġwhen              
Timings          : (155.656, 155.986)  (155.986, 156.306)  (157.132, 157.327)  (157.327, 157.412)  (157.412, 157.497)  (157.497, 157.612)  (157.612, 157.802)  (157.802, 157.927)  (157.927, 158.052)  (158.052, 158.449)  (158.588, 158.952)  (158.952, 159.398)  (159.515, 160.132)  (161.626, 162.296)  (162.296, 162.443) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (162.443, 162.523)  (162.523, 162.813)  (162.813, 162.973)  (162.973, 163.299)  (163.431, 163.573)  (163.573, 163.723)  (163.723, 164.433)  (164.433, 164.743)  (164.852, 165.173)  (165.173, 165.827)  (166.592, 167.053)  (167.053, 167.183)  (167.183, 167.433)  (167.433, 167.573)  (167.573, 167.823) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġcome               Ġto                 Ġthat               Ġthe                Ġthe                Ġsentencing         Ġis                 Ġreally             Ġlight              Ġcompared           Ġto                 Ġwhat               Ġi                  Ġthink             
Timings          : (162.443, 162.523)  (162.523, 162.813)  (162.813, 162.973)  (162.973, 163.299)  (163.431, 163.573)  (163.573, 163.723)  (163.723, 164.433)  (164.433, 164.743)  (164.852, 165.173)  (165.173, 165.827)  (166.592, 167.053)  (167.053, 167.183)  (167.183, 167.433)  (167.433, 167.573)  (167.573, 167.823) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                <ebc>               <emp>               <emp>               Ġwell               Ġif                 Ġyou               
Timings          : (167.823, 167.943)  (167.943, 168.263)  (168.263, 168.353)  (168.353, 168.483)  (168.483, 168.543)  (168.543, 168.773)  (168.773, 168.833)  (168.833, 169.545)  (169.726, 169.939)  (-1.0, -1.0)        (170.641, 170.959)  (171.294, 171.761)  (171.835, 172.011)  (172.011, 172.151)  (172.151, 172.281) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80387829137413      80387829137413      0                   0                   80385681653770      80385681653770      80385681653770     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   1                   1                   1                  

B                : Ġthey               Ġshould             Ġbe                 Ġin                 Ġa                  Ġlot                Ġof                 Ġcases              <emp>               Ġyou                Ġknow               Ġuh                 <eot>               <emp>               <emp>              
Timings          : (167.823, 167.943)  (167.943, 168.263)  (168.263, 168.353)  (168.353, 168.483)  (168.483, 168.543)  (168.543, 168.773)  (168.773, 168.833)  (168.833, 169.545)  (169.726, 169.939)  (170.503, 170.641)  (170.641, 170.959)  (171.294, 171.761)  (-1.0, -1.0)        (172.011, 172.151)  (172.151, 172.281) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      80386218524681      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġdrag               Ġtwelve             Ġpeople             Ġinto               Ġa                  Ġcourtroom          Ġi                  Ġtrust              Ġthem               Ġto                 Ġmake               Ġthe                Ġright              Ġdecision           Ġas                
Timings          : (172.281, 172.631)  (172.631, 172.921)  (172.921, 173.291)  (173.291, 173.768)  (174.396, 174.508)  (174.508, 175.359)  (175.359, 175.566)  (175.566, 175.921)  (175.921, 176.224)  (176.45, 176.743)   (177.338, 177.731)  (177.731, 177.801)  (177.801, 177.991)  (177.991, 178.401)  (178.401, 178.531) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (172.281, 172.631)  (172.631, 172.921)  (172.921, 173.291)  (173.291, 173.768)  (174.396, 174.508)  (174.508, 175.359)  (175.359, 175.566)  (175.566, 175.921)  (175.921, 176.224)  (176.45, 176.743)   (177.338, 177.731)  (177.731, 177.801)  (177.801, 177.991)  (177.991, 178.401)  (178.401, 178.531) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġwhether            Ġsomeone            's                  Ġguilty             Ġor                 Ġinnocent           Ġthat               's                  Ġusually            Ġa                  Ġmatter             Ġof                 Ġwho                Ġto                
Timings          : (178.531, 178.651)  (178.651, 178.861)  (178.861, 179.117)  (179.117, 179.374)  (179.607, 179.921)  (179.921, 180.011)  (180.011, 180.361)  (180.361, 180.476)  (180.476, 180.591)  (180.591, 180.931)  (180.931, 180.971)  (180.971, 181.291)  (181.291, 181.519)  (181.692, 181.811)  (181.811, 181.901) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.531, 178.651)  (178.651, 178.861)  (178.861, 179.117)  (179.117, 179.374)  (179.607, 179.921)  (179.921, 180.011)  (180.011, 180.361)  (180.361, 180.476)  (180.476, 180.591)  (180.591, 180.931)  (180.931, 180.971)  (180.971, 181.291)  (181.291, 181.519)  (181.692, 181.811)  (181.811, 181.901) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbelieve            Ġand                Ġwhat               Ġfacts              Ġto                 Ġbelieve            <emp>               Ġbut                Ġpeople             Ġwho                Ġdon                't                  Ġwho                Ġdon                't                 
Timings          : (181.901, 182.341)  (182.341, 182.501)  (182.501, 182.661)  (182.661, 182.991)  (182.991, 183.081)  (183.081, 183.449)  (183.71, 184.327)   (184.46, 184.583)   (184.583, 184.953)  (184.953, 185.077)  (185.077, 185.152)  (185.152, 185.228)  (185.228, 185.423)  (185.423, 185.538)  (185.538, 185.653) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.901, 182.341)  (182.341, 182.501)  (182.501, 182.661)  (182.661, 182.991)  (182.991, 183.081)  (183.081, 183.449)  (183.71, 184.327)   (-1.0, -1.0)        (184.583, 184.953)  (184.953, 185.077)  (185.077, 185.152)  (185.152, 185.228)  (185.228, 185.423)  (185.423, 185.538)  (185.538, 185.653) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   80388366008329      80388366008329      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhave               Ġday                Ġin                 Ġand                Ġday                Ġout                Ġlife               Ġlong               Ġexperience         Ġwith               Ġwhat               Ġprison             's                  Ġreally             Ġlike              
Timings          : (185.653, 185.943)  (185.943, 186.163)  (186.163, 186.273)  (186.273, 186.423)  (186.423, 186.623)  (186.623, 186.843)  (186.843, 187.133)  (187.133, 187.293)  (187.293, 187.943)  (187.943, 188.217)  (188.909, 189.209)  (189.209, 189.404)  (189.404, 189.599)  (189.599, 189.829)  (189.829, 190.229) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.653, 185.943)  (185.943, 186.163)  (186.163, 186.273)  (186.273, 186.423)  (186.423, 186.623)  (186.623, 186.843)  (186.843, 187.133)  (187.133, 187.293)  (187.293, 187.943)  (187.943, 188.217)  (188.909, 189.209)  (189.209, 189.404)  (189.404, 189.599)  (189.599, 189.829)  (189.829, 190.229) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġwhat               Ġthe                Ġoptions            Ġare                Ġto                 Ġask                Ġthem               Ġto                 Ġdecide             Ġfor                Ġone                Ġcase               Ġon                 Ġone               
Timings          : (190.229, 190.729)  (191.099, 191.369)  (191.369, 191.519)  (191.519, 191.859)  (191.859, 192.239)  (192.239, 192.359)  (192.359, 192.639)  (192.639, 192.829)  (192.829, 192.949)  (192.949, 193.449)  (193.449, 193.589)  (193.589, 193.839)  (193.839, 194.369)  (194.849, 194.989)  (194.989, 195.199) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.229, 190.729)  (191.099, 191.369)  (191.369, 191.519)  (191.519, 191.859)  (191.859, 192.239)  (192.239, 192.359)  (192.359, 192.639)  (192.639, 192.829)  (192.829, 192.949)  (192.949, 193.449)  (193.449, 193.589)  (193.589, 193.839)  (193.839, 194.369)  (194.849, 194.989)  (194.989, 195.199) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġperson             Ġbased              Ġon                 Ġwhat               Ġthey               Ġsee                Ġi                  Ġthink              Ġthat               Ġis                 Ġmaybe              Ġuh                 Ġa                  Ġlittle             Ġbit               
Timings          : (195.199, 195.716)  (195.934, 196.209)  (196.209, 196.379)  (196.379, 196.529)  (196.529, 196.669)  (196.669, 196.939)  (196.939, 197.052)  (197.052, 197.307)  (197.307, 197.465)  (198.198, 198.328)  (198.328, 198.798)  (198.798, 199.098)  (199.693, 199.772)  (199.772, 199.918)  (199.918, 200.078) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.199, 195.716)  (195.934, 196.209)  (196.209, 196.379)  (196.379, 196.529)  (196.529, 196.669)  (196.669, 196.939)  (196.939, 197.052)  (197.052, 197.307)  (197.307, 197.465)  (198.198, 198.328)  (198.328, 198.798)  (198.798, 199.098)  (199.693, 199.772)  (199.772, 199.918)  (199.918, 200.078) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġnaive              <emp>               Ġin                 Ġtex                as                  Ġhere               Ġpeople             Ġtend               Ġto                 Ġget                Ġwhipped            Ġup                 Ġinto               Ġa                  Ġfrenzy            
Timings          : (200.078, 200.686)  (201.124, 201.536)  (201.695, 201.815)  (201.815, 202.045)  (202.045, 202.275)  (202.275, 202.395)  (202.395, 202.685)  (202.685, 202.925)  (202.925, 203.005)  (203.005, 203.145)  (203.145, 203.395)  (203.395, 203.585)  (203.585, 204.025)  (204.025, 204.171)  (204.82, 205.235)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (200.078, 200.686)  (201.124, 201.536)  (-1.0, -1.0)        (201.815, 202.045)  (202.045, 202.275)  (202.275, 202.395)  (202.395, 202.685)  (202.685, 202.925)  (202.925, 203.005)  (203.005, 203.145)  (203.145, 203.395)  (203.395, 203.585)  (203.585, 204.025)  (204.025, 204.171)  (204.82, 205.235)  
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   80388366008330      80388366008330      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġslap               Ġlong               Ġsentences          Ġon                 Ġpeople             Ġum                 <emp>               Ġit                 's                  Ġkind               Ġof                 Ġa                  Ġum                 Ġhanging           
Timings          : (205.235, 205.395)  (205.395, 205.705)  (205.705, 205.975)  (205.975, 206.435)  (206.435, 206.585)  (206.585, 207.083)  (207.508, 207.895)  (207.803, 208.064)  (208.781, 208.853)  (208.853, 208.926)  (208.926, 209.126)  (209.126, 209.236)  (209.236, 209.385)  (210.536, 210.976)  (211.597, 211.978) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (205.235, 205.395)  (205.395, 205.705)  (205.705, 205.975)  (205.975, 206.435)  (206.435, 206.585)  (206.585, 207.083)  (207.542, 207.803)  (207.803, 208.064)  (-1.0, -1.0)        (208.853, 208.926)  (208.926, 209.126)  (209.126, 209.236)  (209.236, 209.385)  (210.536, 210.976)  (211.597, 211.978) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   80388366008331      80388366008331      80388366008331      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġjury               Ġatmosphere         Ġbut                Ġin                 Ġa                  Ġlot                Ġof                 Ġplaces             Ġi                  Ġthink              Ġpeople             Ġbend               Ġover               Ġthe                Ġother             
Timings          : (211.978, 212.298)  (212.298, 212.945)  (213.96, 214.118)   (214.488, 214.648)  (214.648, 214.708)  (214.708, 214.878)  (214.878, 214.958)  (214.958, 215.308)  (215.308, 215.398)  (215.398, 215.568)  (215.568, 215.858)  (215.858, 216.058)  (216.058, 216.268)  (216.268, 216.358)  (216.358, 216.498) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770      80385681653770     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
