A                : ok                  ay                  Ġgo                 Ġahead              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              


A                : Ġuh                 Ġif                 Ġwe                 Ġwould              Ġhave               Ġwent               Ġinto               Ġspace              Ġand                Ġfound              Ġmars               Ġa                  Ġliv                able                Ġplanet            
Timings          : (133.102, 133.443)  (134.098, 134.382)  (134.382, 134.492)  (134.492, 134.611)  (134.611, 134.702)  (134.702, 134.861)  (134.861, 135.152)  (135.152, 135.581)  (135.581, 135.691)  (135.691, 136.051)  (136.051, 136.441)  (136.441, 136.531)  (136.531, 136.771)  (136.771, 137.012)  (137.012, 137.452) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (133.102, 133.443)  (134.098, 134.382)  (134.382, 134.492)  (134.492, 134.611)  (134.611, 134.702)  (134.702, 134.861)  (134.861, 135.152)  (135.152, 135.581)  (135.581, 135.691)  (135.691, 136.051)  (136.051, 136.441)  (136.441, 136.531)  (136.531, 136.771)  (136.771, 137.012)  (137.012, 137.452) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġplanet             Ġwe                 Ġprobably           Ġwould              Ġhave               Ġinhabited          Ġit                 Ġand                Ġuh                 Ġyou                Ġknow               Ġwho                Ġwould              Ġhave              
Timings          : (137.452, 137.572)  (137.572, 138.072)  (138.072, 138.191)  (138.191, 138.542)  (138.542, 138.712)  (138.712, 138.891)  (138.891, 139.691)  (139.691, 140.021)  (140.021, 140.432)  (140.432, 140.652)  (141.071, 141.181)  (141.181, 141.361)  (141.361, 141.501)  (141.501, 141.621)  (141.621, 141.731) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (137.452, 137.572)  (137.572, 138.072)  (138.072, 138.191)  (138.191, 138.542)  (138.542, 138.712)  (138.712, 138.891)  (138.891, 139.691)  (139.691, 140.021)  (140.021, 140.432)  (140.432, 140.652)  (141.071, 141.181)  (141.181, 141.361)  (141.361, 141.501)  (141.501, 141.621)  (141.621, 141.731) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcared              Ġabout              Ġearth              Ġit                 Ġwould              Ġhave               Ġbeen               Ġanother            Ġplanet             Ġto                 Ġkind               Ġof                 Ġtake               Ġover               Ġand               
Timings          : (141.731, 142.031)  (142.031, 142.291)  (142.291, 142.581)  (142.581, 142.661)  (142.661, 142.781)  (142.781, 142.871)  (142.871, 143.121)  (143.121, 143.481)  (143.481, 143.901)  (143.901, 144.001)  (144.001, 144.241)  (144.241, 144.341)  (144.691, 144.931)  (144.931, 145.321)  (145.321, 145.701) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (141.731, 142.031)  (142.031, 142.291)  (142.291, 142.581)  (142.581, 142.661)  (142.661, 142.781)  (142.781, 142.871)  (142.871, 143.121)  (143.121, 143.481)  (143.481, 143.901)  (143.901, 144.001)  (144.001, 144.241)  (144.241, 144.341)  (144.691, 144.931)  (144.931, 145.321)  (145.321, 145.701) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġcontinue           Ġon                 Ġso                 Ġyou                Ġknow               Ġand                Ġthat               Ġwhen               Ġi                  Ġlook               Ġat                 Ġthe                Ġspace              Ġprogram           
Timings          : (145.701, 145.92)   (146.259, 146.691)  (146.691, 147.041)  (147.041, 147.352)  (147.778, 147.841)  (147.841, 147.931)  (147.931, 148.101)  (148.101, 148.371)  (148.906, 149.056)  (149.056, 149.126)  (149.126, 149.316)  (149.316, 149.446)  (149.446, 149.526)  (149.526, 149.846)  (149.846, 150.266) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (145.701, 145.92)   (146.259, 146.691)  (146.691, 147.041)  (147.041, 147.352)  (147.778, 147.841)  (147.841, 147.931)  (147.931, 148.101)  (148.101, 148.371)  (148.906, 149.056)  (149.056, 149.126)  (149.126, 149.316)  (149.316, 149.446)  (149.446, 149.526)  (149.526, 149.846)  (149.846, 150.266) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġitself             Ġi                  Ġthink              Ġof                 Ġit                 Ġyou                Ġknow               Ġas                 Ġbeing              Ġin                 Ġterms              Ġof                 Ġit                 's                  Ġit                
Timings          : (150.266, 150.706)  (150.706, 150.786)  (150.786, 151.046)  (151.046, 151.126)  (151.126, 151.266)  (151.496, 151.616)  (151.616, 151.726)  (151.726, 151.916)  (151.916, 152.166)  (152.166, 152.276)  (152.276, 152.736)  (152.736, 152.951)  (153.554, 153.67)   (153.67, 153.786)   (154.069, 154.205) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (150.266, 150.706)  (150.706, 150.786)  (150.786, 151.046)  (151.046, 151.126)  (151.126, 151.266)  (151.496, 151.616)  (151.616, 151.726)  (151.726, 151.916)  (151.916, 152.166)  (152.166, 152.276)  (152.276, 152.736)  (152.736, 152.951)  (153.554, 153.67)   (153.67, 153.786)   (154.069, 154.205) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġinteresting        Ġto                 Ġlearn              Ġbut                Ġit                 's                  Ġalso               Ġit                 's                  Ġit                 Ġbrings             Ġdown               Ġthe                Ġfact              
Timings          : (154.205, 154.342)  (154.342, 154.956)  (154.956, 155.116)  (155.116, 155.656)  (155.656, 155.806)  (155.806, 155.876)  (155.876, 155.946)  (155.946, 156.426)  (157.253, 157.36)   (157.36, 157.466)   (157.916, 158.094)  (158.193, 158.443)  (158.443, 158.803)  (158.803, 158.883)  (158.883, 159.303) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (154.205, 154.342)  (154.342, 154.956)  (154.956, 155.116)  (155.116, 155.656)  (155.656, 155.806)  (155.806, 155.876)  (155.876, 155.946)  (155.946, 156.426)  (157.253, 157.36)   (157.36, 157.466)   (157.916, 158.094)  (158.193, 158.443)  (158.443, 158.803)  (158.803, 158.883)  (158.883, 159.303) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġthis               Ġearth              Ġis                 Ġit                 Ġit                 's                  Ġit                 Ġfor                Ġus                 Ġyou                Ġknow               Ġwhat               Ġi                  Ġmean              
Timings          : (159.303, 159.493)  (159.624, 159.885)  (159.885, 160.178)  (160.178, 160.48)   (160.785, 161.083)  (161.393, 161.538)  (161.538, 161.684)  (161.684, 161.863)  (161.863, 162.044)  (162.044, 162.264)  (162.503, 162.633)  (162.633, 162.714)  (162.714, 162.803)  (162.803, 162.877)  (162.877, 163.146) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (159.303, 159.493)  (159.624, 159.885)  (159.885, 160.178)  (160.178, 160.48)   (160.785, 161.083)  (161.393, 161.538)  (161.538, 161.684)  (161.684, 161.863)  (161.863, 162.044)  (162.044, 162.264)  (162.503, 162.633)  (162.633, 162.714)  (162.714, 162.803)  (162.803, 162.877)  (162.877, 163.146) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               Ġum                 Ġunless             Ġtechnology         Ġmakes              Ġthe                Ġdecision           Ġthat               Ġwe                 Ġall                Ġare                Ġgoing              Ġto                 Ġlive               Ġin                
Timings          : (163.385, 163.715)  (163.852, 164.232)  (164.482, 164.732)  (164.732, 165.412)  (165.412, 165.722)  (165.722, 165.802)  (165.802, 166.332)  (166.332, 166.462)  (166.462, 166.602)  (166.602, 166.792)  (166.792, 166.932)  (166.932, 167.222)  (167.222, 167.342)  (167.342, 167.522)  (167.522, 167.632) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : right               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (163.385, 163.715)  (-1.0, -1.0)        (164.482, 164.732)  (164.732, 165.412)  (165.412, 165.722)  (165.722, 165.802)  (165.802, 166.332)  (166.332, 166.462)  (166.462, 166.602)  (166.602, 166.792)  (166.792, 166.932)  (166.932, 167.222)  (167.222, 167.342)  (167.342, 167.522)  (167.522, 167.632) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82845087301635      82845087301635      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġspace              Ġor                 Ġwhatever           Ġbut                Ġi                  Ġwould              Ġlove               Ġto                 Ġum                 Ġgo                 Ġinto               Ġthe                Ġspace              Ġshuttle            Ġsome              
Timings          : (167.632, 168.072)  (168.072, 168.142)  (168.142, 168.642)  (168.642, 168.832)  (169.696, 169.856)  (169.856, 170.076)  (170.076, 170.499)  (170.499, 170.808)  (170.808, 171.166)  (171.166, 171.306)  (171.306, 171.536)  (171.536, 171.626)  (171.626, 172.006)  (172.496, 172.876)  (172.876, 173.126) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (167.632, 168.072)  (168.072, 168.142)  (168.142, 168.642)  (168.642, 168.832)  (169.696, 169.856)  (169.856, 170.076)  (170.076, 170.499)  (170.499, 170.808)  (170.808, 171.166)  (171.166, 171.306)  (171.306, 171.536)  (171.536, 171.626)  (171.626, 172.006)  (172.496, 172.876)  (172.876, 173.126) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġday                Ġand                Ġuh                 Ġjust               Ġsee                Ġum                 Ġyou                Ġknow               Ġthe                Ġearth              Ġand                Ġthe                Ġdifferent          Ġplanets            Ġand               
Timings          : (173.126, 173.376)  (173.376, 173.736)  (173.736, 173.929)  (174.226, 174.616)  (174.616, 175.021)  (175.625, 175.99)   (176.577, 176.727)  (176.727, 176.907)  (176.907, 177.107)  (177.107, 177.457)  (178.027, 178.507)  (178.757, 178.837)  (178.837, 179.177)  (179.177, 179.826)  (179.973, 180.374) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.126, 173.376)  (173.376, 173.736)  (173.736, 173.929)  (174.226, 174.616)  (174.616, 175.021)  (175.625, 175.99)   (176.577, 176.727)  (176.727, 176.907)  (176.907, 177.107)  (177.107, 177.457)  (178.027, 178.507)  (178.757, 178.837)  (178.837, 179.177)  (179.177, 179.826)  (179.973, 180.374) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthings             Ġlike               Ġthat               Ġi                  Ġi                  Ġthink              Ġit                 Ġwould              Ġbe                 Ġvery               Ġinteresting        Ġto                 Ġdo                 Ġbut                Ġwhether           
Timings          : (180.529, 180.797)  (180.797, 181.027)  (181.027, 181.317)  (181.317, 181.527)  (181.527, 181.667)  (181.667, 181.867)  (181.867, 181.927)  (181.927, 182.027)  (182.027, 182.137)  (182.137, 182.477)  (182.477, 183.117)  (183.117, 183.257)  (183.257, 183.577)  (183.577, 183.817)  (183.917, 184.177) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.529, 180.797)  (180.797, 181.027)  (181.027, 181.317)  (181.317, 181.527)  (181.527, 181.667)  (181.667, 181.867)  (181.867, 181.927)  (181.927, 182.027)  (182.027, 182.137)  (182.137, 182.477)  (182.477, 183.117)  (183.117, 183.257)  (183.257, 183.577)  (183.577, 183.817)  (183.917, 184.177) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 'd                  Ġbe                 Ġfeasible           Ġto                 Ġdo                 Ġi                  Ġdon                't                  Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.177, 184.237)  (184.237, 184.297)  (184.297, 184.427)  (184.427, 184.947)  (184.947, 185.097)  (185.097, 185.307)  (185.307, 185.407)  (185.407, 185.512)  (185.512, 185.617)  (185.617, 185.877)  (-1.0, -1.0)        (187.278, 187.585)  (188.533, 188.618)  (188.618, 188.764)  (188.764, 188.904) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġum                 Ġand                Ġas                 Ġfar               
Timings          : (184.177, 184.237)  (184.237, 184.297)  (184.297, 184.427)  (184.427, 184.947)  (184.947, 185.097)  (185.097, 185.307)  (185.307, 185.407)  (185.407, 185.512)  (185.512, 185.617)  (185.617, 185.877)  (186.928, 187.278)  (187.278, 187.585)  (188.533, 188.618)  (188.618, 188.764)  (188.764, 188.904) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
