A                : now                 Ġum                 Ġwe                 're                 Ġdriving            Ġa                  Ġnineteen           Ġeighty             Ġfive               Ġuh                 Ġbu                 ick                 Ġpark               Ġavenue             Ġthat              
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhappened           Ġis                 Ġmost               Ġpeople             Ġhave               Ġjust               Ġgotten             Ġrid                Ġof                 Ġthem               Ġas                 Ġsoon               Ġas                 Ġyou                Ġknow              
Timings          : (157.923, 158.313)  (158.313, 158.564)  (158.937, 159.303)  (159.303, 159.563)  (159.563, 159.653)  (159.653, 159.873)  (159.873, 160.173)  (160.173, 160.353)  (160.353, 160.493)  (160.493, 160.693)  (160.693, 160.803)  (160.803, 161.003)  (161.003, 161.159)  (161.4, 161.493)    (161.493, 161.603) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.923, 158.313)  (158.313, 158.564)  (158.937, 159.303)  (159.303, 159.563)  (159.563, 159.653)  (159.653, 159.873)  (159.873, 160.173)  (160.173, 160.353)  (160.353, 160.493)  (160.493, 160.693)  (160.693, 160.803)  (160.803, 161.003)  (161.003, 161.159)  (161.4, 161.493)    (161.493, 161.603) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               Ġpass               Ġthe                Ġthree              Ġyear               Ġmark               Ġand                Ġthings             Ġstart              Ġgoing              Ġthey               Ġgo                 Ġand                Ġbuy                Ġa                 
Timings          : (161.603, 161.723)  (161.723, 162.103)  (162.103, 162.183)  (162.183, 162.423)  (162.423, 162.693)  (162.693, 163.063)  (163.063, 163.283)  (163.283, 163.533)  (163.533, 163.833)  (163.833, 164.243)  (164.243, 164.373)  (164.373, 164.593)  (164.593, 164.683)  (164.683, 164.873)  (164.873, 164.903) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (161.603, 161.723)  (161.723, 162.103)  (162.103, 162.183)  (162.183, 162.423)  (162.423, 162.693)  (162.693, 163.063)  (163.063, 163.283)  (163.283, 163.533)  (163.533, 163.833)  (163.833, 164.243)  (164.243, 164.373)  (164.373, 164.593)  (164.593, 164.683)  (164.683, 164.873)  (164.873, 164.903) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġnew                Ġcar                <emp>               Ġwell               Ġwith               Ġthe                Ġnortheast          Ġand                Ġthe                Ġrecession          Ġup                 Ġhere               Ġyou                Ġknow               Ġthat              
Timings          : (164.903, 165.086)  (165.086, 165.448)  (165.604, 166.09)   (166.079, 166.499)  (166.499, 166.639)  (166.639, 166.709)  (166.709, 167.456)  (167.456, 167.649)  (167.649, 167.719)  (167.719, 168.279)  (168.279, 168.459)  (168.459, 168.79)   (169.335, 169.404)  (169.404, 169.584)  (169.584, 169.679) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (164.903, 165.086)  (165.086, 165.448)  (165.604, 166.09)   (-1.0, -1.0)        (166.499, 166.639)  (166.639, 166.709)  (166.709, 167.456)  (167.456, 167.649)  (167.649, 167.719)  (167.719, 168.279)  (168.279, 168.459)  (168.459, 168.79)   (169.069, 169.433)  (-1.0, -1.0)        (169.584, 169.679) 
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   81590956851211      81590956851211      0                   0                   0                   0                   0                   0                   0                   0                   81590956851212      81590956851212      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                  


A                : 's                  Ġcertainly          Ġnot                Ġan                 Ġeasy               Ġoption             Ġand                Ġuh                 Ġwe                 've                 Ġkind               Ġof                 Ġstuck              Ġwith               Ġit                
Timings          : (169.679, 169.774)  (169.774, 170.114)  (170.114, 170.364)  (170.364, 170.556)  (170.556, 170.934)  (170.934, 171.605)  (171.605, 172.299)  (173.154, 173.364)  (173.364, 173.484)  (173.484, 173.604)  (173.604, 173.824)  (173.824, 173.884)  (173.884, 174.214)  (174.214, 174.404)  (174.404, 174.564) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.679, 169.774)  (169.774, 170.114)  (170.114, 170.364)  (170.364, 170.556)  (170.556, 170.934)  (170.934, 171.605)  (171.605, 172.299)  (173.154, 173.364)  (173.364, 173.484)  (173.484, 173.604)  (173.604, 173.824)  (173.824, 173.884)  (173.884, 174.214)  (174.214, 174.404)  (174.404, 174.564) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtrying             Ġto                 Ġkeep               Ġit                 Ġyou                Ġknow               Ġwe                 Ġfigure             Ġsooner             Ġor                 Ġlater              Ġwe                 'll                 Ġprobably           Ġreplace           
Timings          : (174.564, 174.814)  (174.814, 174.874)  (174.874, 175.164)  (175.164, 175.273)  (175.714, 175.754)  (175.754, 175.814)  (175.814, 175.934)  (175.934, 176.244)  (176.244, 176.454)  (176.454, 176.534)  (176.534, 176.724)  (176.724, 176.769)  (176.769, 176.814)  (176.814, 177.064)  (177.064, 177.534) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.564, 174.814)  (174.814, 174.874)  (174.874, 175.164)  (175.164, 175.273)  (175.714, 175.754)  (175.754, 175.814)  (175.814, 175.934)  (175.934, 176.244)  (176.244, 176.454)  (176.454, 176.534)  (176.534, 176.724)  (176.724, 176.769)  (176.769, 176.814)  (176.814, 177.064)  (177.064, 177.534) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġeverything         Ġon                 Ġthe                Ġsilly              Ġthing              Ġand                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġknow              
Timings          : (177.534, 178.084)  (178.084, 178.144)  (178.144, 178.224)  (178.224, 178.594)  (178.594, 178.924)  (178.924, 179.102)  (-1.0, -1.0)        (179.792, 179.902)  (179.902, 180.012)  (180.012, 180.202)  (180.202, 180.492)  (180.492, 180.662)  (180.76, 181.032)   (181.032, 181.181)  (181.181, 181.292) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      81591493722122      0                   0                   0                   0                   0                   81588272496652      81588272496652      81588272496652     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġmaybe              Ġit                 'll                 Ġwork               Ġright              Ġthen               Ġhuh                <eot>               <emp>              
Timings          : (177.534, 178.084)  (178.084, 178.144)  (178.144, 178.224)  (178.224, 178.594)  (178.594, 178.924)  (178.924, 179.102)  (179.582, 179.792)  (179.792, 179.902)  (179.902, 180.012)  (180.012, 180.202)  (180.202, 180.492)  (180.492, 180.662)  (180.662, 180.862)  (-1.0, -1.0)        (181.181, 181.292) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81588809367563      81588809367563      81588809367563      81588809367563      81588809367563      81588809367563      81588809367563      81588809367563      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġknow               Ġthen               Ġwhen               Ġone                Ġof                 Ġthe                Ġdoors              Ġfall               Ġoff                Ġthen               Ġit                 's                  Ġtime               Ġto                 Ġget               
Timings          : (181.292, 181.362)  (181.362, 181.67)   (181.67, 182.102)   (182.102, 182.302)  (182.302, 182.372)  (182.372, 182.452)  (182.452, 182.912)  (182.912, 183.242)  (183.242, 183.492)  (183.492, 183.632)  (183.632, 183.702)  (183.702, 183.772)  (183.772, 184.002)  (184.002, 184.092)  (184.092, 184.252) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.292, 181.362)  (181.362, 181.67)   (181.67, 182.102)   (182.102, 182.302)  (182.302, 182.372)  (182.372, 182.452)  (182.452, 182.912)  (182.912, 183.242)  (183.242, 183.492)  (183.492, 183.632)  (183.632, 183.702)  (183.702, 183.772)  (183.772, 184.002)  (184.002, 184.092)  (184.092, 184.252) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġnew                Ġcar                Ġyou                Ġknow               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.252, 184.282)  (184.282, 184.482)  (184.482, 185.072)  (185.072, 185.27)   (185.27, 185.386)   (-1.0, -1.0)        (187.245, 187.405)  (187.405, 187.605)  (187.605, 187.805)  (187.805, 188.005)  (188.005, 188.105)  (188.105, 188.505)  (188.505, 188.605)  (188.605, 188.836)  (188.836, 189.045) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      81588272496652      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġgreat              <emp>               Ġyeah               Ġwell               Ġch                 rys                 ler                 Ġis                 Ġsupposed           Ġto                 Ġbe                 Ġwhen              
Timings          : (184.252, 184.282)  (184.282, 184.482)  (184.482, 185.072)  (184.942, 186.968)  (185.27, 185.386)   (186.968, 187.245)  (187.245, 187.405)  (187.405, 187.605)  (187.605, 187.805)  (187.805, 188.005)  (188.005, 188.105)  (188.105, 188.505)  (188.505, 188.605)  (188.605, 188.836)  (188.836, 189.045) 
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.045, 189.175)  (189.175, 189.26)   (189.26, 189.345)   (189.345, 189.585)  (189.585, 189.715)  (189.715, 190.395)  (190.395, 190.505)  (190.505, 190.615)  (190.615, 190.725)  (190.725, 190.835)  (190.835, 191.105)  (191.105, 191.175)  (191.175, 191.295)  (191.295, 191.465)  (191.465, 191.545) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġif                 Ġyou                're                 Ġlooking            Ġat                 Ġreliability        Ġch                 rys                 ler                 's                  Ġsupposed           Ġto                 Ġbe                 Ġone                Ġof                
Timings          : (189.045, 189.175)  (189.175, 189.26)   (189.26, 189.345)   (189.345, 189.585)  (189.585, 189.715)  (189.715, 190.395)  (190.395, 190.505)  (190.505, 190.615)  (190.615, 190.725)  (190.725, 190.835)  (190.835, 191.105)  (191.105, 191.175)  (191.175, 191.295)  (191.295, 191.465)  (191.465, 191.545) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.545, 191.615)  (191.615, 191.975)  (191.975, 192.221)  (192.221, 192.468)  (192.626, 192.925)  (192.925, 193.125)  (193.125, 193.417)  (194.516, 194.58)   (194.58, 194.64)    (194.64, 194.835)   (194.835, 195.03)   (195.03, 195.348)   (195.348, 195.533)  (195.533, 195.694)  (195.694, 195.91)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġbest               Ġameric             an                  Ġcars               Ġright              Ġnow                Ġand                Ġthe                Ġameric             an                  Ġcars               Ġthe                Ġuh                 Ġone               
Timings          : (191.545, 191.615)  (191.615, 191.975)  (191.975, 192.221)  (192.221, 192.468)  (192.626, 192.925)  (192.925, 193.125)  (193.125, 193.417)  (194.516, 194.58)   (194.58, 194.64)    (194.64, 194.835)   (194.835, 195.03)   (195.03, 195.348)   (195.348, 195.533)  (195.533, 195.694)  (195.694, 195.91)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.91, 196.25)    (196.25, 196.454)   (196.454, 196.658)  (196.658, 196.92)   (196.92, 197.08)    (197.08, 197.41)    (197.41, 197.5)     (197.5, 197.78)     (197.78, 197.98)    (197.98, 198.09)    (198.09, 198.22)    (198.22, 198.36)    (198.36, 198.82)    (198.82, 199.11)    (199.11, 199.22)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġadvantage          Ġone                Ġadvantage          Ġone                Ġbig                Ġadvantage          Ġthey               Ġstill              Ġhave               Ġis                 Ġyou                Ġcan                Ġtypically          Ġfind               Ġthem              
Timings          : (195.91, 196.25)    (196.25, 196.454)   (196.454, 196.658)  (196.658, 196.92)   (196.92, 197.08)    (197.08, 197.41)    (197.41, 197.5)     (197.5, 197.78)     (197.78, 197.98)    (197.98, 198.09)    (198.09, 198.22)    (198.22, 198.36)    (198.36, 198.82)    (198.82, 199.11)    (199.11, 199.22)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               yeah                <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (199.22, 199.37)    (199.37, 199.42)    (199.42, 199.71)    (199.71, 200.098)   (200.488, 200.818)  (-1.0, -1.0)        (202.262, 202.789)  (203.449, 203.702)  (203.702, 203.971)  (204.56, 204.733)   (204.733, 204.796)  (204.796, 204.856)  (204.856, 205.023)  (205.023, 205.303)  (205.303, 205.383) 
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   81590419980295      81590419980295      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfor                Ġa                  Ġlot                Ġless               <emp>               Ġso                 Ġanyway             Ġbut                Ġuh                 Ġsome               Ġof                 Ġthe                Ġother              Ġthings             Ġi                 
