A                : ok                  ay                  Ġuh                 Ġwe                 Ġkeep               Ġa                  Ġmonthly            Ġbudget             Ġi                  Ġjust               Ġrecently           Ġstopped            Ġworking            Ġso                 Ġi                 
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (139.051, 139.423)  (139.423, 139.785)  (139.785, 140.061)  (140.061, 140.301)  (140.301, 140.652)  (140.652, 140.742)  (140.742, 140.902)  (140.902, 141.122)  (141.122, 141.182)  (141.182, 141.602)  (142.091, 142.622)  (-1.0, -1.0)        (142.849, 143.114)  (143.114, 143.459)  (143.459, 143.744) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762755543049      81762755543049      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġwith               Ġme                 Ġstaying            Ġhome               Ġwe                 Ġhad                Ġthat               Ġbig                Ġcut                Ġbut                Ġwe                 Ġsave               Ġmore               Ġi                  Ġdon               
Timings          : (143.744, 143.894)  (143.894, 144.054)  (144.054, 144.354)  (144.354, 144.951)  (145.275, 145.404)  (145.404, 145.634)  (145.634, 145.814)  (145.814, 146.004)  (146.004, 146.577)  (146.909, 147.054)  (147.054, 147.154)  (147.154, 147.644)  (147.644, 148.064)  (148.714, 148.814)  (148.814, 148.924) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (143.744, 143.894)  (143.894, 144.054)  (144.054, 144.354)  (144.354, 144.951)  (145.275, 145.404)  (145.404, 145.634)  (145.634, 145.814)  (145.814, 146.004)  (146.004, 146.577)  (146.909, 147.054)  (147.054, 147.154)  (147.154, 147.644)  (147.644, 148.064)  (148.714, 148.814)  (148.814, 148.924) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 't                  Ġknow               Ġhow                Ġand                Ġi                  Ġdon                't                  Ġknow               Ġwhy                Ġbut                Ġwe                 Ġit                 Ġseems              Ġlike               Ġwe                
Timings          : (148.924, 149.034)  (149.034, 149.114)  (149.114, 149.667)  (149.77, 149.887)   (149.887, 150.014)  (150.014, 150.094)  (150.094, 150.174)  (150.174, 150.367)  (150.367, 150.744)  (150.744, 151.004)  (151.004, 151.168)  (151.168, 151.284)  (151.284, 151.494)  (151.494, 151.594)  (151.594, 151.734) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               <emp>               <emp>               <emp>              
Timings          : (148.924, 149.034)  (149.034, 149.114)  (149.114, 149.667)  (149.77, 149.887)   (149.887, 150.014)  (150.014, 150.094)  (150.094, 150.174)  (150.174, 150.367)  (150.367, 150.744)  (150.744, 151.004)  (151.004, 151.168)  (151.126, 151.574)  (151.284, 151.494)  (151.494, 151.594)  (151.594, 151.734) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81763829284877      81763829284877      81763829284877      81763829284877     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : Ġdo                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (151.734, 152.404)  (-1.0, -1.0)        (152.993, 153.306)  (153.306, 153.436)  (153.436, 153.946)  (153.946, 154.326)  (154.996, 155.286)  (155.286, 155.446)  (155.446, 155.696)  (155.696, 156.096)  (156.096, 156.206)  (156.206, 156.426)  (156.426, 156.516)  (156.516, 156.816)  (156.816, 156.936) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81763292413964      81763292413964      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġi                  Ġuh                 Ġi                  Ġknow               Ġthat               Ġsince              Ġi                  Ġdo                 Ġwork               Ġi                  Ġbuy                Ġa                  Ġlot                Ġof                
Timings          : (151.734, 152.404)  (152.682, 152.993)  (152.993, 153.306)  (153.306, 153.436)  (153.436, 153.946)  (153.946, 154.326)  (154.996, 155.286)  (155.286, 155.446)  (155.446, 155.696)  (155.696, 156.096)  (156.096, 156.206)  (156.206, 156.426)  (156.426, 156.516)  (156.516, 156.816)  (156.816, 156.936) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               Ġyeah               <emp>               Ġyou                Ġkind              
Timings          : (157.246, 157.976)  (158.394, 158.953)  (158.953, 159.074)  (159.074, 159.564)  (159.564, 160.055)  (160.055, 160.398)  (160.45, 161.08)    (-1.0, -1.0)        (161.624, 161.684)  (161.684, 162.194)  (162.194, 162.674)  (162.473, 163.037)  (162.826, 162.909)  (163.037, 163.197)  (163.197, 163.417) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   5                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81762218672144      81762218672144      0                   0                   0                   81764366155796      81764366155796      81764366155796      81764366155796     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġquicker            Ġcuts               Ġof                 Ġmeat               Ġand                Ġuh                 <emp>               Ġwell               Ġthe                Ġfrozen             Ġthings             Ġfor                Ġthe                Ġmicrowave          <emp>              
Timings          : (157.246, 157.976)  (158.394, 158.953)  (158.953, 159.074)  (159.074, 159.564)  (159.564, 160.055)  (160.055, 160.398)  (160.45, 161.08)    (161.404, 161.624)  (161.624, 161.684)  (161.684, 162.194)  (162.194, 162.674)  (162.674, 162.826)  (162.826, 162.909)  (162.909, 163.484)  (163.197, 163.417) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġof                 Ġtry                Ġand                Ġbuy                <emp>               Ġbigger             Ġquantities         <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (163.417, 163.477)  (163.477, 163.737)  (163.737, 163.847)  (163.847, 164.24)   (164.054, 164.214)  (164.24, 164.72)    (164.986, 165.817)  (-1.0, -1.0)        (166.304, 166.534)  (166.534, 166.764)  (166.764, 167.084)  (167.084, 167.267)  (167.267, 167.365)  (167.365, 167.51)   (167.51, 167.654)  
Token Types      : 5                   5                   5                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81764366155796      81764366155796      81764366155796      81764366155796      81764366155796      81764366155796      81764366155796      81764366155796      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġand                Ġthings             Ġlike               Ġthat               <emp>               <emp>               Ġand                Ġi                  'll                 Ġstop               Ġby                 Ġthe                Ġdel                i                  
Timings          : (163.417, 163.477)  (163.484, 163.614)  (163.614, 163.854)  (163.854, 164.054)  (164.054, 164.214)  (164.24, 164.72)    (164.986, 165.817)  (165.714, 166.304)  (166.304, 166.534)  (166.534, 166.764)  (166.764, 167.084)  (167.084, 167.267)  (167.267, 167.365)  (167.365, 167.51)   (167.51, 167.654)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (167.654, 167.764)  (167.764, 167.964)  (167.964, 168.093)  (169.156, 169.477)  (169.678, 170.046)  (170.046, 170.186)  (170.186, 170.678)  (171.773, 172.116)  (172.116, 172.256)  (172.256, 172.356)  (172.356, 172.686)  (172.686, 172.967)  (172.967, 173.451)  (173.451, 173.561)  (173.561, 173.671) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġpick               Ġup                 Ġuh                 Ġchicken            Ġor                 Ġwhatever           Ġwhere              Ġif                 Ġi                  Ġdid                Ġnot                Ġwork               Ġi                  'm                 
Timings          : (167.654, 167.764)  (167.764, 167.964)  (167.964, 168.093)  (169.156, 169.477)  (169.678, 170.046)  (170.046, 170.186)  (170.186, 170.678)  (171.773, 172.116)  (172.116, 172.256)  (172.256, 172.356)  (172.356, 172.686)  (172.686, 172.967)  (172.967, 173.451)  (173.451, 173.561)  (173.561, 173.671) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (173.671, 173.956)  (173.956, 174.156)  (174.156, 174.216)  (174.216, 174.666)  (174.666, 174.916)  (174.916, 175.316)  (175.316, 175.581)  (176.146, 176.66)   (176.66, 176.799)   (176.799, 177.106)  (177.505, 177.606)  (177.606, 177.778)  (177.778, 177.976)  (177.976, 178.436)  (178.419, 178.929) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81760071188494     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġsure               Ġthat               Ġthe                Ġgrocery            Ġbill               Ġcould              Ġbe                 Ġmanaged            Ġa                  Ġlot                Ġa                  Ġlot                Ġuh                 Ġbetter             <eot>              
Timings          : (173.671, 173.956)  (173.956, 174.156)  (174.156, 174.216)  (174.216, 174.666)  (174.666, 174.916)  (174.916, 175.316)  (175.316, 175.581)  (176.146, 176.66)   (176.66, 176.799)   (176.799, 177.106)  (177.505, 177.606)  (177.606, 177.778)  (177.778, 177.976)  (177.976, 178.436)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877      81763829284877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġthat               's                  Ġhow                Ġi                  Ġfelt               Ġtoo                Ġit                 Ġjust               Ġyou                Ġcould              Ġtake               Ġa                  Ġlittle             Ġlonger             <emp>              
Timings          : (178.929, 179.019)  (179.019, 179.109)  (179.109, 179.259)  (179.259, 179.349)  (179.349, 179.679)  (179.679, 179.919)  (179.919, 180.059)  (180.059, 180.729)  (180.729, 180.809)  (180.809, 180.989)  (180.989, 181.239)  (181.239, 181.349)  (181.349, 181.549)  (181.549, 182.258)  (182.824, 183.124) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (178.929, 179.019)  (179.019, 179.109)  (179.109, 179.259)  (179.259, 179.349)  (179.349, 179.679)  (179.679, 179.919)  (179.919, 180.059)  (180.059, 180.729)  (180.729, 180.809)  (180.809, 180.989)  (180.989, 181.239)  (181.239, 181.349)  (181.349, 181.549)  (181.549, 182.258)  (182.824, 183.124) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762755543051     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġand                Ġjust               Ġwatch              Ġa                  Ġlittle             Ġbit                Ġmore               Ġi                  Ġguess              Ġi                  Ġguess              Ġthat               's                  Ġkind               Ġof                
Timings          : (183.069, 183.299)  (183.299, 183.519)  (183.519, 183.709)  (183.709, 183.749)  (183.749, 183.929)  (183.929, 184.139)  (184.139, 184.289)  (184.289, 184.459)  (184.459, 184.844)  (185.313, 185.403)  (185.403, 185.593)  (185.593, 185.678)  (185.678, 185.763)  (185.763, 185.933)  (185.933, 185.993) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                <emp>               Ġyou                <eint>              <emp>               <emp>              
Timings          : (-1.0, -1.0)        (183.299, 183.519)  (183.519, 183.709)  (183.709, 183.749)  (183.749, 183.929)  (183.929, 184.139)  (184.139, 184.289)  (184.289, 184.459)  (184.459, 184.844)  (185.181, 185.565)  (185.403, 185.593)  (185.565, 185.835)  (-1.0, -1.0)        (185.763, 185.933)  (185.933, 185.993) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   0                   0                  
turn_ids         : 81762755543051      0                   0                   0                   0                   0                   0                   0                   0                   81764903026700      81764903026700      81764903026700      81764903026700      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                  


A                : Ġlike               Ġthe                Ġway                Ġwe                 Ġdo                 Ġwe                 Ġi                  Ġi                  Ġdon                't                  Ġi                  Ġdon                't                  Ġknow               Ġhow               
Timings          : (185.993, 186.163)  (186.163, 186.223)  (186.223, 186.283)  (186.283, 186.393)  (186.393, 186.623)  (186.623, 186.793)  (186.793, 186.993)  (186.993, 187.133)  (187.133, 187.289)  (187.289, 187.444)  (187.444, 187.593)  (187.593, 187.673)  (187.673, 187.753)  (187.753, 187.843)  (187.843, 188.133) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.993, 186.163)  (186.163, 186.223)  (186.223, 186.283)  (186.283, 186.393)  (186.393, 186.623)  (186.623, 186.793)  (186.793, 186.993)  (186.993, 187.133)  (187.133, 187.289)  (187.289, 187.444)  (187.444, 187.593)  (187.593, 187.673)  (187.673, 187.753)  (187.753, 187.843)  (187.843, 188.133) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġcomes              Ġit                 Ġjust               Ġseems              Ġlike               Ġwe                 Ġsave               Ġa                  Ġlittle             Ġbit                Ġmore               Ġwhereas            Ġwhere              Ġi                 
Timings          : (188.133, 188.223)  (188.223, 188.463)  (188.463, 188.543)  (188.543, 188.703)  (188.703, 188.893)  (188.893, 189.033)  (189.033, 189.103)  (189.103, 189.423)  (189.423, 189.507)  (189.507, 189.718)  (189.718, 189.903)  (189.903, 190.163)  (190.163, 190.579)  (191.099, 191.213)  (191.213, 191.347) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494      81760071188494     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                 
Timings          : (188.133, 188.223)  (188.223, 188.463)  (188.463, 188.543)  (188.543, 188.703)  (188.703, 188.893)  (188.893, 189.033)  (189.033, 189.103)  (189.103, 189.423)  (189.423, 189.507)  (189.507, 189.718)  (189.718, 189.903)  (189.903, 190.163)  (190.163, 190.579)  (191.095, 191.225)  (191.225, 191.295) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81763829284879      81763829284879     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               Ġwas                Ġworking            <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.295, 191.365)  (191.347, 191.493)  (191.493, 192.15)   (-1.0, -1.0)        (192.157, 192.463)  (192.689, 192.855)  (192.855, 193.125)  (193.125, 193.488)  (193.853, 194.015)  (194.015, 194.085)  (194.085, 194.225)  (194.225, 194.365)  (194.365, 194.495)  (194.495, 194.605)  (194.605, 194.805) 
