A                : do                  Ġyou                Ġhave               Ġany                Ġthoughts           Ġon                 Ġcompany            Ġbenefits           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (139.083, 139.223)  (139.223, 139.373)  (139.373, 139.463)  (139.463, 139.553)  (139.553, 139.693)  (139.693, 139.823)  (139.823, 139.953)  (139.953, 140.073)  (140.073, 140.193)  (140.193, 140.333)  (140.333, 140.593)  (140.593, 140.813)  (140.813, 141.003)  (141.003, 141.063)  (141.063, 141.493) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġi                  Ġhave               Ġmy                 Ġown                Ġbeef              
Timings          : (141.493, 141.903)  (141.903, 142.023)  (142.023, 142.093)  (142.093, 142.263)  (142.263, 142.743)  (142.743, 142.963)  (142.963, 143.223)  (143.223, 143.67)   (144.277, 144.475)  (144.475, 144.642)  (144.642, 144.772)  (144.772, 144.922)  (144.922, 145.072)  (145.072, 145.337)  (145.337, 145.602) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġbenefit            Ġif                 Ġyou                Ġcan                Ġpossible           Ġget                Ġgroup              Ġrates              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (141.493, 141.903)  (141.903, 142.023)  (142.023, 142.093)  (142.093, 142.263)  (142.263, 142.743)  (142.743, 142.963)  (142.963, 143.223)  (143.223, 143.67)   (-1.0, -1.0)        (144.475, 144.642)  (144.642, 144.772)  (144.772, 144.922)  (144.922, 145.072)  (145.072, 145.337)  (145.337, 145.602) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      82653961256985      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġabout              Ġhealth             Ġinsurance          Ġi                  Ġuh                 Ġi                  'm                  Ġnot                Ġa                  Ġspring             Ġchicken            Ġmyself             Ġquite              Ġfrankly            Ġum                
Timings          : (145.602, 145.925)  (145.925, 146.202)  (146.202, 146.805)  (146.805, 147.335)  (147.335, 147.718)  (148.248, 148.288)  (148.288, 148.327)  (148.327, 148.477)  (148.477, 148.517)  (148.517, 148.787)  (148.787, 149.087)  (149.087, 149.988)  (149.988, 150.247)  (150.247, 150.704)  (151.197, 151.606) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (145.602, 145.925)  (145.925, 146.202)  (146.202, 146.805)  (146.805, 147.335)  (147.335, 147.718)  (148.248, 148.288)  (148.288, 148.327)  (148.327, 148.477)  (148.477, 148.517)  (148.517, 148.787)  (148.787, 149.087)  (149.087, 149.988)  (149.988, 150.247)  (150.247, 150.704)  (151.197, 151.606) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġraised             Ġa                  Ġfamily             Ġand                Ġnow                Ġi                  'd                  Ġlike               Ġto                 Ġget                Ġback               Ġinto               Ġmy                 Ġfield             
Timings          : (151.776, 152.027)  (152.027, 152.347)  (152.347, 152.401)  (152.401, 153.183)  (153.183, 153.974)  (154.39, 154.673)   (154.673, 154.763)  (154.763, 154.853)  (154.853, 155.043)  (155.043, 155.153)  (155.153, 155.333)  (155.333, 155.573)  (155.573, 155.773)  (155.773, 155.903)  (155.903, 156.283) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (151.776, 152.027)  (152.027, 152.347)  (152.347, 152.401)  (152.401, 153.183)  (153.183, 153.974)  (154.39, 154.673)   (154.673, 154.763)  (154.763, 154.853)  (154.853, 155.043)  (155.043, 155.153)  (155.153, 155.333)  (155.333, 155.573)  (155.573, 155.773)  (155.773, 155.903)  (155.903, 156.283) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhich              Ġis                 Ġteaching           Ġand                Ġit                 's                  Ġat                 Ġa                  Ġtime               Ġwhere              Ġschool             Ġbudgets            Ġare                Ġso                 Ġfar               
Timings          : (156.283, 156.443)  (156.443, 156.563)  (156.563, 157.289)  (157.289, 157.623)  (157.623, 157.698)  (157.698, 157.773)  (157.773, 158.023)  (158.023, 158.063)  (158.063, 158.493)  (158.493, 158.798)  (159.088, 159.383)  (159.383, 159.763)  (159.763, 159.833)  (159.833, 160.013)  (160.013, 160.273) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (156.283, 156.443)  (156.443, 156.563)  (156.563, 157.289)  (157.289, 157.623)  (157.623, 157.698)  (157.698, 157.773)  (157.773, 158.023)  (158.023, 158.063)  (158.063, 158.493)  (158.493, 158.798)  (159.088, 159.383)  (159.383, 159.763)  (159.763, 159.833)  (159.833, 160.013)  (160.013, 160.273) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdown               Ġthat               Ġthey               're                 Ġfiring             Ġexperienced        Ġpeople             Ġand                Ġalso               Ġyou                Ġknow               Ġi                  'm                  Ġi                  'm                 
Timings          : (160.273, 160.894)  (160.894, 161.408)  (161.815, 161.864)  (161.864, 161.913)  (161.913, 162.383)  (162.383, 163.013)  (163.013, 163.434)  (164.308, 165.009)  (165.774, 166.237)  (166.237, 166.357)  (166.357, 166.547)  (166.547, 166.682)  (166.682, 166.817)  (166.817, 166.897)  (166.897, 166.977) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.273, 160.894)  (160.894, 161.408)  (161.815, 161.864)  (161.864, 161.913)  (161.913, 162.383)  (162.383, 163.013)  (163.013, 163.434)  (164.308, 165.009)  (165.774, 166.237)  (166.237, 166.357)  (166.357, 166.547)  (166.547, 166.682)  (166.682, 166.817)  (166.817, 166.897)  (166.897, 166.977) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġart                Ġteacher            Ġwhich              Ġis                 Ġa                  Ġvery               Ġsmall              Ġfield              Ġout                Ġof                 Ġa                  Ġwhole              Ġschool             Ġthere             
Timings          : (166.977, 167.067)  (167.067, 167.247)  (167.247, 167.597)  (167.597, 167.857)  (167.857, 168.017)  (168.017, 168.077)  (168.077, 168.307)  (168.307, 168.707)  (168.707, 169.292)  (169.292, 169.397)  (169.397, 169.487)  (169.487, 169.567)  (169.567, 169.747)  (169.747, 170.077)  (170.077, 170.182) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyes                <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (166.977, 167.067)  (167.067, 167.247)  (167.247, 167.597)  (167.597, 167.857)  (167.857, 168.017)  (168.017, 168.077)  (168.077, 168.307)  (168.307, 168.707)  (168.933, 169.157)  (169.157, 169.52)   (-1.0, -1.0)        (169.487, 169.567)  (169.567, 169.747)  (169.747, 170.077)  (170.077, 170.182) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82658256224271      82658256224271      82658256224271      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                  


A                : 's                  Ġtwo                Ġor                 Ġthree              <emp>               <emp>               <emp>               Ġand                Ġyou                Ġknow               Ġthere              Ġare                Ġtwo                Ġhundred            Ġa                 
Timings          : (170.182, 170.287)  (170.287, 170.437)  (170.437, 170.628)  (170.628, 171.054)  (171.065, 171.167)  (171.167, 171.268)  (171.268, 171.37)   (171.689, 172.027)  (172.027, 172.177)  (172.177, 172.337)  (172.337, 172.617)  (172.617, 172.904)  (173.068, 173.207)  (173.207, 173.507)  (173.507, 173.599) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (170.182, 170.287)  (170.287, 170.437)  (170.437, 170.628)  (170.628, 171.054)  (171.065, 171.167)  (171.167, 171.268)  (171.268, 171.37)   (-1.0, -1.0)        (172.027, 172.177)  (172.177, 172.337)  (172.337, 172.617)  (172.617, 172.904)  (173.068, 173.207)  (173.207, 173.507)  (173.507, 173.599) 
Token Types      : 0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82656108740621      82656108740621      82656108740621      82656108740621      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : pl                  ipl                 ations              /                   app                 lic                 ations              Ġfor                Ġone                Ġone                Ġjob                <emp>               <emp>               Ġuh                 Ġyou               
Timings          : (173.599, 173.692)  (173.692, 173.784)  (173.784, 173.877)  (173.877, 173.969)  (173.969, 174.062)  (174.062, 174.154)  (174.154, 174.247)  (174.247, 174.357)  (174.357, 174.674)  (174.833, 175.007)  (175.007, 175.543)  (175.514, 175.601)  (175.601, 175.687)  (176.025, 176.532)  (176.532, 176.717) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġy                  ep                  <eint>              <emp>              
Timings          : (173.599, 173.692)  (173.692, 173.784)  (173.784, 173.877)  (173.877, 173.969)  (173.969, 174.062)  (174.062, 174.154)  (174.154, 174.247)  (174.247, 174.357)  (174.357, 174.674)  (174.833, 175.007)  (175.007, 175.543)  (175.514, 175.601)  (175.601, 175.687)  (-1.0, -1.0)        (176.532, 176.717) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82658256224273      82658256224273      82658256224273      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                  


A                : Ġsend               Ġin                 Ġa                  Ġresume             Ġand                Ġthey               Ġthey               Ġdon                't                  Ġeven               Ġwrite              Ġa                  Ġletter             Ġto                 Ġyou               
Timings          : (176.717, 176.997)  (176.997, 177.077)  (177.077, 177.147)  (177.147, 177.707)  (177.707, 177.957)  (177.957, 178.137)  (178.137, 178.314)  (178.314, 178.38)   (178.38, 178.447)   (178.447, 178.647)  (178.647, 178.797)  (178.797, 178.887)  (178.887, 179.177)  (179.177, 179.347)  (179.347, 179.497) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.717, 176.997)  (176.997, 177.077)  (177.077, 177.147)  (177.147, 177.707)  (177.707, 177.957)  (177.957, 178.137)  (178.137, 178.314)  (178.314, 178.38)   (178.38, 178.447)   (178.447, 178.647)  (178.647, 178.797)  (178.797, 178.887)  (178.887, 179.177)  (179.177, 179.347)  (179.347, 179.497) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġsay                Ġno                 Ġthanks             Ġwhich              <yield>             <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġsuppose            Ġand                Ġum                
Timings          : (179.497, 179.617)  (179.617, 179.787)  (179.787, 179.957)  (179.957, 180.537)  (180.537, 180.893)  (-1.0, -1.0)        (180.979, 181.064)  (181.064, 181.148)  (181.148, 181.289)  (181.289, 181.652)  (182.056, 182.187)  (182.187, 182.323)  (182.323, 182.933)  (183.261, 184.195)  (184.552, 184.821) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      82653424386074      0                   0                   0                   0                   82653424386076      82653424386076      82653424386076      82653424386076      82653424386076     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġthey               Ġthey               Ġdon                't                  Ġhave               Ġtime               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (179.497, 179.617)  (179.617, 179.787)  (179.787, 179.957)  (179.957, 180.537)  (180.677, 180.854)  (180.854, 180.979)  (180.979, 181.064)  (181.064, 181.148)  (181.148, 181.289)  (181.289, 181.652)  (-1.0, -1.0)        (182.187, 182.323)  (182.323, 182.933)  (183.261, 184.195)  (184.552, 184.821) 
Token Types      : 0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82657182482459      82657182482459      82657182482459      82657182482459      82657182482459      82657182482459      82657182482459      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġi                  Ġdo                 Ġsubstitute         Ġteach              Ġand                Ġmy                 Ġbiggest            Ġcomplaint          Ġis                 Ġschools            Ġget                Ġa                  Ġdiscount           Ġinsurance          Ġschool            
Timings          : (184.821, 184.928)  (184.928, 185.118)  (185.118, 185.878)  (185.878, 186.32)   (186.32, 186.718)   (186.718, 186.888)  (186.888, 187.278)  (187.278, 187.768)  (187.768, 188.087)  (188.46, 188.979)   (188.979, 189.173)  (189.173, 189.328)  (189.328, 189.888)  (189.888, 190.7)    (190.7, 190.968)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.821, 184.928)  (184.928, 185.118)  (185.118, 185.878)  (185.878, 186.32)   (186.32, 186.718)   (186.718, 186.888)  (186.888, 187.278)  (187.278, 187.768)  (187.768, 188.087)  (188.46, 188.979)   (188.979, 189.173)  (189.173, 189.328)  (189.328, 189.888)  (189.888, 190.7)    (190.7, 190.968)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdistricts          Ġbecause            Ġthey               Ġhave               Ġso                 Ġmany               Ġpeople             Ġwhy                Ġcan                't                  Ġthey               Ġallow              Ġtheir              Ġsubstitutes        Ġto                
Timings          : (190.968, 191.548)  (191.548, 191.908)  (191.908, 192.058)  (192.058, 192.291)  (192.291, 192.548)  (192.548, 192.778)  (192.778, 193.325)  (194.099, 194.344)  (194.344, 194.564)  (194.564, 194.784)  (194.784, 194.994)  (194.994, 195.414)  (195.414, 195.554)  (195.554, 196.566)  (197.171, 197.314) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076      82653424386076     
