A                : um                  Ġin                 Ġtex                as                  Ġthey               Ġdo                 Ġhave               Ġthe                Ġum                 Ġcapital            Ġpunishment         Ġand                Ġum                 Ġi                  Ġi                 
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwas                Ġpregnant           Ġwith               Ġhim                Ġand                Ġso                 Ġhe                 Ġhe                 Ġwasn               't                  Ġyou                Ġknow               Ġmentally           Ġcompetent          Ġor                
Timings          : (140.685, 140.815)  (140.815, 141.215)  (141.215, 141.345)  (141.345, 141.798)  (142.405, 142.488)  (142.488, 142.715)  (142.715, 142.995)  (142.995, 143.135)  (143.135, 143.429)  (143.429, 143.723)  (143.904, 143.995)  (143.995, 144.095)  (144.095, 144.445)  (144.445, 144.995)  (144.995, 145.085) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (145.085, 145.375)  (145.375, 145.725)  (145.853, 146.332)  (-1.0, -1.0)        (147.336, 147.446)  (147.446, 148.106)  (148.106, 148.506)  (148.506, 148.676)  (148.676, 148.736)  (148.736, 149.016)  (149.016, 149.196)  (149.196, 149.316)  (149.316, 149.916)  (150.394, 150.766)  (150.766, 150.876) 
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83428665982985      83428665982985      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġanything           Ġelse               <emp>               Ġwhich              Ġis                 Ġridiculous         Ġand                Ġand                Ġthe                Ġcourt              Ġfound              Ġhim                Ġcompetent          Ġum                 Ġand               
Timings          : (145.085, 145.375)  (145.375, 145.725)  (145.853, 146.332)  (147.145, 147.336)  (147.336, 147.446)  (147.446, 148.106)  (148.106, 148.506)  (148.506, 148.676)  (148.676, 148.736)  (148.736, 149.016)  (149.016, 149.196)  (149.196, 149.316)  (149.316, 149.916)  (150.394, 150.766)  (150.766, 150.876) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
Timings          : (150.876, 150.946)  (150.946, 151.086)  (151.086, 151.196)  (151.196, 151.286)  (151.286, 151.406)  (151.406, 151.736)  (151.736, 151.826)  (151.826, 152.056)  (152.056, 152.346)  (152.346, 152.42)   (152.42, 152.634)   (153.132, 153.522)  (-1.0, -1.0)        (153.731, 153.856)  (153.856, 154.046) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83428665982986      83428665982986      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : Ġhe                 Ġknew               Ġwhat               Ġhe                 Ġwas                Ġdoing              Ġand                Ġeverything         Ġelse               Ġi                  Ġmean               Ġyou                Ġknow               Ġit                 Ġwas               
Timings          : (150.876, 150.946)  (150.946, 151.086)  (151.086, 151.196)  (151.196, 151.286)  (151.286, 151.406)  (151.406, 151.736)  (151.736, 151.826)  (151.826, 152.056)  (152.056, 152.346)  (152.346, 152.42)   (152.42, 152.634)   (153.417, 153.514)  (153.514, 153.731)  (153.731, 153.856)  (153.856, 154.046) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġand                Ġhow                Ġlong               Ġhad                Ġhe                
Timings          : (154.046, 154.156)  (154.156, 154.256)  (154.256, 154.326)  (154.326, 154.536)  (154.536, 154.886)  (154.886, 154.956)  (154.956, 155.143)  (155.143, 155.296)  (155.296, 155.416)  (155.416, 155.755)  (155.983, 156.111)  (156.111, 156.281)  (156.281, 156.641)  (156.641, 156.792)  (156.792, 156.971) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83426518499334      83426518499334      83426518499334      83426518499334      83426518499334     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġit                 Ġwas                Ġthe                Ġbest               Ġdefense            Ġthey               Ġcould              Ġcome               Ġup                 Ġwith               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (154.046, 154.156)  (154.156, 154.256)  (154.256, 154.326)  (154.326, 154.536)  (154.536, 154.886)  (154.886, 154.956)  (154.956, 155.143)  (155.143, 155.296)  (155.296, 155.416)  (155.416, 155.755)  (-1.0, -1.0)        (156.111, 156.281)  (156.281, 156.641)  (156.641, 156.792)  (156.792, 156.971) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      83427055370245      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġbeen               Ġappealing          Ġappealing          Ġhow                Ġlong               Ġwas                Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (156.971, 157.339)  (157.753, 158.0)    (158.177, 158.982)  (158.982, 159.122)  (159.122, 159.471)  (159.471, 159.787)  (159.787, 159.984)  (-1.0, -1.0)        (160.193, 160.613)  (160.613, 160.693)  (160.693, 160.933)  (160.933, 160.993)  (160.993, 161.093)  (161.093, 161.303)  (161.303, 161.423) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83426518499334      83426518499334      83426518499334      83426518499334      83426518499334      83426518499334      83426518499334      83426518499334      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġforget             Ġi                  Ġthink              Ġit                 Ġwas                Ġsomething          Ġlike              
Timings          : (156.971, 157.339)  (157.753, 158.0)    (158.177, 158.982)  (158.982, 159.122)  (159.122, 159.471)  (159.471, 159.787)  (159.787, 159.984)  (159.908, 160.193)  (160.193, 160.613)  (160.613, 160.693)  (160.693, 160.933)  (160.933, 160.993)  (160.993, 161.093)  (161.093, 161.303)  (161.303, 161.423) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83427055370247      83427055370247      83427055370247      83427055370247      83427055370247      83427055370247      83427055370247      83427055370247     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġg                  <emp>               osh                 Ġboy                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġboy               
Timings          : (161.423, 161.751)  (161.751, 162.113)  (162.098, 162.458)  (162.203, 162.636)  (162.458, 162.818)  (163.972, 164.351)  (-1.0, -1.0)        (164.696, 164.896)  (164.896, 164.986)  (164.986, 165.106)  (165.106, 165.446)  (165.446, 165.696)  (165.696, 166.363)  (166.733, 167.219)  (168.474, 168.803) 
Token Types      : 0                   0                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   83429739724808      83429739724808      83429739724808      83429739724808      83429739724808      0                   0                   0                   0                   0                   0                   83426518499338      83426518499338     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġtwelve             Ġyears              Ġor                 Ġsomething          <yield>             <emp>               Ġit                 Ġwas                Ġit                 Ġwas                Ġsomething          Ġreally             Ġoutrageous         <eot>               <emp>              
Timings          : (161.423, 161.751)  (161.751, 162.113)  (162.113, 162.203)  (162.203, 162.636)  (-1.0, -1.0)        (163.972, 164.351)  (164.61, 164.696)   (164.696, 164.896)  (164.896, 164.986)  (164.986, 165.106)  (165.106, 165.446)  (165.446, 165.696)  (165.696, 166.363)  (-1.0, -1.0)        (168.474, 168.803) 
Token Types      : 1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 83427055370247      83427055370247      83427055370247      83427055370247      83427055370247      0                   83427055370249      83427055370249      83427055370249      83427055370249      83427055370249      83427055370249      83427055370249      83427055370249      0                  
turn_end_types   : 2                   2                   2                   2                   2                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġwell               Ġi                  Ġmean               Ġand                Ġit                 Ġseems              Ġlike               Ġit                 Ġit                 Ġrarely             Ġdoes               Ġhappen             Ġyou                Ġknow               Ġit                
Timings          : (170.721, 170.931)  (170.931, 170.981)  (170.981, 171.171)  (171.171, 171.311)  (171.311, 171.451)  (171.451, 171.641)  (171.641, 171.821)  (171.821, 172.001)  (172.001, 172.231)  (172.231, 172.561)  (172.561, 172.876)  (172.876, 173.339)  (173.84, 173.924)   (173.924, 174.041)  (174.041, 174.151) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (170.721, 170.931)  (170.931, 170.981)  (170.981, 171.171)  (171.171, 171.311)  (171.311, 171.451)  (171.451, 171.641)  (171.641, 171.821)  (171.821, 172.001)  (172.001, 172.231)  (172.231, 172.561)  (172.561, 172.876)  (172.876, 173.339)  (173.84, 173.924)   (173.924, 174.041)  (174.041, 174.151) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġnot                Ġit                 's                  Ġnot                Ġused               Ġthat               Ġoften              <emp>               Ġyou                Ġknow               Ġat                 Ġleast              Ġhere               Ġin                
Timings          : (174.151, 174.261)  (174.261, 174.485)  (175.156, 175.273)  (175.273, 175.391)  (175.391, 175.641)  (175.641, 175.981)  (175.981, 176.171)  (176.171, 176.713)  (176.949, 177.165)  (177.289, 177.385)  (177.385, 177.643)  (178.324, 178.376)  (178.376, 178.521)  (178.521, 178.691)  (178.691, 178.781) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.151, 174.261)  (174.261, 174.485)  (175.156, 175.273)  (175.273, 175.391)  (175.391, 175.641)  (175.641, 175.981)  (175.981, 176.171)  (176.171, 176.713)  (176.949, 177.165)  (-1.0, -1.0)        (177.385, 177.643)  (178.324, 178.376)  (178.376, 178.521)  (178.521, 178.691)  (178.691, 178.781) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83429202853894      83429202853894      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġtex                as                  Ġbut                Ġi                  Ġthink              Ġit                 's                  Ġsomething          Ġthat               Ġneeds              Ġto                 Ġstay               Ġi                  Ġreally             Ġdo                
Timings          : (178.781, 179.108)  (179.108, 179.435)  (179.435, 179.667)  (180.929, 181.03)   (181.03, 181.201)   (181.201, 181.271)  (181.271, 181.341)  (181.341, 181.601)  (181.601, 181.721)  (181.721, 181.951)  (181.951, 182.171)  (182.171, 182.721)  (183.356, 183.443)  (183.443, 183.658)  (183.658, 184.002) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338      83426518499338     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.781, 179.108)  (179.108, 179.435)  (179.435, 179.667)  (180.929, 181.03)   (181.03, 181.201)   (181.201, 181.271)  (181.271, 181.341)  (181.341, 181.601)  (181.601, 181.721)  (181.721, 181.951)  (181.951, 182.171)  (182.171, 182.721)  (183.356, 183.443)  (183.443, 183.658)  (183.658, 184.002) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (184.831, 185.011)  (185.011, 185.131)  (185.131, 185.707)  (185.707, 186.219)  (187.68, 188.324)   (188.324, 188.51)   (188.51, 188.57)    (188.57, 189.0)     (189.0, 189.613)    (189.613, 190.127)  (190.127, 190.249)  (190.249, 190.49)   (190.49, 190.95)    (190.95, 191.08)   
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83426518499338      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġthink              Ġin                 Ġgeneral            Ġuh                 Ġpunishment         Ġin                 Ġthe                Ġunited             Ġstates             Ġis                 Ġa                  Ġlot                Ġweaker             Ġthan              
Timings          : (184.759, 184.831)  (184.831, 185.011)  (185.011, 185.131)  (185.131, 185.707)  (185.707, 186.219)  (187.68, 188.324)   (188.324, 188.51)   (188.51, 188.57)    (188.57, 189.0)     (189.0, 189.613)    (189.613, 190.127)  (190.127, 190.249)  (190.249, 190.49)   (190.49, 190.95)    (190.95, 191.08)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.08, 191.16)    (191.16, 191.41)    (191.41, 191.719)   (191.719, 191.83)   (191.83, 192.05)    (192.05, 192.23)    (192.23, 192.5)     (192.5, 192.7)      (192.7, 193.05)     (193.777, 193.86)   (193.86, 193.92)    (193.92, 193.98)    (193.98, 194.04)    (194.04, 194.23)    (194.23, 194.33)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġshould             Ġbe                 Ġi                  Ġmean               Ġit                 Ġneeds              Ġto                 Ġbe                 Ġyou                Ġknow               Ġit                 's                  Ġkind               Ġof                
Timings          : (191.08, 191.16)    (191.16, 191.41)    (191.41, 191.719)   (191.719, 191.83)   (191.83, 192.05)    (192.05, 192.23)    (192.23, 192.5)     (192.5, 192.7)      (192.7, 193.05)     (193.777, 193.86)   (193.86, 193.92)    (193.92, 193.98)    (193.98, 194.04)    (194.04, 194.23)    (194.23, 194.33)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (194.33, 194.853)   (195.944, 196.158)  (196.158, 196.398)  (196.398, 196.488)  (196.488, 196.848)  (196.848, 197.128)  (197.128, 197.198)  (197.198, 197.258)  (197.258, 197.538)  (197.538, 197.838)  (197.838, 197.938)  (197.938, 198.168)  (198.168, 198.308)  (198.308, 198.581)  (199.089, 199.138) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġthe                Ġthe                Ġthe                Ġjustice            Ġsystem             Ġin                 Ġthe                Ġunited             Ġstates             Ġis                 Ġkind               Ġof                 Ġlike               Ġthe               
Timings          : (194.33, 194.853)   (195.944, 196.158)  (196.158, 196.398)  (196.398, 196.488)  (196.488, 196.848)  (196.848, 197.128)  (197.128, 197.198)  (197.198, 197.258)  (197.258, 197.538)  (197.538, 197.838)  (197.838, 197.938)  (197.938, 198.168)  (198.168, 198.308)  (198.308, 198.581)  (199.089, 199.138) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251      83427055370251     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (199.138, 199.67)   (200.137, 200.267)  (200.267, 200.398)  (200.398, 200.488)  (200.488, 200.569)  (200.569, 201.024)  (201.612, 201.858)  (201.858, 201.978)  (201.978, 202.208)  (202.208, 202.408)  (202.408, 202.738)  (202.738, 202.848)  (202.848, 202.968)  (202.968, 203.048)  (203.048, 203.188) 
