A                : any                 way                 Ġi                  Ġguess              Ġthere              Ġwas                Ġjust               Ġsomebody           Ġrecently           Ġdown               Ġthere              Ġwasn               't                  Ġtoday              Ġin                
Token Types      : 0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82434917924877      82434917924877      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġinvolved           Ġwas                Ġuh                 Ġwas                Ġwas                Ġuh                 Ġput                Ġto                 Ġdeath              Ġoh                 Ġabout              Ġtwo                Ġyears              Ġago                Ġand               
Timings          : (152.433, 152.883)  (152.883, 153.113)  (153.113, 153.533)  (153.533, 153.934)  (154.225, 154.648)  (154.648, 155.053)  (155.053, 155.323)  (155.323, 155.413)  (155.413, 155.805)  (155.805, 156.103)  (156.103, 156.383)  (156.383, 156.523)  (156.523, 156.833)  (156.833, 157.284)  (157.932, 158.053) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (152.433, 152.883)  (152.883, 153.113)  (153.113, 153.533)  (153.533, 153.934)  (154.225, 154.648)  (154.648, 155.053)  (155.053, 155.323)  (155.323, 155.413)  (155.413, 155.805)  (155.805, 156.103)  (156.103, 156.383)  (156.383, 156.523)  (156.523, 156.833)  (156.833, 157.284)  (157.932, 158.053) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġlike               Ġi                  Ġsaid               Ġif                 Ġit                 Ġtook               Ġabout              Ġthirteen           Ġyears              Ġfor                Ġit                 Ġto                 Ġhappen             Ġand               
Timings          : (158.053, 158.353)  (158.353, 158.493)  (158.493, 158.523)  (158.523, 158.663)  (158.663, 159.053)  (159.053, 159.163)  (159.163, 159.313)  (159.313, 159.583)  (159.583, 159.933)  (159.933, 160.113)  (160.113, 160.313)  (160.313, 160.373)  (160.373, 160.433)  (160.433, 160.743)  (160.743, 160.833) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (158.053, 158.353)  (158.353, 158.493)  (158.493, 158.523)  (158.523, 158.663)  (158.663, 159.053)  (159.053, 159.163)  (159.163, 159.313)  (159.313, 159.583)  (159.583, 159.933)  (159.933, 160.113)  (160.113, 160.313)  (160.313, 160.373)  (160.373, 160.433)  (160.433, 160.743)  (160.743, 160.833) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġother              Ġguy                Ġis                 Ġstill              Ġsitting            Ġon                 Ġdeath              Ġrow                Ġyou                Ġknow               Ġfourteen           Ġfifteen            Ġyears              Ġlater             
Timings          : (160.833, 160.913)  (160.913, 161.053)  (161.053, 161.153)  (161.153, 161.253)  (161.253, 161.483)  (161.483, 161.743)  (161.743, 161.843)  (161.843, 162.113)  (162.113, 162.462)  (162.462, 162.593)  (162.593, 162.663)  (162.663, 163.113)  (163.113, 163.473)  (163.473, 163.693)  (163.693, 164.201) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.833, 160.913)  (160.913, 161.053)  (161.053, 161.153)  (161.153, 161.253)  (161.253, 161.483)  (161.483, 161.743)  (161.743, 161.843)  (161.843, 162.113)  (162.113, 162.462)  (162.462, 162.593)  (162.593, 162.663)  (162.663, 163.113)  (163.113, 163.473)  (163.473, 163.693)  (163.693, 164.201) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               Ġand                Ġthat               's                  Ġwhy                Ġyou                Ġknow               Ġlike               Ġi                  Ġsay                Ġa                  Ġpart               Ġof                 Ġmy                 Ġthing             
Timings          : (164.324, 164.656)  (164.84, 164.97)    (164.97, 165.08)    (165.08, 165.19)    (165.19, 165.38)    (165.38, 165.54)    (165.54, 165.64)    (165.64, 165.79)    (165.79, 165.84)    (165.84, 166.03)    (166.03, 166.15)    (166.15, 166.64)    (166.64, 166.7)     (166.7, 166.8)      (166.8, 167.06)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.324, 164.656)  (-1.0, -1.0)        (164.97, 165.08)    (165.08, 165.19)    (165.19, 165.38)    (165.38, 165.54)    (165.54, 165.64)    (165.64, 165.79)    (165.79, 165.84)    (165.84, 166.03)    (166.03, 166.15)    (166.15, 166.64)    (166.64, 166.7)     (166.7, 166.8)      (166.8, 167.06)    
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82432770441226      82432770441226      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwith               Ġthe                Ġwhole              Ġappeal             Ġprocess            Ġkind               Ġof                 Ġbugs               Ġme                 Ġbecause            Ġhere               Ġthey               Ġhave               Ġsat                Ġfor               
Timings          : (167.06, 167.282)   (167.572, 167.66)   (167.66, 167.86)    (167.86, 168.11)    (168.11, 168.54)    (168.54, 168.72)    (168.72, 168.79)    (168.79, 168.99)    (168.99, 169.09)    (169.09, 169.28)    (169.28, 169.41)    (169.41, 169.56)    (169.56, 169.74)    (169.74, 170.05)    (170.05, 170.288)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (167.06, 167.282)   (167.572, 167.66)   (167.66, 167.86)    (167.86, 168.11)    (168.11, 168.54)    (168.54, 168.72)    (168.72, 168.79)    (168.79, 168.99)    (168.99, 169.09)    (169.09, 169.28)    (169.28, 169.41)    (169.41, 169.56)    (169.56, 169.74)    (169.74, 170.05)    (170.05, 170.288)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġfifteen            Ġyears              Ġand                Ġi                  Ġi                  Ġwonder             Ġabout              Ġthe                Ġfamilies           Ġof                 Ġthe                Ġpeople             Ġwho               
Timings          : (170.721, 170.81)   (170.81, 170.91)    (170.91, 171.39)    (171.39, 171.7)     (171.7, 171.81)     (171.81, 171.85)    (171.85, 172.04)    (172.04, 172.27)    (172.27, 172.49)    (172.49, 172.55)    (172.55, 173.02)    (173.02, 173.08)    (173.08, 173.14)    (173.14, 173.532)   (173.532, 173.792) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (170.721, 170.81)   (170.81, 170.91)    (170.91, 171.39)    (171.39, 171.7)     (171.7, 171.81)     (171.81, 171.85)    (171.85, 172.04)    (172.04, 172.27)    (172.27, 172.49)    (172.49, 172.55)    (172.55, 173.02)    (173.02, 173.08)    (173.08, 173.14)    (173.14, 173.532)   (173.532, 173.792) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġare                Ġthe                Ġvictims            Ġyou                Ġknow               Ġand                Ġthey               've                 Ġgot                Ġto                 Ġbe                 Ġa                  Ġlittle             Ġbit                Ġupset             
Timings          : (174.18, 174.28)    (174.28, 174.34)    (174.34, 174.8)     (174.8, 174.88)     (174.88, 175.02)    (175.02, 175.11)    (175.11, 175.175)   (175.175, 175.24)   (175.24, 175.41)    (175.41, 175.49)    (175.49, 175.7)     (175.7, 175.74)     (175.74, 175.92)    (175.92, 176.1)     (176.1, 176.57)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668      82430086086668     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.18, 174.28)    (174.28, 174.34)    (174.34, 174.8)     (174.8, 174.88)     (174.88, 175.02)    (175.02, 175.11)    (175.11, 175.175)   (175.175, 175.24)   (175.24, 175.41)    (175.41, 175.49)    (175.49, 175.7)     (175.7, 175.74)     (175.74, 175.92)    (175.92, 176.1)     (176.1, 176.57)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthemselves         Ġand                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.57, 177.17)    (177.17, 177.378)   (-1.0, -1.0)        (177.983, 178.333)  (178.333, 178.518)  (178.518, 178.703)  (178.703, 179.043)  (179.043, 179.153)  (179.153, 179.323)  (179.323, 179.603)  (179.603, 180.21)   (181.87, 182.08)    (182.08, 182.223)   (182.223, 182.283)  (182.283, 182.343) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82430086086668      82430086086668      82430086086668      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġyeah               Ġthat               Ġthat               Ġthat               's                  Ġit                 Ġand                Ġuh                 Ġthat               Ġthat               Ġit                 Ġif                 Ġit                 's                 
Timings          : (176.57, 177.17)    (177.113, 177.513)  (177.513, 177.983)  (177.983, 178.333)  (178.333, 178.518)  (178.518, 178.703)  (178.703, 179.043)  (179.043, 179.153)  (179.153, 179.323)  (179.323, 179.603)  (179.603, 180.21)   (181.87, 182.08)    (182.08, 182.223)   (182.223, 182.283)  (182.283, 182.343) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (182.343, 182.503)  (182.503, 182.953)  (182.953, 183.043)  (183.043, 183.263)  (183.263, 183.423)  (183.423, 183.573)  (183.573, 183.943)  (183.943, 184.008)  (184.008, 184.073)  (184.073, 184.253)  (184.253, 184.433)  (184.433, 184.493)  (184.493, 184.943)  (184.943, 185.103)  (185.133, 185.448) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82432233570313     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġgonna              Ġhappen             Ġit                 Ġseems              Ġlike               Ġthere              Ġthere              Ġthere              's                  Ġsome               Ġsort               Ġof                 Ġclosure            Ġwhen               Ġit                
Timings          : (182.343, 182.503)  (182.503, 182.953)  (182.953, 183.043)  (183.043, 183.263)  (183.263, 183.423)  (183.423, 183.573)  (183.573, 183.943)  (183.943, 184.008)  (184.008, 184.073)  (184.073, 184.253)  (184.253, 184.433)  (184.433, 184.493)  (184.493, 184.943)  (184.943, 185.103)  (185.103, 185.203) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.203, 185.473)  (185.448, 185.762)  (-1.0, -1.0)        (185.603, 185.723)  (185.723, 185.813)  (185.813, 185.953)  (185.953, 186.113)  (186.113, 186.333)  (186.333, 186.633)  (186.633, 186.803)  (186.803, 186.953)  (186.953, 187.103)  (187.103, 187.253)  (187.253, 187.561)  (187.96, 188.38)   
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82432233570313      82432233570313      82432233570313      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhen               Ġit                 's                  Ġover               Ġand                Ġdone               Ġwith               Ġi                  Ġknow               Ġthat               Ġwas                Ġone                Ġof                 Ġthat               Ġaspects           
Timings          : (185.203, 185.473)  (185.473, 185.538)  (185.538, 185.603)  (185.603, 185.723)  (185.723, 185.813)  (185.813, 185.953)  (185.953, 186.113)  (186.113, 186.333)  (186.333, 186.633)  (186.633, 186.803)  (186.803, 186.953)  (186.953, 187.103)  (187.103, 187.253)  (187.253, 187.561)  (187.96, 188.38)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (188.38, 188.49)    (188.49, 188.74)    (188.74, 188.84)    (188.84, 189.15)    (189.15, 189.25)    (189.25, 189.31)    (189.31, 189.65)    (189.65, 189.72)    (189.72, 189.946)   (189.946, 190.173)  (190.173, 190.4)    (190.4, 190.91)     (190.91, 191.04)    (191.04, 191.31)    (191.31, 191.43)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġcovered            Ġthe                Ġsequel             Ġto                 Ġthe                Ġcase               Ġin                 Ġcal                if                  ornia               Ġwas                Ġwas                Ġboth               Ġit                
Timings          : (188.38, 188.49)    (188.49, 188.74)    (188.74, 188.84)    (188.84, 189.15)    (189.15, 189.25)    (189.25, 189.31)    (189.31, 189.65)    (189.65, 189.72)    (189.72, 189.946)   (189.946, 190.173)  (190.173, 190.4)    (190.4, 190.91)     (190.91, 191.04)    (191.04, 191.31)    (191.31, 191.43)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053      82433844183053     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.43, 191.652)   (191.652, 191.87)   (191.87, 191.94)    (191.94, 192.31)    (192.31, 192.45)    (192.45, 192.56)    (192.56, 192.82)    (192.82, 193.02)    (193.02, 193.17)    (193.17, 193.26)    (193.26, 193.325)   (193.325, 193.39)   (193.39, 193.53)    (193.53, 193.86)    (193.86, 194.173)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
