A                : well                Ġwhat               's                  Ġyour               Ġopinion            Ġon                 Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.532, 174.889)  (174.889, 175.488)  (175.488, 175.579)  (175.579, 175.639)  (175.639, 175.908)  (175.908, 175.988)  (175.988, 176.498)  (176.498, 177.293)  (177.861, 178.199)  (178.199, 178.499)  (178.499, 178.628)  (178.628, 178.798)  (178.798, 178.908)  (178.908, 179.229)  (179.229, 179.488) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.532, 174.889)  (174.889, 175.488)  (175.488, 175.579)  (175.579, 175.639)  (175.639, 175.908)  (175.908, 175.988)  (175.988, 176.498)  (176.498, 177.293)  (177.861, 178.199)  (178.199, 178.499)  (178.499, 178.628)  (178.628, 178.798)  (178.798, 178.908)  (178.908, 179.229)  (179.229, 179.488) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyears              Ġor                 Ġso                 Ġthey               Ġlet                Ġhim                Ġout                Ġhe                 Ġwent               Ġout                Ġand                Ġhe                 Ġkilled             Ġfive               Ġmore              
Timings          : (179.488, 179.768)  (179.768, 179.829)  (179.829, 180.187)  (180.556, 180.689)  (180.689, 180.829)  (180.829, 180.999)  (180.999, 181.152)  (181.359, 181.479)  (181.479, 181.648)  (181.648, 181.804)  (182.022, 182.139)  (182.139, 182.257)  (182.514, 182.809)  (182.809, 183.038)  (183.038, 183.243) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474      83065741246474     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (179.488, 179.768)  (179.768, 179.829)  (179.829, 180.187)  (180.556, 180.689)  (180.689, 180.829)  (180.829, 180.999)  (180.999, 181.152)  (181.359, 181.479)  (181.479, 181.648)  (181.648, 181.804)  (182.022, 182.139)  (182.139, 182.257)  (182.514, 182.809)  (182.809, 183.038)  (183.038, 183.243) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpeople             <eot>               Ġso                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (183.243, 183.652)  (-1.0, -1.0)        (184.431, 184.932)  (-1.0, -1.0)        (184.977, 185.197)  (185.197, 185.312)  (185.312, 185.427)  (186.769, 186.859)  (186.859, 186.979)  (186.979, 187.099)  (187.099, 187.309)  (187.309, 187.514)  (187.514, 187.719)  (187.719, 188.07)   (189.163, 189.333) 
Token Types      : 1                   1                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83065741246474      83065741246474      83070036213768      83070036213768      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġyeah               Ġyeah               Ġi                  Ġjust               Ġdon                't                  Ġi                  Ġdon                't                  Ġthink              Ġthat               's                  Ġuh                 Ġan                
Timings          : (183.243, 183.652)  (183.841, 184.19)   (184.62, 184.827)   (184.827, 184.977)  (184.977, 185.197)  (185.197, 185.312)  (185.312, 185.427)  (186.769, 186.859)  (186.859, 186.979)  (186.979, 187.099)  (187.099, 187.309)  (187.309, 187.514)  (187.514, 187.719)  (187.719, 188.07)   (189.163, 189.333) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387      83066278117387     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġguess              Ġit                 's                  Ġsounds             Ġrather             Ġheart              less                Ġbut                Ġi                  Ġguess             
Timings          : (189.333, 189.853)  (189.853, 189.993)  (189.993, 190.234)  (190.406, 190.693)  (190.693, 190.783)  (190.783, 191.023)  (191.023, 191.083)  (191.083, 191.143)  (191.143, 191.393)  (191.393, 191.623)  (191.623, 191.823)  (191.823, 192.023)  (192.023, 192.163)  (192.163, 192.223)  (192.223, 192.433) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġexcuse             Ġat                 Ġall                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.333, 189.853)  (189.853, 189.993)  (189.993, 190.234)  (-1.0, -1.0)        (190.693, 190.783)  (190.783, 191.023)  (191.023, 191.083)  (191.083, 191.143)  (191.143, 191.393)  (191.393, 191.623)  (191.623, 191.823)  (191.823, 192.023)  (192.023, 192.163)  (192.163, 192.223)  (192.223, 192.433) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83066278117387      83066278117387      83066278117387      83066278117387      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġif                 Ġthey               're                 Ġthat               Ġbad                Ġif                 Ġthey               're                 Ġthat               Ġbadly              Ġoff                Ġmentally           Ġthen               Ġperhaps            Ġit                
Timings          : (192.433, 192.543)  (192.543, 192.608)  (192.608, 192.673)  (192.673, 192.943)  (192.943, 193.26)   (193.889, 194.063)  (194.063, 194.187)  (194.187, 194.31)   (194.792, 194.973)  (194.973, 195.373)  (195.373, 195.741)  (196.076, 196.783)  (196.983, 197.253)  (197.253, 197.593)  (197.593, 197.658) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (192.433, 192.543)  (192.543, 192.608)  (192.608, 192.673)  (192.673, 192.943)  (192.943, 193.26)   (193.889, 194.063)  (194.063, 194.187)  (194.187, 194.31)   (194.792, 194.973)  (194.973, 195.373)  (195.373, 195.741)  (196.076, 196.783)  (196.983, 197.253)  (197.257, 197.452)  (197.452, 197.646) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83068425601035      83068425601035     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : 's                  Ġjust               Ġas                 Ġwell               Ġto                 Ġto                 Ġend                Ġtheir              Ġlife               <yield>             Ġaren               't                  Ġwe                 Ġcruel              Ġpeople            
Timings          : (197.658, 197.723)  (197.723, 197.993)  (197.993, 198.123)  (198.123, 198.363)  (198.363, 198.731)  (198.998, 199.123)  (199.123, 199.313)  (199.313, 199.443)  (199.443, 199.799)  (-1.0, -1.0)        (200.665, 200.752)  (200.752, 200.839)  (200.839, 200.909)  (200.909, 201.239)  (201.239, 201.742) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246476      83065741246478      83065741246478      83065741246478      83065741246478      83065741246478     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               <emp>               Ġyeah               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (197.723, 197.993)  (197.993, 198.123)  (198.123, 198.363)  (198.363, 198.731)  (198.998, 199.123)  (199.149, 199.452)  (199.313, 199.443)  (199.443, 199.799)  (199.864, 200.2)    (-1.0, -1.0)        (200.752, 200.839)  (200.839, 200.909)  (200.909, 201.239)  (201.239, 201.742) 
Token Types      : 3                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   0                   0                   0                   0                  
turn_ids         : 83068425601035      0                   0                   0                   0                   0                   83069499342861      83069499342861      83069499342861      83069499342861      83069499342861      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (203.493, 203.655)  (203.655, 203.78)   (203.78, 203.906)   (203.906, 204.005)  (204.005, 204.184)  (204.184, 204.363)  (204.495, 204.766)  (204.766, 205.156)  (205.156, 205.273)  (205.273, 205.72)   (205.72, 206.076)   (206.076, 206.343)  (206.473, 206.676)  (206.676, 207.016) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83065741246478      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġoh                 Ġi                  Ġdon                't                  Ġi                  Ġdon                't                  Ġthink              Ġso                 Ġi                  Ġmean               Ġi                  Ġjust               Ġyou                Ġknow              
Timings          : (203.209, 203.493)  (203.493, 203.655)  (203.655, 203.78)   (203.78, 203.906)   (203.906, 204.005)  (204.005, 204.184)  (204.184, 204.363)  (204.495, 204.766)  (204.766, 205.156)  (205.156, 205.273)  (205.273, 205.72)   (205.72, 206.076)   (206.076, 206.343)  (206.473, 206.676)  (206.676, 207.016) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (207.829, 208.24)   (208.548, 208.781)  (208.936, 209.059)  (209.059, 209.359)  (209.359, 209.6)    (209.6, 209.919)    (209.919, 210.24)   (210.24, 210.389)   (210.389, 210.609)  (210.609, 210.851)  (211.107, 211.419)  (211.419, 211.62)   (211.62, 211.98)    (211.98, 212.262)   (212.774, 212.969) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġif                 Ġi                  Ġi                  Ġthink              Ġin                 Ġj                  apan                Ġyou                Ġknow               Ġwhen               Ġcrime              Ġgets               Ġbad                Ġthey               Ġyou               
Timings          : (207.829, 208.24)   (208.548, 208.781)  (208.936, 209.059)  (209.059, 209.359)  (209.359, 209.6)    (209.6, 209.919)    (209.919, 210.24)   (210.24, 210.389)   (210.389, 210.609)  (210.609, 210.851)  (211.107, 211.419)  (211.419, 211.62)   (211.62, 211.98)    (211.98, 212.262)   (212.774, 212.969) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (212.969, 213.139)  (213.139, 213.26)   (213.26, 213.48)    (213.48, 213.529)   (213.529, 213.719)  (213.719, 214.199)  (214.199, 214.359)  (214.359, 214.43)   (214.43, 214.51)    (214.51, 214.88)    (214.88, 215.199)   (215.199, 215.329)  (215.329, 215.43)   (215.43, 215.99)    (215.99, 216.13)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġthey               Ġtake               Ġa                  Ġfew                Ġcriminals          Ġout                Ġin                 Ġthe                Ġpublic             Ġsquare             Ġand                Ġthey               Ġexecute            Ġthem              
Timings          : (212.969, 213.139)  (213.139, 213.26)   (213.26, 213.48)    (213.48, 213.529)   (213.529, 213.719)  (213.719, 214.199)  (214.199, 214.359)  (214.359, 214.43)   (214.43, 214.51)    (214.51, 214.88)    (214.88, 215.199)   (215.199, 215.329)  (215.329, 215.43)   (215.43, 215.99)    (215.99, 216.13)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (216.13, 216.333)   (216.77, 217.1)     (217.1, 217.37)     (217.37, 217.689)   (219.469, 219.605)  (219.605, 219.699)  (219.699, 219.809)  (219.809, 220.093)  (220.706, 220.916)  (220.916, 221.186)  (221.186, 221.341)  (221.341, 221.496)  (221.496, 221.636)  (221.636, 221.896)  (221.896, 222.096) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġcrime              Ġgoes               Ġdown               Ġyou                Ġyou                Ġyou                Ġknow               Ġuh                 Ġso                 Ġthere              's                  Ġi                  Ġthink              Ġit                
Timings          : (216.13, 216.333)   (216.77, 217.1)     (217.1, 217.37)     (217.37, 217.689)   (219.469, 219.605)  (219.605, 219.699)  (219.699, 219.809)  (219.809, 220.093)  (220.706, 220.916)  (220.916, 221.186)  (221.186, 221.341)  (221.341, 221.496)  (221.496, 221.636)  (221.636, 221.896)  (221.896, 222.096) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (222.096, 222.176)  (222.176, 222.376)  (222.376, 222.486)  (222.486, 222.856)  (222.856, 223.116)  (223.116, 223.376)  (223.376, 223.626)  (223.626, 223.807)  (223.807, 223.988)  (223.988, 224.356)  (224.356, 224.526)  (224.526, 224.766)  (224.766, 225.256)  (225.256, 225.356)  (225.356, 225.571) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġthink              Ġit                 Ġworks              Ġsince              Ġmost               Ġpeople             Ġdon                't                  Ġbelieve            Ġin                 Ġbeing              Ġforced             Ġyou                Ġknow              
Timings          : (222.096, 222.176)  (222.176, 222.376)  (222.376, 222.486)  (222.486, 222.856)  (222.856, 223.116)  (223.116, 223.376)  (223.376, 223.626)  (223.626, 223.807)  (223.807, 223.988)  (223.988, 224.356)  (224.356, 224.526)  (224.526, 224.766)  (224.766, 225.256)  (225.256, 225.356)  (225.356, 225.571) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391      83066278117391     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġwell               Ġi                  Ġsay                Ġthey               Ġmay                Ġsay                Ġit                 's                  Ġnot                Ġa                  Ġdeterrent          Ġand                Ġperhaps            Ġit                 Ġisn               
Timings          : (225.857, 226.229)  (226.229, 226.368)  (226.368, 226.52)   (226.889, 226.989)  (226.989, 227.149)  (227.149, 227.359)  (227.359, 227.434)  (227.434, 227.509)  (227.509, 227.699)  (227.699, 227.749)  (227.749, 228.269)  (228.269, 228.369)  (228.369, 228.829)  (228.829, 228.929)  (228.929, 229.109) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480      83065741246480     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (226.229, 226.368)  (226.368, 226.52)   (226.889, 226.989)  (226.989, 227.149)  (227.149, 227.359)  (227.359, 227.434)  (227.434, 227.509)  (227.509, 227.699)  (227.699, 227.749)  (227.749, 228.269)  (228.269, 228.369)  (228.369, 228.829)  (228.829, 228.929)  (228.929, 229.109) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83066278117391      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
