A                : well                Ġi                  Ġhaven              't                  Ġhad                Ġan                 Ġawful              Ġlot                Ġof                 Ġuh                 Ġincidents          Ġin                 Ġregarding          Ġchild              Ġcare              
Timings          : (173.951, 174.518)  (174.518, 174.608)  (174.608, 174.988)  (174.988, 175.178)  (175.178, 175.338)  (175.338, 175.588)  (175.588, 175.658)  (175.658, 175.898)  (175.898, 176.058)  (176.058, 176.296)  (176.296, 176.484)  (176.484, 176.698)  (176.698, 177.088)  (177.088, 177.198)  (177.198, 177.358) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġactivities         Ġwhere              Ġparents            Ġcome               Ġin                 Ġduring             Ġthe                Ġday                Ġand                Ġthat               Ġat                 Ġany                Ġtime               Ġyou                Ġcan               
Timings          : (173.951, 174.518)  (174.518, 174.608)  (174.608, 174.988)  (174.988, 175.178)  (175.178, 175.338)  (175.338, 175.588)  (175.588, 175.658)  (175.658, 175.898)  (175.898, 176.058)  (176.058, 176.296)  (176.296, 176.484)  (176.484, 176.698)  (176.698, 177.088)  (177.088, 177.198)  (177.198, 177.358) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (177.358, 177.748)  (177.748, 177.96)   (178.441, 178.599)  (178.599, 178.73)   (178.73, 178.93)    (178.93, 178.98)    (178.98, 179.32)    (179.32, 179.72)    (179.72, 180.185)   (180.343, 180.573)  (181.088, 181.207)  (181.207, 181.326)  (181.326, 181.49)   (181.49, 181.56)    (181.56, 182.2)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdrop               Ġin                 Ġand                Ġwe                 Ġhad                Ġa                  Ġreally             Ġwonderful          Ġarrangement        Ġum                 Ġi                  'm                  Ġwith               Ġthe                Ġuniversity        
Timings          : (177.358, 177.748)  (177.748, 177.96)   (178.441, 178.599)  (178.599, 178.73)   (178.73, 178.93)    (178.93, 178.98)    (178.98, 179.32)    (179.32, 179.72)    (179.72, 180.185)   (180.343, 180.573)  (181.088, 181.207)  (181.207, 181.326)  (181.326, 181.49)   (181.49, 181.56)    (181.56, 182.2)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġu                  <emp>               hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (182.2, 182.81)     (182.93, 183.057)   (183.0, 183.1)      (183.057, 183.184)  (183.184, 183.31)   (-1.0, -1.0)        (183.564, 184.104)  (184.262, 184.51)   (184.51, 185.35)    (185.35, 185.46)    (185.46, 185.92)    (185.92, 185.99)    (185.99, 186.21)    (186.21, 186.69)    (187.214, 187.26)  
Token Types      : 0                   3                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83772263366661      83772263366661      83772263366661      83772263366661      83772263366661      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġactually           Ġand                Ġthey               Ġhad                <emp>               Ġa                  Ġwonderful          Ġuh                 Ġprogram            Ġthat               Ġstarted            Ġat                 Ġage                Ġthree              Ġand               
Timings          : (182.2, 182.81)     (182.81, 183.0)     (183.0, 183.1)      (183.1, 183.33)     (183.184, 183.31)   (183.33, 183.398)   (183.564, 184.104)  (184.262, 184.51)   (184.51, 185.35)    (185.35, 185.46)    (185.46, 185.92)    (185.92, 185.99)    (185.99, 186.21)    (186.21, 186.69)    (187.214, 187.26)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (187.26, 187.328)   (187.328, 187.43)   (187.724, 187.948)  (187.948, 188.043)  (188.043, 188.303)  (188.303, 188.608)  (188.608, 188.818)  (188.818, 188.878)  (188.878, 189.398)  (189.398, 189.568)  (189.568, 189.658)  (189.658, 190.168)  (190.168, 190.358)  (190.358, 190.538)  (190.538, 190.848) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġwas                Ġabout              Ġa                  Ġblock              Ġaway               Ġfrom               Ġthe                Ġhospital           Ġwhere              Ġi                  Ġwork               Ġand                Ġso                 Ġmany              
Timings          : (187.26, 187.328)   (187.328, 187.43)   (187.724, 187.948)  (187.948, 188.043)  (188.043, 188.303)  (188.303, 188.608)  (188.608, 188.818)  (188.818, 188.878)  (188.878, 189.398)  (189.398, 189.568)  (189.568, 189.658)  (189.658, 190.168)  (190.168, 190.358)  (190.358, 190.538)  (190.538, 190.848) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.848, 191.228)  (191.228, 191.338)  (191.338, 191.593)  (191.593, 191.848)  (191.848, 191.938)  (191.938, 192.098)  (192.098, 192.248)  (192.248, 192.498)  (192.498, 192.608)  (192.608, 192.878)  (192.878, 192.938)  (192.938, 193.418)  (193.418, 193.508)  (193.508, 193.678)  (193.678, 193.868) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtimes              Ġat                 Ġlunch              time                Ġi                  Ġwould              Ġgo                 Ġover               Ġand                Ġvisit              Ġthe                Ġchildren           Ġand                Ġeat                Ġwith              
Timings          : (190.848, 191.228)  (191.228, 191.338)  (191.338, 191.593)  (191.593, 191.848)  (191.848, 191.938)  (191.938, 192.098)  (192.098, 192.248)  (192.248, 192.498)  (192.498, 192.608)  (192.608, 192.878)  (192.878, 192.938)  (192.938, 193.418)  (193.418, 193.508)  (193.508, 193.678)  (193.678, 193.868) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (193.868, 194.148)  (194.148, 194.358)  (194.974, 195.106)  (195.106, 195.252)  (195.252, 195.382)  (195.382, 195.492)  (195.492, 196.042)  (196.042, 196.212)  (196.212, 196.332)  (196.332, 196.527)  (196.93, 197.514)   (197.514, 197.6)    (197.6, 197.742)    (197.742, 197.992)  (197.992, 198.182) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthem               Ġand                Ġsee                Ġwhat               Ġthey               Ġwere               Ġdoing              Ġand                Ġthey               Ġhad                Ġwonderful          Ġthey               Ġhad                Ġthings             Ġlike              
Timings          : (193.868, 194.148)  (194.148, 194.358)  (194.974, 195.106)  (195.106, 195.252)  (195.252, 195.382)  (195.382, 195.492)  (195.492, 196.042)  (196.042, 196.212)  (196.212, 196.332)  (196.332, 196.527)  (196.93, 197.514)   (197.514, 197.6)    (197.6, 197.742)    (197.742, 197.992)  (197.992, 198.182) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>              
Timings          : (198.182, 198.802)  (198.802, 198.952)  (198.952, 199.222)  (199.222, 199.282)  (199.282, 199.732)  (199.732, 199.922)  (199.922, 200.245)  (200.42, 200.499)   (200.499, 200.555)  (200.555, 200.615)  (200.615, 200.872)  (200.872, 200.972)  (200.972, 201.415)  (201.378, 201.805)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83772263366662      83772263366662     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġgardens            Ġand                Ġlots               Ġof                 Ġpets               Ġand                Ġjust               Ġthey               Ġhad                Ġa                  Ġfour               Ġto                 Ġone                <emp>               Ġuh                
Timings          : (198.182, 198.802)  (198.802, 198.952)  (198.952, 199.222)  (199.222, 199.282)  (199.282, 199.732)  (199.732, 199.922)  (199.922, 200.245)  (200.42, 200.499)   (200.499, 200.555)  (200.555, 200.615)  (200.615, 200.872)  (200.872, 200.972)  (200.972, 201.415)  (201.378, 201.805)  (201.686, 201.952) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (201.952, 202.292)  (202.292, 202.722)  (202.722, 203.309)  (203.908, 204.002)  (204.002, 204.312)  (204.312, 204.542)  (204.542, 204.812)  (204.812, 204.902)  (204.902, 205.032)  (205.032, 205.172)  (205.172, 205.482)  (205.482, 205.552)  (205.552, 205.632)  (205.632, 206.042)  (206.042, 206.222) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġteacher            Ġstudent            Ġratio              Ġso                 Ġthat               Ġthat               Ġsort               Ġof                 Ġand                Ġall                Ġmost               Ġof                 Ġthe                Ġteachers           Ġhad               
Timings          : (201.952, 202.292)  (202.292, 202.722)  (202.722, 203.309)  (203.908, 204.002)  (204.002, 204.312)  (204.312, 204.542)  (204.542, 204.812)  (204.812, 204.902)  (204.902, 205.032)  (205.032, 205.172)  (205.172, 205.482)  (205.482, 205.552)  (205.552, 205.632)  (205.632, 206.042)  (206.042, 206.222) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927      83770652753927     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġfive               Ġhundred            Ġdollars            Ġa                  Ġweek               Ġfor                Ġtwo                Ġkids               Ġthat               's                  Ġincredible         <yield>             <emp>              
Timings          : (206.222, 206.93)   (206.93, 207.21)    (207.795, 208.219)  (208.219, 208.633)  (208.633, 209.063)  (209.063, 209.173)  (209.453, 209.918)  (210.132, 210.246)  (210.427, 210.603)  (210.603, 210.991)  (211.488, 211.616)  (211.616, 211.743)  (211.743, 212.52)   (-1.0, -1.0)        (212.693, 212.87)  
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 0                   0                   83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      83770115883016      0                  
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : Ġdegrees            Ġum                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               Ġit                 Ġwas               
Timings          : (206.222, 206.93)   (206.93, 207.21)    (-1.0, -1.0)        (208.219, 208.633)  (208.633, 209.063)  (209.063, 209.173)  (209.453, 209.918)  (210.132, 210.246)  (210.427, 210.603)  (210.603, 210.991)  (211.488, 211.616)  (211.604, 211.973)  (211.743, 212.52)   (212.606, 212.693)  (212.693, 212.87)  
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                  
turn_ids         : 83770652753927      83770652753927      83770652753927      0                   0                   0                   0                   0                   0                   0                   0                   83773873979401      83773873979401      83773873979401      83773873979401     
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġoh                 Ġoh                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (212.87, 213.4)     (213.4, 213.788)    (213.595, 214.075)  (214.617, 214.904)  (-1.0, -1.0)        (214.98, 215.16)    (215.16, 215.428)   (215.428, 215.533)  (215.533, 215.66)   (215.66, 215.73)    (215.73, 215.839)   (215.974, 216.141)  (216.141, 216.284)  (216.284, 216.42)   (216.42, 216.61)   
Token Types      : 0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83774410850315      83774410850315      83774410850315      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġincredible         Ġactually           <emp>               Ġbut                Ġit                 Ġwas                Ġgood               Ġi                  Ġmean               Ġit                 Ġwas                Ġit                 Ġwas                Ġat                 Ġthat              
Timings          : (212.87, 213.4)     (213.4, 213.788)    (213.595, 214.075)  (214.814, 214.91)   (214.91, 214.98)    (214.98, 215.16)    (215.16, 215.428)   (215.428, 215.533)  (215.533, 215.66)   (215.66, 215.73)    (215.73, 215.839)   (215.974, 216.141)  (216.141, 216.284)  (216.284, 216.42)   (216.42, 216.61)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (216.61, 216.82)    (216.82, 216.91)    (216.91, 216.98)    (216.98, 217.2)     (217.2, 217.52)     (217.52, 217.65)    (217.65, 217.77)    (217.77, 217.85)    (217.85, 217.919)   (218.073, 218.32)   (218.32, 218.854)   (218.854, 218.926)  (218.926, 219.12)   (219.12, 219.28)    (219.28, 219.4)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtime               Ġthere              Ġwere               Ġtwo                Ġchildren           Ġand                Ġthey               Ġwere               Ġin                 Ġspecial            Ġprograms           Ġand                Ġeach               Ġone                Ġwas               
Timings          : (216.61, 216.82)    (216.82, 216.91)    (216.91, 216.98)    (216.98, 217.2)     (217.2, 217.52)     (217.52, 217.65)    (217.65, 217.77)    (217.77, 217.85)    (217.85, 217.919)   (218.073, 218.32)   (218.32, 218.854)   (218.854, 218.926)  (218.926, 219.12)   (219.12, 219.28)    (219.28, 219.4)    
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (219.4, 219.46)     (219.46, 219.65)    (219.65, 219.84)    (219.84, 220.06)    (220.06, 220.3)     (220.3, 220.36)     (220.36, 220.62)    (220.62, 220.72)    (220.72, 220.82)    (220.82, 220.98)    (220.98, 221.39)    (221.39, 221.497)   (221.595, 221.77)   (222.199, 222.27)   (222.27, 222.42)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġlittle             Ġover               Ġtwo                Ġhundred            Ġa                  Ġweek               Ġand                Ġthen               Ġin                 Ġaddition           Ġi                  Ġpaid               Ġa                  Ġlittle            
Timings          : (219.4, 219.46)     (219.46, 219.65)    (219.65, 219.84)    (219.84, 220.06)    (220.06, 220.3)     (220.3, 220.36)     (220.36, 220.62)    (220.62, 220.72)    (220.72, 220.82)    (220.82, 220.98)    (220.98, 221.39)    (221.39, 221.497)   (221.595, 221.77)   (222.199, 222.27)   (222.27, 222.42)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401      83773873979401     
