A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġcan                't                  Ġgive               Ġuh                 Ġtoo                Ġgood               Ġa                  Ġperspective        Ġuh                
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġyeah               <ebc>               Ġuh                 Ġthe                Ġuh                 Ġwhy                Ġthe                Ġcomputers          Ġin                 Ġthe                Ġengines            Ġyou               
Timings          : (132.649, 132.833)  (132.833, 133.073)  (133.073, 133.367)  (134.258, 134.678)  (-1.0, -1.0)        (136.124, 136.409)  (136.409, 136.628)  (136.628, 136.826)  (137.937, 138.13)   (138.13, 138.265)   (138.265, 138.91)   (138.91, 139.06)    (139.06, 139.12)    (139.12, 139.664)   (142.005, 142.092) 
Token Types      : 0                   0                   0                   3                   3                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83652541153288      83652541153288      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 <emp>               hum                 <ebc>               Ġi                  Ġmake              
Timings          : (142.092, 142.308)  (142.308, 142.498)  (142.498, 142.732)  (143.488, 144.151)  (144.286, 144.468)  (144.748, 145.068)  (145.068, 145.588)  (145.588, 145.768)  (145.768, 146.208)  (146.368, 146.607)  (146.508, 146.6)    (146.607, 146.846)  (-1.0, -1.0)        (148.062, 148.182)  (148.182, 148.345) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83652004282377      83652004282377      83652004282377      83652004282377      83649856798734      83649856798734     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġknow               Ġthey               Ġuh                 Ġcompensate         Ġthe                Ġwhatever           Ġproblems           Ġcome               Ġalong              Ġuntil              Ġi                  Ġjust               <eot>               <emp>               <emp>              
Timings          : (142.092, 142.308)  (142.308, 142.498)  (142.498, 142.732)  (143.488, 144.151)  (144.286, 144.468)  (144.748, 145.068)  (145.068, 145.588)  (145.588, 145.768)  (145.768, 146.208)  (146.208, 146.508)  (146.508, 146.6)    (146.6, 146.811)    (-1.0, -1.0)        (148.062, 148.182)  (148.182, 148.345) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      83650393669645      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġsix                Ġand                Ġi                  'm                  Ġa                  Ġbitch              Ġthough             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (148.345, 148.695)  (148.695, 148.795)  (148.795, 148.86)   (148.86, 148.925)   (148.925, 148.995)  (148.995, 149.385)  (149.385, 149.594)  (-1.0, -1.0)        (150.681, 150.78)   (150.78, 151.129)   (151.129, 151.239)  (151.239, 151.559)  (151.559, 151.735)  (153.784, 154.104)  (154.104, 154.377) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83649856798734      83649856798734      83649856798734      83649856798734      83649856798734      83649856798734      83649856798734      83649856798734      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 Ġdoes               Ġi                  Ġmean               Ġuh                 Ġbut                Ġuh                
Timings          : (148.345, 148.695)  (148.695, 148.795)  (148.795, 148.86)   (148.86, 148.925)   (148.925, 148.995)  (148.995, 149.385)  (149.385, 149.594)  (150.325, 150.681)  (150.681, 150.78)   (150.78, 151.129)   (151.129, 151.239)  (151.239, 151.559)  (151.559, 151.735)  (153.784, 154.104)  (154.104, 154.377) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (154.87, 154.948)   (154.948, 155.084)  (155.084, 155.294)  (155.294, 155.374)  (155.374, 155.544)  (155.544, 155.574)  (155.574, 155.684)  (155.684, 155.994)  (155.994, 156.154)  (156.154, 156.364)  (156.364, 156.584)  (156.844, 156.944)  (156.944, 157.074)  (157.074, 157.153)  (157.235, 157.597) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġdo                 Ġhave               Ġa                  Ġlot                Ġa                  Ġlot                Ġhelp               Ġwith               Ġthose              Ġcomputers          Ġyou                Ġknow               Ġthe                Ġcurves            
Timings          : (154.87, 154.948)   (154.948, 155.084)  (155.084, 155.294)  (155.294, 155.374)  (155.374, 155.544)  (155.544, 155.574)  (155.574, 155.684)  (155.684, 155.994)  (155.994, 156.154)  (156.154, 156.364)  (156.364, 156.584)  (156.844, 156.944)  (156.944, 157.074)  (157.074, 157.153)  (157.235, 157.597) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               Ġbut                Ġdoesn              't                  Ġuh                 Ġhelp               Ġthe                Ġhome               Ġmechanic          
Timings          : (157.741, 157.969)  (157.969, 158.043)  (158.043, 158.136)  (158.136, 158.233)  (158.233, 158.959)  (159.015, 159.381)  (159.477, 159.805)  (160.509, 160.637)  (160.637, 160.825)  (160.825, 161.013)  (161.013, 161.263)  (161.263, 161.463)  (161.463, 161.543)  (161.543, 161.713)  (161.713, 162.153) 
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġgiving             Ġa                  Ġlot                Ġof                 Ġinformation        Ġdiagnostic         <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.741, 157.969)  (157.969, 158.043)  (158.043, 158.136)  (158.136, 158.233)  (158.233, 158.959)  (158.959, 159.694)  (-1.0, -1.0)        (160.509, 160.637)  (160.637, 160.825)  (160.825, 161.013)  (161.013, 161.263)  (161.263, 161.463)  (161.463, 161.543)  (161.543, 161.713)  (161.713, 162.153) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      83650393669647      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġmuch               Ġunless             Ġthey               've                 Ġgot                Ġa                  Ġuh                 Ġyou                Ġknow               Ġsome               Ġway                Ġto                 Ġdecode             Ġall               
Timings          : (162.153, 162.333)  (162.333, 162.603)  (162.603, 162.893)  (162.893, 162.946)  (162.946, 162.999)  (163.07, 163.253)   (163.253, 163.283)  (163.283, 163.323)  (163.323, 163.545)  (164.343, 164.503)  (164.503, 164.763)  (164.763, 164.883)  (164.883, 165.026)  (165.218, 165.643)  (165.643, 165.853) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208      83653078024208     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (162.153, 162.333)  (162.333, 162.603)  (162.603, 162.893)  (162.893, 162.946)  (162.946, 162.999)  (163.07, 163.253)   (163.253, 163.283)  (163.283, 163.323)  (163.323, 163.545)  (164.343, 164.503)  (164.503, 164.763)  (164.763, 164.883)  (164.883, 165.026)  (165.218, 165.643)  (165.643, 165.853) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġinformation        <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (165.853, 166.029)  (166.164, 166.83)   (-1.0, -1.0)        (168.43, 168.584)   (168.584, 168.734)  (168.734, 168.931)  (168.931, 169.128)  (169.128, 169.486)  (169.486, 169.546)  (169.546, 169.775)  (169.775, 169.986)  (169.986, 170.196)  (171.132, 171.375)  (171.375, 171.618)  (171.734, 171.817) 
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83653078024208      83653078024208      83653078024208      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġsounds             Ġlike               Ġmy                 Ġwife               's                  Ġcar                Ġi                  Ġjust               Ġgot                Ġuh                 Ġcad                illac               Ġa                 
Timings          : (165.853, 166.029)  (166.164, 166.83)   (167.995, 168.43)   (168.43, 168.584)   (168.584, 168.734)  (168.734, 168.931)  (168.931, 169.128)  (169.128, 169.486)  (169.486, 169.546)  (169.546, 169.775)  (169.775, 169.986)  (169.986, 170.196)  (171.132, 171.375)  (171.375, 171.618)  (171.734, 171.817) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.817, 172.235)  (172.235, 172.378)  (172.694, 172.857)  (172.857, 173.021)  (-1.0, -1.0)        (173.217, 173.505)  (174.597, 174.682)  (174.682, 174.73)   (174.73, 174.97)    (174.97, 175.32)    (175.32, 175.42)    (175.42, 175.59)    (175.59, 175.65)    (175.65, 175.89)    (175.89, 176.25)   
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83652004282380      83652004282380      83652004282380      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġused               Ġone                Ġeighty             <emp>               Ġsix                Ġand                Ġhad                Ġa                  Ġfew                Ġthings             Ġshe                Ġhad                Ġto                 Ġget                Ġfixed             
Timings          : (171.817, 172.235)  (172.235, 172.378)  (172.611, 172.813)  (172.857, 173.021)  (172.974, 173.217)  (173.217, 173.505)  (174.597, 174.682)  (174.682, 174.73)   (174.73, 174.97)    (174.97, 175.32)    (175.32, 175.42)    (175.42, 175.59)    (175.59, 175.65)    (175.65, 175.89)    (175.89, 176.25)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.25, 176.47)    (176.47, 176.53)    (176.53, 176.7)     (176.7, 176.78)     (176.78, 177.15)    (177.748, 177.881)  (177.881, 177.999)  (177.999, 178.215)  (178.215, 178.441)  (178.441, 178.73)   (178.843, 179.1)    (179.1, 179.13)     (179.13, 179.44)    (179.44, 179.52)    (179.52, 179.58)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġon                 Ġit                 Ġand                Ġwe                 Ġjust               Ġso                 Ġnow                Ġyou                Ġjust               Ġpressed            Ġpressed            Ġa                  Ġcouple             Ġof                 Ġthe               
Timings          : (176.25, 176.47)    (176.47, 176.53)    (176.53, 176.7)     (176.7, 176.78)     (176.78, 177.15)    (177.748, 177.881)  (177.881, 177.999)  (177.999, 178.215)  (178.215, 178.441)  (178.441, 178.73)   (178.843, 179.1)    (179.1, 179.13)     (179.13, 179.44)    (179.44, 179.52)    (179.52, 179.58)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>              
Timings          : (179.58, 180.03)    (180.03, 180.22)    (180.22, 180.38)    (180.38, 180.51)    (181.997, 182.377)  (183.461, 183.552)  (183.552, 183.657)  (183.657, 184.317)  (184.838, 185.288)  (185.288, 185.356)  (185.356, 185.537)  (185.715, 185.908)  (185.908, 186.101)  (-1.0, -1.0)        (186.567, 186.676) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83652004282381      83652004282381      83652004282381      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : Ġbuttons            Ġup                 Ġin                 Ġthe                Ġuh                 Ġthe                Ġair                Ġconditioning       Ġpanel              Ġi                  Ġthink              <emp>               <emp>               Ġand                Ġuh                
Timings          : (179.58, 180.03)    (180.03, 180.22)    (180.22, 180.38)    (180.38, 180.51)    (181.997, 182.377)  (183.461, 183.552)  (183.552, 183.657)  (183.657, 184.317)  (184.838, 185.288)  (185.288, 185.356)  (185.356, 185.537)  (185.715, 185.908)  (185.908, 186.101)  (186.268, 186.567)  (186.567, 186.676) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġhum                <emp>               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (187.38, 187.537)   (187.537, 187.597)  (188.237, 188.537)  (188.537, 188.725)  (188.891, 189.449)  (189.784, 189.917)  (189.958, 190.204)  (-1.0, -1.0)        (-1.0, -1.0)        (191.435, 191.525)  (191.525, 191.605)  (191.605, 191.875)  (191.875, 192.08)   (192.08, 192.186)   (192.186, 192.742) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   0                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83649856798738      0                   83649856798738      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   0                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   0                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġit                 Ġreads              Ġout                Ġcodes              Ġthat               Ġway                <eot>               Ġand                Ġthen               Ġof                 Ġcourse             Ġhave               Ġto                 Ġdecipher          
Timings          : (187.38, 187.537)   (187.537, 187.597)  (188.237, 188.537)  (188.537, 188.725)  (188.891, 189.449)  (189.784, 189.917)  (189.997, 190.119)  (-1.0, -1.0)        (191.236, 191.435)  (191.435, 191.525)  (191.525, 191.605)  (191.605, 191.875)  (191.875, 192.08)   (192.08, 192.186)   (192.186, 192.742) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669649      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġhum                Ġinteresting        <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (192.742, 192.975)  (193.253, 193.569)  (-1.0, -1.0)        (193.973, 194.085)  (194.085, 194.235)  (194.235, 194.585)  (194.585, 194.71)   (194.71, 194.897)   (195.606, 195.892)  (196.558, 197.08)   (-1.0, -1.0)        (199.666, 199.939)  (201.202, 201.472)  (201.472, 201.502)  (201.502, 201.582) 
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   83652004282383      83652004282383      0                   0                   0                   0                   0                   83649856798740      83649856798740      83649856798740      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġthem               <emp>               Ġwith               Ġthe                Ġlittle             Ġbook               Ġi                  Ġuse                <eot>               <emp>               Ġbut                Ġuh                 Ġyeah               Ġi                  Ġdon               
Timings          : (192.742, 192.975)  (193.253, 193.569)  (193.831, 193.973)  (193.973, 194.085)  (194.085, 194.235)  (194.235, 194.585)  (194.585, 194.71)   (194.71, 194.897)   (-1.0, -1.0)        (196.558, 197.08)   (199.402, 199.666)  (199.666, 199.939)  (201.202, 201.472)  (201.472, 201.502)  (201.502, 201.582) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      83650393669651      0                   83650393669653      83650393669653      83650393669653      83650393669653      83650393669653     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
