A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġmy                 Ġpersonal           Ġperception         Ġof                 Ġgovernment         Ġand                Ġuh                 Ġthe                Ġway                Ġthings            
turn_ids         : 81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (140.445, 140.515)  (140.515, 140.785)  (140.785, 140.928)  (140.928, 141.264)  (141.264, 141.567)  (141.744, 142.025)  (142.025, 142.305)  (142.305, 142.415)  (142.415, 142.605)  (142.605, 142.775)  (142.775, 143.015)  (143.015, 143.255)  (143.255, 143.405)  (143.405, 143.851)  (144.333, 144.825) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġstate              Ġlaw                Ġthe                Ġhealth             Ġbill               Ġand                Ġit                 's                  Ġkind               Ġof                 Ġlike               Ġwe                 're                 Ġthe               
Timings          : (145.356, 145.485)  (145.485, 145.875)  (145.875, 146.105)  (146.105, 146.215)  (146.215, 146.475)  (146.616, 146.855)  (147.42, 147.879)   (148.565, 148.678)  (148.678, 148.79)   (148.79, 149.05)    (149.05, 149.17)    (149.17, 149.43)    (149.43, 149.515)   (149.515, 149.6)    (149.6, 149.67)    
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (145.356, 145.485)  (145.485, 145.875)  (145.875, 146.105)  (146.105, 146.215)  (146.215, 146.475)  (146.616, 146.855)  (147.42, 147.879)   (148.565, 148.678)  (148.678, 148.79)   (148.79, 149.05)    (149.05, 149.17)    (149.17, 149.43)    (149.43, 149.515)   (149.515, 149.6)    (149.6, 149.67)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfirst              Ġto                 Ġdo                 Ġit                 Ġso                 Ġi                  Ġdon                't                  Ġknow               Ġif                 Ġit                 's                  Ġdone               Ġbecause            Ġwe                
Timings          : (149.67, 150.02)    (150.02, 150.11)    (150.11, 150.32)    (150.32, 150.49)    (150.49, 150.92)    (151.08, 151.15)    (151.15, 151.225)   (151.225, 151.3)    (151.3, 151.39)     (151.39, 151.49)    (151.49, 151.565)   (151.565, 151.64)   (151.64, 151.907)   (152.024, 152.37)   (152.74, 152.845)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (149.67, 150.02)    (150.02, 150.11)    (150.11, 150.32)    (150.32, 150.49)    (150.49, 150.92)    (151.08, 151.15)    (151.15, 151.225)   (151.225, 151.3)    (151.3, 151.39)     (151.39, 151.49)    (151.49, 151.565)   (151.565, 151.64)   (151.64, 151.907)   (152.024, 152.37)   (152.74, 152.845)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 're                 Ġwe                 Ġwant               Ġto                 Ġbe                 Ġstanding           Ġout                Ġas                 Ġbeing              Ġinnovative         Ġin                 Ġthe                Ġhealth             Ġsystem             Ġor                
Timings          : (152.845, 152.95)   (153.58, 153.69)    (153.69, 153.93)    (153.93, 153.99)    (153.99, 154.25)    (154.25, 154.72)    (154.72, 154.97)    (154.97, 155.21)    (155.27, 155.674)   (155.96, 156.68)    (157.3, 157.76)     (157.76, 157.88)    (157.88, 158.094)   (158.094, 158.628)  (158.628, 158.84)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (152.845, 152.95)   (153.58, 153.69)    (153.69, 153.93)    (153.93, 153.99)    (153.99, 154.25)    (154.25, 154.72)    (154.72, 154.97)    (154.97, 155.21)    (155.27, 155.674)   (155.96, 156.68)    (157.3, 157.76)     (157.76, 157.88)    (157.88, 158.094)   (158.094, 158.628)  (158.628, 158.84)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhether            Ġit                 Ġwas                Ġdone               Ġfor                Ġuh                 Ġyou                Ġknow               Ġa                  Ġreal               Ġgood               Ġpurpose            Ġto                 Ġhelp               Ġpeople            
Timings          : (158.84, 159.13)    (159.13, 159.21)    (159.21, 159.43)    (159.43, 159.7)     (159.7, 160.093)    (160.613, 160.99)   (161.691, 161.841)  (161.841, 162.041)  (162.041, 162.341)  (162.341, 162.541)  (162.541, 162.701)  (162.701, 163.184)  (163.979, 164.101)  (164.101, 164.291)  (164.291, 164.611) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (158.84, 159.13)    (159.13, 159.21)    (159.21, 159.43)    (159.43, 159.7)     (159.7, 160.093)    (160.613, 160.99)   (161.691, 161.841)  (161.841, 162.041)  (162.041, 162.341)  (162.341, 162.541)  (162.541, 162.701)  (162.701, 163.184)  (163.979, 164.101)  (164.101, 164.291)  (164.291, 164.611) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġcan                't                  Ġafford             Ġuh                 Ġhealth             Ġinsurance          Ġthat               <emp>               Ġkind               Ġof                 Ġthing              <yield>             <emp>               <emp>              
Timings          : (164.611, 164.801)  (164.801, 164.941)  (164.941, 165.081)  (165.081, 165.621)  (165.621, 165.831)  (166.311, 166.671)  (167.441, 168.001)  (168.001, 168.171)  (168.13, 168.4)     (168.431, 168.551)  (168.551, 168.611)  (168.611, 168.701)  (-1.0, -1.0)        (169.518, 169.762)  (170.183, 170.366) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      81952270974978      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <eint>              <emp>               <emp>               Ġwell               Ġi                  Ġi                 
Timings          : (164.611, 164.801)  (164.801, 164.941)  (164.941, 165.081)  (165.081, 165.621)  (165.621, 165.831)  (166.311, 166.671)  (167.441, 168.001)  (168.001, 168.171)  (168.13, 168.4)     (-1.0, -1.0)        (168.551, 168.611)  (168.611, 168.701)  (169.274, 169.518)  (169.518, 169.762)  (170.183, 170.366) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81953881587715      81953881587715      0                   0                   81949586620419      81949586620419      81949586620419     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (170.366, 170.634)  (170.634, 170.854)  (170.854, 171.034)  (171.034, 171.194)  (171.194, 171.504)  (171.504, 171.854)  (171.854, 172.374)  (172.374, 172.624)  (172.624, 172.804)  (172.804, 172.904)  (172.904, 173.084)  (173.084, 173.184)  (173.184, 173.501)  (173.501, 174.096)  (174.096, 174.464) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthink              Ġthe                Ġone                Ġof                 Ġthe                Ġbiggest            Ġproblems           Ġthat               Ġuh                 Ġwe                 Ġsee                Ġin                 Ġgovernment         Ġtoday              Ġis                
Timings          : (170.366, 170.634)  (170.634, 170.854)  (170.854, 171.034)  (171.034, 171.194)  (171.194, 171.504)  (171.504, 171.854)  (171.854, 172.374)  (172.374, 172.624)  (172.624, 172.804)  (172.804, 172.904)  (172.904, 173.084)  (173.084, 173.184)  (173.184, 173.501)  (173.501, 174.096)  (174.096, 174.464) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  Ġoh                 <emp>               Ġsure               <yield>            
Timings          : (174.464, 174.544)  (174.544, 175.084)  (175.084, 175.154)  (175.154, 175.754)  (175.754, 175.814)  (175.814, 175.904)  (175.904, 176.034)  (176.034, 176.621)  (176.86, 176.989)   (176.989, 177.118)  (177.118, 177.248)  (177.248, 177.626)  (177.495, 177.735)  (177.626, 177.89)   (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81949049749508      81949049749508      81949049749508      81949049749508      81949049749508      81949049749508      81949049749508     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġa                  Ġreflection         Ġof                 Ġsociety            Ġin                 Ġand                Ġof                 Ġitself             <eot>               <emp>               <emp>               Ġand                Ġthat               Ġis                 Ġuh                
Timings          : (174.464, 174.544)  (174.544, 175.084)  (175.084, 175.154)  (175.154, 175.754)  (175.754, 175.814)  (175.814, 175.904)  (175.904, 176.034)  (176.034, 176.621)  (-1.0, -1.0)        (176.989, 177.118)  (177.118, 177.248)  (177.295, 177.495)  (177.495, 177.735)  (177.735, 178.175)  (178.175, 178.532) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   4                   4                   4                   4                  
turn_ids         : 81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      81949586620419      0                   0                   81952807845893      81952807845893      81952807845893      81952807845893     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġsure               <eot>               <emp>               <emp>               <emp>              
Timings          : (178.72, 179.167)   (179.167, 179.405)  (179.405, 179.785)  (179.785, 180.045)  (180.045, 180.315)  (180.415, 180.945)  (180.945, 181.115)  (181.115, 181.435)  (181.435, 182.058)  (182.295, 182.485)  (182.715, 183.003)  (-1.0, -1.0)        (183.771, 184.001)  (184.001, 184.271)  (184.271, 184.781) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81949049749510      81949049749510      81949049749510      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : Ġuh                 Ġwe                 Ġbecome             Ġso                 Ġdebt               Ġridden             Ġand                Ġcredit             Ġoriented           <eot>               Ġuh                 Ġinstead            Ġof                 Ġuh                 Ġcash              
Timings          : (178.72, 179.167)   (179.167, 179.405)  (179.405, 179.785)  (179.785, 180.045)  (180.045, 180.315)  (180.415, 180.945)  (180.945, 181.115)  (181.115, 181.435)  (181.435, 182.058)  (-1.0, -1.0)        (182.825, 183.275)  (183.275, 183.771)  (183.771, 184.001)  (184.001, 184.271)  (184.271, 184.781) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   1                   1                   1                   1                   1                  
turn_ids         : 81952807845893      81952807845893      81952807845893      81952807845893      81952807845893      81952807845893      81952807845893      81952807845893      81952807845893      81952807845893      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.781, 184.911)  (184.911, 185.491)  (185.491, 185.771)  (185.771, 186.071)  (186.071, 186.661)  (186.694, 186.8)    (186.8, 186.906)    (186.906, 187.012)  (-1.0, -1.0)        (187.531, 188.151)  (188.151, 188.571)  (188.571, 188.861)  (188.861, 189.101)  (189.101, 189.181)  (189.181, 189.401) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   81951197233156      81951197233156      81951197233156      81951197233156      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġcarry              Ġor                 Ġdebt               Ġfree               <emp>               <emp>               <emp>               Ġand                Ġtherefore          Ġuh                 Ġthat               Ġputs               Ġa                  Ġlot               
Timings          : (184.781, 184.911)  (184.911, 185.491)  (185.491, 185.771)  (185.771, 186.071)  (186.071, 186.661)  (186.694, 186.8)    (186.8, 186.906)    (186.906, 187.012)  (187.361, 187.531)  (187.531, 188.151)  (188.151, 188.571)  (188.571, 188.861)  (188.861, 189.101)  (189.101, 189.181)  (189.181, 189.401) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 Ġit                 Ġsure               Ġdoes               Ġand                Ġi                 
Timings          : (189.401, 189.501)  (189.501, 189.851)  (189.851, 190.471)  (190.471, 190.601)  (190.601, 191.491)  (191.491, 191.911)  (191.911, 192.151)  (192.151, 192.421)  (192.421, 193.041)  (193.599, 193.739)  (193.909, 194.059)  (194.059, 194.269)  (194.269, 194.529)  (194.529, 194.669)  (194.669, 194.828) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġof                 Ġundue              Ġpressure           Ġon                 Ġmunicipalities     Ġstate              Ġand                Ġfederal            Ġgovernments        <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.401, 189.501)  (189.501, 189.851)  (189.851, 190.471)  (190.471, 190.601)  (190.601, 191.491)  (191.491, 191.911)  (191.911, 192.151)  (192.151, 192.421)  (192.421, 193.041)  (-1.0, -1.0)        (193.909, 194.059)  (194.059, 194.269)  (194.269, 194.529)  (194.529, 194.669)  (194.669, 194.828) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      81949586620423      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġthink              Ġit                 Ġit                 Ġis                 Ġreflecting         Ġlike               Ġyou                Ġsaid               Ġi                  Ġthink              Ġsociety            Ġas                 Ġa                  Ġwhole              Ġuh                
Timings          : (194.828, 195.096)  (195.096, 195.219)  (195.219, 195.539)  (195.539, 195.759)  (195.759, 196.339)  (196.339, 196.529)  (196.529, 196.609)  (196.609, 196.909)  (196.909, 196.989)  (196.989, 197.299)  (197.299, 197.989)  (197.989, 198.179)  (198.179, 198.259)  (198.259, 198.775)  (199.32, 199.6)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512      81949049749512     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (194.828, 195.096)  (195.096, 195.219)  (195.219, 195.539)  (195.539, 195.759)  (195.759, 196.339)  (196.339, 196.529)  (196.529, 196.609)  (196.609, 196.909)  (196.909, 196.989)  (196.989, 197.299)  (197.299, 197.989)  (197.989, 198.179)  (198.179, 198.259)  (198.259, 198.775)  (199.32, 199.6)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
