A                : what                 Ġkind                Ġof                  Ġcrime               Ġdo                  Ġyou                 Ġthink               Ġum                 
turn_ids         : 74562242871313       74562242871313       74562242871313       74562242871313       74562242871313       74562242871313       74562242871313       74562242871313      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : Ġvirgin              ia                   Ġdoes                Ġtoo                 Ġup                  Ġhere                <eot>                <emp>               
Timings          : (146.692, 146.916)   (146.916, 147.139)   (147.139, 147.41)    (147.41, 147.62)     (147.62, 147.779)    (147.779, 148.026)   (-1.0, -1.0)         (148.396, 148.532)  
Token Types      : 4                    4                    4                    4                    4                    4                    4                    0                   
turn_ids         : 74564927225874       74564927225874       74564927225874       74564927225874       74564927225874       74564927225874       74564927225874       0                   
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                Ġoh                  Ġdo                 
Timings          : (146.692, 146.916)   (146.916, 147.139)   (147.139, 147.41)    (147.41, 147.62)     (147.62, 147.779)    (147.779, 148.026)   (148.228, 148.396)   (148.396, 148.532)  
Token Types      : 0                    0                    0                    0                    0                    0                    1                    1                   
turn_ids         : 0                    0                    0                    0                    0                    0                    74562242871315       74562242871315      
turn_end_types   : 0                    0                    0                    0                    0                    0                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (148.532, 148.714)   (148.846, 148.928)   (148.928, 148.958)   (148.958, 149.128)   (149.128, 149.168)   (149.168, 149.388)   (149.388, 149.503)   (149.503, 149.618)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthey                Ġyeah                Ġi                   Ġthink               Ġi                   Ġthink               Ġthat                's                  
Timings          : (148.532, 148.714)   (148.846, 148.928)   (148.928, 148.958)   (148.958, 149.128)   (149.128, 149.168)   (149.168, 149.388)   (149.388, 149.503)   (149.503, 149.618)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (149.618, 149.853)   (149.853, 149.902)   (149.902, 150.498)   (150.498, 150.898)   (150.898, 150.988)   (150.988, 151.368)   (151.833, 151.967)   (151.967, 152.023)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġstill               Ġan                  Ġappropriate         Ġpenalty             Ġto                  Ġpay                 Ġif                  Ġthey               
Timings          : (149.618, 149.853)   (149.853, 149.902)   (149.902, 150.498)   (150.498, 150.898)   (150.898, 150.988)   (150.988, 151.368)   (151.833, 151.967)   (151.967, 152.023)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (152.023, 152.078)   (152.078, 152.448)   (152.448, 152.628)   (152.628, 152.718)   (152.718, 152.858)   (152.858, 152.938)   (152.938, 153.148)   (153.148, 153.468)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : 're                  Ġabsolutely          Ġsure                Ġthey                Ġgot                 Ġthe                 Ġright               Ġguy                
Timings          : (152.023, 152.078)   (152.078, 152.448)   (152.448, 152.628)   (152.628, 152.718)   (152.718, 152.858)   (152.858, 152.938)   (152.938, 153.148)   (153.148, 153.468)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (153.468, 153.756)   (154.581, 154.649)   (154.649, 154.728)   (154.728, 155.028)   (155.028, 155.177)   (155.177, 155.326)   (155.416, 155.476)   (155.476, 155.536)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġand                 Ġi                   Ġguess               Ġusually             Ġthey                're                  Ġthey                're                 
Timings          : (153.468, 153.756)   (154.581, 154.649)   (154.649, 154.728)   (154.728, 155.028)   (155.028, 155.177)   (155.177, 155.326)   (155.416, 155.476)   (155.476, 155.536)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (155.536, 155.738)   (155.738, 155.888)   (155.888, 155.988)   (155.988, 156.154)   (156.154, 156.263)   (156.263, 156.458)   (156.458, 156.758)   (156.758, 157.028)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġalways              Ġsure                Ġthey                Ġgot                 Ġthe                 Ġright               Ġguy                 Ġbut                
Timings          : (155.536, 155.738)   (155.738, 155.888)   (155.888, 155.988)   (155.988, 156.154)   (156.154, 156.263)   (156.263, 156.458)   (156.458, 156.758)   (156.758, 157.028)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315       74562242871315      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                Ġyeah                Ġi                   Ġthink               Ġthe                 Ġappeal              Ġprocess             Ġtakes              
Timings          : (157.028, 157.278)   (157.665, 157.803)   (157.803, 157.893)   (157.893, 158.183)   (158.183, 158.482)   (158.55, 158.893)    (158.893, 159.383)   (159.383, 159.653)  
Token Types      : 0                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    74561706000404       74561706000404       74561706000404       74561706000404       74561706000404       74561706000404       74561706000404      
turn_end_types   : 0                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġuh                  <eot>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (157.028, 157.278)   (-1.0, -1.0)         (157.803, 157.893)   (157.893, 158.183)   (158.183, 158.482)   (158.55, 158.893)    (158.893, 159.383)   (159.383, 159.653)  
Token Types      : 1                    1                    0                    0                    0                    0                    0                    0                   
turn_ids         : 74562242871315       74562242871315       0                    0                    0                    0                    0                    0                   
turn_end_types   : 1                    1                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 1                    1                    0                    0                    0                    0                    0                    0                   


A                : Ġtoo                 Ġlong                <eot>                <emp>                <emp>                <emp>                Ġi                   Ġthink              
Timings          : (159.653, 159.843)   (159.843, 160.143)   (-1.0, -1.0)         (160.94, 161.15)     (161.15, 161.31)     (161.31, 161.51)     (161.484, 161.595)   (161.595, 161.98)   
Token Types      : 1                    1                    1                    0                    0                    0                    1                    1                   
turn_ids         : 74561706000404       74561706000404       74561706000404       0                    0                    0                    74561706000406       74561706000406      
turn_end_types   : 1                    1                    1                    0                    0                    0                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                Ġyeah                Ġso                  Ġdo                  Ġi                   <eot>                <emp>               
Timings          : (159.653, 159.843)   (159.843, 160.143)   (160.79, 160.94)     (160.94, 161.15)     (161.15, 161.31)     (161.31, 161.51)     (-1.0, -1.0)         (161.595, 161.98)   
Token Types      : 0                    0                    1                    1                    1                    1                    1                    0                   
turn_ids         : 0                    0                    74562242871317       74562242871317       74562242871317       74562242871317       74562242871317       0                   
turn_end_types   : 0                    0                    1                    1                    1                    1                    1                    0                   
speaker_ids      : 0                    0                    1                    1                    1                    1                    1                    0                   


A                : Ġi                   Ġi                   Ġthink               Ġit                  Ġshould              Ġtake                Ġfrom                Ġconviction         
Timings          : (161.98, 162.223)    (162.434, 162.55)    (162.55, 162.81)     (162.81, 162.93)     (162.93, 163.14)     (163.14, 163.528)    (163.814, 164.129)   (164.404, 165.02)   
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000406       74561706000406       74561706000406       74561706000406       74561706000406       74561706000406       74561706000406       74561706000406      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (161.98, 162.223)    (162.434, 162.55)    (162.55, 162.81)     (162.81, 162.93)     (162.93, 163.14)     (163.14, 163.528)    (163.814, 164.129)   (164.404, 165.02)   
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġto                  Ġexecution           Ġshould              Ġtake                Ġno                  Ġlonger              Ġthan                Ġa                  
Timings          : (165.02, 165.459)    (166.158, 166.98)    (167.16, 167.36)     (167.36, 167.6)      (167.6, 167.71)      (167.71, 168.07)     (168.07, 168.21)     (168.21, 168.293)   
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000406       74561706000406       74561706000406       74561706000406       74561706000406       74561706000406       74561706000406       74561706000406      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (165.02, 165.459)    (166.158, 166.98)    (167.16, 167.36)     (167.36, 167.6)      (167.6, 167.71)      (167.71, 168.07)     (168.07, 168.21)     (168.21, 168.293)   
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġyear                <eot>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (168.293, 168.639)   (-1.0, -1.0)         (169.188, 169.468)   (169.468, 169.648)   (169.648, 169.878)   (169.878, 170.005)   (170.117, 170.188)   (170.188, 170.268)  
Token Types      : 1                    1                    0                    0                    0                    0                    0                    0                   
turn_ids         : 74561706000406       74561706000406       0                    0                    0                    0                    0                    0                   
turn_end_types   : 1                    1                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                Ġyeah                Ġif                  Ġif                  Ġthat                Ġuh                  Ġyou                 Ġknow               
Timings          : (168.293, 168.639)   (168.988, 169.188)   (169.188, 169.468)   (169.468, 169.648)   (169.648, 169.878)   (169.878, 170.005)   (170.117, 170.188)   (170.188, 170.268)  
Token Types      : 0                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 0                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (170.268, 170.338)   (170.338, 170.815)   (171.188, 171.322)   (171.322, 171.518)   (171.518, 171.598)   (171.598, 171.758)   (171.758, 171.918)   (171.918, 172.248)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthe                 Ġsooner              Ġa                   Ġa                   Ġa                   Ġyear                's                   Ġplenty             
Timings          : (170.268, 170.338)   (170.338, 170.815)   (171.188, 171.322)   (171.322, 171.518)   (171.518, 171.598)   (171.598, 171.758)   (171.758, 171.918)   (171.918, 172.248)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                um                   hum                  <ebc>                <emp>               
Timings          : (172.248, 172.318)   (172.318, 172.638)   (173.008, 173.088)   (173.088, 173.218)   (173.156, 173.303)   (173.303, 173.45)    (-1.0, -1.0)         (173.758, 173.838)  
Token Types      : 0                    0                    0                    0                    3                    3                    3                    0                   
turn_ids         : 0                    0                    0                    0                    74563853484044       74563853484044       74563853484044       0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġof                  Ġtime                Ġyou                 Ġknow                <emp>                Ġfor                 Ġsomething           Ġto                 
Timings          : (172.248, 172.318)   (172.318, 172.638)   (173.008, 173.088)   (173.088, 173.218)   (173.156, 173.303)   (173.368, 173.438)   (173.438, 173.758)   (173.758, 173.838)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (173.838, 174.088)   (174.088, 174.235)   (174.235, 174.359)   (174.359, 174.738)   (175.246, 175.388)   (175.388, 175.448)   (175.448, 175.518)   (175.518, 175.588)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġcome                Ġout                 Ġi                   Ġguess               Ġthen                Ġyou                 Ġknow                Ġthere              
Timings          : (173.838, 174.088)   (174.088, 174.235)   (174.235, 174.359)   (174.359, 174.738)   (175.246, 175.388)   (175.388, 175.448)   (175.448, 175.518)   (175.518, 175.588)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (175.588, 175.658)   (175.658, 175.798)   (175.798, 176.068)   (176.068, 176.178)   (176.178, 176.408)   (176.408, 176.488)   (176.488, 176.758)   (176.758, 177.018)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : 's                   Ġbeen                Ġguys                Ġin                  Ġjail                Ġfor                 Ġsix                 Ġyears              
Timings          : (175.588, 175.658)   (175.658, 175.798)   (175.798, 176.068)   (176.068, 176.178)   (176.178, 176.408)   (176.408, 176.488)   (176.488, 176.758)   (176.758, 177.018)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (177.018, 177.128)   (177.128, 177.198)   (177.198, 177.318)   (177.318, 177.478)   (177.478, 177.718)   (177.718, 177.808)   (177.808, 177.898)   (177.898, 178.098)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġand                 Ġthe                 Ġother               Ġguy                 Ġadmits              Ġthat                Ġhe                  Ġdid                
Timings          : (177.018, 177.128)   (177.128, 177.198)   (177.198, 177.318)   (177.318, 177.478)   (177.478, 177.718)   (177.718, 177.808)   (177.808, 177.898)   (177.898, 178.098)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (178.098, 178.188)   (178.188, 178.278)   (178.278, 178.526)   (179.606, 179.685)   (179.685, 179.763)   (179.763, 179.923)   (179.923, 180.063)   (180.063, 180.203)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġit                  Ġand                 Ġthey                Ġit                  's                   Ġlike                Ġwho                 ops                 
Timings          : (178.098, 178.188)   (178.188, 178.278)   (178.278, 178.526)   (179.606, 179.685)   (179.685, 179.763)   (179.763, 179.923)   (179.923, 180.063)   (180.063, 180.203)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319       74562242871319      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : Ġwell                Ġyeah                Ġi                   Ġmean                Ġthe                 Ġsystem              Ġisn                 't                  
Timings          : (181.729, 181.866)   (181.866, 182.271)   (182.351, 182.438)   (182.438, 182.746)   (182.876, 182.966)   (182.966, 183.346)   (183.346, 183.506)   (183.506, 183.666)  
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                Ġbut                 <yield>              <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (181.729, 181.866)   (181.845, 181.934)   (-1.0, -1.0)         (182.438, 182.746)   (182.876, 182.966)   (182.966, 183.346)   (183.346, 183.506)   (183.506, 183.666)  
Token Types      : 1                    1                    1                    0                    0                    0                    0                    0                   
turn_ids         : 74562242871319       74562242871319       74562242871319       0                    0                    0                    0                    0                   
turn_end_types   : 2                    2                    2                    0                    0                    0                    0                    0                   
speaker_ids      : 1                    1                    1                    0                    0                    0                    0                    0                   


A                : Ġperfect             Ġi                   Ġmean                Ġit                  's                   Ġrun                 Ġby                  Ġa                  
Timings          : (183.666, 184.186)   (184.186, 184.226)   (184.226, 184.583)   (184.711, 184.833)   (184.833, 184.956)   (184.956, 185.136)   (185.136, 185.316)   (185.316, 185.366)  
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (183.666, 184.186)   (184.186, 184.226)   (184.226, 184.583)   (184.711, 184.833)   (184.833, 184.956)   (184.956, 185.136)   (185.136, 185.316)   (185.316, 185.366)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġbunch               Ġof                  Ġimperfect           Ġhumans              <emp>                <emp>                Ġyou                 Ġdo                 
Timings          : (185.366, 185.625)   (185.625, 185.944)   (185.993, 186.526)   (186.526, 187.036)   (187.311, 187.521)   (187.521, 187.73)    (187.767, 187.877)   (187.877, 188.037)  
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880       74564927225880      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                Ġum                  hum                  <ebc>                <emp>               
Timings          : (185.366, 185.625)   (185.625, 185.944)   (185.993, 186.526)   (186.526, 187.036)   (187.311, 187.521)   (187.521, 187.73)    (-1.0, -1.0)         (187.877, 188.037)  
Token Types      : 0                    0                    0                    0                    3                    3                    3                    0                   
