A                : have                Ġyou                Ġany                Ġthoughts           <eot>               <emp>               <emp>               <emp>               Ġokay               Ġwell               Ġum                 Ġi                  'll                 Ġtell               Ġyou               
Timings          : (154.108, 154.586)  (154.586, 154.756)  (154.756, 155.026)  (155.026, 155.136)  (155.136, 155.376)  (155.376, 155.616)  (155.616, 155.676)  (155.676, 155.996)  (155.996, 156.106)  (156.106, 156.166)  (156.166, 156.406)  (156.406, 156.516)  (156.516, 156.716)  (156.716, 156.816)  (156.816, 156.996) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġexactly            Ġum                
Timings          : (156.996, 157.106)  (157.106, 157.236)  (157.236, 157.456)  (157.456, 157.574)  (157.797, 158.286)  (158.286, 158.766)  (158.766, 158.986)  (158.986, 159.456)  (159.456, 160.196)  (160.196, 160.296)  (160.296, 160.466)  (160.466, 160.776)  (160.776, 161.202)  (161.537, 162.071)  (162.071, 162.455) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82739323731972      82739323731972     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġit                 Ġis                 Ġnot                Ġto                 Ġinvolve            Ġyourselves         Ġin                 Ġunsafe             Ġpractices          Ġin                 Ġthe                Ġfirst              Ġplace              <eot>               <emp>              
Timings          : (156.996, 157.106)  (157.106, 157.236)  (157.236, 157.456)  (157.456, 157.574)  (157.797, 158.286)  (158.286, 158.766)  (158.766, 158.986)  (158.986, 159.456)  (159.456, 160.196)  (160.196, 160.296)  (160.296, 160.466)  (160.466, 160.776)  (160.776, 161.202)  (-1.0, -1.0)        (162.071, 162.455) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġit                 Ġalthough           Ġi                  Ġwas                Ġuh                 Ġi                  Ġi                  Ġwas                Ġshocked            Ġat                 Ġthe                Ġpublic             Ġum                 Ġuh                 Ġoutrage           
Timings          : (162.455, 162.65)   (162.824, 163.141)  (163.141, 163.3)    (163.3, 163.548)    (163.548, 164.093)  (164.093, 164.343)  (164.746, 164.849)  (164.849, 164.992)  (164.992, 165.491)  (165.491, 165.711)  (165.711, 165.96)   (165.96, 166.487)   (166.487, 167.049)  (167.584, 167.84)   (167.84, 168.509)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (162.455, 162.65)   (162.824, 163.141)  (163.141, 163.3)    (163.3, 163.548)    (163.548, 164.093)  (164.093, 164.343)  (164.746, 164.849)  (164.849, 164.992)  (164.992, 165.491)  (165.491, 165.711)  (165.711, 165.96)   (165.96, 166.487)   (166.487, 167.049)  (167.584, 167.84)   (167.84, 168.509)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġthat               Ġoccurred           Ġafter              Ġafter              Ġi                  Ġuh                 Ġthink              Ġit                 Ġwas                Ġdan                Ġqu                 ay                  le                  Ġwho               
Timings          : (168.509, 169.002)  (169.002, 169.141)  (169.141, 169.511)  (169.511, 169.868)  (170.006, 170.525)  (170.525, 170.657)  (170.657, 170.781)  (170.781, 170.922)  (170.922, 170.986)  (170.986, 171.09)   (171.09, 171.281)   (171.281, 171.378)  (171.378, 171.475)  (171.475, 171.571)  (171.571, 171.691) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (168.509, 169.002)  (169.002, 169.141)  (169.141, 169.511)  (169.511, 169.868)  (170.006, 170.525)  (170.525, 170.657)  (170.657, 170.781)  (170.781, 170.922)  (170.922, 170.986)  (170.986, 171.09)   (171.09, 171.281)   (171.281, 171.378)  (171.378, 171.475)  (171.475, 171.571)  (171.571, 171.691) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsaid               Ġum                 Ġyou                Ġknow               Ġwho                Ġsuggested          Ġthat               Ġmaybe              Ġmaybe              Ġwe                 Ġyou                Ġknow               Ġmaybe              Ġthat               Ġis                
Timings          : (171.691, 172.027)  (172.027, 172.336)  (172.758, 172.824)  (172.824, 172.944)  (172.944, 173.044)  (173.044, 173.664)  (173.664, 173.794)  (173.794, 174.124)  (174.434, 174.715)  (174.715, 174.967)  (175.23, 175.376)   (175.376, 175.484)  (175.484, 175.734)  (175.734, 175.934)  (175.934, 176.034) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.691, 172.027)  (172.027, 172.336)  (172.758, 172.824)  (172.824, 172.944)  (172.944, 173.044)  (173.044, 173.664)  (173.664, 173.794)  (173.794, 174.124)  (174.434, 174.715)  (174.715, 174.967)  (175.23, 175.376)   (175.376, 175.484)  (175.484, 175.734)  (175.734, 175.934)  (175.934, 176.034) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġa                  Ġpossible           Ġand                Ġand                Ġuh                 Ġuh                 Ġlikely             Ġmost               Ġeffective          Ġsolution           Ġis                 Ġyou                Ġknow               Ġabstinence        
Timings          : (176.034, 176.191)  (176.191, 176.449)  (176.449, 177.004)  (177.004, 177.254)  (177.254, 177.594)  (177.594, 177.784)  (178.315, 178.512)  (178.512, 178.832)  (178.832, 179.082)  (179.082, 179.685)  (179.772, 180.37)   (180.37, 180.604)   (180.604, 180.732)  (180.732, 180.852)  (180.852, 181.452) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.034, 176.191)  (176.191, 176.449)  (176.449, 177.004)  (177.004, 177.254)  (177.254, 177.594)  (177.594, 177.784)  (178.315, 178.512)  (178.512, 178.832)  (178.832, 179.082)  (179.082, 179.685)  (179.772, 180.37)   (180.37, 180.604)   (180.604, 180.732)  (180.732, 180.852)  (180.852, 181.452) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġand                Ġyet                Ġthe                Ġa                  Ġlarge              Ġportion            Ġof                 Ġthe                Ġcommunity          Ġsaid               Ġwell               Ġthat               's                  Ġstupid            
Timings          : (181.452, 181.722)  (181.722, 181.852)  (181.852, 182.052)  (182.052, 182.552)  (182.552, 182.622)  (182.622, 182.912)  (182.912, 183.202)  (183.202, 183.262)  (183.262, 183.322)  (183.322, 183.812)  (183.812, 184.082)  (184.082, 184.182)  (184.182, 184.312)  (184.312, 184.442)  (184.442, 184.832) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.452, 181.722)  (181.722, 181.852)  (181.852, 182.052)  (182.052, 182.552)  (182.552, 182.622)  (182.622, 182.912)  (182.912, 183.202)  (183.202, 183.262)  (183.262, 183.322)  (183.322, 183.812)  (183.812, 184.082)  (184.082, 184.182)  (184.182, 184.312)  (184.312, 184.442)  (184.442, 184.832) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġthat               Ġjust               Ġshows              Ġthat               Ġyou                Ġhave               Ġno                 Ġinterest           Ġin                 Ġin                 Ġin                 Ġspending           Ġany               
Timings          : (184.832, 184.922)  (184.922, 185.092)  (185.092, 185.232)  (185.232, 185.422)  (185.422, 185.632)  (185.632, 185.752)  (185.752, 185.912)  (185.912, 186.072)  (186.072, 186.222)  (186.222, 186.592)  (186.592, 186.832)  (186.832, 187.076)  (187.558, 187.722)  (187.722, 188.102)  (188.102, 188.252) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.832, 184.922)  (184.922, 185.092)  (185.092, 185.232)  (185.232, 185.422)  (185.422, 185.632)  (185.632, 185.752)  (185.752, 185.912)  (185.912, 186.072)  (186.072, 186.222)  (186.222, 186.592)  (186.592, 186.832)  (186.832, 187.076)  (187.558, 187.722)  (187.722, 188.102)  (188.102, 188.252) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmoney              Ġon                 Ġthe                Ġon                 Ġthe                Ġproblem            Ġand                Ġi                  Ġthought            Ġthat               Ġthat               Ġthat               Ġthat               Ġthat               's                 
Timings          : (188.252, 188.542)  (188.542, 188.697)  (188.697, 188.844)  (188.844, 188.999)  (188.999, 189.134)  (189.134, 189.422)  (189.422, 189.532)  (189.532, 189.592)  (189.592, 189.85)   (190.469, 190.576)  (190.576, 190.719)  (190.719, 190.891)  (190.891, 191.017)  (191.017, 191.127)  (191.127, 191.238) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (188.252, 188.542)  (188.542, 188.697)  (188.697, 188.844)  (188.844, 188.999)  (188.999, 189.134)  (189.134, 189.422)  (189.422, 189.532)  (189.532, 189.592)  (189.592, 189.85)   (190.469, 190.576)  (190.576, 190.719)  (190.719, 190.891)  (190.891, 191.017)  (191.017, 191.127)  (191.127, 191.238) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġnot                Ġthat               's                  Ġnot                Ġthe                Ġpoint              Ġat                 Ġall                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.238, 191.396)  (191.584, 191.657)  (191.657, 191.73)   (191.73, 191.831)   (191.831, 191.944)  (191.944, 192.118)  (192.118, 192.218)  (192.218, 192.51)   (-1.0, -1.0)        (192.668, 192.87)   (192.87, 193.062)   (193.062, 193.597)  (193.597, 193.99)   (193.99, 194.195)   (194.843, 195.08)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      82739323731972      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthe                Ġthe                Ġproblem            Ġis                 Ġthat               Ġwith              
Timings          : (191.238, 191.396)  (191.584, 191.657)  (191.657, 191.73)   (191.73, 191.831)   (191.831, 191.944)  (191.944, 192.118)  (192.118, 192.218)  (192.218, 192.51)   (192.516, 192.668)  (192.668, 192.87)   (192.87, 193.062)   (193.062, 193.597)  (193.597, 193.99)   (193.99, 194.195)   (194.843, 195.08)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.08, 195.28)    (195.28, 196.09)    (196.09, 196.22)    (196.22, 196.61)    (196.61, 196.8)     (196.8, 197.04)     (197.04, 197.39)    (197.39, 198.36)    (198.608, 198.751)  (198.751, 199.189)  (199.189, 199.68)   (199.68, 199.971)   (199.971, 200.15)   (200.15, 200.421)   (200.421, 200.868) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthis               Ġadministration     Ġat                 Ġleast              Ġwhen               Ġthey               Ġsay                Ġabstinence         Ġthey               Ġoften              Ġcouch              Ġthat               Ġin                 Ġother              Ġthings            
Timings          : (195.08, 195.28)    (195.28, 196.09)    (196.09, 196.22)    (196.22, 196.61)    (196.61, 196.8)     (196.8, 197.04)     (197.04, 197.39)    (197.39, 198.36)    (198.608, 198.751)  (198.751, 199.189)  (199.189, 199.68)   (199.68, 199.971)   (199.971, 200.15)   (200.15, 200.421)   (200.421, 200.868) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (200.97, 201.15)    (201.67, 201.951)   (201.951, 202.221)  (202.221, 202.391)  (202.391, 202.471)  (202.471, 202.73)   (202.73, 203.37)    (203.37, 203.908)   (204.447, 205.008)  (205.008, 205.417)  (205.417, 205.88)   (205.88, 206.06)    (206.31, 206.5)     (206.5, 206.73)     (206.73, 206.78)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġturn               Ġinto               Ġone                Ġof                 Ġthese              Ġmorals             Ġissues             Ġwhich              Ġuh                 Ġmakes              Ġit                 Ġturn               Ġinto               Ġa                 
Timings          : (200.97, 201.15)    (201.67, 201.951)   (201.951, 202.221)  (202.221, 202.391)  (202.391, 202.471)  (202.471, 202.73)   (202.73, 203.37)    (203.37, 203.908)   (204.447, 205.008)  (205.008, 205.417)  (205.417, 205.88)   (205.88, 206.06)    (206.31, 206.5)     (206.5, 206.73)     (206.73, 206.78)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (206.78, 207.46)    (207.46, 207.82)    (207.82, 208.07)    (208.07, 208.19)    (208.19, 208.38)    (208.38, 208.46)    (208.46, 208.84)    (208.84, 208.99)    (208.99, 209.11)    (209.11, 209.37)    (209.37, 209.7)     (209.7, 209.76)     (209.76, 209.84)    (209.84, 210.27)    (210.27, 210.475)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
