A                : uh                  Ġwith               Ġregard             Ġto                 Ġuh                 Ġto                 Ġjury               Ġtrials             Ġi                  Ġyou                Ġknow               Ġi                  Ġi                  Ġreally             Ġfeel              
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġperson             Ġis                 Ġgonna              Ġtake               Ġa                  Ġlook               Ġat                 Ġthat               Ġand                Ġsay                Ġsuspicions         Ġconfirmed          Ġthey               're                 Ġa                 
Timings          : (152.392, 152.962)  (152.962, 153.082)  (153.082, 153.282)  (153.282, 153.512)  (153.512, 153.552)  (153.552, 153.782)  (153.782, 153.872)  (153.872, 154.232)  (154.232, 154.432)  (154.432, 154.798)  (155.274, 156.112)  (156.112, 156.872)  (157.409, 157.491)  (157.491, 157.572)  (157.572, 157.632) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (152.392, 152.962)  (152.962, 153.082)  (153.082, 153.282)  (153.282, 153.512)  (153.512, 153.552)  (153.552, 153.782)  (153.782, 153.872)  (153.872, 154.232)  (154.232, 154.432)  (154.432, 154.798)  (155.274, 156.112)  (156.112, 156.872)  (157.409, 157.491)  (157.491, 157.572)  (157.572, 157.632) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbunch              Ġof                 Ġanimals            Ġyou                Ġknow               Ġhow                Ġcan                Ġyou                Ġreally             Ġdeal               Ġwith               Ġan                 Ġenvironment        Ġwhere              Ġyou               
Timings          : (157.632, 157.932)  (157.932, 157.992)  (157.992, 158.652)  (159.327, 159.396)  (159.396, 159.536)  (159.536, 159.836)  (159.836, 160.016)  (160.016, 160.156)  (160.156, 160.556)  (160.556, 161.056)  (161.056, 161.226)  (161.226, 161.316)  (161.316, 161.966)  (161.966, 162.257)  (162.544, 162.595) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.632, 157.932)  (157.932, 157.992)  (157.992, 158.652)  (159.327, 159.396)  (159.396, 159.536)  (159.536, 159.836)  (159.836, 160.016)  (160.016, 160.156)  (160.156, 160.556)  (160.556, 161.056)  (161.056, 161.226)  (161.226, 161.316)  (161.316, 161.966)  (161.966, 162.257)  (162.544, 162.595) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 're                 Ġgonna              Ġlose               Ġeverything         Ġforty              Ġdeaths             Ġi                  Ġmean               Ġthere              Ġare                Ġforty              <emp>               Ġpeople             Ġthat               Ġare               
Timings          : (162.595, 162.646)  (162.646, 162.836)  (162.836, 163.226)  (163.226, 163.735)  (164.603, 165.017)  (165.017, 165.588)  (165.799, 165.887)  (165.887, 166.117)  (166.117, 166.277)  (166.277, 166.367)  (166.367, 166.777)  (166.58, 166.707)   (166.777, 167.227)  (167.227, 167.347)  (167.347, 167.437) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġknow               <eint>              <emp>               <emp>              
Timings          : (162.595, 162.646)  (162.646, 162.836)  (162.836, 163.226)  (163.226, 163.735)  (164.603, 165.017)  (165.017, 165.588)  (165.799, 165.887)  (165.887, 166.117)  (166.117, 166.277)  (166.277, 166.367)  (166.421, 166.58)   (166.58, 166.707)   (-1.0, -1.0)        (167.227, 167.347)  (167.347, 167.437) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   84015465889804      84015465889804      84015465889804      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  


A                : Ġdead               Ġas                 Ġa                  Ġresult             Ġof                 Ġthat               <yield>             <emp>               <emp>               Ġand                Ġi                  'm                  Ġjust               Ġtrying             Ġto                
Timings          : (167.437, 167.797)  (167.797, 167.957)  (167.957, 168.017)  (168.017, 168.387)  (168.387, 168.497)  (168.497, 168.747)  (-1.0, -1.0)        (168.842, 169.05)   (169.05, 169.712)   (169.936, 170.141)  (170.141, 170.246)  (170.246, 170.351)  (170.351, 170.671)  (170.671, 170.911)  (170.911, 171.079) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      84010634051592      0                   0                   84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġreally             Ġridiculous         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (167.437, 167.797)  (167.797, 167.957)  (167.957, 168.017)  (168.017, 168.387)  (168.387, 168.497)  (168.546, 168.694)  (168.694, 168.842)  (168.842, 169.05)   (169.05, 169.712)   (-1.0, -1.0)        (170.141, 170.246)  (170.246, 170.351)  (170.351, 170.671)  (170.671, 170.911)  (170.911, 171.079) 
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   84014392147977      84014392147977      84014392147977      84014392147977      84014392147977      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġdetermine          Ġyou                Ġknow               Ġhow                Ġyou                Ġaddress            Ġand                Ġhow                Ġyou                Ġweigh              Ġyou                Ġknow               Ġrod                ney                 Ġgetting           
Timings          : (171.15, 171.775)   (172.12, 172.171)   (172.171, 172.231)  (172.231, 172.471)  (172.471, 172.641)  (172.641, 173.551)  (173.551, 173.651)  (173.651, 173.761)  (173.761, 173.911)  (173.911, 174.419)  (174.663, 174.731)  (174.731, 174.851)  (174.851, 175.076)  (175.076, 175.302)  (175.302, 175.693) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.15, 171.775)   (172.12, 172.171)   (172.171, 172.231)  (172.231, 172.471)  (172.471, 172.641)  (172.641, 173.551)  (173.551, 173.651)  (173.651, 173.761)  (173.761, 173.911)  (173.911, 174.419)  (174.663, 174.731)  (174.731, 174.851)  (174.851, 175.076)  (175.076, 175.302)  (175.302, 175.693) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgetting            Ġthe                Ġthe                Ġhell               Ġbeat               Ġout                Ġof                 Ġhim                Ġagainst            Ġyou                Ġknow               Ġforty              Ġdeaths             <yield>             <emp>              
Timings          : (175.693, 176.071)  (176.071, 176.181)  (176.181, 176.371)  (176.371, 176.611)  (176.611, 176.821)  (176.821, 177.021)  (177.021, 177.081)  (177.081, 177.266)  (177.605, 178.171)  (178.171, 178.311)  (178.311, 178.451)  (178.451, 179.019)  (179.019, 179.473)  (-1.0, -1.0)        (179.921, 180.1)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      84010634051594      0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġagainst            Ġforty              Ġother             
Timings          : (175.693, 176.071)  (176.071, 176.181)  (176.181, 176.371)  (176.371, 176.611)  (176.611, 176.821)  (176.821, 177.021)  (177.021, 177.081)  (177.081, 177.266)  (177.605, 178.171)  (178.171, 178.311)  (178.311, 178.451)  (178.451, 179.019)  (179.182, 179.608)  (179.608, 179.921)  (179.921, 180.1)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   84014392147979      84014392147979      84014392147979     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               Ġyeah               Ġand                Ġthere              's                  Ġno                 Ġother              Ġi                  Ġi                  'm                  Ġnot                Ġsure               Ġexactly            Ġsure              
Timings          : (180.1, 180.451)    (180.451, 180.792)  (181.116, 181.311)  (181.311, 181.499)  (181.499, 181.604)  (181.604, 181.709)  (181.709, 182.079)  (182.079, 182.517)  (182.89, 183.019)   (183.019, 183.129)  (183.129, 183.239)  (183.239, 183.519)  (183.519, 183.719)  (183.719, 184.409)  (184.409, 184.993) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġpeople             Ġbeing              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.1, 180.451)    (180.451, 180.792)  (-1.0, -1.0)        (181.311, 181.499)  (181.499, 181.604)  (181.604, 181.709)  (181.709, 182.079)  (182.079, 182.517)  (182.89, 183.019)   (183.019, 183.129)  (183.129, 183.239)  (183.239, 183.519)  (183.519, 183.719)  (183.719, 184.409)  (184.409, 184.993) 
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 84014392147979      84014392147979      84014392147979      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġwhat               Ġthe                Ġcircumstances      Ġsurrounding        Ġthe                Ġdeaths             Ġand                Ġi                  'm                  Ġvery               Ġupset              Ġthat               Ġthe                Ġnews              
Timings          : (185.701, 186.388)  (186.493, 186.739)  (186.739, 186.819)  (186.819, 187.619)  (187.619, 188.129)  (188.129, 188.219)  (188.219, 188.679)  (189.112, 189.25)   (189.25, 189.373)   (189.373, 189.496)  (189.705, 190.181)  (190.181, 190.656)  (190.829, 190.971)  (190.971, 191.061)  (191.061, 191.331) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.701, 186.388)  (186.493, 186.739)  (186.739, 186.819)  (186.819, 187.619)  (187.619, 188.129)  (188.129, 188.219)  (188.219, 188.679)  (189.112, 189.25)   (189.25, 189.373)   (189.373, 189.496)  (189.705, 190.181)  (190.181, 190.656)  (190.829, 190.971)  (190.971, 191.061)  (191.061, 191.331) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmedia              Ġhas                Ġnot                Ġidentified         Ġthose              Ġdeaths             <emp>               Ġand                Ġand                Ġpursued            Ġit                 Ġyou                Ġknow               Ġbecause            Ġi                 
Timings          : (191.331, 191.791)  (191.791, 192.071)  (192.071, 192.321)  (192.321, 193.072)  (193.456, 193.701)  (193.701, 194.159)  (194.223, 194.418)  (194.527, 194.841)  (194.841, 195.021)  (195.021, 195.471)  (195.471, 195.602)  (195.821, 195.941)  (195.941, 196.051)  (196.051, 196.411)  (196.411, 196.536) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthose              Ġdeaths             <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.331, 191.791)  (191.791, 192.071)  (192.071, 192.321)  (192.321, 193.072)  (193.456, 193.701)  (193.701, 194.159)  (194.223, 194.418)  (194.418, 194.818)  (-1.0, -1.0)        (195.021, 195.471)  (195.471, 195.602)  (195.821, 195.941)  (195.941, 196.051)  (196.051, 196.411)  (196.411, 196.536) 
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   84015465889807      84015465889807      84015465889807      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : 'm                  Ġinterested         Ġin                 Ġthe                Ġcircumstances      Ġsurrounding        Ġthis               Ġthing              Ġis                 Ġit                 Ġa                  Ġloot               er                  Ġthat               Ġgot               
Timings          : (196.536, 196.661)  (196.661, 197.259)  (197.598, 197.681)  (197.681, 197.761)  (197.761, 198.571)  (198.571, 199.041)  (199.041, 199.261)  (199.261, 199.491)  (200.174, 200.316)  (200.316, 200.426)  (200.426, 200.466)  (200.466, 200.651)  (200.651, 200.836)  (200.836, 200.956)  (200.956, 201.176) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (196.536, 196.661)  (196.661, 197.259)  (197.598, 197.681)  (197.681, 197.761)  (197.761, 198.571)  (198.764, 198.949)  (198.949, 199.134)  (-1.0, -1.0)        (200.174, 200.316)  (200.316, 200.426)  (200.426, 200.466)  (200.466, 200.651)  (200.651, 200.836)  (200.836, 200.956)  (200.956, 201.176) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   84013318406153      84013318406153      84013318406153      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġshot               Ġby                 Ġa                  Ġstore              Ġowner              Ġi                  Ġyou                Ġknow               Ġno                 <emp>               Ġtears              <yield>             <emp>               <emp>               <emp>              
Timings          : (201.176, 201.506)  (201.506, 201.646)  (201.646, 201.706)  (201.706, 201.996)  (201.996, 202.273)  (203.268, 203.477)  (203.477, 203.617)  (203.617, 203.786)  (203.786, 204.026)  (203.884, 203.954)  (204.026, 204.461)  (-1.0, -1.0)        (204.546, 204.64)   (204.64, 204.964)   (204.964, 205.244) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      84010634051596      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġor                 <emp>               Ġjust               Ġa                  Ġbystand            er                  Ġan                 Ġinnocent           Ġbystand           
Timings          : (201.176, 201.506)  (201.506, 201.646)  (201.646, 201.706)  (201.706, 201.996)  (201.996, 202.273)  (203.268, 203.477)  (203.437, 203.653)  (203.617, 203.786)  (203.721, 203.884)  (203.884, 203.954)  (203.996, 204.076)  (204.076, 204.156)  (204.546, 204.64)   (204.64, 204.964)   (204.964, 205.244) 
Token Types      : 0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   84014392147981      84014392147981      84014392147981      84014392147981      84014392147981      84014392147981      84014392147981      84014392147981      84014392147981     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġand                Ġand                Ġso                 Ġi                 
Timings          : (205.244, 205.524)  (205.524, 205.664)  (205.664, 206.004)  (206.004, 206.274)  (206.455, 207.074)  (207.074, 207.304)  (207.304, 207.394)  (207.394, 207.674)  (207.674, 207.856)  (208.041, 208.329)  (208.63, 208.962)   (209.137, 209.337)  (209.337, 209.537)  (209.537, 209.857)  (209.857, 210.117) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   84013855277070      84013855277070      84013855277070      84013855277070      84013855277070     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
