A                : my                  Ġfeelings           Ġon                 Ġcrime              Ġbeing              Ġup                 Ġhere               Ġin                 Ġro                 chester             Ġwe                 're                 Ġin                 Ġwestern            Ġnew               
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : ah                  <eot>               Ġthey               Ġhave               Ġmetal              Ġdetectors          Ġhere               Ġand                Ġall                Ġthat               Ġin                 Ġthe                Ġcounty             Ġcourts             Ġbecause           
Timings          : (158.244, 158.448)  (-1.0, -1.0)        (159.234, 159.373)  (159.373, 159.543)  (159.543, 159.843)  (159.843, 160.523)  (160.523, 160.783)  (160.783, 160.893)  (160.893, 161.083)  (161.083, 161.303)  (161.303, 161.413)  (161.413, 161.636)  (161.899, 162.203)  (162.203, 162.773)  (162.773, 163.22)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458890      81330574458890      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892      81330574458892     
turn_end_types   : 1                   1                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġi                  Ġbet                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (158.362, 158.523)  (158.523, 158.863)  (-1.0, -1.0)        (159.373, 159.543)  (159.543, 159.843)  (159.843, 160.523)  (160.523, 160.783)  (160.783, 160.893)  (160.893, 161.083)  (161.083, 161.303)  (161.303, 161.413)  (161.413, 161.636)  (161.899, 162.203)  (162.203, 162.773)  (162.778, 162.999) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 81331111329803      81331111329803      81331111329803      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81334332555277     
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyou                're                 Ġin                 Ġyou                're                 Ġin                 Ġsee                Ġmost              
Timings          : (-1.0, -1.0)        (163.288, 163.389)  (163.389, 163.529)  (163.529, 163.628)  (163.628, 163.798)  (163.798, 164.148)  (164.701, 164.832)  (164.832, 164.997)  (164.997, 165.162)  (165.162, 165.342)  (165.342, 165.447)  (165.447, 165.552)  (165.552, 165.795)  (165.795, 166.042)  (166.042, 166.352) 
Token Types      : 1                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458892      0                   0                   0                   0                   0                   81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894     
turn_end_types   : 2                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthey               Ġthey               Ġhave               Ġit                 Ġhere               Ġalso               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (162.999, 163.288)  (163.288, 163.389)  (163.389, 163.529)  (163.529, 163.628)  (163.628, 163.798)  (163.798, 164.148)  (-1.0, -1.0)        (164.832, 164.997)  (164.997, 165.162)  (165.162, 165.342)  (165.342, 165.447)  (165.447, 165.552)  (165.552, 165.795)  (165.795, 166.042)  (166.042, 166.352) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81334332555277      81334332555277      81334332555277      81334332555277      81334332555277      81334332555277      81334332555277      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġthe                Ġtime               Ġwhen               Ġyou                Ġthink              Ġfl                 or                  ida                 Ġthe                Ġmost               Ġbiggest            Ġcrime              Ġthat               Ġi                 
Timings          : (166.352, 166.412)  (166.412, 166.472)  (166.472, 166.732)  (166.732, 166.832)  (166.832, 166.912)  (166.912, 167.132)  (167.132, 167.305)  (167.305, 167.479)  (167.479, 167.652)  (167.652, 167.742)  (167.742, 168.004)  (168.113, 168.392)  (168.392, 168.712)  (168.712, 168.832)  (168.832, 169.008) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (166.352, 166.412)  (166.412, 166.472)  (166.472, 166.732)  (166.732, 166.832)  (166.832, 166.912)  (166.912, 167.132)  (167.132, 167.305)  (167.305, 167.479)  (167.479, 167.652)  (167.652, 167.742)  (167.742, 168.004)  (168.113, 168.392)  (168.392, 168.712)  (168.712, 168.832)  (168.832, 169.008) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġrecall             Ġcan                Ġthink              Ġabout              Ġthat               Ġi                  Ġhear               Ġabout              Ġall                Ġthe                Ġtime               Ġis                 Ġd                  wi                  Ġdown              
Timings          : (169.362, 169.537)  (169.537, 169.882)  (169.882, 170.132)  (170.132, 170.531)  (170.764, 170.86)   (170.86, 171.092)   (171.092, 171.292)  (171.292, 171.532)  (171.532, 171.652)  (171.652, 171.712)  (171.712, 171.972)  (171.972, 172.092)  (172.092, 172.442)  (172.442, 172.792)  (172.792, 173.092) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894      81330574458894     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.362, 169.537)  (169.537, 169.882)  (169.882, 170.132)  (170.132, 170.531)  (170.764, 170.86)   (170.86, 171.092)   (171.092, 171.292)  (171.292, 171.532)  (171.532, 171.652)  (171.652, 171.712)  (171.712, 171.972)  (171.972, 172.092)  (172.092, 172.442)  (172.442, 172.792)  (172.792, 173.092) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthere              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.092, 173.311)  (-1.0, -1.0)        (174.161, 174.742)  (174.742, 175.122)  (175.122, 175.182)  (175.182, 175.842)  (175.842, 175.992)  (175.992, 176.175)  (176.175, 176.358)  (176.358, 176.542)  (176.542, 176.891)  (176.891, 177.111)  (177.111, 177.514)  (177.514, 177.917)  (177.917, 178.171) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81330574458894      81330574458894      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġno                 Ġactually           Ġum                 Ġthe                Ġuniversity         Ġof                 Ġfl                 or                  ida                 Ġin                 Ġuh                 Ġgain               esville             Ġwhich             
Timings          : (173.092, 173.311)  (173.962, 174.161)  (174.161, 174.742)  (174.742, 175.122)  (175.122, 175.182)  (175.182, 175.842)  (175.842, 175.992)  (175.992, 176.175)  (176.175, 176.358)  (176.358, 176.542)  (176.542, 176.891)  (176.891, 177.111)  (177.111, 177.514)  (177.514, 177.917)  (177.917, 178.171) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.171, 178.561)  (178.561, 179.152)  (179.152, 179.342)  (179.342, 179.462)  (179.462, 179.721)  (179.721, 180.081)  (180.081, 180.221)  (180.221, 180.402)  (180.402, 180.551)  (180.551, 180.766)  (181.267, 181.394)  (181.394, 181.521)  (181.521, 181.932)  (181.932, 182.287)  (182.908, 183.0)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġis                 Ġabout              Ġtwo                Ġor                 Ġthree              Ġhours              Ġfrom               Ġwhere              Ġi                  Ġlive               Ġthere              's                  Ġbeen               Ġuh                 Ġthere             
Timings          : (178.171, 178.561)  (178.561, 179.152)  (179.152, 179.342)  (179.342, 179.462)  (179.462, 179.721)  (179.721, 180.081)  (180.081, 180.221)  (180.221, 180.402)  (180.402, 180.551)  (180.551, 180.766)  (181.267, 181.394)  (181.394, 181.521)  (181.521, 181.932)  (181.932, 182.287)  (182.908, 183.0)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (183.0, 183.093)    (183.093, 183.233)  (183.233, 183.653)  (183.653, 184.063)  (184.063, 184.293)  (184.293, 184.413)  (184.413, 184.483)  (184.483, 184.863)  (184.863, 185.303)  (185.694, 185.843)  (185.843, 185.953)  (185.953, 186.213)  (186.213, 186.683)  (186.683, 186.86)   (187.244, 187.733) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġbeen               Ġserial             Ġkillers            Ġthere              Ġfor                Ġthe                Ġlast               Ġtwo                Ġtwo                Ġto                 Ġthree              Ġyears              Ġand                Ġum                
Timings          : (183.0, 183.093)    (183.093, 183.233)  (183.233, 183.653)  (183.653, 184.063)  (184.063, 184.293)  (184.293, 184.413)  (184.413, 184.483)  (184.483, 184.863)  (184.863, 185.303)  (185.694, 185.843)  (185.843, 185.953)  (185.953, 186.213)  (186.213, 186.683)  (186.683, 186.86)   (187.244, 187.733) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (187.733, 187.858)  (187.858, 187.983)  (187.983, 188.173)  (188.173, 188.672)  (189.214, 189.673)  (189.673, 189.893)  (189.893, 190.133)  (190.133, 190.473)  (190.473, 190.773)  (190.773, 191.003)  (191.003, 191.233)  (191.233, 191.677)  (192.182, 192.273)  (192.273, 192.573)  (192.573, 192.773) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               'll                 Ġgo                 Ġthrough            Ġone                Ġtwo                Ġthree              Ġfour               Ġsix                Ġseven              Ġeight              Ġgirls              Ġthey               Ġcaught             Ġone               
Timings          : (187.733, 187.858)  (187.858, 187.983)  (187.983, 188.173)  (188.173, 188.672)  (189.214, 189.673)  (189.673, 189.893)  (189.893, 190.133)  (190.133, 190.473)  (190.473, 190.773)  (190.773, 191.003)  (191.003, 191.233)  (191.233, 191.677)  (192.182, 192.273)  (192.273, 192.573)  (192.573, 192.773) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (192.773, 193.123)  (193.123, 193.383)  (193.383, 193.513)  (193.513, 193.913)  (194.188, 194.493)  (194.493, 194.653)  (194.653, 194.753)  (194.753, 195.113)  (195.113, 195.433)  (195.433, 195.702)  (196.06, 196.213)   (196.213, 196.753)  (196.753, 197.005)  (197.526, 197.866)  (197.866, 198.076) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġguy                Ġand                Ġthen               Ġno                 Ġsooner             Ġhad                Ġthey               Ġcaught             Ġhim                Ġand                Ġand                Ġconvicted          Ġhim                Ġa                  Ġfew               
Timings          : (192.773, 193.123)  (193.123, 193.383)  (193.383, 193.513)  (193.513, 193.913)  (194.188, 194.493)  (194.493, 194.653)  (194.653, 194.753)  (194.753, 195.113)  (195.113, 195.433)  (195.433, 195.702)  (196.06, 196.213)   (196.213, 196.753)  (196.753, 197.005)  (197.526, 197.866)  (197.866, 198.076) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (198.076, 198.376)  (198.376, 198.636)  (198.636, 198.756)  (198.756, 198.906)  (198.906, 199.186)  (199.186, 199.586)  (199.586, 199.916)  (199.916, 200.246)  (200.246, 200.396)  (200.396, 201.069)  (201.069, 201.48)   (201.48, 201.836)   (201.836, 201.996)  (201.996, 202.156)  (202.156, 202.377) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmonths             Ġlater              Ġthere              Ġwas                Ġanother            Ġserial             Ġkiller             Ġkilling            Ġthese              Ġcollege            Ġage                Ġgirls              Ġthat               Ġare                Ġuh                
Timings          : (198.076, 198.376)  (198.376, 198.636)  (198.636, 198.756)  (198.756, 198.906)  (198.906, 199.186)  (199.186, 199.586)  (199.586, 199.916)  (199.916, 200.246)  (200.246, 200.396)  (200.396, 201.069)  (201.069, 201.48)   (201.48, 201.836)   (201.836, 201.996)  (201.996, 202.156)  (202.156, 202.377) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġremember           Ġseeing             Ġthat               Ġon                 Ġthe                Ġnews               Ġi                 
Timings          : (202.377, 202.646)  (202.646, 202.736)  (202.736, 202.796)  (202.796, 203.306)  (203.306, 203.566)  (203.566, 203.77)   (203.961, 204.134)  (204.134, 204.194)  (204.194, 204.624)  (204.624, 205.014)  (205.014, 205.194)  (205.194, 205.334)  (205.334, 205.414)  (205.414, 205.784)  (205.784, 206.021) 
Token Types      : 0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81333795684368      81333795684368      81333795684368      81333795684368      81333795684368      81333795684368      81333795684368      81333795684368      81333795684368     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġliving             Ġon                 Ġthe                Ġcampus             Ġdown               Ġthere              <emp>               <emp>               Ġor                 <yield>             <emp>               <emp>               <emp>               Ġand                Ġso                
Timings          : (202.377, 202.646)  (202.646, 202.736)  (202.736, 202.796)  (202.796, 203.306)  (203.306, 203.566)  (203.566, 203.77)   (203.961, 204.134)  (204.134, 204.194)  (204.207, 204.488)  (-1.0, -1.0)        (205.014, 205.194)  (205.194, 205.334)  (205.334, 205.414)  (205.428, 205.767)  (205.767, 206.182) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   4                   4                  
turn_ids         : 81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      81331111329807      0                   0                   0                   81334332555281      81334332555281     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (206.887, 206.977)  (206.977, 207.027)  (207.027, 207.237)  (207.237, 207.307)  (207.307, 207.687)  (207.687, 208.077)  (208.077, 208.157)  (208.157, 208.237)  (208.237, 208.336)  (208.847, 208.932)  (208.932, 209.017)  (209.017, 209.067)  (209.067, 209.277)  (209.277, 209.477) 
Token Types      : 4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81333795684368      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
