A                : um                  Ġa                  Ġlot                Ġof                 Ġcompanies          Ġnow                Ġare                Ġare                Ġusing              Ġuh                 Ġdrug               Ġtesting            Ġuh                 Ġparap              hern               
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               Ġgo                 <emp>               Ġinto               <emp>               Ġto                 Ġto                 Ġsupport            <emp>               Ġdrug               <emp>               Ġhabit              <yield>             <emp>               Ġyeah              
Timings          : (186.483, 186.543)  (186.554, 186.754)  (186.643, 186.703)  (186.754, 187.054)  (186.833, 186.933)  (187.054, 187.204)  (187.204, 187.374)  (187.374, 187.784)  (187.593, 187.743)  (187.784, 187.994)  (187.853, 187.953)  (187.994, 188.354)  (-1.0, -1.0)        (188.591, 188.937)  (189.113, 189.323) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  
turn_ids         : 81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      81863150403590      0                   81863150403592     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  

B                : Ġyou                Ġgot                Ġto                 Ġlook               Ġat                 Ġprohibition        <emp>               Ġthough             Ġyou                Ġhad                Ġthe                Ġsame               Ġproblems           Ġthere              Ġright             
Timings          : (186.483, 186.543)  (186.543, 186.643)  (186.643, 186.703)  (186.703, 186.833)  (186.833, 186.933)  (186.933, 187.423)  (187.204, 187.374)  (187.423, 187.593)  (187.593, 187.743)  (187.743, 187.853)  (187.853, 187.953)  (187.953, 188.183)  (188.183, 188.591)  (188.591, 188.937)  (188.937, 189.246) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975      81866908499975     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyou                Ġknow               Ġthey               Ġthey               Ġsupport            Ġdrug               Ġhabits             Ġwith               Ġuh                 Ġwith               Ġuh                 Ġyou                Ġyou                Ġknow               Ġwith              
Timings          : (189.393, 189.453)  (189.453, 189.513)  (189.513, 189.663)  (189.663, 189.773)  (189.773, 190.153)  (190.153, 190.373)  (190.373, 190.77)   (190.77, 190.977)   (190.977, 191.236)  (191.711, 191.953)  (191.953, 192.283)  (192.283, 192.313)  (192.313, 192.453)  (192.453, 192.573)  (192.573, 193.283) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (189.453, 189.513)  (189.513, 189.663)  (189.663, 189.773)  (189.773, 190.153)  (190.153, 190.373)  (190.373, 190.77)   (190.77, 190.977)   (190.977, 191.236)  (191.711, 191.953)  (191.953, 192.283)  (192.283, 192.313)  (192.313, 192.453)  (192.453, 192.573)  (192.573, 193.283) 
Token Types      : 4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81866908499975      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthings             Ġlike               Ġuh                 Ġyou                Ġknow               Ġburglary           Ġor                 Ġor                 Ġprostitution       Ġor                 Ġstuff              Ġlike               Ġthat               Ġyeah               Ġyeah              
Timings          : (193.283, 193.593)  (193.593, 193.933)  (193.933, 194.113)  (194.113, 194.253)  (194.253, 194.403)  (194.773, 195.343)  (195.343, 195.547)  (195.724, 195.993)  (195.993, 196.823)  (196.823, 196.923)  (196.923, 197.153)  (197.153, 197.333)  (197.333, 197.583)  (197.583, 197.99)   (197.99, 198.226)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592      81863150403592     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyeah               <emp>               Ġsure               <emp>               <emp>               <emp>               Ġwell              
Timings          : (193.283, 193.593)  (193.593, 193.933)  (193.933, 194.113)  (194.113, 194.253)  (194.253, 194.403)  (194.773, 195.343)  (195.343, 195.547)  (195.826, 196.07)   (196.07, 196.402)   (196.823, 196.923)  (196.892, 197.42)   (197.153, 197.333)  (197.333, 197.583)  (197.583, 197.99)   (198.087, 198.226) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (198.306, 198.516)  (198.516, 198.696)  (198.696, 198.826)  (198.826, 198.956)  (198.956, 199.23)   (199.444, 199.636)  (199.636, 199.726)  (199.726, 199.876)  (199.876, 199.946)  (199.946, 200.415)  (200.415, 200.498)  (200.498, 200.766)  (200.766, 201.046)  (201.046, 201.111) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81863150403592      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġgoes               Ġback               Ġto                 Ġthe                Ġagain              Ġif                 Ġyou                Ġlook               Ġat                 Ġprohibition        Ġi                  Ġmean               Ġbecause            Ġit                
Timings          : (198.226, 198.306)  (198.306, 198.516)  (198.516, 198.696)  (198.696, 198.826)  (198.826, 198.956)  (198.956, 199.23)   (199.444, 199.636)  (199.636, 199.726)  (199.726, 199.876)  (199.876, 199.946)  (199.946, 200.415)  (200.415, 200.498)  (200.498, 200.766)  (200.766, 201.046)  (201.046, 201.111) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (201.111, 201.176)  (201.176, 201.526)  (201.526, 201.616)  (201.616, 201.936)  (201.936, 202.276)  (202.464, 202.546)  (202.546, 202.666)  (202.666, 202.816)  (202.816, 203.233)  (203.757, 203.825)  (203.825, 204.013)  (204.013, 204.256)  (204.256, 204.346)  (204.346, 204.416)  (204.416, 204.536) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġillegal            Ġit                 Ġcosts              Ġmore               Ġif                 Ġit                 Ġwas                Ġlegal              Ġi                  Ġmean               Ġface               Ġit                 Ġyou                Ġcan               
Timings          : (201.111, 201.176)  (201.176, 201.526)  (201.526, 201.616)  (201.616, 201.936)  (201.936, 202.276)  (202.464, 202.546)  (202.546, 202.666)  (202.666, 202.816)  (202.816, 203.233)  (203.757, 203.825)  (203.825, 204.013)  (204.013, 204.256)  (204.256, 204.346)  (204.346, 204.416)  (204.416, 204.536) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                 
Timings          : (204.536, 204.883)  (205.124, 205.606)  (205.606, 205.796)  (205.796, 206.226)  (206.226, 206.346)  (206.346, 206.536)  (206.536, 206.656)  (206.656, 206.726)  (206.726, 206.956)  (206.956, 207.246)  (207.246, 207.416)  (207.416, 207.896)  (208.107, 208.234)  (208.234, 208.444)  (208.444, 208.689) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81863150403594      81863150403594      81863150403594     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġbuy                Ġpharmaceutical     Ġgrade              Ġcocaine            Ġfor                Ġwhat               Ġten                Ġor                 Ġtwenty             Ġdollars            Ġan                 Ġounce              <eot>               <emp>               <emp>              
Timings          : (204.536, 204.883)  (205.124, 205.606)  (205.606, 205.796)  (205.796, 206.226)  (206.226, 206.346)  (206.346, 206.536)  (206.536, 206.656)  (206.656, 206.726)  (206.726, 206.956)  (206.956, 207.246)  (207.246, 207.416)  (207.416, 207.896)  (-1.0, -1.0)        (208.234, 208.444)  (208.444, 208.689) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      81866908499977      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġi                  Ġmust               <emp>               Ġadmit              <emp>               <emp>               Ġthat               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (208.689, 208.862)  (208.862, 209.242)  (209.098, 209.198)  (209.242, 209.522)  (209.288, 209.378)  (209.378, 209.568)  (209.592, 209.882)  (-1.0, -1.0)        (209.988, 210.158)  (210.158, 210.258)  (210.258, 210.328)  (210.328, 210.448)  (210.448, 210.538)  (210.538, 210.688)  (210.688, 210.758) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81863150403594      81863150403594      81863150403594      81863150403594      81863150403594      81863150403594      81863150403594      81863150403594      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġclearly            Ġif                 Ġyou                're                 Ġinto               Ġco                 ke                  Ġand                Ġall                Ġyou                Ġwanna              Ġdo                 Ġis                 Ġyou               
Timings          : (208.658, 208.768)  (208.768, 209.098)  (209.098, 209.198)  (209.198, 209.288)  (209.288, 209.378)  (209.378, 209.568)  (209.648, 209.818)  (209.818, 209.988)  (209.988, 210.158)  (210.158, 210.258)  (210.258, 210.328)  (210.328, 210.448)  (210.448, 210.538)  (210.538, 210.688)  (210.688, 210.758) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               hm                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (210.758, 210.938)  (211.058, 211.163)  (211.163, 211.268)  (211.234, 211.494)  (-1.0, -1.0)        (211.618, 211.718)  (211.718, 211.788)  (211.788, 211.898)  (211.898, 212.218)  (212.218, 212.678)  (212.678, 212.758)  (212.758, 212.858)  (212.858, 213.098)  (213.098, 213.198)  (213.198, 213.318) 
Token Types      : 0                   0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   81867445370887      81867445370887      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġsn                 ort                 Ġyour               Ġbrains             Ġout                Ġall                Ġday                Ġlong               Ġif                 Ġit                 Ġwas                Ġlegal              Ġyou                Ġcould             
Timings          : (210.758, 210.938)  (211.058, 211.163)  (211.163, 211.268)  (211.268, 211.358)  (211.358, 211.618)  (211.618, 211.718)  (211.718, 211.788)  (211.788, 211.898)  (211.898, 212.218)  (212.218, 212.678)  (212.678, 212.758)  (212.758, 212.858)  (212.858, 213.098)  (213.098, 213.198)  (213.198, 213.318) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (213.318, 213.408)  (213.408, 213.488)  (213.488, 213.648)  (213.648, 213.958)  (213.958, 214.158)  (214.158, 214.248)  (214.248, 214.338)  (214.338, 214.423)  (214.423, 214.508)  (214.508, 214.608)  (214.608, 214.668)  (214.668, 214.898)  (214.898, 214.978)  (214.978, 215.228)  (215.228, 215.358) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdo                 Ġit                 Ġreal               Ġcheap              Ġand                Ġyou                Ġknow               Ġyou                'd                  Ġbe                 Ġa                  Ġmenace             Ġto                 Ġnobody             Ġbut               
Timings          : (213.318, 213.408)  (213.408, 213.488)  (213.488, 213.648)  (213.648, 213.958)  (213.958, 214.158)  (214.158, 214.248)  (214.248, 214.338)  (214.338, 214.423)  (214.423, 214.508)  (214.508, 214.608)  (214.608, 214.668)  (214.668, 214.898)  (214.898, 214.978)  (214.978, 215.228)  (215.228, 215.358) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
Timings          : (215.358, 215.728)  (215.728, 215.788)  (215.788, 215.908)  (215.908, 215.968)  (215.968, 216.048)  (216.048, 216.258)  (216.258, 216.338)  (216.338, 216.488)  (216.488, 216.588)  (216.588, 216.738)  (216.738, 216.848)  (217.131, 217.451)  (-1.0, -1.0)        (217.985, 218.256)  (218.256, 218.431) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81865297887239      81865297887239      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : Ġyourself           Ġas                 Ġlong               Ġas                 Ġyou                Ġstayed             Ġat                 Ġhome               Ġand                Ġdid                Ġit                 <emp>               Ġbut                Ġyeah               Ġget               
Timings          : (215.358, 215.728)  (215.728, 215.788)  (215.788, 215.908)  (215.908, 215.968)  (215.968, 216.048)  (216.048, 216.258)  (216.258, 216.338)  (216.338, 216.488)  (216.488, 216.588)  (216.588, 216.738)  (216.738, 216.848)  (217.131, 217.451)  (217.639, 217.856)  (217.985, 218.256)  (218.256, 218.431) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979      81866908499979     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               Ġi                  Ġi                  Ġmust               Ġmust               Ġadmit              Ġthat               Ġthe                Ġthe                Ġproduction         Ġcosts              Ġof                 Ġof                 Ġthese             
Timings          : (218.819, 219.199)  (220.15, 220.327)   (220.327, 220.524)  (220.524, 220.664)  (220.664, 220.835)  (220.835, 221.1)    (221.1, 221.38)     (221.38, 221.57)    (221.57, 221.68)    (221.68, 221.88)    (221.88, 222.33)    (222.33, 222.69)    (222.69, 222.865)   (223.211, 223.38)   (223.38, 223.58)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġum                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (218.819, 219.199)  (-1.0, -1.0)        (220.327, 220.524)  (220.524, 220.664)  (220.664, 220.835)  (220.835, 221.1)    (221.1, 221.38)     (221.38, 221.57)    (221.57, 221.68)    (221.68, 221.88)    (221.88, 222.33)    (222.33, 222.69)    (222.69, 222.865)   (223.211, 223.38)   (223.38, 223.58)   
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81866908499979      81866908499979      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdrugs              Ġare                Ġare                Ġz                  ipp                 o                   Ġcompared           Ġto                 Ġthe                Ġstreet             Ġmarket             Ġcosts              <emp>               Ġand                Ġthe               
Timings          : (223.58, 224.02)    (224.02, 224.33)    (224.33, 224.7)     (224.7, 224.817)    (224.817, 224.933)  (224.933, 225.05)   (225.05, 225.5)     (225.5, 225.63)     (225.63, 225.74)    (225.74, 226.02)    (226.02, 226.43)    (226.43, 226.83)    (226.738, 226.898)  (226.83, 226.98)    (226.98, 227.096)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596      81863150403596     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyeah               Ġwell               Ġthat              
Timings          : (223.58, 224.02)    (224.02, 224.33)    (224.33, 224.7)     (224.7, 224.817)    (224.817, 224.933)  (224.933, 225.05)   (225.05, 225.5)     (225.5, 225.63)     (225.63, 225.74)    (225.74, 226.02)    (226.02, 226.43)    (226.628, 226.738)  (226.738, 226.898)  (226.898, 226.988)  (226.988, 227.072) 
