A                : ste                 ve                  Ġuh                 Ġwith               Ġthe                Ġelection           Ġyear               Ġand                Ġwhat               not                 Ġcoming             Ġup                 Ġdo                 Ġyou                Ġthink
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0


A                : Ġwith               Ġyou                Ġknow               Ġthe                Ġthe                Ġfull               Ġfederal            Ġmoney              Ġand                Ġeverything         Ġseem               Ġto                 Ġappear             Ġas                 Ġas
Timings          : (136.981, 137.171)  (137.261, 137.351)  (137.351, 137.451)  (137.451, 137.651)  (137.651, 137.751)  (137.751, 137.961)  (137.961, 138.351)  (138.351, 138.731)  (138.731, 138.831)  (138.831, 139.221)  (140.287, 140.536)  (140.536, 140.676)  (140.676, 141.146)  (141.146, 141.416)  (141.416, 141.965)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (136.981, 137.171)  (137.261, 137.351)  (137.351, 137.451)  (137.451, 137.651)  (137.651, 137.751)  (137.751, 137.961)  (137.961, 138.351)  (138.351, 138.731)  (138.731, 138.831)  (138.831, 139.221)  (140.287, 140.536)  (140.536, 140.676)  (140.676, 141.146)  (141.146, 141.416)  (141.416, 141.965)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0


A                : Ġalmost             Ġas                 Ġlike               Ġpolitical          Ġfavors             Ġto                 Ġto                 Ġvery               Ġstrong             Ġpoliticians        <eot>               <emp>               <emp>               <emp>               <emp>
Timings          : (142.334, 142.616)  (142.616, 142.746)  (142.746, 142.926)  (142.926, 143.356)  (143.356, 143.876)  (143.876, 144.34)   (144.34, 144.584)   (145.405, 145.626)  (145.626, 146.226)  (146.226, 146.931)  (-1.0, -1.0)        (148.71, 148.816)   (148.816, 148.922)  (148.922, 149.105)  (149.105, 149.287)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0
turn_ids         : 74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      74441446916102      0                   0                   0                   0
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 's                  Ġit                 's
Timings          : (142.334, 142.616)  (142.616, 142.746)  (142.746, 142.926)  (142.926, 143.356)  (143.356, 143.876)  (143.876, 144.34)   (144.34, 144.584)   (145.405, 145.626)  (145.626, 146.226)  (146.226, 146.931)  (148.199, 148.51)   (148.71, 148.816)   (148.816, 148.922)  (148.922, 149.105)  (149.105, 149.287)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   74441983787015      74441983787015      74441983787015      74441983787015      74441983787015
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (149.287, 149.436)  (149.436, 149.584)  (149.584, 149.799)  (149.799, 150.139)  (150.139, 150.369)  (150.369, 150.489)  (150.489, 150.739)  (150.739, 150.889)  (150.889, 150.989)  (150.989, 151.119)  (151.119, 151.409)  (151.409, 151.559)  (151.559, 151.739)  (151.739, 151.849)  (151.849, 152.069)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġit                 's                  Ġfunny              Ġbecause            Ġuh                 Ġit                 Ġwas                Ġone                Ġof                 Ġthe                Ġthings             Ġthat               Ġbush               Ġis                 Ġbeen
Timings          : (149.287, 149.436)  (149.436, 149.584)  (149.584, 149.799)  (149.799, 150.139)  (150.139, 150.369)  (150.369, 150.489)  (150.489, 150.739)  (150.739, 150.889)  (150.889, 150.989)  (150.989, 151.119)  (151.119, 151.409)  (151.409, 151.559)  (151.559, 151.739)  (151.739, 151.849)  (151.849, 152.069)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (152.611, 152.809)  (152.809, 153.019)  (153.019, 153.179)  (153.179, 153.239)  (153.239, 153.429)  (153.429, 153.569)  (153.569, 153.709)  (153.709, 153.869)  (153.869, 154.203)  (154.203, 154.361)  (154.361, 154.659)  (154.659, 154.899)  (154.899, 155.283)  (155.806, 156.139)  (156.139, 156.399)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġtrying             Ġreally             Ġhard               Ġto                 Ġget                Ġa                  hold                Ġof                 Ġis                 Ġthe                Ġline               Ġitem               Ġveto               Ġwhere              Ġuh
Timings          : (152.611, 152.809)  (152.809, 153.019)  (153.019, 153.179)  (153.179, 153.239)  (153.239, 153.429)  (153.429, 153.569)  (153.569, 153.709)  (153.709, 153.869)  (153.869, 154.203)  (154.203, 154.361)  (154.361, 154.659)  (154.659, 154.899)  (154.899, 155.283)  (155.806, 156.139)  (156.139, 156.399)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (156.829, 156.909)  (156.909, 157.089)  (157.089, 157.559)  (157.559, 157.679)  (157.679, 157.869)  (157.869, 157.989)  (157.989, 158.409)  (158.409, 158.549)  (158.549, 158.859)  (158.859, 159.116)  (159.763, 160.175)  (160.175, 160.535)  (160.535, 161.135)  (161.135, 161.57)   (161.57, 162.384)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġyou                Ġknow               Ġcongress           Ġis                 Ġable               Ġto                 Ġattach             Ġall                Ġkinds              Ġof                 Ġuh                 Ġfunny              Ġamendments         Ġfor                Ġindividual
Timings          : (156.829, 156.909)  (156.909, 157.089)  (157.089, 157.559)  (157.559, 157.679)  (157.679, 157.869)  (157.869, 157.989)  (157.989, 158.409)  (158.409, 158.549)  (158.549, 158.859)  (158.859, 159.116)  (159.763, 160.175)  (160.175, 160.535)  (160.535, 161.135)  (161.135, 161.57)   (161.57, 162.384)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (163.045, 163.447)  (163.699, 163.925)  (163.925, 164.455)  (164.455, 165.245)  (165.312, 165.425)  (165.425, 165.538)  (165.538, 165.65)   (-1.0, -1.0)        (165.815, 166.015)  (166.015, 166.285)  (166.285, 166.525)  (166.525, 167.035)  (167.035, 167.251)  (168.588, 168.669)  (168.669, 168.9)
Token Types      : 0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   74443594399750      74443594399750      74443594399750      74443594399750      0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġuh                 Ġcongressional      Ġcongressional      Ġdistricts          Ġto                 <emp>               Ġthe                Ġto                 Ġthe                Ġmain               Ġbudget             Ġproposals          Ġand                Ġthe                Ġpoor
Timings          : (163.045, 163.447)  (163.699, 163.925)  (163.925, 164.455)  (164.455, 165.245)  (165.245, 165.505)  (165.425, 165.538)  (165.505, 165.695)  (165.695, 165.815)  (165.815, 166.015)  (166.015, 166.285)  (166.285, 166.525)  (166.525, 167.035)  (167.035, 167.251)  (168.588, 168.669)  (168.669, 168.9)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġso                 Ġit                 Ġsounds
Timings          : (168.9, 169.359)    (169.359, 169.657)  (169.951, 170.21)   (170.21, 170.63)    (170.63, 170.909)   (171.609, 171.79)   (171.79, 172.109)   (172.109, 172.169)  (172.169, 172.449)  (172.449, 172.52)   (172.52, 172.71)    (172.71, 173.171)   (174.447, 174.584)  (174.584, 174.684)  (174.684, 174.894)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   74441446916104      74441446916104      74441446916104
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġpresident          Ġhas                Ġhas                Ġto                 Ġuh                 Ġeither             Ġaccept             Ġor                 Ġreject             Ġthe                Ġwhole              Ġthing              <eot>               <emp>               <emp>
Timings          : (168.9, 169.359)    (169.359, 169.657)  (169.951, 170.21)   (170.21, 170.63)    (170.63, 170.909)   (171.609, 171.79)   (171.79, 172.109)   (172.109, 172.169)  (172.169, 172.449)  (172.449, 172.52)   (172.52, 172.71)    (172.71, 173.171)   (-1.0, -1.0)        (174.584, 174.684)  (174.684, 174.894)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0
turn_ids         : 74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      74441983787015      0                   0
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0


A                : Ġlike               Ġyou                Ġuh                 Ġyou                Ġthink              Ġthat               Ġthat               Ġwe                 'd                  Ġbe                 Ġable               Ġto                 Ġsave               Ġsome               Ġmoney
Timings          : (174.894, 175.074)  (175.074, 175.394)  (175.394, 175.688)  (175.872, 175.964)  (175.964, 176.224)  (176.224, 176.485)  (176.485, 176.724)  (176.724, 176.789)  (176.789, 176.854)  (176.854, 176.924)  (176.924, 177.044)  (177.044, 177.104)  (177.104, 177.294)  (177.294, 177.434)  (177.434, 177.694)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (174.894, 175.074)  (175.074, 175.394)  (175.394, 175.688)  (175.872, 175.964)  (175.964, 176.224)  (176.224, 176.485)  (176.485, 176.724)  (176.724, 176.789)  (176.789, 176.854)  (176.854, 176.924)  (176.924, 177.044)  (177.044, 177.104)  (177.104, 177.294)  (177.294, 177.434)  (177.434, 177.694)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0


A                : Ġby                 Ġuh                 Ġpassing            Ġthe                Ġline               Ġitem               Ġveto               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (177.694, 177.994)  (177.994, 178.318)  (178.638, 178.934)  (178.934, 178.994)  (178.994, 179.134)  (179.134, 179.304)  (179.304, 179.641)  (-1.0, -1.0)        (179.846, 179.966)  (179.966, 180.196)  (180.196, 180.276)  (180.276, 180.486)  (180.486, 180.656)  (180.656, 180.916)  (180.916, 181.026)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      74441446916104      0                   0                   0                   0                   0                   0                   0
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               Ġuh                 <eint>              <emp>               <emp>               <emp>               Ġi                  Ġi                  Ġthink              Ġthe                Ġline               Ġitem               Ġveto               Ġis
Timings          : (177.694, 177.994)  (177.994, 178.318)  (178.579, 178.808)  (-1.0, -1.0)        (178.994, 179.134)  (179.134, 179.304)  (179.304, 179.641)  (179.696, 179.846)  (179.846, 179.966)  (179.966, 180.196)  (180.196, 180.276)  (180.276, 180.486)  (180.486, 180.656)  (180.656, 180.916)  (180.916, 181.026)
Token Types      : 0                   0                   5                   5                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 0                   0                   74446278754310      74446278754310      0                   0                   0                   74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (181.026, 181.193)  (181.193, 181.356)  (181.612, 181.766)  (181.766, 181.986)  (181.986, 182.626)  (182.626, 182.666)  (182.666, 182.936)  (182.936, 183.226)  (183.226, 183.716)  (183.716, 184.052)  (184.052, 184.421)  (184.836, 185.18)   (185.73, 185.893)   (186.097, 186.297)  (186.297, 186.853)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġnot                Ġnot                Ġis                 Ġnot                Ġnecessarily        Ġa                  Ġbad                Ġthing              Ġassuming           Ġthat               Ġthe                Ġuh                 Ġthe                Ġthe                Ġpresident
Timings          : (181.026, 181.193)  (181.193, 181.356)  (181.612, 181.766)  (181.766, 181.986)  (181.986, 182.626)  (182.626, 182.666)  (182.666, 182.936)  (182.936, 183.226)  (183.226, 183.716)  (183.716, 184.052)  (184.052, 184.421)  (184.836, 185.18)   (185.73, 185.893)   (186.097, 186.297)  (186.297, 186.853)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (187.222, 187.906)  (188.407, 188.787)  (188.787, 188.921)  (189.44, 189.517)   (189.517, 189.697)  (189.697, 189.857)  (189.857, 190.127)  (190.127, 190.649)  (192.001, 192.157)  (192.157, 192.357)  (192.357, 192.457)  (192.457, 192.902)  (193.339, 193.577)  (193.577, 193.687)  (193.687, 193.857)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġuh                 Ġuses               Ġit                 Ġto                 Ġget                Ġrid                Ġof                 Ġuh                 Ġthis               Ġkind               Ġof                 Ġwaste              Ġon                 Ġthe                Ġother
Timings          : (187.222, 187.906)  (188.407, 188.787)  (188.787, 188.921)  (189.44, 189.517)   (189.517, 189.697)  (189.697, 189.857)  (189.857, 190.127)  (190.127, 190.649)  (192.001, 192.157)  (192.157, 192.357)  (192.357, 192.457)  (192.457, 192.902)  (193.339, 193.577)  (193.577, 193.687)  (193.687, 193.857)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (193.857, 194.317)  (194.317, 194.431)  (195.401, 195.501)  (196.047, 196.187)  (196.187, 196.435)  (196.435, 196.763)  (196.763, 196.853)  (196.853, 196.913)  (196.913, 197.043)  (197.043, 197.243)  (197.243, 197.303)  (197.303, 197.763)  (197.763, 197.823)  (197.823, 197.913)  (197.913, 198.303)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġhand               Ġuh                 Ġuh                 Ġit                 Ġit                 Ġassumes            Ġthat               Ġyou                Ġhave               Ġlots               Ġof                 Ġconfidence         Ġin                 Ġyour               Ġpresident
Timings          : (193.857, 194.317)  (194.317, 194.431)  (195.401, 195.501)  (196.047, 196.187)  (196.187, 196.435)  (196.435, 196.763)  (196.763, 196.853)  (196.853, 196.913)  (196.913, 197.043)  (197.043, 197.243)  (197.243, 197.303)  (197.303, 197.763)  (197.763, 197.823)  (197.823, 197.913)  (197.913, 198.303)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017      74441983787017
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
