A                : ok                  ay                  Ġi                  'm                  Ġhere               Ġhow                Ġdo                 Ġyou                Ġfeel               Ġabout              Ġthe                Ġpublic             Ġschools            <eot>               <emp>              
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82913269907476      82913269907476      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 're                 Ġnot                Ġat                 Ġliberty            <emp>               Ġto                 Ġdo                 Ġsomething          Ġabout              Ġit                 Ġother              Ġthan               Ġgive               Ġthem               Ġon                
Timings          : (165.01, 165.16)    (165.16, 165.53)    (165.53, 165.68)    (165.68, 166.296)   (167.459, 167.789)  (168.18, 168.282)   (168.282, 168.502)  (168.502, 168.892)  (168.892, 169.202)  (169.202, 169.332)  (169.332, 169.592)  (169.592, 169.882)  (169.882, 170.062)  (170.062, 170.281)  (170.281, 170.522) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               Ġthat               's                  Ġthat               's                 
Timings          : (170.522, 170.992)  (170.992, 171.712)  (171.712, 171.812)  (171.812, 172.082)  (172.082, 172.239)  (172.239, 172.392)  (172.392, 172.525)  (172.525, 172.783)  (172.783, 173.042)  (172.973, 173.524)  (173.509, 173.715)  (173.678, 173.969)  (173.969, 174.26)   (174.26, 174.395)   (174.395, 174.53)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82914343649298      82914343649298      82914343649298      82914343649298      82914343649298      82914343649298     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġcampus             Ġisolation          Ġor                 Ġsend               Ġthem               Ġto                 Ġthe                Ġprincipal          's                  Ġoffice             Ġand                <emp>               <emp>               Ġit                 <yield>            
Timings          : (170.522, 170.992)  (170.992, 171.712)  (171.712, 171.812)  (171.812, 172.082)  (172.082, 172.239)  (172.239, 172.392)  (172.392, 172.525)  (172.525, 172.783)  (172.783, 173.042)  (173.042, 173.509)  (173.509, 173.715)  (173.678, 173.969)  (173.969, 174.26)   (174.288, 174.552)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737      82911659294737     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġone                Ġthing              Ġi                  Ġworry              Ġabout              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.53, 174.72)    (174.72, 174.91)    (174.91, 175.01)    (175.01, 175.301)   (175.301, 175.669)  (-1.0, -1.0)        (176.124, 176.212)  (176.212, 176.383)  (176.383, 176.547)  (176.547, 176.664)  (176.664, 176.82)   (176.82, 177.023)   (177.023, 177.253)  (177.253, 177.482)  (177.482, 177.622) 
Token Types      : 4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82914343649298      82914343649298      82914343649298      82914343649298      82914343649298      82914343649298      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 Ġyou                Ġknow               Ġit                 Ġcan                Ġyou                Ġit                 Ġcan                Ġreally             Ġbe                
Timings          : (174.53, 174.72)    (174.72, 174.91)    (174.91, 175.01)    (175.01, 175.301)   (175.301, 175.669)  (175.922, 175.997)  (176.124, 176.212)  (176.212, 176.383)  (176.383, 176.547)  (176.547, 176.664)  (176.664, 176.82)   (176.82, 177.023)   (177.023, 177.253)  (177.253, 177.482)  (177.482, 177.622) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthere             
Timings          : (177.622, 178.036)  (178.447, 178.769)  (178.905, 179.703)  (179.703, 179.971)  (179.971, 180.401)  (182.171, 182.333)  (182.333, 182.562)  (182.562, 182.643)  (182.643, 182.923)  (182.923, 183.146)  (183.146, 183.42)   (184.827, 185.163)  (185.163, 185.5)    (185.5, 185.836)    (185.892, 186.136) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82911122423828     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġbad                Ġuh                 Ġalso               Ġi                  Ġthink              Ġwe                 Ġhave               Ġa                  Ġlot                Ġof                 Ġuh                 Ġhis                pan                 ics                 <eot>              
Timings          : (177.622, 178.036)  (178.447, 178.769)  (178.905, 179.703)  (179.703, 179.971)  (179.971, 180.401)  (182.171, 182.333)  (182.333, 182.562)  (182.562, 182.643)  (182.643, 182.923)  (182.923, 183.146)  (183.146, 183.42)   (184.827, 185.163)  (185.163, 185.5)    (185.5, 185.836)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739      82911659294739     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyou                Ġgo                 Ġu                  hh                  uh                  <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (186.136, 186.266)  (186.266, 186.574)  (186.574, 186.681)  (186.681, 186.789)  (186.789, 186.896)  (-1.0, -1.0)        (187.245, 187.455)  (187.455, 187.535)  (187.535, 187.835)  (187.835, 188.135)  (188.135, 188.451)  (188.869, 189.022)  (189.433, 189.505)  (189.505, 189.845)  (189.845, 189.975) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82911122423828      82911122423828      82911122423828      82911122423828      82911122423828      82911122423828      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġand                <emp>               Ġwe                 Ġhave               Ġa                  Ġlot                Ġof                 Ġuh                 Ġuh                 Ġthe                Ġcounty             Ġi                 
Timings          : (186.136, 186.266)  (186.266, 186.574)  (186.574, 186.681)  (186.712, 187.155)  (186.789, 186.896)  (187.155, 187.245)  (187.245, 187.455)  (187.455, 187.535)  (187.535, 187.835)  (187.835, 188.135)  (188.135, 188.451)  (188.869, 189.022)  (189.433, 189.505)  (189.505, 189.845)  (189.845, 189.975) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġprobably           Ġquite              Ġa                  Ġfew                Ġblack             
Timings          : (189.975, 190.188)  (190.188, 190.331)  (190.331, 190.475)  (190.475, 190.829)  (191.021, 191.394)  (191.394, 191.506)  (191.506, 192.235)  (192.235, 192.335)  (192.335, 192.875)  (192.841, 193.099)  (193.292, 193.487)  (193.487, 193.697)  (193.697, 193.737)  (193.737, 193.897)  (193.897, 194.167) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82914343649302      82914343649302      82914343649302      82914343649302      82914343649302      82914343649302     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġam                 Ġi                  'm                  Ġin                 Ġuh                 Ġthe                Ġminorities         Ġare                Ġmostly             Ġhis                panic               <yield>             <emp>               <emp>               <emp>              
Timings          : (189.975, 190.188)  (190.188, 190.331)  (190.331, 190.475)  (190.475, 190.829)  (191.021, 191.394)  (191.394, 191.506)  (191.506, 192.235)  (192.235, 192.335)  (192.335, 192.875)  (192.875, 193.168)  (193.168, 193.461)  (-1.0, -1.0)        (193.697, 193.737)  (193.737, 193.897)  (193.897, 194.167) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      82911659294741      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġpeople             Ġup                 Ġthere              Ġand                Ġand                <eot>               <emp>               <emp>               <emp>               Ġno                 <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (194.167, 194.467)  (194.467, 194.627)  (194.627, 194.967)  (194.967, 195.277)  (195.277, 195.627)  (-1.0, -1.0)        (196.294, 196.461)  (196.461, 196.628)  (196.628, 196.815)  (196.762, 197.024)  (-1.0, -1.0)        (197.275, 197.426)  (197.637, 197.781)  (197.781, 197.909)  (197.909, 198.038) 
Token Types      : 4                   4                   4                   4                   4                   4                   0                   0                   0                   5                   5                   0                   0                   0                   0                  
turn_ids         : 82914343649302      82914343649302      82914343649302      82914343649302      82914343649302      82914343649302      0                   0                   0                   82915417391130      82915417391130      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġwe                 're                 Ġfrom               Ġa                  Ġcounty             Ġand                Ġuh                 Ġwe                 're                
Timings          : (194.167, 194.467)  (194.467, 194.627)  (194.627, 194.967)  (194.967, 195.277)  (195.277, 195.627)  (195.484, 195.935)  (196.294, 196.461)  (196.461, 196.628)  (196.628, 196.815)  (196.815, 196.898)  (196.98, 197.275)   (197.275, 197.426)  (197.637, 197.781)  (197.781, 197.909)  (197.909, 198.038) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġis                 Ġthat               Ġright              <eint>              <emp>               <emp>              
Timings          : (198.038, 198.175)  (198.175, 198.245)  (198.245, 198.655)  (198.655, 198.795)  (198.795, 199.251)  (199.251, 200.021)  (200.021, 200.088)  (200.088, 200.155)  (200.133, 200.32)   (200.32, 200.41)    (200.41, 200.58)    (200.58, 200.78)    (-1.0, -1.0)        (200.983, 201.295)  (201.295, 201.585) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82915417391131      82915417391131      82915417391131      82915417391131      82915417391131      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġfrom               Ġthe                Ġcounty             Ġthey               Ġmarched            Ġin                 Ġwe                 're                 Ġin                 <emp>               Ġfor                sy                  th                  Ġcounty             Ġyes               
Timings          : (198.038, 198.175)  (198.175, 198.245)  (198.245, 198.655)  (198.655, 198.795)  (198.795, 199.251)  (199.251, 200.021)  (200.021, 200.088)  (200.088, 200.155)  (200.155, 200.278)  (200.32, 200.41)    (200.391, 200.588)  (200.588, 200.786)  (200.786, 200.983)  (200.983, 201.295)  (201.295, 201.585) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġokay               <eint>              <emp>               <emp>               <emp>              
Timings          : (201.585, 201.735)  (201.735, 201.845)  (201.845, 202.115)  (202.115, 202.239)  (202.239, 202.363)  (202.491, 202.775)  (202.775, 202.995)  (202.995, 203.205)  (203.205, 203.825)  (203.849, 204.146)  (204.146, 204.474)  (-1.0, -1.0)        (204.794, 205.054)  (205.054, 205.304)  (205.635, 205.795) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82915417391132      82915417391132      82915417391132      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : Ġand                Ġwe                 Ġand                Ġthere              's                  Ġvery               Ġvery               Ġfew                Ġblacks             <emp>               <emp>               Ġuh                 Ġso                 Ġuh                 Ġso                
Timings          : (201.585, 201.735)  (201.735, 201.845)  (201.845, 202.115)  (202.115, 202.239)  (202.239, 202.363)  (202.491, 202.775)  (202.775, 202.995)  (202.995, 203.205)  (203.205, 203.825)  (203.849, 204.146)  (204.146, 204.474)  (204.488, 204.794)  (204.794, 205.054)  (205.054, 205.304)  (205.635, 205.795) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (205.795, 206.07)   (206.07, 206.345)   (206.345, 206.678)  (208.087, 208.341)  (208.341, 208.435)  (208.435, 208.695)  (208.695, 208.805)  (208.805, 209.062)  (209.405, 209.53)   (209.53, 209.655)   (209.655, 209.875)  (209.875, 209.915)  (209.915, 210.706)  (210.706, 211.095)  (211.095, 211.381) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               's                  Ġum                 Ġi                  Ġi                  Ġhate               Ġto                 Ġsay                Ġit                 's                  Ġnot                Ġa                  Ġproblem            Ġuh                 Ġbecause           
Timings          : (205.795, 206.07)   (206.07, 206.345)   (206.345, 206.678)  (208.087, 208.341)  (208.341, 208.435)  (208.435, 208.695)  (208.695, 208.805)  (208.805, 209.062)  (209.405, 209.53)   (209.53, 209.655)   (209.655, 209.875)  (209.875, 209.915)  (209.915, 210.706)  (210.706, 211.095)  (211.095, 211.381) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġbut                Ġyou                Ġknow               Ġit                
Timings          : (211.381, 211.475)  (211.475, 211.725)  (211.725, 211.795)  (211.795, 211.995)  (211.995, 212.255)  (212.255, 212.415)  (212.415, 212.615)  (212.615, 212.655)  (212.655, 213.175)  (213.175, 213.495)  (213.559, 213.955)  (213.955, 214.147)  (214.403, 214.503)  (214.503, 214.649)  (214.649, 214.792) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82914343649304      82914343649304      82914343649304      82914343649304      82914343649304     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġi                  Ġhate               Ġto                 Ġfeel               Ġlike               Ġthey               Ġare                Ġa                  Ġproblem            Ġalthough           Ġthey               Ġare                <yield>             <emp>               <emp>              
Timings          : (211.381, 211.475)  (211.475, 211.725)  (211.725, 211.795)  (211.795, 211.995)  (211.995, 212.255)  (212.255, 212.415)  (212.415, 212.615)  (212.615, 212.655)  (212.655, 213.175)  (213.175, 213.495)  (213.495, 213.755)  (213.755, 214.124)  (-1.0, -1.0)        (214.503, 214.649)  (214.649, 214.792) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      82911659294743      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġit                 Ġit                 's                  Ġyou                Ġdon                't                  Ġwant               Ġto                 Ġseem               Ġracist             Ġor                 Ġprejudice          Ġor                 Ġwhatever           Ġbut               
Timings          : (214.792, 214.932)  (214.932, 215.115)  (215.115, 215.298)  (215.298, 215.443)  (215.443, 215.538)  (215.538, 215.633)  (215.633, 215.803)  (215.803, 215.863)  (215.863, 216.453)  (216.453, 217.073)  (217.073, 217.403)  (217.403, 218.023)  (218.023, 218.183)  (218.183, 218.671)  (218.987, 219.263) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304      82914343649304     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (214.792, 214.932)  (214.932, 215.115)  (215.115, 215.298)  (215.298, 215.443)  (215.443, 215.538)  (215.538, 215.633)  (215.633, 215.803)  (215.803, 215.863)  (215.863, 216.453)  (216.453, 217.073)  (217.073, 217.403)  (217.403, 218.023)  (218.023, 218.183)  (218.183, 218.671)  (218.987, 219.263) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
