A                : been                Ġon                 Ġthe                Ġline               Ġfor                Ġawhile             Ġi                  Ġalmost             Ġforgot             Ġwhat               Ġthe                Ġtopic              Ġwas                <eot>               <emp>              
speaker_ids      : 0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġstigma             Ġyou                Ġknow               <emp>               Ġwhere              Ġuh                 Ġlike               Ġa                  Ġlot                Ġof                 Ġpeople             Ġare                Ġsaying             Ġwell              
Timings          : (147.878, 148.088)  (148.088, 148.781)  (149.562, 149.706)  (149.706, 150.468)  (150.738, 151.16)   (151.419, 151.872)  (151.872, 152.338)  (152.338, 152.548)  (152.548, 152.598)  (152.598, 152.738)  (152.738, 152.798)  (152.798, 153.028)  (153.028, 153.158)  (153.158, 153.488)  (153.488, 153.648) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (153.648, 153.698)  (153.698, 153.938)  (153.938, 154.258)  (154.258, 154.308)  (154.308, 154.638)  (154.638, 154.978)  (154.978, 155.148)  (155.148, 155.178)  (155.178, 155.303)  (155.303, 155.428)  (155.428, 155.678)  (155.678, 155.838)  (155.838, 156.441)  (156.441, 156.584)  (156.669, 157.186) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82019916709904     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġi                  Ġonly               Ġsmoked             Ġa                  Ġjoint              Ġlast               Ġnight              Ġi                  Ġdon                't                  Ġhave               Ġany                Ġproblems           Ġyou                Ġknow              
Timings          : (153.648, 153.698)  (153.698, 153.938)  (153.938, 154.258)  (154.258, 154.308)  (154.308, 154.638)  (154.638, 154.978)  (154.978, 155.148)  (155.148, 155.178)  (155.178, 155.303)  (155.303, 155.428)  (155.428, 155.678)  (155.678, 155.838)  (155.838, 156.441)  (156.441, 156.584)  (156.584, 157.548) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               Ġand                Ġthen               Ġi                  Ġkind               Ġof                 Ġhear               Ġit                 Ġgoes               Ġinto               Ġlike               Ġuh                 Ġthis              
Timings          : (-1.0, -1.0)        (157.688, 158.118)  (158.118, 158.388)  (158.539, 158.616)  (158.616, 158.71)   (158.71, 158.838)   (158.838, 159.027)  (159.027, 159.148)  (159.148, 159.334)  (159.334, 159.4)    (159.4, 159.672)    (159.672, 160.115)  (160.115, 160.525)  (160.525, 161.109)  (161.109, 161.264) 
Token Types      : 3                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82019916709904      0                   0                   82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġor                 Ġsomething          Ġlike               Ġthat               <emp>               <emp>               Ġyeah               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.548, 157.688)  (157.688, 158.118)  (158.118, 158.388)  (158.388, 158.79)   (158.616, 158.71)   (158.71, 158.838)   (158.79, 158.967)   (-1.0, -1.0)        (159.148, 159.334)  (159.334, 159.4)    (159.4, 159.672)    (159.672, 160.115)  (160.115, 160.525)  (160.525, 161.109)  (161.109, 161.264) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      82018306097161      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġis                 Ġjust               Ġsomething          Ġi                  've                 Ġheard              Ġthat               Ġit                 Ġkind               Ġof                 Ġgoes               Ġinto               Ġlike               Ġuh                 Ġjust              
Timings          : (161.264, 161.376)  (161.376, 161.606)  (162.096, 162.495)  (162.495, 162.555)  (162.555, 162.615)  (162.615, 162.935)  (162.935, 163.086)  (163.414, 163.505)  (163.505, 163.735)  (163.735, 163.815)  (163.815, 164.095)  (164.095, 164.455)  (164.455, 164.842)  (164.842, 165.075)  (165.075, 165.425) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (161.264, 161.376)  (161.376, 161.606)  (162.096, 162.495)  (162.495, 162.555)  (162.555, 162.615)  (162.615, 162.935)  (162.935, 163.086)  (163.414, 163.505)  (163.505, 163.735)  (163.735, 163.815)  (163.815, 164.095)  (164.095, 164.455)  (164.455, 164.842)  (164.842, 165.075)  (165.075, 165.425) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyour               Ġoff                Ġthe                Ġcounter            Ġmedication         Ġthat               Ġyou                Ġcould              Ġbe                 Ġtaking             Ġfor                Ġa                  Ġcold               Ġthat               Ġit                
Timings          : (165.425, 165.622)  (165.965, 166.215)  (166.215, 166.344)  (166.344, 166.934)  (167.288, 167.835)  (167.835, 168.005)  (168.005, 168.065)  (168.065, 168.185)  (168.185, 168.305)  (168.305, 168.665)  (168.665, 168.895)  (168.895, 168.935)  (168.935, 169.535)  (169.535, 169.645)  (169.645, 169.715) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (165.425, 165.622)  (165.965, 166.215)  (166.215, 166.344)  (166.344, 166.934)  (167.288, 167.835)  (167.835, 168.005)  (168.005, 168.065)  (168.065, 168.185)  (168.185, 168.305)  (168.305, 168.665)  (168.665, 168.895)  (168.895, 168.935)  (168.935, 169.535)  (169.535, 169.645)  (169.645, 169.715) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġkind               Ġof                 Ġaffects            Ġthat               Ġtoo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.715, 170.005)  (170.005, 170.105)  (170.105, 170.535)  (170.535, 170.825)  (170.825, 171.41)   (-1.0, -1.0)        (171.936, 172.385)  (172.385, 172.576)  (172.576, 172.776)  (172.776, 173.116)  (173.116, 173.365)  (173.365, 173.465)  (173.465, 173.566)  (173.566, 173.635)  (173.635, 173.876) 
Token Types      : 4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      82020990451722      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġanything           Ġwith               Ġan                 Ġa                  Ġyou                Ġknow               Ġif                 Ġyou                Ġdrink             
Timings          : (169.715, 170.005)  (170.005, 170.105)  (170.105, 170.535)  (170.535, 170.825)  (170.825, 171.41)   (171.679, 171.936)  (171.936, 172.385)  (172.385, 172.576)  (172.576, 172.776)  (172.776, 173.116)  (173.116, 173.365)  (173.365, 173.465)  (173.465, 173.566)  (173.566, 173.635)  (173.635, 173.876) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġi                  Ġdidn               't                  Ġknow               Ġthat               <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (173.876, 173.926)  (173.926, 174.096)  (174.096, 174.165)  (174.165, 174.978)  (175.574, 175.737)  (175.737, 175.837)  (175.837, 175.927)  (175.927, 176.017)  (176.017, 176.13)   (176.13, 176.53)    (-1.0, -1.0)        (176.846, 177.236)  (177.236, 177.355)  (177.355, 177.755)  (177.755, 178.025) 
Token Types      : 0                   0                   0                   0                   5                   5                   5                   5                   5                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82022064193555      82022064193555      82022064193555      82022064193555      82022064193555      82022064193555      82022064193555      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġa                  Ġlot                Ġof                 Ġcaffeine           Ġor                 <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġsomebody           Ġwas                Ġsaying             Ġtelling           
Timings          : (173.876, 173.926)  (173.926, 174.096)  (174.096, 174.165)  (174.165, 174.978)  (175.531, 175.915)  (175.737, 175.837)  (175.837, 175.927)  (175.927, 176.017)  (176.017, 176.13)   (176.13, 176.53)    (176.431, 176.846)  (176.846, 177.236)  (177.236, 177.355)  (177.355, 177.755)  (177.755, 178.025) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.025, 178.195)  (178.195, 178.296)  (178.296, 178.385)  (178.385, 178.689)  (178.689, 178.865)  (179.019, 179.296)  (179.296, 179.376)  (179.376, 179.546)  (179.546, 179.735)  (179.735, 180.105)  (180.105, 180.236)  (180.236, 180.305)  (180.305, 180.986)  (180.986, 181.085)  (181.085, 181.326) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġme                 Ġif                 Ġyou                Ġdrink              Ġit                 Ġin                 Ġyou                Ġknow               Ġan                 Ġawful              Ġlot                Ġof                 Ġcaffeine           Ġthat               Ġthat              
Timings          : (178.025, 178.195)  (178.195, 178.296)  (178.296, 178.385)  (178.385, 178.689)  (178.689, 178.865)  (179.019, 179.296)  (179.296, 179.376)  (179.376, 179.546)  (179.546, 179.735)  (179.735, 180.105)  (180.105, 180.236)  (180.236, 180.305)  (180.305, 180.986)  (180.986, 181.085)  (181.085, 181.326) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.326, 181.495)  (181.495, 181.805)  (181.805, 181.995)  (181.995, 182.105)  (182.105, 182.156)  (182.156, 182.715)  (182.715, 183.09)   (-1.0, -1.0)        (183.358, 184.046)  (-1.0, -1.0)        (184.102, 184.202)  (184.202, 184.302)  (184.302, 184.372)  (184.372, 184.747)  (184.747, 185.122) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82017769226252      82017769226252      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġcan                Ġshow               Ġup                 Ġas                 Ġa                  Ġpositive           Ġtest               <eot>               Ġi                  Ġknow               Ġi                  'm                  Ġan                 Ġepile              ptic               
Timings          : (181.326, 181.495)  (181.495, 181.805)  (181.805, 181.995)  (181.995, 182.105)  (182.105, 182.156)  (182.156, 182.715)  (182.715, 183.09)   (-1.0, -1.0)        (183.762, 183.9)    (183.9, 184.102)    (184.102, 184.202)  (184.202, 184.302)  (184.302, 184.372)  (184.372, 184.747)  (184.747, 185.122) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82018306097163      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġsee                Ġthings             Ġlike               Ġthat               Ġso                 <eot>               <emp>               <emp>              
Timings          : (185.122, 185.312)  (185.312, 185.372)  (185.372, 185.432)  (185.432, 185.752)  (185.752, 186.032)  (186.032, 186.711)  (186.747, 187.222)  (187.222, 187.452)  (187.452, 187.802)  (187.802, 188.04)   (188.04, 188.482)   (188.482, 188.992)  (-1.0, -1.0)        (189.251, 189.371)  (189.371, 189.436) 
Token Types      : 0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82020990451726      82020990451726      82020990451726      82020990451726      82020990451726      82020990451726      82020990451726      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġso                 Ġi                  'd                  Ġprobably           Ġtest               Ġpositive           <emp>               <emp>               Ġand                <yield>             <emp>               <emp>               Ġand                Ġthen               Ġi                 
Timings          : (185.122, 185.312)  (185.312, 185.372)  (185.372, 185.432)  (185.432, 185.752)  (185.752, 186.032)  (186.032, 186.711)  (186.747, 187.222)  (187.222, 187.452)  (187.372, 187.582)  (-1.0, -1.0)        (188.04, 188.482)   (188.482, 188.992)  (189.069, 189.251)  (189.251, 189.371)  (189.371, 189.436) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   1                   1                   1                  
turn_ids         : 82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      82021527322637      0                   0                   82018306097167      82018306097167      82018306097167     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.436, 189.501)  (189.501, 189.741)  (189.741, 189.821)  (189.821, 190.031)  (190.031, 190.091)  (190.091, 190.171)  (190.171, 190.481)  (190.481, 191.051)  (191.051, 191.231)  (191.231, 191.561)  (191.561, 191.731)  (191.731, 191.831)  (191.831, 191.991)  (191.991, 192.571)  (192.571, 192.706) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 'd                  Ġhave               Ġa                  Ġheck               Ġof                 Ġa                  Ġtime               Ġexplaining         Ġwhat               Ġdrug               Ġis                 Ġin                 Ġmy                 Ġsystem             Ġyou               
Timings          : (189.436, 189.501)  (189.501, 189.741)  (189.741, 189.821)  (189.821, 190.031)  (190.031, 190.091)  (190.091, 190.171)  (190.171, 190.481)  (190.481, 191.051)  (191.051, 191.231)  (191.231, 191.561)  (191.561, 191.731)  (191.731, 191.831)  (191.831, 191.991)  (191.991, 192.571)  (192.571, 192.706) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (192.706, 193.05)   (193.087, 193.723)  (-1.0, -1.0)        (194.306, 194.421)  (194.421, 194.629)  (194.629, 194.709)  (194.709, 195.089)  (195.089, 195.299)  (195.299, 195.359)  (195.359, 195.429)  (195.429, 195.689)  (195.689, 195.829)  (195.829, 195.974)  (195.974, 196.119)  (196.119, 196.339) 
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82019916709908      82019916709908      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               <emp>               Ġand                Ġa                  Ġlot                Ġof                 Ġtimes              Ġthose              Ġare                Ġthe                Ġthings             Ġi                  Ġdon                't                  Ġlike              
Timings          : (192.706, 193.05)   (193.087, 193.723)  (193.872, 194.306)  (194.306, 194.421)  (194.421, 194.629)  (194.629, 194.709)  (194.709, 195.089)  (195.089, 195.299)  (195.299, 195.359)  (195.359, 195.429)  (195.429, 195.689)  (195.689, 195.829)  (195.829, 195.974)  (195.974, 196.119)  (196.119, 196.339) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167      82018306097167     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright             
Timings          : (196.339, 196.569)  (196.569, 197.199)  (197.199, 197.581)  (197.581, 197.709)  (197.709, 198.239)  (198.239, 198.699)  (198.699, 198.889)  (198.889, 198.999)  (198.999, 199.084)  (199.084, 199.169)  (199.169, 199.289)  (199.289, 199.349)  (199.349, 199.539)  (199.539, 200.021)  (199.827, 200.284) 
