A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġdo                 Ġyou                Ġwant               Ġto                 Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġextraordinary      Ġyou                Ġknow               Ġum                 <yield>             Ġand                Ġso                 Ġyou                Ġknow               Ġi                  Ġlook               Ġat                 Ġmy                 Ġend                Ġof                
Timings          : (149.399, 150.099)  (150.239, 150.403)  (150.403, 150.594)  (151.091, 151.573)  (-1.0, -1.0)        (152.617, 152.816)  (152.816, 152.926)  (152.926, 153.046)  (153.046, 153.117)  (153.117, 153.217)  (153.217, 153.406)  (153.406, 153.467)  (153.467, 153.646)  (153.646, 153.827)  (153.827, 153.926) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyeah               <eint>              <emp>               Ġyeah               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (149.399, 150.099)  (150.214, 150.585)  (-1.0, -1.0)        (151.091, 151.573)  (151.472, 151.69)   (-1.0, -1.0)        (152.816, 152.926)  (152.926, 153.046)  (153.046, 153.117)  (153.117, 153.217)  (153.217, 153.406)  (153.406, 153.467)  (153.467, 153.646)  (153.646, 153.827)  (153.827, 153.926) 
Token Types      : 0                   5                   5                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83019033477128      83019033477128      0                   83014738509827      83014738509827      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġand                Ġthings             Ġaren               't                  Ġtoo                Ġbad                Ġbut                Ġyou                Ġknow               Ġi                  Ġlook               Ġat                 Ġat                 Ġmy                
Timings          : (153.926, 154.027)  (154.027, 154.137)  (154.137, 154.376)  (154.376, 154.467)  (154.467, 154.557)  (154.557, 154.697)  (154.697, 154.936)  (154.936, 155.186)  (155.186, 155.327)  (155.327, 155.544)  (156.029, 156.167)  (156.167, 156.346)  (156.346, 156.527)  (156.527, 156.637)  (156.637, 156.757) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (153.926, 154.027)  (154.027, 154.137)  (154.137, 154.376)  (154.376, 154.467)  (154.467, 154.557)  (154.557, 154.697)  (154.697, 154.936)  (154.936, 155.186)  (155.186, 155.327)  (155.327, 155.544)  (156.029, 156.167)  (156.167, 156.346)  (156.346, 156.527)  (156.527, 156.637)  (156.637, 156.757) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfather             's                  Ġside               Ġof                 Ġthings             Ġand                Ġthey               're                 Ġhorrible           <emp>               Ġyou                Ġknow               Ġand                Ġi                  Ġhear              
Timings          : (156.757, 156.967)  (156.967, 157.176)  (157.176, 157.396)  (157.396, 157.527)  (157.527, 157.786)  (157.786, 157.887)  (157.887, 157.941)  (157.941, 157.997)  (157.997, 158.471)  (158.654, 158.907)  (158.874, 158.986)  (158.986, 159.156)  (159.156, 159.257)  (159.257, 159.337)  (159.337, 159.486) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (156.757, 156.967)  (156.967, 157.176)  (157.176, 157.396)  (157.396, 157.527)  (157.527, 157.786)  (157.786, 157.887)  (157.887, 157.941)  (157.941, 157.997)  (157.997, 158.471)  (158.654, 158.907)  (-1.0, -1.0)        (158.986, 159.156)  (159.156, 159.257)  (159.257, 159.337)  (159.337, 159.486) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83016885993478      83016885993478      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  


A                : Ġa                  Ġlot                Ġof                 Ġhorror             Ġstories            Ġfrom               Ġother              Ġpeople             Ġtoo                Ġum                 Ġyou                Ġknow               Ġthat               Ġthey               Ġhave              
Timings          : (159.486, 159.536)  (159.536, 159.766)  (159.766, 159.846)  (159.846, 160.117)  (160.117, 160.447)  (160.447, 160.617)  (160.617, 160.807)  (160.807, 161.167)  (161.167, 161.577)  (162.086, 162.492)  (162.892, 163.002)  (163.002, 163.192)  (163.192, 163.422)  (163.422, 163.532)  (163.532, 163.742) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (159.486, 159.536)  (159.536, 159.766)  (159.766, 159.846)  (159.846, 160.117)  (160.117, 160.447)  (160.447, 160.617)  (160.617, 160.807)  (160.807, 161.167)  (161.167, 161.577)  (162.086, 162.492)  (162.892, 163.002)  (163.002, 163.192)  (163.192, 163.422)  (163.422, 163.532)  (163.532, 163.742) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġdeal               Ġwith               Ġhorrible           Ġum                 Ġyou                Ġknow               Ġp                  pos                 Ġor                 Ġh                  mos                 Ġor                 Ġsomething          Ġlike              
Timings          : (163.742, 163.862)  (163.862, 164.072)  (164.072, 164.192)  (164.192, 164.812)  (164.812, 165.261)  (165.532, 165.602)  (165.602, 165.712)  (165.712, 166.168)  (166.168, 166.624)  (166.624, 166.873)  (166.873, 167.212)  (167.212, 167.552)  (167.552, 167.632)  (167.632, 167.992)  (167.992, 168.262) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (163.742, 163.862)  (163.862, 164.072)  (164.072, 164.192)  (164.192, 164.812)  (164.812, 165.261)  (165.532, 165.602)  (165.602, 165.712)  (165.712, 166.168)  (166.168, 166.624)  (166.624, 166.873)  (166.873, 167.212)  (167.212, 167.552)  (167.552, 167.632)  (167.632, 167.992)  (167.992, 168.262) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġyou                Ġknow               Ġwhere              Ġyou                Ġcan                't                  Ġchoose             Ġyour               Ġown                Ġdoctor             Ġand                <emp>               <emp>               Ġand               
Timings          : (168.262, 168.532)  (168.532, 168.622)  (168.622, 168.782)  (168.782, 168.932)  (168.932, 169.032)  (169.032, 169.162)  (169.162, 169.292)  (169.292, 169.522)  (169.522, 169.662)  (169.662, 169.832)  (169.832, 170.312)  (170.312, 170.481)  (170.547, 170.74)   (170.74, 170.933)   (170.99, 171.414)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916      83014201638916     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġum                 <emp>               hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <emp>              
Timings          : (168.262, 168.532)  (168.532, 168.622)  (168.678, 168.903)  (168.782, 168.932)  (168.903, 169.127)  (-1.0, -1.0)        (169.162, 169.292)  (169.292, 169.522)  (169.522, 169.662)  (169.662, 169.832)  (169.832, 170.312)  (170.312, 170.481)  (170.547, 170.74)   (170.74, 170.933)   (170.99, 171.414)  
Token Types      : 0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   4                   4                   4                  
turn_ids         : 0                   0                   83016885993479      83016885993479      83016885993479      83016885993479      0                   0                   0                   0                   0                   0                   83017959735301      83017959735301      83017959735301     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġyou                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.414, 171.662)  (-1.0, -1.0)        (172.405, 172.665)  (172.665, 172.837)  (172.837, 173.007)  (173.007, 173.223)  (173.223, 173.378)  (173.378, 173.467)  (173.467, 173.578)  (175.23, 175.477)   (175.477, 175.605)  (175.605, 175.756)  (175.756, 175.866)  (175.866, 175.962)  (175.962, 176.154) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83014201638916      83014201638916      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġand                Ġuh                 Ġyou                Ġknow               Ġit                 Ġit                 Ġuh                 Ġuh                 Ġcompany            Ġi                  Ġwork               Ġfor                Ġis                 Ġbig               
Timings          : (171.464, 171.806)  (171.997, 172.405)  (172.405, 172.665)  (172.665, 172.837)  (172.837, 173.007)  (173.007, 173.223)  (173.223, 173.378)  (173.378, 173.467)  (173.467, 173.578)  (175.23, 175.477)   (175.477, 175.605)  (175.605, 175.756)  (175.756, 175.866)  (175.866, 175.962)  (175.962, 176.154) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.308, 176.436)  (176.436, 176.686)  (176.686, 176.836)  (176.836, 176.966)  (176.966, 177.326)  (177.326, 177.556)  (177.556, 177.716)  (177.716, 177.801)  (177.801, 177.886)  (177.886, 178.166)  (178.166, 178.546)  (178.546, 178.786)  (178.786, 179.095)  (179.93, 180.031)   (180.031, 180.211) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbig                Ġenough             Ġthat               Ġthey               Ġcan                Ġthat               Ġthat               Ġthey               've                 Ġgot                Ġclout              Ġbut                Ġi                  Ġyou                Ġknow              
Timings          : (176.308, 176.436)  (176.436, 176.686)  (176.686, 176.836)  (176.836, 176.966)  (176.966, 177.326)  (177.326, 177.556)  (177.556, 177.716)  (177.716, 177.801)  (177.801, 177.886)  (177.886, 178.166)  (178.166, 178.546)  (178.546, 178.786)  (178.786, 179.095)  (179.93, 180.031)   (180.031, 180.211) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.674, 180.846)  (180.846, 181.196)  (181.196, 181.286)  (181.286, 181.626)  (181.626, 181.696)  (181.696, 181.876)  (181.876, 182.056)  (182.056, 182.126)  (182.126, 182.466)  (182.466, 182.647)  (182.979, 183.414)  (185.393, 185.545)  (185.545, 185.855)  (185.855, 186.175)  (186.175, 186.435) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfeel               Ġguilty             Ġand                Ġresent             Ġa                  Ġlittle             Ġbit                Ġthe                Ġfact               Ġthat               Ġthat               Ġfor                Ġinstance           Ġyou                Ġpeople            
Timings          : (180.674, 180.846)  (180.846, 181.196)  (181.196, 181.286)  (181.286, 181.626)  (181.626, 181.696)  (181.696, 181.876)  (181.876, 182.056)  (182.056, 182.126)  (182.126, 182.466)  (182.466, 182.647)  (182.979, 183.414)  (185.393, 185.545)  (185.545, 185.855)  (185.855, 186.175)  (186.175, 186.435) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (186.435, 186.605)  (186.605, 186.695)  (186.695, 187.165)  (187.165, 187.355)  (187.355, 187.535)  (187.535, 187.725)  (187.725, 187.935)  (187.935, 188.205)  (188.205, 188.405)  (188.405, 188.605)  (188.605, 188.804)  (188.928, 189.17)   (189.17, 189.365)   (189.365, 189.525)  (189.525, 190.118) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġyour               Ġfather             Ġthat               Ġjust               Ġleaves             Ġthem               Ġworse              Ġoff                Ġcause              Ġthe                Ġthe                Ġhealth             Ġcare               Ġproviders         
Timings          : (186.435, 186.605)  (186.605, 186.695)  (186.695, 187.165)  (187.165, 187.355)  (187.355, 187.535)  (187.535, 187.725)  (187.725, 187.935)  (187.935, 188.205)  (188.205, 188.405)  (188.405, 188.605)  (188.605, 188.804)  (188.928, 189.17)   (189.17, 189.365)   (189.365, 189.525)  (189.525, 190.118) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (190.544, 190.705)  (190.705, 190.825)  (190.825, 191.265)  (191.265, 191.582)  (192.291, 192.426)  (192.426, 192.706)  (192.917, 193.304)  (194.076, 194.225)  (194.225, 194.555)  (194.555, 194.71)   (194.71, 194.865)   (194.865, 195.005)  (195.005, 195.176)  (195.431, 195.644)  (195.644, 195.857) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83016349122567      83016349122567     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġend                Ġup                 Ġmaking             Ġup                 Ġwhat               Ġwhat               Ġuh                 Ġmy                 Ġemployer           Ġdoesn              't                  Ġpay                Ġthem               <emp>               Ġuh                
Timings          : (190.544, 190.705)  (190.705, 190.825)  (190.825, 191.265)  (191.265, 191.582)  (192.291, 192.426)  (192.426, 192.706)  (192.917, 193.304)  (194.076, 194.225)  (194.225, 194.555)  (194.555, 194.71)   (194.71, 194.865)   (194.865, 195.005)  (195.005, 195.176)  (195.431, 195.644)  (195.658, 195.975) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġexactly            Ġyeah               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (196.155, 196.575)  (196.575, 196.895)  (196.895, 197.415)  (197.415, 197.505)  (198.378, 198.623)  (198.623, 198.981)  (198.985, 199.638)  (199.638, 200.014)  (-1.0, -1.0)        (200.12, 200.31)    (200.31, 200.48)    (200.48, 200.707)   (200.786, 200.99)   (200.99, 201.115)  
Token Types      : 3                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                  
turn_ids         : 83016349122567      0                   0                   0                   0                   0                   0                   83018496606217      83018496606217      83018496606217      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġby                 Ġcharging           Ġmore               Ġfor                Ġuh                 Ġother              Ġpeople             <emp>               Ġyou                Ġknow               Ġso                 Ġthat               Ġthat               Ġthat               Ġdoesn             
Timings          : (195.975, 196.155)  (196.155, 196.575)  (196.575, 196.895)  (196.895, 197.415)  (197.415, 197.505)  (198.378, 198.623)  (198.623, 198.981)  (198.985, 199.638)  (199.824, 199.933)  (199.933, 200.12)   (200.12, 200.31)    (200.31, 200.48)    (200.48, 200.707)   (200.786, 200.99)   (200.99, 201.115)  
