A                : ok                  ay                  Ġuh                 Ġso                 Ġyour               Ġyou                Ġyou                Ġi                  Ġguess              Ġuh                 Ġyou                're                 Ġprobably           Ġin                 Ġthe               
Timings          : (163.331, 163.65)   (163.65, 163.77)    (163.77, 164.138)   (164.545, 164.598)  (164.598, 164.707)  (164.707, 164.911)  (164.911, 165.051)  (165.051, 165.35)   (165.35, 165.54)    (165.54, 165.59)    (165.59, 165.725)   (165.725, 165.861)  (165.861, 166.416)  (167.063, 167.34)   (167.34, 167.471)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġown                Ġand                Ġeverything         Ġbut                Ġi                  Ġquit               Ġmy                 Ġjob                Ġbecause            Ġi                  Ġcouldn             't                  Ġstand              Ġhow                Ġshe               
Timings          : (163.331, 163.65)   (163.65, 163.77)    (163.77, 164.138)   (164.545, 164.598)  (164.598, 164.707)  (164.707, 164.911)  (164.911, 165.051)  (165.051, 165.35)   (165.35, 165.54)    (165.54, 165.59)    (165.59, 165.725)   (165.725, 165.861)  (165.861, 166.416)  (167.063, 167.34)   (167.34, 167.471)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (167.471, 167.62)   (167.62, 167.79)    (167.79, 167.99)    (167.99, 168.051)   (168.051, 168.215)  (168.215, 168.685)  (169.001, 169.165)  (169.165, 169.328)  (-1.0, -1.0)        (169.555, 169.742)  (169.742, 170.001)  (170.001, 170.09)   (170.09, 170.379)   (171.153, 171.535)  (171.535, 171.648) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83789443235860      83789443235860      83789443235860      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġwas                Ġtaking             Ġcare               Ġof                 Ġmy                 Ġchild              <emp>               <emp>               Ġi                  Ġmean               Ġfirst              Ġof                 Ġall                Ġuh                 Ġyou               
Timings          : (167.471, 167.62)   (167.62, 167.79)    (167.79, 167.99)    (167.99, 168.051)   (168.051, 168.215)  (168.215, 168.685)  (169.001, 169.165)  (169.165, 169.328)  (169.467, 169.555)  (169.555, 169.742)  (169.742, 170.001)  (170.001, 170.09)   (170.09, 170.379)   (171.153, 171.535)  (171.535, 171.648) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.648, 171.721)  (171.721, 171.84)   (171.84, 172.201)   (172.201, 172.281)  (172.281, 172.551)  (172.551, 172.68)   (172.68, 172.767)   (172.767, 173.079)  (173.079, 173.171)  (173.171, 173.331)  (173.331, 173.49)   (173.49, 173.891)   (173.891, 174.201)  (174.201, 174.37)   (174.37, 174.54)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġher                Ġchildren           Ġwere               Ġsick               Ġall                Ġthe                Ġtime               Ġso                 Ġwhen               Ġmy                 Ġson                Ġstayed             Ġover               Ġthere             
Timings          : (171.648, 171.721)  (171.721, 171.84)   (171.84, 172.201)   (172.201, 172.281)  (172.281, 172.551)  (172.551, 172.68)   (172.68, 172.767)   (172.767, 173.079)  (173.079, 173.171)  (173.171, 173.331)  (173.331, 173.49)   (173.49, 173.891)   (173.891, 174.201)  (174.201, 174.37)   (174.37, 174.54)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġyou                Ġgot                Ġsick               Ġyeah               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.54, 174.701)   (174.701, 174.93)   (175.1, 175.216)    (175.216, 175.386)  (175.386, 175.686)  (175.686, 176.059)  (-1.0, -1.0)        (176.48, 176.68)    (176.68, 176.85)    (176.85, 177.001)   (177.001, 177.111)  (177.111, 177.251)  (177.251, 177.52)   (177.52, 177.751)   (177.751, 177.984) 
Token Types      : 0                   0                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83791590719510      83791590719510      83791590719510      83791590719510      83791590719510      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhe                 Ġgot                Ġsick               <emp>               <emp>               Ġsame               Ġthing              Ġsame               Ġthing              Ġthat               Ġthe                Ġher                Ġkids               Ġhad                Ġright             
Timings          : (174.54, 174.701)   (174.701, 174.93)   (174.93, 175.187)   (175.216, 175.386)  (175.386, 175.686)  (175.696, 175.96)   (175.96, 176.48)    (176.48, 176.68)    (176.68, 176.85)    (176.85, 177.001)   (177.001, 177.111)  (177.111, 177.251)  (177.251, 177.52)   (177.52, 177.751)   (177.751, 177.984) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115      83787832623115     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġright              Ġwell               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.21, 178.561)   (178.741, 179.179)  (-1.0, -1.0)        (179.204, 179.513)  (179.846, 180.033)  (180.033, 180.133)  (180.133, 180.233)  (180.233, 180.383)  (180.383, 180.543)  (180.543, 180.733)  (180.733, 180.903)  (180.903, 181.223)  (181.223, 181.443)  (181.443, 181.663)  (181.663, 181.903) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83787295752204      83787295752204      83787295752204      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <yield>             Ġand                Ġso                 Ġum                 Ġwe                 Ġdidn               't                  Ġtake               Ġher                Ġover               Ġthere              Ġuntil              Ġlike               Ġabout              Ġeleven            
Timings          : (-1.0, -1.0)        (178.752, 178.945)  (178.945, 179.204)  (179.204, 179.513)  (179.846, 180.033)  (180.033, 180.133)  (180.133, 180.233)  (180.233, 180.383)  (180.383, 180.543)  (180.543, 180.733)  (180.733, 180.903)  (180.903, 181.223)  (181.223, 181.443)  (181.443, 181.663)  (181.663, 181.903) 
Token Types      : 1                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83787832623115      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 2                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.903, 182.007)  (182.007, 182.11)   (182.11, 182.213)   (182.213, 182.393)  (182.393, 182.613)  (182.613, 182.733)  (182.733, 182.853)  (182.853, 183.093)  (183.451, 183.603)  (183.603, 183.833)  (183.833, 183.953)  (183.953, 184.063)  (184.063, 184.333)  (184.333, 184.548)  (184.548, 184.617) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġo                  '                   clock               Ġthen               Ġhe                 Ġshe                'd                  Ġtake               Ġmy                 Ġson                Ġand                Ġher                Ġdaughter           Ġover               Ġto                
Timings          : (181.903, 182.007)  (182.007, 182.11)   (182.11, 182.213)   (182.213, 182.393)  (182.393, 182.613)  (182.613, 182.733)  (182.733, 182.853)  (182.853, 183.093)  (183.451, 183.603)  (183.603, 183.833)  (183.833, 183.953)  (183.953, 184.063)  (184.063, 184.333)  (184.333, 184.548)  (184.548, 184.617) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.832, 184.923)  (184.923, 185.509)  (185.96, 186.089)   (186.089, 186.293)  (186.293, 186.612)  (186.874, 187.073)  (187.073, 187.505)  (187.899, 188.33)   (188.462, 188.594)  (188.594, 188.683)  (188.683, 188.833)  (188.833, 188.956)  (188.956, 189.253)  (189.253, 189.383)  (189.383, 189.513) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġkindergarten       Ġbut                Ġshe                Ġuh                 Ġthat               Ġday                Ġum                 Ġi                  Ġwas                Ġsaying             Ġnow                Ġhe                 Ġhe                 's                 
Timings          : (184.832, 184.923)  (184.923, 185.509)  (185.96, 186.089)   (186.089, 186.293)  (186.293, 186.612)  (186.874, 187.073)  (187.073, 187.505)  (187.899, 188.33)   (188.462, 188.594)  (188.594, 188.683)  (188.683, 188.833)  (188.833, 188.956)  (188.956, 189.253)  (189.253, 189.383)  (189.383, 189.513) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.513, 190.103)  (190.103, 190.203)  (190.203, 190.273)  (190.273, 190.423)  (190.423, 190.642)  (190.785, 191.036)  (191.172, 191.258)  (191.258, 191.363)  (191.363, 191.423)  (191.423, 191.663)  (191.663, 191.903)  (191.903, 192.093)  (192.093, 192.183)  (192.183, 192.313)  (192.313, 192.553) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsick               Ġand                Ġshe                Ġgoes               Ġwell               Ġbecause            Ġhe                 Ġhas                Ġthe                Ġsame               Ġthing              Ġthat               Ġall                Ġmy                 Ġkids              
Timings          : (189.513, 190.103)  (190.103, 190.203)  (190.203, 190.273)  (190.273, 190.423)  (190.423, 190.642)  (190.785, 191.036)  (191.172, 191.258)  (191.258, 191.363)  (191.363, 191.423)  (191.423, 191.663)  (191.663, 191.903)  (191.903, 192.093)  (192.093, 192.183)  (192.183, 192.313)  (192.313, 192.553) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (192.553, 192.713)  (192.713, 192.813)  (192.813, 192.913)  (192.913, 193.001)  (193.001, 193.08)   (193.08, 193.402)   (193.856, 193.907)  (193.907, 193.976)  (193.976, 194.066)  (194.066, 194.226)  (194.226, 194.436)  (194.436, 194.746)  (194.746, 194.876)  (194.876, 194.966)  (194.966, 195.056) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhave               Ġthat               's                  Ġwhat               Ġhe                 Ġgot                Ġyou                Ġknow               Ġi                  Ġgoes               Ġwell               Ġokay               Ġso                 Ġit                 's                 
Timings          : (192.553, 192.713)  (192.713, 192.813)  (192.813, 192.913)  (192.913, 193.001)  (193.001, 193.08)   (193.08, 193.402)   (193.856, 193.907)  (193.907, 193.976)  (193.976, 194.066)  (194.066, 194.226)  (194.226, 194.436)  (194.436, 194.746)  (194.746, 194.876)  (194.876, 194.966)  (194.966, 195.056) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.056, 195.206)  (195.206, 195.386)  (195.386, 195.491)  (195.491, 195.596)  (195.596, 195.776)  (195.776, 196.126)  (196.126, 196.226)  (196.226, 196.986)  (196.986, 197.126)  (197.126, 197.286)  (197.286, 197.436)  (197.436, 197.806)  (197.806, 198.056)  (198.056, 198.519)  (198.605, 198.748) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnot                Ġlike               Ġhe                 's                  Ġgonna              Ġinfect             Ġher                Ġkids               Ġbut                Ġthen               Ġwhat               Ġhappened           Ġwas                Ġis                 Ġi                 
Timings          : (195.056, 195.206)  (195.206, 195.386)  (195.386, 195.491)  (195.491, 195.596)  (195.596, 195.776)  (195.776, 196.126)  (196.126, 196.226)  (196.226, 196.986)  (196.986, 197.126)  (197.126, 197.286)  (197.286, 197.436)  (197.436, 197.806)  (197.806, 198.056)  (198.056, 198.519)  (198.605, 198.748) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (198.748, 199.036)  (199.036, 199.146)  (199.146, 199.336)  (199.336, 199.576)  (199.576, 199.826)  (199.826, 200.241)  (200.557, 200.793)  (201.015, 201.496)  (201.496, 201.856)  (201.856, 201.916)  (201.916, 202.256)  (202.256, 202.652)  (203.044, 203.156)  (203.156, 203.316)  (203.316, 203.466) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsaid               Ġuh                 Ġhe                 Ġjust               Ġthrew              Ġup                 Ġand                Ġkindergarten       Ġstarts             Ġat                 Ġeleven             Ġthirty             Ġso                 Ġshe                Ġsaid              
Timings          : (198.748, 199.036)  (199.036, 199.146)  (199.146, 199.336)  (199.336, 199.576)  (199.576, 199.826)  (199.826, 200.241)  (200.557, 200.793)  (201.015, 201.496)  (201.496, 201.856)  (201.856, 201.916)  (201.916, 202.256)  (202.256, 202.652)  (203.044, 203.156)  (203.156, 203.316)  (203.316, 203.466) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (203.466, 203.566)  (203.566, 203.631)  (203.631, 203.696)  (203.696, 203.916)  (203.916, 204.036)  (204.036, 204.438)  (204.551, 204.676)  (204.676, 204.726)  (204.726, 204.776)  (204.776, 205.046)  (205.046, 205.226)  (205.226, 205.526)  (205.526, 205.969)  (206.823, 207.105)  (207.105, 207.268) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwell               Ġshe                'll                 Ġkeep               Ġhim                Ġhome               Ġand                Ġhe                 'll                 Ġprobably           Ġjust               Ġsleep              Ġanyway             Ġwell               Ġyou               
Timings          : (203.466, 203.566)  (203.566, 203.631)  (203.631, 203.696)  (203.696, 203.916)  (203.916, 204.036)  (204.036, 204.438)  (204.551, 204.676)  (204.676, 204.726)  (204.726, 204.776)  (204.776, 205.046)  (205.046, 205.226)  (205.226, 205.526)  (205.526, 205.969)  (206.823, 207.105)  (207.105, 207.268) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589      83791053848589     
