A                : all                 Ġright              Ġhave               Ġyou                Ġever               Ġbeen               Ġto                 Ġa                  Ġfamily             Ġreunion            <eot>               <emp>               <emp>               <emp>               <emp>              
turn_ids         : 0                   0                   0                   0                   0                   0                   80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthe                Ġlake               Ġif                 Ġthey               Ġwant               Ġto                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (149.264, 149.344)  (149.344, 149.594)  (149.594, 149.744)  (149.744, 149.834)  (149.834, 150.134)  (150.134, 150.346)  (-1.0, -1.0)        (151.263, 151.656)  (151.656, 152.08)   (152.57, 152.966)   (153.158, 153.364)  (153.364, 153.484)  (153.484, 153.554)  (153.554, 153.654)  (153.654, 154.314) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġi                  Ġmean               Ġhow                Ġdo                 Ġyou                Ġdecide             Ġwhen               Ġyou                're                 Ġgoing              Ġto                 Ġmeet               Ġand                <eot>              
Timings          : (154.314, 154.729)  (154.729, 154.844)  (154.844, 154.964)  (154.964, 155.024)  (155.024, 155.124)  (155.124, 155.184)  (155.184, 155.664)  (155.664, 156.014)  (156.014, 156.079)  (156.079, 156.144)  (156.144, 156.324)  (156.324, 156.384)  (156.384, 156.714)  (156.714, 157.099)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346      80626199822346     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                
Timings          : (154.314, 154.729)  (154.729, 154.844)  (154.844, 154.964)  (154.964, 155.024)  (155.024, 155.124)  (155.124, 155.184)  (155.184, 155.664)  (155.664, 156.014)  (156.014, 156.079)  (156.079, 156.144)  (156.144, 156.324)  (156.324, 156.384)  (156.384, 156.714)  (156.714, 157.099)  (157.016, 157.188) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626736693259     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.338, 157.498)  (157.498, 157.643)  (157.643, 157.788)  (157.788, 158.008)  (158.008, 158.123)  (158.123, 158.238)  (158.238, 158.458)  (158.458, 158.528)  (158.528, 158.698)  (158.698, 158.788)  (158.788, 158.878)  (158.878, 159.388)  (159.388, 159.738)  (159.738, 160.098)  (160.098, 160.263) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġthat               's                  Ġset                Ġit                 's                  Ġgoing              Ġto                 Ġbe                 Ġit                 's                  Ġalways             Ġthe                Ġfirst              Ġsund              
Timings          : (157.338, 157.498)  (157.498, 157.643)  (157.643, 157.788)  (157.788, 158.008)  (158.008, 158.123)  (158.123, 158.238)  (158.238, 158.458)  (158.458, 158.528)  (158.528, 158.698)  (158.698, 158.788)  (158.788, 158.878)  (158.878, 159.388)  (159.388, 159.738)  (159.738, 160.098)  (160.098, 160.263) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġokay               Ġwell               Ġthe                Ġfirst              Ġsund               ay                  Ġafter             
Timings          : (160.263, 160.428)  (160.428, 160.668)  (160.668, 160.738)  (160.738, 160.998)  (160.998, 161.058)  (161.058, 161.229)  (161.229, 161.4)    (162.014, 162.191)  (162.191, 162.594)  (163.4, 163.491)    (163.491, 163.581)  (163.581, 163.831)  (163.831, 163.936)  (163.936, 164.041)  (164.041, 164.241) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : ay                  Ġafter              Ġthe                Ġfourth             Ġof                 Ġj                  uly                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.263, 160.428)  (160.428, 160.668)  (160.668, 160.738)  (160.738, 160.998)  (160.998, 161.058)  (161.058, 161.229)  (161.229, 161.4)    (-1.0, -1.0)        (162.191, 162.594)  (163.4, 163.491)    (163.491, 163.581)  (163.581, 163.831)  (163.831, 163.936)  (163.936, 164.041)  (164.041, 164.241) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      80626736693259      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġfourth             Ġof                 Ġj                  uly                 Ġhas                Ġgot                Ġto                 Ġbe                 Ġhot                Ġright              <eot>               <emp>               <emp>               <emp>              
Timings          : (164.241, 164.331)  (164.331, 164.561)  (164.561, 164.621)  (164.621, 164.756)  (164.756, 164.891)  (164.891, 165.051)  (165.051, 165.171)  (165.171, 165.231)  (165.231, 165.351)  (165.351, 165.816)  (165.816, 166.193)  (-1.0, -1.0)        (166.425, 166.525)  (166.525, 166.765)  (166.765, 166.925) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      80626199822348      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġit                 Ġis                 Ġbut               
Timings          : (164.241, 164.331)  (164.331, 164.561)  (164.561, 164.621)  (164.621, 164.756)  (164.756, 164.891)  (164.891, 165.051)  (165.051, 165.171)  (165.171, 165.231)  (165.231, 165.351)  (165.351, 165.816)  (165.816, 166.193)  (166.244, 166.425)  (166.425, 166.525)  (166.525, 166.765)  (166.765, 166.925) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626736693261      80626736693261      80626736693261      80626736693261     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (166.925, 167.055)  (167.055, 167.125)  (167.125, 167.26)   (167.26, 167.395)   (167.395, 167.625)  (167.625, 167.775)  (167.775, 168.025)  (168.025, 168.125)  (168.125, 168.275)  (168.275, 168.425)  (168.425, 168.585)  (168.585, 168.665)  (168.665, 168.745)  (168.745, 168.955)  (168.955, 169.145) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthen               Ġyou                Ġcan                't                  Ġfind               Ġany                Ġtime               Ġin                 Ġi                  owa                 Ġwhen               Ġit                 's                  Ġnot                Ġhot               
Timings          : (166.925, 167.055)  (167.055, 167.125)  (167.125, 167.26)   (167.26, 167.395)   (167.395, 167.625)  (167.625, 167.775)  (167.775, 168.025)  (168.025, 168.125)  (168.125, 168.275)  (168.275, 168.425)  (168.425, 168.585)  (168.585, 168.665)  (168.665, 168.745)  (168.745, 168.955)  (168.955, 169.145) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      80626736693261     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġthat               's                  Ġwhat               Ġi                  Ġmeant              Ġcould              Ġbe                 Ġthe                Ġspring             time                Ġor                 Ġsomething         
Timings          : (169.145, 169.225)  (169.225, 169.285)  (169.285, 170.376)  (170.513, 170.604)  (170.604, 170.696)  (170.696, 170.786)  (170.786, 170.846)  (170.846, 171.166)  (171.166, 171.306)  (171.306, 171.436)  (171.436, 171.516)  (171.516, 171.776)  (171.776, 172.036)  (172.036, 172.116)  (172.116, 172.396) 
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġin                 Ġthe                Ġsummer             time                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.145, 169.225)  (169.225, 169.285)  (169.285, 170.376)  (170.376, 171.468)  (-1.0, -1.0)        (170.696, 170.786)  (170.786, 170.846)  (170.846, 171.166)  (171.166, 171.306)  (171.306, 171.436)  (171.436, 171.516)  (171.516, 171.776)  (171.776, 172.036)  (172.036, 172.116)  (172.116, 172.396) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80626736693261      80626736693261      80626736693261      80626736693261      80626736693261      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlike               Ġthat               <emp>               <emp>               <emp>               <emp>               Ġthe                Ġkids               Ġare                Ġstill              Ġin                 Ġschool             Ġthen               Ġhuh                <yield>            
Timings          : (172.396, 172.556)  (172.556, 172.785)  (172.713, 173.001)  (173.001, 173.081)  (173.081, 173.162)  (173.162, 173.242)  (173.438, 173.468)  (173.468, 173.626)  (173.626, 173.696)  (173.696, 173.896)  (173.896, 174.016)  (174.016, 174.236)  (174.236, 174.406)  (174.406, 174.54)   (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822      80629421047822     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġoh                 Ġyeah               Ġu                  hh                  uh                  <emp>               <emp>               <emp>               Ġwell               <emp>               <emp>               <emp>               <emp>               Ġokay              
Timings          : (172.396, 172.556)  (172.598, 172.713)  (172.713, 173.001)  (173.001, 173.081)  (173.081, 173.162)  (173.162, 173.242)  (173.438, 173.468)  (173.468, 173.626)  (173.626, 173.696)  (173.691, 173.956)  (173.896, 174.016)  (174.016, 174.236)  (174.236, 174.406)  (174.406, 174.54)   (174.551, 174.813) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.813, 174.983)  (174.983, 175.108)  (175.108, 175.233)  (175.233, 175.323)  (175.323, 175.473)  (175.473, 176.213)  (176.213, 176.343)  (176.343, 176.633)  (176.633, 176.753)  (176.753, 176.943)  (176.943, 176.993)  (176.993, 177.163)  (177.163, 177.393)  (177.393, 177.463)  (177.463, 177.643) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġi                  owa                 Ġis                 Ġvery               Ġagricultural       Ġand                Ġspring             Ġis                 Ġnot                Ġa                  Ġgood               Ġtime               Ġto                 Ġtry               
Timings          : (174.813, 174.983)  (174.983, 175.108)  (175.108, 175.233)  (175.233, 175.323)  (175.323, 175.473)  (175.473, 176.213)  (176.213, 176.343)  (176.343, 176.633)  (176.633, 176.753)  (176.753, 176.943)  (176.943, 176.993)  (176.993, 177.163)  (177.163, 177.393)  (177.393, 177.463)  (177.463, 177.643) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735      80629957918735     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġi                  Ġsee                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (177.643, 177.743)  (177.743, 177.873)  (177.873, 178.238)  (178.441, 178.68)   (178.68, 178.935)   (-1.0, -1.0)        (179.37, 179.51)    (179.51, 179.86)    (179.86, 180.04)    (180.04, 180.42)    (180.42, 180.55)    (180.55, 181.22)    (181.22, 181.55)    (181.934, 182.07)   (182.07, 182.18)   
Token Types      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   80626199822352      80626199822352      80626199822352      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġdo                 Ġanything           <eot>               <emp>               Ġbecause            Ġso                 Ġmany               Ġwere               Ġinvolved           Ġwith               Ġagriculture        Ġso                 Ġso                 Ġdo                
Timings          : (177.643, 177.743)  (177.743, 177.873)  (177.873, 178.238)  (-1.0, -1.0)        (178.68, 178.935)   (179.123, 179.37)   (179.37, 179.51)    (179.51, 179.86)    (179.86, 180.04)    (180.04, 180.42)    (180.42, 180.55)    (180.55, 181.22)    (181.22, 181.55)    (181.934, 182.07)   (182.07, 182.18)   
Token Types      : 4                   4                   4                   4                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80629957918735      80629957918735      80629957918735      80629957918735      0                   80626736693265      80626736693265      80626736693265      80626736693265      80626736693265      80626736693265      80626736693265      80626736693265      80626736693265      80626736693265     
turn_end_types   : 1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġwell               Ġmy                 Ġkids               Ġmy                 Ġparents            Ġuh                 Ġused               Ġto                 Ġhave               Ġreun               ions               
Timings          : (182.18, 182.36)    (182.36, 182.52)    (182.52, 182.6)     (182.6, 182.973)    (183.548, 183.919)  (184.232, 184.373)  (184.373, 184.667)  (184.667, 184.913)  (184.913, 185.593)  (185.593, 185.943)  (187.015, 187.193)  (187.193, 187.303)  (187.303, 187.503)  (187.503, 187.812)  (187.812, 188.122) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyou                Ġhave               Ġa                  Ġreunion            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (182.18, 182.36)    (182.36, 182.52)    (182.52, 182.6)     (182.6, 182.973)    (-1.0, -1.0)        (184.232, 184.373)  (184.373, 184.667)  (184.667, 184.913)  (184.913, 185.593)  (185.593, 185.943)  (187.015, 187.193)  (187.193, 187.303)  (187.303, 187.503)  (187.503, 187.812)  (187.812, 188.122) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80626736693265      80626736693265      80626736693265      80626736693265      80626736693265      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġand                Ġuh                 Ġwe                 'd                  Ġgo                 Ġand                Ġand                Ġuh                 Ġactually           Ġi                  Ġkind               Ġof                 Ġremember           Ġit                
Timings          : (188.122, 188.469)  (188.638, 189.062)  (189.062, 189.411)  (189.964, 190.023)  (190.023, 190.083)  (190.083, 190.462)  (190.462, 190.819)  (191.439, 191.779)  (191.779, 191.988)  (191.988, 192.318)  (192.318, 192.348)  (192.348, 192.518)  (192.518, 192.579)  (192.579, 192.859)  (192.859, 192.919) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (188.122, 188.469)  (188.638, 189.062)  (189.062, 189.411)  (189.964, 190.023)  (190.023, 190.083)  (190.083, 190.462)  (190.462, 190.819)  (191.439, 191.779)  (191.779, 191.988)  (191.988, 192.318)  (192.318, 192.348)  (192.348, 192.518)  (192.518, 192.579)  (192.579, 192.859)  (192.859, 192.919) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
