A                : well                Ġuh                 Ġmy                 Ġopinion            Ġon                 Ġtaxation           Ġwell               Ġcould              Ġbeing              Ġin                 Ġnew                Ġy                  ork                 Ġstate              Ġwhere             
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġespecially         Ġbad                Ġthey               Ġum                 Ġhere               Ġin                 Ġro                 chester             Ġthey               've                 Ġnow                Ġbecause            Ġto                 Ġsave               Ġtax               
Timings          : (164.762, 165.242)  (165.242, 165.572)  (165.572, 165.792)  (165.792, 166.132)  (166.271, 166.411)  (166.411, 166.521)  (166.521, 166.88)   (166.88, 167.239)   (167.559, 167.685)  (167.685, 167.811)  (167.811, 168.071)  (168.071, 168.24)   (168.24, 168.411)   (168.411, 168.732)  (168.732, 169.221) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.762, 165.242)  (165.242, 165.572)  (165.572, 165.792)  (165.792, 166.132)  (166.271, 166.411)  (166.411, 166.521)  (166.521, 166.88)   (166.88, 167.239)   (167.559, 167.685)  (167.685, 167.811)  (167.811, 168.071)  (168.071, 168.24)   (168.24, 168.411)   (168.411, 168.732)  (168.732, 169.221) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmoney              Ġand                Ġthat               Ġthey               Ġhave               Ġturned             Ġoff                Ġthe                Ġexpress            way                 Ġlights             Ġat                 Ġnight              <eot>               <emp>              
Timings          : (169.311, 169.732)  (169.732, 169.882)  (169.882, 170.111)  (170.111, 170.232)  (170.232, 170.361)  (170.361, 170.861)  (170.861, 171.29)   (171.29, 171.411)   (171.411, 171.706)  (171.706, 172.001)  (172.001, 172.372)  (172.372, 172.492)  (172.492, 172.958)  (-1.0, -1.0)        (173.24, 173.553)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      80523120607240      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyeah              
Timings          : (169.311, 169.732)  (169.732, 169.882)  (169.882, 170.111)  (170.111, 170.232)  (170.232, 170.361)  (170.361, 170.861)  (170.861, 171.29)   (171.29, 171.411)   (171.411, 171.706)  (171.706, 172.001)  (172.001, 172.372)  (172.372, 172.492)  (172.492, 172.958)  (172.94, 173.24)    (173.24, 173.553)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80523657478153      80523657478153     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.831, 174.178)  (174.178, 174.525)  (174.6, 174.808)    (174.966, 175.023)  (175.023, 175.08)   (175.08, 175.2)     (175.2, 175.46)     (175.46, 175.72)    (175.72, 175.9)     (175.9, 176.05)     (176.05, 176.26)    (176.26, 176.5)     (176.5, 176.65)     (176.65, 176.76)    (176.76, 176.89)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġum                 hum                 Ġyeah               Ġthey               've                 Ġbeen               Ġtalking            Ġabout              Ġdoing              Ġthat               Ġhere               Ġtoo                Ġbut                Ġthey               Ġhaven             
Timings          : (173.831, 174.178)  (174.178, 174.525)  (174.6, 174.808)    (174.966, 175.023)  (175.023, 175.08)   (175.08, 175.2)     (175.2, 175.46)     (175.46, 175.72)    (175.72, 175.9)     (175.9, 176.05)     (176.05, 176.26)    (176.26, 176.5)     (176.5, 176.65)     (176.65, 176.76)    (176.76, 176.89)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.89, 177.02)    (177.46, 177.555)   (177.555, 177.65)   (177.65, 178.01)    (178.01, 178.12)    (178.12, 178.31)    (178.31, 178.37)    (178.37, 178.56)    (178.56, 178.67)    (178.67, 178.89)    (178.89, 179.04)    (179.04, 179.3)     (179.3, 179.59)     (179.59, 180.13)    (180.13, 180.367)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 't                  Ġthey               've                 Ġalmost             Ġbeen               Ġable               Ġto                 Ġpush               Ġit                 Ġthrough            Ġbut                Ġpeople             Ġstarted            Ġcomplaining        Ġand               
Timings          : (176.89, 177.02)    (177.46, 177.555)   (177.555, 177.65)   (177.65, 178.01)    (178.01, 178.12)    (178.12, 178.31)    (178.31, 178.37)    (178.37, 178.56)    (178.56, 178.67)    (178.67, 178.89)    (178.89, 179.04)    (179.04, 179.3)     (179.3, 179.59)     (179.59, 180.13)    (180.13, 180.367)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153      80523657478153     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġwell               Ġthey               Ġjust               Ġshoved             Ġit                 Ġthrough            Ġhere               Ġand                Ġyou                Ġknow               Ġto                 Ġhell               Ġwith               Ġpeople             Ġand               
Timings          : (180.983, 181.083)  (181.083, 181.213)  (181.213, 181.463)  (181.653, 182.093)  (182.093, 182.203)  (182.203, 182.433)  (182.433, 182.763)  (182.763, 183.163)  (183.163, 183.253)  (183.253, 183.393)  (183.393, 183.583)  (183.583, 183.893)  (183.893, 184.094)  (184.15, 184.663)   (184.663, 184.973) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (-1.0, -1.0)        (181.083, 181.213)  (181.213, 181.463)  (181.653, 182.093)  (182.093, 182.203)  (182.203, 182.433)  (182.433, 182.763)  (182.763, 183.163)  (183.163, 183.253)  (183.253, 183.393)  (183.393, 183.583)  (183.583, 183.893)  (183.893, 184.094)  (184.15, 184.663)   (184.729, 184.975) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 80523657478153      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80525804961804     
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġuh                 Ġput                Ġit                 Ġinto               Ġeffect             Ġand                Ġthen               Ġsuddenly           Ġof                 Ġcourse             Ġyou                Ġknow               Ġever               Ġsince              Ġevery             
Timings          : (184.973, 185.104)  (185.677, 185.833)  (185.833, 185.923)  (185.923, 186.158)  (186.158, 186.693)  (186.693, 186.853)  (186.853, 187.043)  (187.043, 187.563)  (187.563, 187.633)  (187.633, 187.943)  (187.943, 188.003)  (188.003, 188.143)  (188.143, 188.383)  (188.383, 188.743)  (188.743, 189.003) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (185.677, 185.833)  (185.833, 185.923)  (185.923, 186.158)  (186.158, 186.693)  (186.693, 186.853)  (186.853, 187.043)  (187.043, 187.563)  (187.563, 187.633)  (187.633, 187.943)  (187.943, 188.003)  (188.003, 188.143)  (188.143, 188.383)  (188.383, 188.743)  (188.743, 189.003) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80525804961804      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġday                Ġin                 Ġthe                Ġnewspaper          Ġhere               Ġit                 's                  Ġpeople             Ġcomplaining        Ġyou                Ġknow               Ġwell               Ġit                 Ġwas                Ġonly              
Timings          : (189.003, 189.123)  (189.123, 189.253)  (189.253, 189.323)  (189.323, 189.953)  (189.953, 190.263)  (190.263, 190.422)  (190.422, 190.581)  (191.188, 191.45)   (191.45, 192.12)    (192.12, 192.21)    (192.21, 192.35)    (192.35, 192.62)    (192.62, 192.68)    (192.68, 192.8)     (192.8, 193.042)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.003, 189.123)  (189.123, 189.253)  (189.253, 189.323)  (189.323, 189.953)  (189.953, 190.263)  (190.263, 190.422)  (190.422, 190.581)  (191.188, 191.45)   (191.45, 192.12)    (192.12, 192.21)    (192.21, 192.35)    (192.35, 192.62)    (192.62, 192.68)    (192.68, 192.8)     (192.8, 193.042)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsaving             Ġtwo                Ġhundred            Ġand                Ġfifty              Ġthousand           Ġdollars            Ġa                  Ġyear               Ġit                 's                  Ġjust               Ġwe                 're                 Ġpaying            
Timings          : (193.042, 193.38)   (193.38, 193.55)    (193.55, 193.82)    (193.82, 193.92)    (193.92, 194.22)    (194.22, 194.62)    (194.62, 194.95)    (194.95, 194.98)    (194.98, 195.35)    (195.35, 195.475)   (195.475, 195.6)    (195.6, 195.83)     (195.992, 196.066)  (196.066, 196.14)   (196.14, 196.49)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (193.042, 193.38)   (193.38, 193.55)    (193.55, 193.82)    (193.82, 193.92)    (193.92, 194.22)    (194.22, 194.62)    (194.62, 194.95)    (194.95, 194.98)    (194.98, 195.35)    (195.35, 195.475)   (195.475, 195.6)    (195.6, 195.83)     (195.992, 196.066)  (196.066, 196.14)   (196.14, 196.49)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgood               Ġtax                Ġmoney              Ġfor                Ġthis               Ġand                Ġthey               Ġturned             Ġit                 Ġoff                Ġyet                Ġthey               're                 Ġstill              Ġgiving            
Timings          : (196.49, 196.7)     (196.7, 197.07)     (197.07, 197.31)    (197.31, 197.48)    (197.48, 197.85)    (197.85, 198.056)   (198.88, 199.061)   (199.061, 199.35)   (199.35, 199.46)    (199.46, 199.857)   (199.857, 200.11)   (200.11, 200.185)   (200.185, 200.26)   (200.26, 200.55)    (200.55, 200.85)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (196.49, 196.7)     (196.7, 197.07)     (197.07, 197.31)    (197.31, 197.48)    (197.48, 197.85)    (197.845, 198.078)  (-1.0, -1.0)        (199.061, 199.35)   (199.35, 199.46)    (199.46, 199.857)   (199.857, 200.11)   (200.11, 200.185)   (200.185, 200.26)   (200.26, 200.55)    (200.55, 200.85)   
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   80525804961805      80525804961805      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmoney              Ġto                 Ġall                Ġthese              Ġbizarre            Ġthings             Ġin                 Ġnew                Ġy                  ork                 Ġcity               <emp>               Ġthe                Ġroads              Ġaren              
Timings          : (200.85, 201.16)    (201.16, 201.25)    (201.25, 201.5)     (201.5, 201.954)    (202.391, 202.89)   (202.89, 203.33)    (203.33, 203.41)    (203.41, 203.49)    (203.49, 203.63)    (203.63, 203.77)    (203.77, 204.224)   (204.276, 204.558)  (204.97, 205.04)    (205.04, 205.38)    (205.38, 205.495)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>              
Timings          : (200.85, 201.16)    (201.16, 201.25)    (201.25, 201.5)     (201.5, 201.954)    (202.391, 202.89)   (202.89, 203.33)    (203.33, 203.41)    (203.41, 203.49)    (203.49, 203.63)    (203.63, 203.77)    (203.77, 204.224)   (204.276, 204.558)  (-1.0, -1.0)        (205.04, 205.38)    (205.38, 205.495)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80525804961806      80525804961806      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : 't                  Ġany                Ġbetter             Ġhere               <emp>               Ġand                Ġuh                 Ġeven               Ġthe                Ġtown               Ġhere               Ġwhere              Ġi                  Ġam                 Ġin                
Timings          : (205.495, 205.61)   (205.61, 205.8)     (205.8, 206.07)     (206.07, 206.49)    (206.63, 206.904)   (207.517, 208.017)  (208.017, 208.44)   (208.947, 209.147)  (209.147, 209.25)   (209.314, 209.687)  (209.687, 209.967)  (209.967, 210.137)  (210.137, 210.287)  (210.287, 210.537)  (210.537, 210.874) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (205.495, 205.61)   (205.61, 205.8)     (205.8, 206.07)     (206.07, 206.49)    (206.63, 206.904)   (-1.0, -1.0)        (208.017, 208.44)   (208.947, 209.147)  (209.147, 209.25)   (209.314, 209.687)  (209.687, 209.967)  (209.967, 210.137)  (210.137, 210.287)  (210.287, 210.537)  (210.537, 210.874) 
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   80525804961807      80525804961807      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġum                 Ġthe                Ġtaxes              Ġhave               Ġincreased          Ġagain              Ġi                  Ġmean               Ġthey               Ġjust               Ġcan                't                  Ġpush               Ġproperty           Ġtaxes             
Timings          : (211.157, 211.557)  (211.767, 211.847)  (211.847, 212.337)  (212.337, 212.467)  (212.467, 212.907)  (212.907, 213.197)  (213.197, 213.257)  (213.257, 213.427)  (213.427, 213.527)  (213.527, 213.747)  (213.747, 213.907)  (213.907, 214.067)  (214.067, 214.307)  (214.307, 214.797)  (214.797, 215.267) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242      80523120607242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (211.157, 211.557)  (211.767, 211.847)  (211.847, 212.337)  (212.337, 212.467)  (212.467, 212.907)  (212.907, 213.197)  (213.197, 213.257)  (213.257, 213.427)  (213.427, 213.527)  (213.527, 213.747)  (213.747, 213.907)  (213.907, 214.067)  (214.067, 214.307)  (214.307, 214.797)  (214.797, 215.267) 
