A                : what                Ġwhat               Ġwhat               Ġsort               Ġof                 Ġcompany            Ġdo                 Ġyou                Ġwork               Ġfor                Ġdo                 Ġyou                Ġwork               Ġfor                Ġa                 
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdo                 Ġget                Ġlaid               Ġoff                Ġa                  Ġlittle             Ġbit                Ġbetter             Ġyou                Ġknow               Ġother              Ġthan               Ġsomething          Ġyou                Ġknow              
Timings          : (156.241, 156.421)  (156.421, 156.661)  (156.661, 157.011)  (157.011, 157.351)  (157.351, 157.401)  (157.401, 157.601)  (157.601, 157.811)  (157.861, 158.391)  (158.671, 158.771)  (158.771, 159.001)  (159.001, 159.221)  (159.221, 159.491)  (159.491, 159.641)  (159.801, 159.901)  (159.901, 160.071) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.071, 160.431)  (160.431, 160.591)  (160.591, 161.311)  (161.311, 161.431)  (161.431, 161.791)  (161.791, 161.931)  (161.931, 161.981)  (161.981, 162.261)  (162.261, 162.321)  (162.321, 162.771)  (162.771, 162.911)  (162.911, 163.011)  (163.011, 163.291)  (163.291, 163.541)  (164.44, 164.73)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsomething          Ġlike               Ġunemployment       Ġis                 Ġgood               Ġbut                Ġi                  Ġmean               Ġthe                Ġcompany            Ġas                 Ġa                  Ġwhole              Ġbecause            Ġyou               
Timings          : (160.071, 160.431)  (160.431, 160.591)  (160.591, 161.311)  (161.311, 161.431)  (161.431, 161.791)  (161.791, 161.931)  (161.931, 161.981)  (161.981, 162.261)  (162.261, 162.321)  (162.321, 162.771)  (162.771, 162.911)  (162.911, 163.011)  (163.011, 163.291)  (163.291, 163.541)  (164.44, 164.73)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.73, 164.86)    (164.86, 164.99)    (164.99, 165.92)    (165.92, 166.2)     (166.2, 166.34)     (166.34, 166.42)    (166.42, 167.26)    (167.705, 167.805)  (167.805, 168.155)  (168.155, 168.395)  (168.395, 168.535)  (168.535, 168.865)  (168.865, 168.945)  (168.945, 168.985)  (168.985, 169.385) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġas                 Ġan                 Ġemployee           Ġeven               Ġthough             Ġthe                Ġcompany            Ġis                 Ġmaking             Ġmoney              Ġthey               Ġpaying             Ġyou                Ġa                  Ġsalary            
Timings          : (164.73, 164.86)    (164.86, 164.99)    (164.99, 165.92)    (165.92, 166.2)     (166.2, 166.34)     (166.34, 166.42)    (166.42, 167.26)    (167.705, 167.805)  (167.805, 168.155)  (168.155, 168.395)  (168.395, 168.535)  (168.535, 168.865)  (168.865, 168.945)  (168.945, 168.985)  (168.985, 169.385) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.385, 169.605)  (169.605, 169.925)  (169.925, 170.535)  (170.555, 171.225)  (171.225, 171.375)  (171.375, 171.575)  (171.575, 172.075)  (172.125, 172.495)  (172.525, 172.615)  (172.615, 172.705)  (172.705, 173.555)  (173.555, 174.065)  (174.435, 174.805)  (174.805, 175.045)  (175.045, 175.185) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġyou                Ġare                Ġresponsible        Ġfor                Ġthat               Ġcompany            Ġgrowth             Ġyou                're                 Ġresponsible        Ġalso               Ġfor                Ġhelping            Ġthat              
Timings          : (169.385, 169.605)  (169.605, 169.925)  (169.925, 170.535)  (170.555, 171.225)  (171.225, 171.375)  (171.375, 171.575)  (171.575, 172.075)  (172.125, 172.495)  (172.525, 172.615)  (172.615, 172.705)  (172.705, 173.555)  (173.555, 174.065)  (174.435, 174.805)  (174.805, 175.045)  (175.045, 175.185) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (175.185, 175.805)  (175.805, 176.005)  (176.005, 176.125)  (176.125, 176.195)  (176.195, 176.315)  (176.315, 176.435)  (176.435, 176.555)  (176.555, 177.005)  (177.005, 177.195)  (177.195, 177.275)  (177.275, 177.355)  (177.355, 177.575)  (177.575, 177.675)  (177.675, 177.975)  (177.975, 178.715) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcompany            Ġget                Ġto                 Ġthe                Ġpart               /                   point               Ġpoint              Ġthat               Ġit                 's                  Ġat                 Ġat                 Ġmaking             Ġprofits           
Timings          : (175.185, 175.805)  (175.805, 176.005)  (176.005, 176.125)  (176.125, 176.195)  (176.195, 176.315)  (176.315, 176.435)  (176.435, 176.555)  (176.555, 177.005)  (177.005, 177.195)  (177.195, 177.275)  (177.275, 177.355)  (177.355, 177.575)  (177.575, 177.675)  (177.675, 177.975)  (177.975, 178.715) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (179.208, 179.598)  (179.598, 179.818)  (179.818, 180.148)  (180.148, 180.499)  (180.499, 181.268)  (182.946, 183.236)  (183.236, 183.476)  (183.476, 183.716)  (183.716, 183.956)  (183.956, 184.176)  (184.176, 184.236)  (184.236, 184.826)  (184.826, 185.106)  (185.106, 185.346)  (185.346, 185.716) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġso                 Ġthere              Ġshould             Ġbe                 Ġsomething          Ġin                 Ġthere              Ġor                 Ġsome               Ġkind               Ġof                 Ġclause             Ġthat               Ġwill               Ġsubsid            
Timings          : (179.208, 179.598)  (179.598, 179.818)  (179.818, 180.148)  (180.148, 180.499)  (180.499, 181.268)  (182.946, 183.236)  (183.236, 183.476)  (183.476, 183.716)  (183.716, 183.956)  (183.956, 184.176)  (184.176, 184.236)  (184.236, 184.826)  (184.826, 185.106)  (185.106, 185.346)  (185.346, 185.716) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.716, 186.086)  (186.086, 186.446)  (186.446, 186.566)  (186.566, 186.746)  (186.746, 187.236)  (187.236, 187.486)  (187.486, 187.636)  (187.636, 188.246)  (188.926, 189.186)  (189.186, 189.536)  (189.946, 190.076)  (190.076, 190.476)  (190.636, 191.026)  (191.026, 191.616)  (191.616, 191.706) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : ize                 Ġpeople             Ġif                 Ġthey               Ġdid                Ġlose               Ġtheir              Ġjob                Ġother              Ġthan               Ġyou                Ġknow               Ġuh                 Ġneglect            Ġor                
Timings          : (185.716, 186.086)  (186.086, 186.446)  (186.446, 186.566)  (186.566, 186.746)  (186.746, 187.236)  (187.236, 187.486)  (187.486, 187.636)  (187.636, 188.246)  (188.926, 189.186)  (189.186, 189.536)  (189.946, 190.076)  (190.076, 190.476)  (190.636, 191.026)  (191.026, 191.616)  (191.616, 191.706) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (191.706, 192.066)  (192.066, 192.286)  (192.286, 192.796)  (193.143, 193.342)  (193.342, 193.542)  (-1.0, -1.0)        (193.834, 194.054)  (194.054, 194.644)  (194.644, 194.754)  (194.754, 194.864)  (194.864, 195.154)  (195.154, 195.184)  (195.184, 195.414)  (195.414, 195.644)  (195.674, 196.064) 
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   79511655809038      79511655809038      79511655809038      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsomething          Ġlike               Ġthat               <emp>               <emp>               Ġyou                Ġknow               Ġbecause            Ġit                 's                  Ġnot                Ġa                  Ġperson             's                  Ġfault             
Timings          : (191.706, 192.066)  (192.066, 192.286)  (192.286, 192.796)  (193.143, 193.342)  (193.342, 193.542)  (193.674, 193.834)  (193.834, 194.054)  (194.054, 194.644)  (194.644, 194.754)  (194.754, 194.864)  (194.864, 195.154)  (195.154, 195.184)  (195.184, 195.414)  (195.414, 195.644)  (195.674, 196.064) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (196.064, 196.364)  (197.064, 197.204)  (197.204, 197.314)  (197.314, 197.634)  (197.634, 197.884)  (197.884, 198.394)  (198.394, 198.534)  (198.534, 198.672)  (198.672, 198.81)   (198.81, 198.949)   (198.949, 199.087)  (199.087, 199.225)  (199.225, 199.364)  (199.364, 199.824)  (200.465, 200.565) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġyou                Ġknow               Ġpeople             Ġnot                Ġbuying             Ġor                 Ġb                  iness               es                  /                   business            es                  Ġare                Ġare               
Timings          : (196.064, 196.364)  (197.064, 197.204)  (197.204, 197.314)  (197.314, 197.634)  (197.634, 197.884)  (197.884, 198.394)  (198.394, 198.534)  (198.534, 198.672)  (198.672, 198.81)   (198.81, 198.949)   (198.949, 199.087)  (199.087, 199.225)  (199.225, 199.364)  (199.364, 199.824)  (200.465, 200.565) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (200.565, 200.795)  (200.795, 200.915)  (200.915, 201.035)  (201.035, 201.195)  (201.195, 201.295)  (201.295, 201.515)  (201.515, 201.725)  (201.725, 201.825)  (201.925, 202.305)  (202.625, 202.795)  (202.795, 203.065)  (203.105, 203.245)  (203.245, 203.34)   (203.34, 203.435)   (203.435, 203.605) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnot                Ġon                 Ġthe                Ġup                 Ġand                Ġup                 Ġall                Ġthe                Ġtime               Ġyou                Ġknow               Ġi                  Ġdon                't                  Ġsee               
Timings          : (200.565, 200.795)  (200.795, 200.915)  (200.915, 201.035)  (201.035, 201.195)  (201.195, 201.295)  (201.295, 201.515)  (201.515, 201.725)  (201.725, 201.825)  (201.925, 202.305)  (202.625, 202.795)  (202.795, 203.065)  (203.105, 203.245)  (203.245, 203.34)   (203.34, 203.435)   (203.435, 203.605) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (203.605, 203.795)  (203.795, 204.045)  (204.045, 204.105)  (204.105, 204.305)  (204.305, 204.855)  (205.415, 205.635)  (205.635, 205.985)  (205.985, 206.215)  (206.215, 206.275)  (206.275, 206.655)  (206.655, 206.865)  (206.955, 207.115)  (207.115, 207.335)  (207.335, 207.395)  (207.395, 207.655) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhow                Ġone                Ġor                 Ġtwo                Ġpeople             Ġmaybe              Ġmore               Ġone                Ġor                 Ġtwo                Ġbut                Ġyou                Ġknow               Ġa                  Ġnumber            
Timings          : (203.605, 203.795)  (203.795, 204.045)  (204.045, 204.105)  (204.105, 204.305)  (204.305, 204.855)  (205.415, 205.635)  (205.635, 205.985)  (205.985, 206.215)  (206.215, 206.275)  (206.275, 206.655)  (206.655, 206.865)  (206.955, 207.115)  (207.115, 207.335)  (207.335, 207.395)  (207.395, 207.655) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġnow                Ġhow                Ġdo                
Timings          : (207.655, 207.725)  (207.725, 208.085)  (208.085, 208.375)  (208.995, 209.195)  (209.195, 209.545)  (209.545, 209.865)  (209.865, 210.765)  (210.765, 210.915)  (210.985, 211.445)  (211.445, 211.535)  (211.535, 211.985)  (211.985, 212.905)  (213.353, 213.483)  (213.483, 213.623)  (213.623, 213.703) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79509508325386      79509508325386      79509508325386     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġof                 Ġpeople             Ġcan                Ġcan                Ġbe                 Ġthe                Ġdownfall           Ġof                 Ġcompany            Ġa                  Ġcompany            Ġsituation          <eot>               <emp>               <emp>              
Timings          : (207.655, 207.725)  (207.725, 208.085)  (208.085, 208.375)  (208.995, 209.195)  (209.195, 209.545)  (209.545, 209.865)  (209.865, 210.765)  (210.765, 210.915)  (210.985, 211.445)  (211.445, 211.535)  (211.535, 211.985)  (211.985, 212.905)  (-1.0, -1.0)        (213.483, 213.623)  (213.623, 213.703) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġyou                Ġmean               Ġthat               Ġi                  Ġknow               Ġit                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (213.703, 213.763)  (213.763, 213.963)  (213.963, 214.273)  (214.273, 214.413)  (214.413, 214.563)  (214.563, 214.713)  (-1.0, -1.0)        (215.706, 215.866)  (215.866, 215.956)  (215.956, 216.356)  (216.356, 216.736)  (217.196, 217.696)  (218.406, 218.676)  (218.676, 218.866)  (218.866, 219.116) 
