A                : you                 Ġwanna              Ġgo                 Ġfirst              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (155.307, 155.497)  (155.497, 155.697)  (155.697, 155.777)  (155.777, 156.098)  (156.098, 156.678)  (156.678, 156.798)  (156.798, 156.917)  (156.917, 157.038)  (157.038, 157.238)  (157.238, 157.721)  (158.09, 158.378)   (158.378, 158.557)  (158.557, 158.637)  (158.637, 158.717)  (158.717, 159.357) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbut                Ġyou                Ġyou                Ġprobably           Ġwouldn             't                  <eot>               so                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               yeah               
Timings          : (159.357, 159.688)  (160.438, 160.638)  (160.638, 160.777)  (160.777, 161.117)  (161.117, 161.355)  (161.355, 161.594)  (-1.0, -1.0)        (162.409, 162.98)   (-1.0, -1.0)        (163.866, 163.982)  (163.982, 164.203)  (164.203, 164.243)  (164.243, 164.663)  (164.663, 164.776)  (164.753, 165.373) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   5                   5                   0                   0                   0                   0                   0                   3                  
turn_ids         : 81110457384976      81110457384976      81110457384976      81110457384976      81110457384976      81110457384976      81110457384976      81111531126793      81111531126793      0                   0                   0                   0                   0                   81109383643145     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               Ġuh                 Ġthat               Ġmakes              Ġa                  Ġdifference         Ġdoesn              't                 
Timings          : (159.357, 159.688)  (160.438, 160.638)  (160.638, 160.777)  (160.777, 161.117)  (161.117, 161.355)  (161.355, 161.594)  (161.863, 162.169)  (162.734, 163.088)  (163.525, 163.866)  (163.866, 163.982)  (163.982, 164.203)  (164.203, 164.243)  (164.243, 164.663)  (164.663, 164.776)  (164.776, 164.89)  
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (165.84, 166.026)   (166.026, 166.211)  (166.874, 167.023)  (167.023, 167.163)  (167.163, 167.353)  (167.353, 167.553)  (167.553, 167.829)  (167.938, 168.383)  (169.592, 169.914)  (169.914, 170.044)  (170.044, 170.219)  (170.219, 170.395)  (170.395, 170.568)  (172.541, 172.621) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81109383643145      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġi                  've                 Ġone                Ġthing              Ġmore               Ġwhen               Ġi                  Ġhave               Ġrun                Ġand                Ġj                  ogged               Ġuh                 Ġi                 
Timings          : (165.383, 165.656)  (165.84, 166.026)   (166.026, 166.211)  (166.874, 167.023)  (167.023, 167.163)  (167.163, 167.353)  (167.353, 167.553)  (167.553, 167.829)  (167.938, 168.383)  (169.592, 169.914)  (169.914, 170.044)  (170.044, 170.219)  (170.219, 170.395)  (170.395, 170.568)  (172.541, 172.621) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (172.621, 172.701)  (172.701, 172.981)  (172.981, 173.281)  (173.281, 173.451)  (173.451, 173.551)  (173.551, 173.681)  (173.681, 174.131)  (174.131, 174.361)  (174.361, 174.798)  (174.798, 174.941)  (174.941, 175.348)  (175.348, 175.68)   (175.861, 176.061)  (176.061, 176.141)  (176.141, 176.481) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 've                 Ġalways             Ġenjoyed            Ġdoing              Ġit                 Ġby                 Ġmyself             Ġand                Ġand                Ġno                 Ġno                 Ġnot                Ġwith               Ġthe                Ġsense             
Timings          : (172.621, 172.701)  (172.701, 172.981)  (172.981, 173.281)  (173.281, 173.451)  (173.451, 173.551)  (173.551, 173.681)  (173.681, 174.131)  (174.131, 174.361)  (174.361, 174.798)  (174.798, 174.941)  (174.941, 175.348)  (175.348, 175.68)   (175.861, 176.061)  (176.061, 176.141)  (176.141, 176.481) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.481, 176.651)  (176.651, 176.851)  (176.851, 177.06)   (177.806, 178.151)  (178.151, 178.501)  (178.501, 178.721)  (178.721, 179.061)  (179.061, 179.181)  (179.181, 179.311)  (179.311, 179.633)  (179.897, 180.231)  (180.231, 180.301)  (180.301, 180.451)  (180.451, 180.616)  (180.714, 180.828) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġwas                Ġa                  Ġa                  Ġchore              Ġor                 Ġsomething          Ġthat               Ġi                  Ġwas                Ġhaving             Ġto                 Ġdo                 Ġi                  Ġi                 
Timings          : (176.481, 176.651)  (176.651, 176.851)  (176.851, 177.06)   (177.806, 178.151)  (178.151, 178.501)  (178.501, 178.721)  (178.721, 179.061)  (179.061, 179.181)  (179.181, 179.311)  (179.311, 179.633)  (179.897, 180.231)  (180.231, 180.301)  (180.301, 180.451)  (180.451, 180.616)  (180.714, 180.828) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.828, 180.941)  (180.941, 181.171)  (181.171, 181.531)  (181.531, 181.731)  (181.731, 181.851)  (181.851, 182.271)  (182.271, 182.409)  (182.838, 183.271)  (183.271, 183.521)  (185.883, 186.081)  (187.377, 187.678)  (187.908, 188.62)   (189.29, 189.885)   (190.707, 190.807)  (190.807, 190.977) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 've                 Ġreally             Ġenjoyed            Ġjust               Ġthe                Ġactivity           Ġand                Ġand                Ġuh                 Ġi                  Ġwrite              Ġsoftware           Ġuh                 Ġas                 Ġfar               
Timings          : (180.828, 180.941)  (180.941, 181.171)  (181.171, 181.531)  (181.531, 181.731)  (181.731, 181.851)  (181.851, 182.271)  (182.271, 182.409)  (182.838, 183.271)  (183.271, 183.521)  (185.883, 186.081)  (187.377, 187.678)  (187.908, 188.62)   (189.29, 189.885)   (190.707, 190.807)  (190.807, 190.977) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.977, 191.067)  (191.067, 191.127)  (191.127, 191.434)  (191.434, 191.581)  (191.581, 191.846)  (192.272, 192.367)  (192.517, 192.807)  (192.807, 192.987)  (192.987, 193.247)  (193.247, 193.548)  (193.548, 194.097)  (195.049, 195.459)  (196.706, 197.046)  (197.046, 197.416)  (199.697, 200.257) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġas                 Ġthe                Ġjob                Ġand                Ġso                 Ġgetting            Ġgetting            Ġout                Ġand                Ġbeing              Ġactive             Ġuh                 Ġis                 Ġuh                 Ġuh                
Timings          : (190.977, 191.067)  (191.067, 191.127)  (191.127, 191.434)  (191.434, 191.581)  (191.581, 191.846)  (192.272, 192.367)  (192.517, 192.807)  (192.807, 192.987)  (192.987, 193.247)  (193.247, 193.548)  (193.548, 194.097)  (195.049, 195.459)  (196.706, 197.046)  (197.046, 197.416)  (199.697, 200.257) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġyeah               Ġyeah               Ġi                  Ġcan                <emp>               Ġsee                Ġit                 'll                 Ġbe                 Ġa                  Ġgood               Ġbreak              <emp>              
Timings          : (200.566, 200.853)  (200.853, 201.077)  (201.372, 201.892)  (201.892, 202.311)  (202.311, 202.412)  (202.412, 202.652)  (202.563, 202.662)  (202.652, 202.812)  (202.812, 202.887)  (202.887, 202.962)  (202.962, 203.082)  (203.082, 203.162)  (203.162, 203.342)  (203.342, 203.861)  (203.623, 203.963) 
Token Types      : 0                   0                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                  
turn_ids         : 0                   0                   81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      81111531126795     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġhelps              Ġout                Ġthe                Ġthe                Ġit                 's                  Ġa                  <emp>               Ġchange             <emp>               <emp>               Ġthe                Ġchange             Ġthe                Ġchange            
Timings          : (200.566, 200.853)  (200.853, 201.077)  (201.291, 201.653)  (201.913, 202.092)  (202.205, 202.384)  (202.384, 202.563)  (202.563, 202.662)  (202.652, 202.812)  (202.813, 203.053)  (202.887, 202.962)  (202.962, 203.082)  (203.053, 203.163)  (203.163, 203.526)  (203.526, 203.623)  (203.623, 203.963) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġright              <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (203.963, 204.033)  (204.033, 204.403)  (204.403, 204.513)  (204.577, 205.08)   (-1.0, -1.0)        (205.483, 205.683)  (205.683, 205.783)  (205.783, 206.133)  (206.133, 206.288)  (206.288, 206.512)  (206.854, 206.945)  (206.945, 207.193)  (207.193, 207.333)  (207.333, 207.403)  (207.403, 207.553) 
Token Types      : 5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81111531126795      81111531126795      81111531126795      81111531126795      81111531126795      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġpace               Ġand                Ġjust               Ġgetting            Ġout                Ġand                Ġaround             Ġand                Ġand                Ġi                  Ġfind               Ġthat               Ġi                  Ġcan               
Timings          : (203.963, 204.033)  (204.033, 204.403)  (204.403, 204.513)  (204.513, 205.253)  (205.253, 205.483)  (205.483, 205.683)  (205.683, 205.783)  (205.783, 206.133)  (206.133, 206.288)  (206.288, 206.512)  (206.854, 206.945)  (206.945, 207.193)  (207.193, 207.333)  (207.333, 207.403)  (207.403, 207.553) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (207.553, 208.073)  (208.073, 208.143)  (208.143, 208.411)  (208.516, 208.971)  (209.514, 209.763)  (209.763, 209.893)  (209.893, 209.943)  (209.943, 210.073)  (210.073, 210.273)  (210.273, 210.333)  (210.333, 210.673)  (210.673, 210.813)  (210.813, 210.943)  (210.943, 211.163)  (211.163, 211.328) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġoften              Ġyou                Ġknow               Ġoften              Ġuh                 Ġwhen               Ġi                  Ġget                Ġaround             Ġto                 Ġdoing              Ġit                 Ġthen               Ġi                  Ġi                 
Timings          : (207.553, 208.073)  (208.073, 208.143)  (208.143, 208.411)  (208.516, 208.971)  (209.514, 209.763)  (209.763, 209.893)  (209.893, 209.943)  (209.943, 210.073)  (210.073, 210.273)  (210.273, 210.333)  (210.333, 210.673)  (210.673, 210.813)  (210.813, 210.943)  (210.943, 211.163)  (211.163, 211.328) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (211.328, 211.543)  (211.543, 211.753)  (211.753, 211.873)  (211.873, 211.933)  (211.933, 212.123)  (212.123, 212.303)  (212.303, 212.393)  (212.372, 212.542)  (212.542, 212.712)  (212.712, 212.882)  (-1.0, -1.0)        (213.313, 213.505)  (214.509, 215.059)  (215.999, 216.299)  (216.299, 216.589) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81109383643146      81109383643146      81109383643146      81109383643146      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġfeel               Ġbetter             Ġwhen               Ġi                  Ġget                Ġback               Ġto                 Ġwork               Ġand                Ġthe                Ġand                Ġuh                 Ġuh                 Ġalso               Ġthat              
Timings          : (211.328, 211.543)  (211.543, 211.753)  (211.753, 211.873)  (211.873, 211.933)  (211.933, 212.123)  (212.123, 212.303)  (212.303, 212.393)  (212.393, 212.593)  (212.593, 212.733)  (212.733, 212.863)  (212.863, 213.313)  (213.313, 213.505)  (214.509, 215.059)  (215.999, 216.299)  (216.299, 216.589) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
Timings          : (216.589, 216.959)  (218.372, 218.524)  (218.722, 219.022)  (219.022, 219.706)  (219.706, 219.827)  (219.827, 220.077)  (220.077, 220.186)  (220.186, 220.456)  (220.456, 220.607)  (220.607, 220.697)  (220.697, 220.786)  (220.753, 221.193)  (-1.0, -1.0)        (221.206, 221.387)  (221.387, 221.546) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81109383643147      81109383643147      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : Ġthat               Ġit                 Ġmy                 Ġsubconscious       Ġis                 Ġworking            Ġon                 Ġthings             Ġwhile              Ġi                  'm                  Ġworking            Ġand                Ġi                  Ġi                 
Timings          : (216.589, 216.959)  (218.372, 218.524)  (218.722, 219.022)  (219.022, 219.706)  (219.706, 219.827)  (219.827, 220.077)  (220.077, 220.186)  (220.186, 220.456)  (220.456, 220.607)  (220.607, 220.697)  (220.697, 220.786)  (220.786, 221.066)  (221.066, 221.206)  (221.206, 221.387)  (221.387, 221.546) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417      81107773030417     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġthink              Ġyou                Ġdo                 Ġyou               
Timings          : (221.546, 221.697)  (221.697, 221.936)  (221.936, 222.057)  (222.057, 222.102)  (222.102, 222.146)  (222.146, 222.307)  (222.596, 222.706)  (222.706, 223.233)  (223.233, 223.342)  (223.623, 223.858)  (223.858, 223.989)  (223.989, 224.279)  (224.279, 224.389)  (224.389, 224.584)  (224.584, 224.819) 
