A                : i                   Ġthink              Ġthat               Ġthe                Ġmiddle             Ġeast               Ġis                 Ġof                 Ġall                Ġthe                Ġuh                 Ġregions            Ġof                 Ġthe                Ġworld             
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : ians                Ġin                 Ġthe                Ġpast               Ġuh                 Ġi                  Ġthink              Ġthat               's                  Ġup                 Ġthe                Ġstage              Ġfor                Ġthe                Ġend               
Timings          : (139.892, 140.143)  (140.714, 140.854)  (140.854, 140.946)  (140.946, 141.56)   (142.025, 142.526)  (142.71, 142.857)   (142.857, 143.107)  (143.107, 143.252)  (143.252, 143.397)  (143.397, 143.557)  (143.557, 143.617)  (143.617, 144.097)  (144.097, 144.687)  (144.992, 145.327)  (145.327, 145.557) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġhum                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (139.892, 140.143)  (140.714, 140.854)  (140.854, 140.946)  (140.946, 141.56)   (142.169, 142.294)  (-1.0, -1.0)        (142.857, 143.107)  (143.107, 143.252)  (143.252, 143.397)  (143.397, 143.557)  (143.557, 143.617)  (143.617, 144.097)  (144.097, 144.687)  (144.992, 145.327)  (145.327, 145.557) 
Token Types      : 0                   0                   0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82864414654469      82864414654469      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġeffect             Ġto                 Ġfor                Ġthis               Ġuh                 Ġuh                 Ġrevolution         Ġof                 Ġis                 lam                 ic                  Ġfundamental        ism                 Ġwhat               Ġseems             
Timings          : (145.557, 145.987)  (145.987, 146.117)  (146.117, 146.317)  (146.317, 146.637)  (146.637, 146.861)  (147.542, 147.917)  (147.917, 148.687)  (148.687, 148.867)  (148.867, 149.071)  (149.071, 149.274)  (149.274, 149.477)  (149.477, 149.88)   (149.88, 150.284)   (150.284, 150.393)  (150.393, 150.657) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (145.557, 145.987)  (145.987, 146.117)  (146.117, 146.317)  (146.317, 146.637)  (146.637, 146.861)  (147.542, 147.917)  (147.917, 148.687)  (148.687, 148.867)  (148.867, 149.071)  (149.071, 149.274)  (149.274, 149.477)  (149.477, 149.88)   (149.88, 150.284)   (150.284, 150.393)  (150.393, 150.657) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġbe                 Ġsweeping           Ġdefinitely         Ġthrough            Ġnorth              Ġaf                 rica                Ġand                Ġuh                 Ġwithin             Ġparts              Ġof                 Ġthe                Ġmiddle            
Timings          : (150.657, 150.757)  (150.757, 150.867)  (150.867, 151.413)  (152.086, 152.598)  (152.598, 152.781)  (152.781, 153.081)  (153.081, 153.387)  (153.387, 153.694)  (154.165, 154.636)  (154.636, 154.997)  (155.245, 155.661)  (155.661, 156.011)  (156.011, 156.071)  (156.071, 156.131)  (156.131, 156.401) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (150.657, 150.757)  (150.757, 150.867)  (150.867, 151.413)  (152.086, 152.598)  (152.598, 152.781)  (152.781, 153.081)  (153.081, 153.387)  (153.387, 153.694)  (154.165, 154.636)  (154.636, 154.997)  (155.245, 155.661)  (155.661, 156.011)  (156.011, 156.071)  (156.071, 156.131)  (156.131, 156.401) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġeast               Ġas                 Ġwell               Ġsomething          Ġwhich              Ġterr               ifies               Ġthe                Ġmoderate           Ġar                 ab                  Ġstates             <emp>               Ġuh                 <eot>              
Timings          : (156.401, 156.691)  (156.691, 156.861)  (156.861, 157.291)  (157.702, 158.078)  (158.078, 158.271)  (158.271, 158.606)  (158.606, 158.941)  (158.941, 159.021)  (159.021, 159.471)  (159.471, 159.606)  (159.606, 159.741)  (159.741, 160.432)  (160.794, 161.108)  (161.402, 162.046)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               Ġwell              
Timings          : (156.401, 156.691)  (156.691, 156.861)  (156.861, 157.291)  (157.702, 158.078)  (158.078, 158.271)  (158.271, 158.606)  (158.606, 158.941)  (158.941, 159.021)  (159.021, 159.471)  (159.471, 159.606)  (159.606, 159.741)  (159.741, 160.432)  (160.794, 161.108)  (-1.0, -1.0)        (162.214, 162.443) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82862267170820      82862267170820      82860119687175     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (162.443, 162.519)  (162.519, 162.595)  (162.595, 162.895)  (162.895, 163.185)  (163.185, 163.595)  (163.595, 163.695)  (163.695, 163.775)  (163.775, 163.925)  (163.925, 164.095)  (164.095, 164.17)   (164.17, 164.32)    (164.32, 164.55)    (164.55, 164.686)   (164.686, 164.835)  (164.835, 164.905) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 's                  Ġpretty             Ġscary              Ġanybody            Ġif                 Ġyou                Ġthink              Ġabout              Ġi                  Ġmean               Ġany                Ġany                Ġtime               Ġyou               
Timings          : (162.443, 162.519)  (162.519, 162.595)  (162.595, 162.895)  (162.895, 163.185)  (163.185, 163.595)  (163.595, 163.695)  (163.695, 163.775)  (163.775, 163.925)  (163.925, 164.095)  (164.095, 164.17)   (164.17, 164.32)    (164.32, 164.55)    (164.55, 164.686)   (164.686, 164.835)  (164.835, 164.905) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġy                  ep                  <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.905, 165.025)  (165.025, 165.7)    (165.7, 166.375)    (166.375, 166.495)  (166.495, 166.686)  (166.762, 167.115)  (167.115, 167.546)  (167.981, 168.158)  (168.158, 168.335)  (-1.0, -1.0)        (168.804, 168.963)  (168.963, 169.293)  (169.293, 169.641)  (169.641, 169.702)  (169.702, 169.939) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82859582816264      82859582816264      82859582816264      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġget                Ġfundamental        ists                Ġyou                Ġknow               Ġwhatever           Ġnature             <eot>               <emp>               Ġand                Ġin                 Ġpower              Ġanywhere           Ġi                  Ġmean              
Timings          : (164.905, 165.025)  (165.025, 165.7)    (165.7, 166.375)    (166.375, 166.495)  (166.495, 166.686)  (166.762, 167.115)  (167.115, 167.546)  (-1.0, -1.0)        (168.158, 168.335)  (168.652, 168.804)  (168.804, 168.963)  (168.963, 169.293)  (169.293, 169.641)  (169.641, 169.702)  (169.702, 169.939) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      82860119687175      0                   82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.939, 170.023)  (170.023, 170.108)  (170.108, 170.175)  (170.175, 170.243)  (170.243, 170.483)  (170.483, 170.813)  (170.813, 171.143)  (171.363, 171.483)  (171.483, 171.637)  (171.637, 171.792)  (172.188, 172.363)  (172.363, 172.423)  (172.423, 172.594)  (172.899, 173.283)  (173.283, 173.433) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               're                 Ġthey               're                 Ġpure               Ġfan                atics               Ġand                Ġthere              's                  Ġthat               Ġyou                Ġknow               Ġfundamentally      Ġno                
Timings          : (169.939, 170.023)  (170.023, 170.108)  (170.108, 170.175)  (170.175, 170.243)  (170.243, 170.483)  (170.483, 170.813)  (170.813, 171.143)  (171.363, 171.483)  (171.483, 171.637)  (171.637, 171.792)  (172.188, 172.363)  (172.363, 172.423)  (172.423, 172.594)  (172.899, 173.283)  (173.283, 173.433) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.433, 173.563)  (173.563, 173.653)  (173.653, 173.873)  (173.873, 173.983)  (173.983, 174.023)  (174.023, 174.436)  (175.029, 175.151)  (175.151, 175.294)  (175.294, 175.43)   (175.43, 175.564)   (175.564, 175.824)  (175.824, 175.964)  (175.964, 176.094)  (176.094, 176.204)  (176.204, 176.385) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġway                Ġto                 Ġdeal               Ġwith               Ġa                  Ġfanatic            Ġand                Ġyou                Ġcan                't                  Ġargue              Ġwith               Ġthem               Ġon                 Ġany               
Timings          : (173.433, 173.563)  (173.563, 173.653)  (173.653, 173.873)  (173.873, 173.983)  (173.983, 174.023)  (174.023, 174.436)  (175.029, 175.151)  (175.151, 175.294)  (175.294, 175.43)   (175.43, 175.564)   (175.564, 175.824)  (175.824, 175.964)  (175.964, 176.094)  (176.094, 176.204)  (176.204, 176.385) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġsuspect            <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (176.385, 176.594)  (176.594, 176.704)  (176.704, 177.105)  (177.105, 177.225)  (177.225, 177.624)  (177.624, 178.066)  (178.986, 179.253)  (179.253, 179.508)  (179.508, 179.695)  (179.695, 179.995)  (-1.0, -1.0)        (180.209, 180.437)  (180.723, 180.927)  (180.927, 181.087)  (181.087, 181.287) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82859582816266      82859582816266      82859582816266      82859582816266      82859582816266      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġsort               Ġof                 Ġlogical            Ġor                 Ġemotional          Ġbasis              <eot>               Ġa                  Ġfanatic            Ġwill               Ġbelieve            Ġin                 Ġx                  Ġy                  Ġz                 
Timings          : (176.385, 176.594)  (176.594, 176.704)  (176.704, 177.105)  (177.105, 177.225)  (177.225, 177.624)  (177.624, 178.066)  (-1.0, -1.0)        (179.305, 179.482)  (179.482, 179.753)  (179.753, 179.877)  (179.877, 180.209)  (180.209, 180.437)  (180.723, 180.927)  (180.927, 181.087)  (181.087, 181.287) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82860119687177      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.287, 181.637)  (181.637, 181.692)  (181.692, 181.747)  (181.747, 181.957)  (181.957, 182.117)  (182.117, 182.197)  (182.197, 182.407)  (182.407, 182.684)  (182.967, 183.268)  (-1.0, -1.0)        (183.497, 183.631)  (183.631, 183.751)  (183.751, 183.841)  (183.841, 183.951)  (183.951, 184.021) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82861730299913      82861730299913      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġand                Ġyou                're                 Ġnever              Ġgoing              Ġto                 Ġchange             Ġthat               <emp>               Ġyou                Ġknow               Ġso                 Ġyou                Ġmight              Ġas                
Timings          : (181.287, 181.637)  (181.637, 181.692)  (181.692, 181.747)  (181.747, 181.957)  (181.957, 182.117)  (182.117, 182.197)  (182.197, 182.407)  (182.407, 182.684)  (182.967, 183.268)  (183.416, 183.497)  (183.497, 183.631)  (183.631, 183.751)  (183.751, 183.841)  (183.841, 183.951)  (183.951, 184.021) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      82863340912651     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġi                  Ġsuspect            Ġthat               Ġwe                 'll                 Ġprobably           Ġin                 Ġuh                 Ġwith               Ġthe                Ġdemise            
Timings          : (184.021, 184.111)  (184.111, 184.201)  (184.201, 184.331)  (184.331, 184.786)  (185.411, 185.589)  (185.589, 186.236)  (186.236, 186.507)  (186.639, 186.772)  (186.772, 186.906)  (186.906, 187.756)  (187.756, 187.856)  (187.856, 187.886)  (187.886, 188.066)  (188.066, 188.146)  (188.146, 188.676) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwell               Ġnot                Ġeven               Ġtry                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.021, 184.111)  (184.111, 184.201)  (184.201, 184.331)  (184.331, 184.786)  (-1.0, -1.0)        (185.589, 186.236)  (186.236, 186.507)  (186.639, 186.772)  (186.772, 186.906)  (186.906, 187.756)  (187.756, 187.856)  (187.856, 187.886)  (187.886, 188.066)  (188.066, 188.146)  (188.146, 188.676) 
Token Types      : 4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82863340912651      82863340912651      82863340912651      82863340912651      82863340912651      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġthe                Ġso                 v                   iet                 Ġunion              Ġformation          Ġof                 Ġr                  ussia               Ġwhatever           Ġends               Ġup                 Ġcoming             Ġout               
Timings          : (188.676, 188.76)   (188.76, 188.805)   (188.805, 188.935)  (188.935, 189.065)  (189.065, 189.196)  (189.196, 189.786)  (189.786, 190.386)  (190.386, 190.606)  (190.606, 190.766)  (190.766, 190.926)  (190.926, 191.276)  (191.276, 191.496)  (191.496, 191.676)  (191.676, 191.976)  (191.976, 192.136) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
