A                : um                  Ġi                  've                 Ġhad                Ġuh                 Ġthree              Ġboys               Ġthrough            Ġi                  Ġguess              Ġuh                 Ġsome               Ġchild              Ġcare               Ġeach              
Timings          : (150.145, 150.325)  (150.325, 150.615)  (150.615, 150.745)  (150.745, 150.845)  (150.845, 151.051)  (151.051, 151.323)  (151.528, 151.75)   (-1.0, -1.0)        (152.2, 152.37)     (152.719, 152.896)  (152.896, 152.986)  (152.986, 153.106)  (153.106, 153.456)  (153.456, 153.576)  (153.576, 153.786) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79870285578256      79870285578256      0                   79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġall                Ġgoing              Ġout                Ġin                 Ġday                Ġcare               <eot>               Ġh                  m                   <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (150.145, 150.325)  (150.325, 150.615)  (150.615, 150.745)  (150.745, 150.845)  (150.845, 151.051)  (151.051, 151.323)  (-1.0, -1.0)        (152.029, 152.2)    (152.2, 152.37)     (-1.0, -1.0)        (152.896, 152.986)  (152.986, 153.106)  (153.106, 153.456)  (153.456, 153.576)  (153.576, 153.786) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 79870822449167      79870822449167      79870822449167      79870822449167      79870822449167      79870822449167      79870822449167      79870822449169      79870822449169      79870822449169      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġdecision           Ġthat               Ġmy                 Ġwife               Ġwould              Ġstay               Ġhome               Ġuntil              Ġthe                Ġboys               Ġwere               Ġum                 Ġin                 Ġschool            
Timings          : (153.786, 153.846)  (153.846, 154.306)  (154.306, 154.496)  (154.496, 154.616)  (154.616, 154.886)  (154.886, 155.026)  (155.026, 155.256)  (155.256, 155.496)  (155.496, 155.766)  (155.766, 155.826)  (155.826, 156.166)  (156.166, 156.374)  (156.736, 157.096)  (157.43, 157.588)   (157.588, 157.931) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (153.786, 153.846)  (153.846, 154.306)  (154.306, 154.496)  (154.496, 154.616)  (154.616, 154.886)  (154.886, 155.026)  (155.026, 155.256)  (155.256, 155.496)  (155.496, 155.766)  (155.766, 155.826)  (155.826, 156.166)  (156.166, 156.374)  (156.736, 157.096)  (157.43, 157.588)   (157.588, 157.931) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġi                  'm                  Ġreally             Ġhappy              Ġwe                 Ġdid                Ġit                 Ġalthough           Ġit                 Ġwas                Ġvery               Ġvery               Ġdifficult          <emp>              
Timings          : (158.617, 158.726)  (158.726, 158.791)  (158.791, 158.856)  (158.856, 159.036)  (159.036, 159.316)  (159.316, 159.426)  (159.426, 159.576)  (159.576, 159.656)  (159.656, 159.826)  (159.826, 159.916)  (159.916, 160.026)  (160.026, 160.236)  (160.236, 160.376)  (160.376, 160.833)  (161.246, 161.453) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                 
Timings          : (158.617, 158.726)  (158.726, 158.791)  (158.791, 158.856)  (158.856, 159.036)  (159.036, 159.316)  (159.316, 159.426)  (159.426, 159.576)  (159.576, 159.656)  (159.656, 159.826)  (159.826, 159.916)  (159.916, 160.026)  (160.026, 160.236)  (160.236, 160.376)  (160.376, 160.833)  (161.246, 161.453) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79875117416461     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġand                Ġi                  Ġthink              Ġit                 Ġwas                Ġthe                Ġright              Ġthing              Ġto                 Ġdo                 Ġwhen               Ġwe                 Ġwere               Ġum                 Ġwe                
Timings          : (161.417, 161.807)  (161.807, 161.902)  (161.902, 162.036)  (162.036, 162.106)  (162.106, 162.216)  (162.216, 162.306)  (162.306, 162.506)  (162.506, 162.646)  (162.646, 162.746)  (162.746, 162.896)  (162.896, 162.996)  (162.996, 163.116)  (163.116, 163.454)  (163.748, 164.085)  (164.906, 165.139) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : m                   <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (161.453, 161.66)   (-1.0, -1.0)        (161.902, 162.036)  (162.036, 162.106)  (162.106, 162.216)  (162.216, 162.306)  (162.306, 162.506)  (162.506, 162.646)  (162.646, 162.746)  (162.746, 162.896)  (162.896, 162.996)  (162.996, 163.116)  (163.116, 163.454)  (163.748, 164.085)  (164.906, 165.139) 
Token Types      : 5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79875117416461      79875117416461      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġdecided            Ġthat               Ġwe                 Ġwould              Ġdo                 Ġit                 Ġand                Ġwe                 Ġwent               Ġahead              Ġbut                Ġum                 Ġnot                Ġeverybody         
Timings          : (166.009, 166.189)  (166.299, 166.676)  (166.676, 166.796)  (166.796, 166.885)  (166.885, 167.046)  (167.046, 167.195)  (167.195, 167.266)  (167.266, 167.355)  (167.355, 167.415)  (167.415, 167.566)  (167.566, 167.814)  (168.706, 168.999)  (168.999, 169.311)  (169.311, 169.555)  (169.555, 169.826) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (166.009, 166.189)  (166.299, 166.676)  (166.676, 166.796)  (166.796, 166.885)  (166.885, 167.046)  (167.046, 167.195)  (167.195, 167.266)  (167.266, 167.355)  (167.355, 167.415)  (167.415, 167.566)  (167.566, 167.814)  (168.706, 168.999)  (168.999, 169.311)  (169.311, 169.555)  (169.555, 169.826) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcan                Ġmake               Ġthat               Ġchoice             Ġand                Ġeven               Ġeven               Ġthough             Ġmy                 Ġwife               Ġwasn               't                  Ġworking            Ġwe                 Ġdid               
Timings          : (169.826, 169.965)  (169.965, 170.156)  (170.156, 170.305)  (170.305, 170.555)  (170.555, 170.665)  (170.665, 171.076)  (171.076, 171.316)  (171.316, 171.436)  (171.436, 171.546)  (171.546, 171.786)  (171.786, 171.895)  (171.895, 172.005)  (172.005, 172.296)  (172.296, 172.395)  (172.395, 172.596) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.826, 169.965)  (169.965, 170.156)  (170.156, 170.305)  (170.305, 170.555)  (170.555, 170.665)  (170.665, 171.076)  (171.076, 171.316)  (171.316, 171.436)  (171.436, 171.546)  (171.546, 171.786)  (171.786, 171.895)  (171.895, 172.005)  (172.005, 172.296)  (172.296, 172.395)  (172.395, 172.596) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhave               Ġum                 Ġone                Ġor                 Ġanother            Ġof                 Ġthe                Ġboys               Ġin                 Ġuh                 Ġchild              Ġcare               Ġfor                Ġpart               Ġtime              
Timings          : (172.596, 172.91)   (173.62, 174.059)   (174.438, 174.931)  (174.931, 175.079)  (175.079, 175.329)  (175.329, 175.419)  (175.419, 175.488)  (175.488, 175.839)  (175.839, 176.089)  (176.089, 176.444)  (176.832, 177.068)  (177.068, 177.249)  (177.249, 177.408)  (177.408, 177.748)  (178.061, 178.219) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (172.596, 172.91)   (173.62, 174.059)   (174.438, 174.931)  (174.931, 175.079)  (175.079, 175.329)  (175.329, 175.419)  (175.419, 175.488)  (175.488, 175.839)  (175.839, 176.089)  (176.089, 176.444)  (176.832, 177.068)  (177.068, 177.249)  (177.249, 177.408)  (177.408, 177.748)  (178.061, 178.219) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġfor                Ġuh                 Ġpart               Ġof                 Ġthe                Ġday                Ġum                 Ġor                 Ġa                  Ġcouple             Ġof                 Ġdays               Ġa                  Ġweek              
Timings          : (178.219, 178.428)  (178.428, 178.634)  (178.943, 179.298)  (179.298, 179.499)  (179.499, 179.559)  (179.559, 179.618)  (179.618, 179.906)  (180.583, 181.029)  (181.265, 181.37)   (181.37, 181.4)     (181.4, 181.62)     (181.62, 181.68)    (181.68, 181.88)    (181.88, 181.951)   (181.951, 182.201) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.219, 178.428)  (178.428, 178.634)  (178.943, 179.298)  (179.298, 179.499)  (179.499, 179.559)  (179.559, 179.618)  (179.618, 179.906)  (180.583, 181.029)  (181.265, 181.37)   (181.37, 181.4)     (181.4, 181.62)     (181.62, 181.68)    (181.68, 181.88)    (181.88, 181.951)   (181.951, 182.201) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġso                 Ġthat               Ġuh                 Ġother              Ġthings             Ġcould              Ġget                Ġdone               Ġaround             Ġthe                Ġhouse              Ġand                Ġso                 Ġon                
Timings          : (182.201, 182.361)  (182.361, 182.451)  (182.451, 182.781)  (182.781, 182.946)  (183.669, 183.85)   (183.85, 184.1)     (184.1, 184.23)     (184.23, 184.4)     (184.4, 184.551)    (184.551, 184.77)   (184.77, 184.831)   (184.831, 185.15)   (185.15, 185.349)   (185.88, 186.093)   (186.093, 186.191) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                 
Timings          : (182.201, 182.361)  (182.361, 182.451)  (182.451, 182.781)  (182.781, 182.946)  (183.669, 183.85)   (183.85, 184.1)     (184.1, 184.23)     (184.23, 184.4)     (184.4, 184.551)    (184.551, 184.77)   (184.77, 184.831)   (184.831, 185.15)   (185.15, 185.349)   (185.88, 186.093)   (186.011, 186.177) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79875117416462     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġso                 Ġso                 Ġwe                 Ġdid                Ġlook               Ġaround             Ġi                  Ġthink              Ġmy                 Ġwife               Ġis                 Ġmuch               Ġbetter             Ġthan               Ġi                 
Timings          : (186.191, 186.404)  (187.347, 187.505)  (187.505, 187.605)  (187.605, 187.775)  (187.775, 187.915)  (187.915, 188.195)  (188.195, 188.225)  (188.225, 188.425)  (188.425, 188.603)  (188.603, 188.878)  (189.684, 189.802)  (189.802, 190.012)  (190.012, 190.222)  (190.222, 190.382)  (190.382, 190.482) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : m                   <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (186.177, 186.344)  (-1.0, -1.0)        (187.505, 187.605)  (187.605, 187.775)  (187.775, 187.915)  (187.915, 188.195)  (188.195, 188.225)  (188.225, 188.425)  (188.425, 188.603)  (188.603, 188.878)  (189.684, 189.802)  (189.802, 190.012)  (190.012, 190.222)  (190.222, 190.382)  (190.382, 190.482) 
Token Types      : 5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79875117416462      79875117416462      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġam                 Ġat                 Ġjust               Ġwalking            Ġinto               Ġa                  Ġplace              Ġand                Ġgetting            Ġa                  Ġfeeling            Ġfor                Ġwhether            Ġit                 's                 
Timings          : (190.482, 190.642)  (190.642, 190.752)  (190.752, 190.932)  (190.932, 191.232)  (191.232, 191.442)  (191.442, 191.482)  (191.482, 191.722)  (191.722, 191.832)  (191.832, 192.022)  (192.022, 192.072)  (192.072, 192.472)  (192.472, 192.705)  (193.756, 194.052)  (194.052, 194.107)  (194.107, 194.162) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.482, 190.642)  (190.642, 190.752)  (190.752, 190.932)  (190.932, 191.232)  (191.232, 191.442)  (191.442, 191.482)  (191.482, 191.722)  (191.722, 191.832)  (191.832, 192.022)  (192.022, 192.072)  (192.072, 192.472)  (192.472, 192.705)  (193.756, 194.052)  (194.052, 194.107)  (194.107, 194.162) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġloving             Ġand                Ġcaring             Ġplace              Ġor                 Ġnot                Ġand                Ġuh                 Ġso                 Ġi                  Ġwould              Ġalways             Ġtrust              Ġher               
Timings          : (194.162, 194.222)  (194.222, 194.532)  (194.532, 194.652)  (194.652, 194.962)  (194.962, 195.252)  (195.252, 195.312)  (195.312, 195.587)  (196.325, 196.602)  (196.602, 196.778)  (197.049, 197.172)  (197.172, 197.222)  (197.222, 197.342)  (197.342, 197.562)  (197.562, 197.832)  (197.832, 197.912) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258      79870285578258     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                  m                   <eint>              <emp>               <emp>               <emp>              
Timings          : (194.162, 194.222)  (194.222, 194.532)  (194.532, 194.652)  (194.652, 194.962)  (194.962, 195.252)  (195.252, 195.312)  (195.312, 195.587)  (196.325, 196.602)  (196.602, 196.778)  (197.104, 197.163)  (197.163, 197.223)  (-1.0, -1.0)        (197.342, 197.562)  (197.562, 197.832)  (197.832, 197.912) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   79875117416463      79875117416463      79875117416463      0                   0                   0                  
