A                : well                Ġbr                 ad                  Ġwhat               Ġdo                 Ġyou                Ġhear               Ġin                 Ġsan                Ġj                  ose                 Ġabout              Ġro                 ss                  Ġper               
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      80677739429896      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġbe                 Ġkind               Ġof                
Timings          : (141.395, 141.776)  (142.311, 142.85)   (143.717, 143.971)  (143.971, 144.76)   (144.76, 144.951)   (144.951, 145.051)  (145.051, 145.135)  (145.135, 145.221)  (145.221, 145.281)  (145.281, 145.6)    (145.6, 146.12)     (146.12, 146.548)   (148.193, 148.303)  (148.303, 148.483)  (148.483, 148.553) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80678276300809      80678276300809      80678276300809     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               Ġoh                 Ġi                  Ġi                  've                 Ġheard              Ġhim                Ġon                 Ġthe                Ġradio              Ġand                Ġwhat               not                 Ġi                 
Timings          : (148.553, 148.603)  (148.603, 149.043)  (149.16, 149.304)   (149.432, 149.6)    (149.6, 149.67)     (149.67, 149.74)    (149.74, 149.93)    (149.93, 150.05)    (150.05, 150.13)    (150.13, 150.23)    (150.23, 150.73)    (150.73, 150.87)    (150.87, 151.065)   (151.065, 151.26)   (151.26, 151.3)    
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġa                  Ġchange             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (148.553, 148.603)  (148.603, 149.043)  (-1.0, -1.0)        (149.432, 149.6)    (149.6, 149.67)     (149.67, 149.74)    (149.74, 149.93)    (149.93, 150.05)    (150.05, 150.13)    (150.13, 150.23)    (150.23, 150.73)    (150.73, 150.87)    (150.87, 151.065)   (151.065, 151.26)   (151.26, 151.3)    
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80678276300809      80678276300809      80678276300809      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmean               Ġhe                 Ġjust               Ġseems              Ġvery               Ġforth              right               Ġhe                 Ġhe                 Ġhe                 Ġdoesn              't                  Ġhave               Ġto                 Ġplay              
Timings          : (151.3, 151.45)     (151.45, 151.54)    (151.54, 151.74)    (151.74, 152.03)    (152.03, 152.33)    (152.33, 152.694)   (152.694, 153.059)  (153.059, 153.213)  (153.213, 153.38)   (153.678, 153.84)   (153.84, 153.985)   (153.985, 154.13)   (154.13, 154.33)    (154.33, 154.566)   (155.014, 155.23)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (151.3, 151.45)     (151.45, 151.54)    (151.54, 151.74)    (151.74, 152.03)    (152.03, 152.33)    (152.33, 152.694)   (152.694, 153.059)  (153.059, 153.213)  (153.213, 153.38)   (153.678, 153.84)   (153.84, 153.985)   (153.985, 154.13)   (154.13, 154.33)    (154.33, 154.566)   (155.014, 155.23)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgames              Ġi                  Ġmean               Ġthat               Ġhe                 <yield>             <emp>               <emp>               <emp>               Ġthat               's                  Ġright              Ġthat               's                  Ġright             
Timings          : (155.23, 155.996)   (158.314, 158.374)  (158.374, 158.555)  (158.555, 158.674)  (158.674, 158.904)  (-1.0, -1.0)        (158.85, 158.952)   (158.952, 159.172)  (159.172, 159.562)  (159.663, 159.843)  (159.843, 160.023)  (160.023, 160.436)  (160.835, 160.949)  (160.949, 161.063)  (161.063, 161.283) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      80677739429898      0                   0                   0                   80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġyeah               <ebc>               Ġhe                 's                  Ġalready            Ġhe                 's                  Ġalready            Ġwon                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (155.719, 156.1)    (-1.0, -1.0)        (158.462, 158.542)  (158.542, 158.623)  (158.623, 158.747)  (158.747, 158.85)   (158.85, 158.952)   (158.952, 159.172)  (159.172, 159.562)  (-1.0, -1.0)        (159.843, 160.023)  (160.023, 160.436)  (160.835, 160.949)  (160.949, 161.063)  (161.063, 161.283) 
Token Types      : 3                   3                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 80680423784457      80680423784457      80681497526283      80681497526283      80681497526283      80681497526283      80681497526283      80681497526283      80681497526283      80681497526283      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġi                  'm                  Ġjust               Ġcurious            Ġto                 Ġsee                Ġwhat               's                  Ġgonna              Ġhappen             Ġto                 Ġthe                <emp>               Ġpolitical         
Timings          : (161.283, 161.472)  (161.882, 161.933)  (161.933, 161.983)  (161.983, 162.153)  (162.153, 162.493)  (162.493, 162.593)  (162.593, 162.723)  (162.723, 162.823)  (162.823, 162.923)  (162.923, 163.093)  (163.093, 163.753)  (163.753, 163.913)  (163.913, 164.223)  (164.098, 164.273)  (164.223, 164.893) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (161.283, 161.472)  (161.882, 161.933)  (161.933, 161.983)  (161.983, 162.153)  (162.153, 162.493)  (162.493, 162.593)  (162.593, 162.723)  (162.723, 162.823)  (162.823, 162.923)  (162.923, 163.093)  (163.093, 163.753)  (163.753, 163.913)  (163.924, 164.098)  (164.098, 164.273)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80680423784459      80680423784459      80680423784459     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġscene              Ġuh                 Ġif                 Ġhe                 Ġgets               Ġon                 Ġthe                Ġballot             Ġin                 Ġall                Ġthe                Ġstates             Ġand                Ġwhat               not                
Timings          : (164.893, 165.579)  (166.144, 166.656)  (166.886, 167.053)  (167.053, 167.173)  (167.173, 167.403)  (167.403, 167.553)  (167.553, 167.613)  (167.613, 168.033)  (168.033, 168.123)  (168.123, 168.353)  (168.353, 168.413)  (168.413, 168.913)  (168.913, 169.043)  (169.043, 169.253)  (169.253, 169.463) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.893, 165.579)  (166.144, 166.656)  (166.886, 167.053)  (167.053, 167.173)  (167.173, 167.403)  (167.403, 167.553)  (167.553, 167.613)  (167.613, 168.033)  (168.033, 168.123)  (168.123, 168.353)  (168.353, 168.413)  (168.413, 168.913)  (168.913, 169.043)  (169.043, 169.253)  (169.253, 169.463) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdo                 Ġyou                Ġdo                 Ġyou                Ġthink              Ġhe                 Ġcans               Ġbe                 Ġa                  Ġspoiler            Ġfor                Ġbush               <eot>               <emp>               <emp>              
Timings          : (169.463, 169.603)  (169.603, 169.723)  (169.723, 169.823)  (169.823, 169.903)  (169.903, 170.093)  (170.093, 170.203)  (170.203, 170.423)  (170.423, 170.583)  (170.583, 170.643)  (170.643, 171.273)  (171.273, 171.543)  (171.543, 172.106)  (-1.0, -1.0)        (175.428, 175.608)  (175.608, 175.988) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      80677739429900      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġi                  Ġhonestly          
Timings          : (169.463, 169.603)  (169.603, 169.723)  (169.723, 169.823)  (169.823, 169.903)  (169.903, 170.093)  (170.093, 170.203)  (170.203, 170.423)  (170.423, 170.583)  (170.583, 170.643)  (170.643, 171.273)  (171.273, 171.543)  (171.543, 172.106)  (172.983, 173.473)  (175.428, 175.608)  (175.608, 175.988) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80678276300813      80678276300813      80678276300813     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (175.988, 176.123)  (176.123, 176.258)  (176.258, 176.588)  (176.588, 177.102)  (177.257, 177.508)  (177.508, 177.797)  (177.797, 178.408)  (178.408, 178.695)  (178.695, 179.491)  (179.867, 180.088)  (180.088, 180.148)  (180.148, 180.308)  (180.308, 180.398)  (180.398, 180.678)  (180.678, 180.918) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdon                't                  Ġthink              Ġso                 Ġuh                 Ġnot                Ġunless             Ġhe                 Ġreally             Ġputs               Ġa                  Ġlot                Ġof                 Ġeffort             Ġinto              
Timings          : (175.988, 176.123)  (176.123, 176.258)  (176.258, 176.588)  (176.588, 177.102)  (177.257, 177.508)  (177.508, 177.797)  (177.797, 178.408)  (178.408, 178.695)  (178.695, 179.491)  (179.867, 180.088)  (180.088, 180.148)  (180.148, 180.308)  (180.308, 180.398)  (180.398, 180.678)  (180.678, 180.918) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.918, 181.008)  (181.008, 181.118)  (181.118, 181.158)  (181.158, 181.253)  (181.253, 181.348)  (181.348, 181.518)  (181.518, 181.798)  (181.878, 182.228)  (182.228, 182.528)  (182.66, 182.798)   (182.798, 183.028)  (183.028, 183.195)  (183.195, 183.361)  (184.055, 184.285)  (184.285, 184.497) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġand                Ġi                  Ġdon                't                  Ġthink              Ġhe                 Ġwants              Ġto                 Ġi                  Ġthink              Ġit                 's                  Ġuh                 Ġi                 
Timings          : (180.918, 181.008)  (181.008, 181.118)  (181.118, 181.158)  (181.158, 181.253)  (181.253, 181.348)  (181.348, 181.518)  (181.518, 181.798)  (181.878, 182.228)  (182.228, 182.528)  (182.66, 182.798)   (182.798, 183.028)  (183.028, 183.195)  (183.195, 183.361)  (184.055, 184.285)  (184.285, 184.497) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.497, 184.791)  (185.036, 185.24)   (185.24, 185.394)   (185.394, 186.243)  (186.725, 186.97)   (187.332, 187.495)  (187.495, 187.845)  (187.845, 188.225)  (188.225, 188.325)  (188.325, 188.365)  (188.365, 188.847)  (188.847, 189.303)  (189.303, 189.475)  (189.475, 189.965)  (189.965, 190.222) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthink              Ġbeing              Ġa                  Ġseriously          Ġconsidered         Ġbeing              Ġseriously          Ġconsidered         Ġas                 Ġa                  Ġpresidential       Ġcandidate          Ġis                 Ġsomething          Ġthat              
Timings          : (184.497, 184.791)  (185.036, 185.24)   (185.24, 185.394)   (185.394, 186.243)  (186.725, 186.97)   (187.332, 187.495)  (187.495, 187.845)  (187.845, 188.225)  (188.225, 188.325)  (188.325, 188.365)  (188.365, 188.847)  (188.847, 189.303)  (189.303, 189.475)  (189.475, 189.965)  (189.965, 190.222) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.915, 191.365)  (192.591, 192.831)  (192.831, 193.016)  (193.253, 193.461)  (193.461, 193.641)  (193.641, 193.721)  (193.721, 193.991)  (193.991, 194.201)  (194.201, 194.821)  (194.821, 195.114)  (195.114, 195.619)  (195.619, 196.119)  (196.307, 196.491)  (196.491, 196.997)  (197.573, 197.703) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġum                 Ġit                 Ġit                 Ġjust               Ġtakes              Ġa                  Ġreally             Ġhuge               Ġinvestment         Ġin                 Ġpersonal           Ġeffort             Ġnot                Ġjust               Ġyou               
Timings          : (190.915, 191.365)  (192.591, 192.831)  (192.831, 193.016)  (193.253, 193.461)  (193.461, 193.641)  (193.641, 193.721)  (193.721, 193.991)  (193.991, 194.201)  (194.201, 194.821)  (194.821, 195.114)  (195.114, 195.619)  (195.619, 196.119)  (196.307, 196.491)  (196.491, 196.997)  (197.573, 197.703) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               oh                 
Timings          : (197.703, 197.903)  (197.903, 198.021)  (198.021, 198.201)  (198.201, 198.236)  (198.236, 198.271)  (198.271, 198.421)  (198.421, 198.481)  (198.481, 198.641)  (198.641, 198.691)  (198.691, 198.831)  (198.831, 198.911)  (198.911, 199.181)  (199.181, 199.301)  (199.301, 199.632)  (199.834, 199.944) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80679886913543     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġknow               Ġi                  Ġmean               Ġi                  'm                  Ġsure               Ġit                 Ġtakes              Ġa                  Ġlot                Ġof                 Ġmoney              Ġas                 Ġwell               <emp>              
Timings          : (197.703, 197.903)  (197.903, 198.021)  (198.021, 198.201)  (198.201, 198.236)  (198.236, 198.271)  (198.271, 198.421)  (198.421, 198.481)  (198.481, 198.641)  (198.641, 198.691)  (198.691, 198.831)  (198.831, 198.911)  (198.911, 199.181)  (199.181, 199.301)  (199.301, 199.632)  (199.834, 199.944) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813      80678276300813     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
