A                : so                  <eot>               <emp>               <emp>               <emp>               Ġuh                 Ġi                  Ġcan                Ġstart              Ġthe                Ġnotion             Ġof                 Ġa                  Ġum                 Ġof                
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (157.609, 157.719)  (157.719, 157.789)  (157.789, 157.969)  (157.969, 158.149)  (158.149, 158.239)  (158.239, 158.339)  (158.339, 158.439)  (158.439, 158.609)  (158.609, 158.909)  (158.909, 159.279)  (159.279, 159.389)  (159.389, 159.689)  (159.689, 159.899)  (159.899, 160.156)  (160.156, 160.529) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġnot                Ġonly               Ġuh                 Ġpeoples            Ġof                 Ġa                  Ġvery               Ġstrict             Ġjew                ish                 Ġcast               Ġbut                Ġalso               Ġi                  Ġthink             
Timings          : (160.529, 160.739)  (160.739, 161.258)  (161.883, 162.424)  (162.424, 163.069)  (163.069, 163.229)  (163.229, 163.319)  (163.319, 163.579)  (163.579, 163.999)  (163.999, 164.139)  (164.139, 164.279)  (164.279, 164.659)  (164.659, 164.799)  (164.799, 165.159)  (165.159, 165.229)  (165.229, 165.479) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               um                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.529, 160.739)  (160.927, 161.027)  (-1.0, -1.0)        (162.424, 163.069)  (163.069, 163.229)  (163.229, 163.319)  (163.319, 163.579)  (163.579, 163.999)  (163.999, 164.139)  (164.139, 164.279)  (164.279, 164.659)  (164.659, 164.799)  (164.799, 165.159)  (165.159, 165.229)  (165.229, 165.479) 
Token Types      : 0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   80785650483205      80785650483205      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġa                  Ġlot                Ġof                 Ġthe                Ġfundamental        ists                Ġwould              Ġhave               Ġproblems           Ġwith               <emp>               Ġtheir              Ġdaughters          Ġbeing             
Timings          : (165.479, 165.579)  (165.579, 165.619)  (165.619, 165.789)  (165.789, 165.849)  (165.849, 165.909)  (165.909, 166.289)  (166.289, 166.669)  (166.669, 166.769)  (166.769, 166.959)  (166.959, 167.539)  (167.539, 167.725)  (167.792, 167.886)  (167.905, 168.099)  (168.099, 168.699)  (168.699, 168.969) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 <eint>              <emp>               <emp>              
Timings          : (165.479, 165.579)  (165.579, 165.619)  (165.619, 165.789)  (165.789, 165.849)  (165.849, 165.909)  (165.909, 166.289)  (166.289, 166.669)  (166.669, 166.769)  (166.769, 166.959)  (166.959, 167.539)  (167.539, 167.725)  (167.792, 167.886)  (-1.0, -1.0)        (168.099, 168.699)  (168.699, 168.969) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80785650483206      80785650483206      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : Ġunder              Ġthe                Ġyou                Ġknow               Ġhaving             Ġto                 Ġtake               Ġorders             Ġfrom               Ġa                  Ġman                Ġand                Ġwho                Ġknows              Ġwhat              
Timings          : (168.969, 169.299)  (169.299, 169.585)  (171.059, 171.163)  (171.163, 171.418)  (171.872, 172.133)  (172.133, 172.203)  (172.203, 172.433)  (172.433, 172.783)  (172.783, 172.973)  (172.973, 173.023)  (173.023, 173.343)  (173.343, 173.473)  (173.473, 173.633)  (173.633, 174.023)  (174.023, 174.313) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (168.969, 169.299)  (169.299, 169.585)  (171.059, 171.163)  (171.163, 171.418)  (171.872, 172.133)  (172.133, 172.203)  (172.203, 172.433)  (172.433, 172.783)  (172.783, 172.973)  (172.973, 173.023)  (173.023, 173.343)  (173.343, 173.473)  (173.473, 173.633)  (173.633, 174.023)  (174.023, 174.313) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġuh                 Ġyou                Ġknow               Ġi                  Ġjust               Ġso                 Ġi                  Ġi                  Ġyou                Ġget                Ġyou                Ġget                Ġreally             Ġtorn              
Timings          : (174.313, 174.887)  (176.626, 177.477)  (178.602, 178.682)  (178.682, 178.762)  (178.762, 178.863)  (178.863, 179.113)  (179.113, 179.514)  (179.514, 179.871)  (179.871, 180.214)  (180.406, 180.585)  (180.585, 180.893)  (180.893, 181.072)  (181.072, 181.28)   (181.28, 181.555)   (181.555, 182.014) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.313, 174.887)  (176.626, 177.477)  (178.602, 178.682)  (178.682, 178.762)  (178.762, 178.863)  (178.863, 179.113)  (179.113, 179.514)  (179.514, 179.871)  (179.871, 180.214)  (180.406, 180.585)  (180.585, 180.893)  (180.893, 181.072)  (181.072, 181.28)   (181.28, 181.555)   (181.555, 182.014) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġon                 Ġthe                Ġother              Ġhand               Ġone                Ġof                 Ġmy                 Ġone                Ġof                 Ġmy                 Ġfavorite           Ġscience            Ġfiction            Ġbooks              Ġis                
Timings          : (182.014, 182.174)  (182.174, 182.292)  (182.292, 182.592)  (182.592, 183.32)   (184.88, 185.092)   (185.092, 185.182)  (185.182, 185.432)  (185.432, 185.592)  (185.592, 185.672)  (185.672, 185.849)  (185.849, 186.498)  (187.156, 187.562)  (187.562, 187.982)  (187.982, 188.292)  (188.292, 188.422) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (182.014, 182.174)  (182.174, 182.292)  (182.292, 182.592)  (182.592, 183.32)   (184.88, 185.092)   (185.092, 185.182)  (185.182, 185.432)  (185.432, 185.592)  (185.592, 185.672)  (185.672, 185.849)  (185.849, 186.498)  (187.156, 187.562)  (187.562, 187.982)  (187.982, 188.292)  (188.292, 188.422) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġbook               Ġby                 Ġuh                 Ġro                 bert                Ġhe                 in                  l                   ien                 Ġyeah               Ġuh                 Ġcalled             Ġstarship           Ġtrooper           
Timings          : (188.422, 188.552)  (188.552, 188.691)  (188.812, 189.33)   (189.481, 190.111)  (190.111, 190.281)  (190.281, 190.452)  (190.452, 190.602)  (190.602, 190.752)  (190.752, 190.902)  (190.902, 191.052)  (192.282, 192.592)  (195.393, 196.005)  (197.264, 197.702)  (197.702, 198.242)  (198.242, 198.572) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (188.422, 188.552)  (188.552, 188.691)  (188.812, 189.33)   (189.481, 190.111)  (190.111, 190.281)  (190.281, 190.452)  (190.452, 190.602)  (190.602, 190.752)  (190.752, 190.902)  (190.902, 191.052)  (192.282, 192.592)  (195.393, 196.005)  (197.264, 197.702)  (197.702, 198.242)  (198.242, 198.572) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġor                 Ġsomething          Ġand                Ġhe                 Ġtalks              Ġabout              Ġyou                Ġhad                Ġto                 Ġserve              Ġthe                Ġcountry            Ġin                 Ġorder              Ġto                
Timings          : (198.572, 198.682)  (198.682, 199.032)  (199.032, 199.135)  (199.135, 199.471)  (200.299, 200.632)  (200.632, 201.106)  (201.641, 201.812)  (201.812, 202.062)  (202.062, 202.392)  (202.392, 203.122)  (203.122, 203.192)  (203.192, 203.592)  (203.592, 203.682)  (203.682, 203.882)  (203.882, 203.992) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (198.572, 198.682)  (198.682, 199.032)  (199.032, 199.135)  (199.135, 199.471)  (200.299, 200.632)  (200.632, 201.106)  (201.641, 201.812)  (201.812, 202.062)  (202.062, 202.392)  (202.392, 203.122)  (203.122, 203.192)  (203.192, 203.592)  (203.592, 203.682)  (203.682, 203.882)  (203.882, 203.992) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhave               Ġthe                Ġright              Ġto                 Ġvote               <eot>               Ġin                 Ġother              Ġwords              Ġyou                Ġhad                Ġto                 Ġfirst              Ġshow               Ġthat              
Timings          : (203.992, 204.262)  (204.262, 204.352)  (204.352, 204.572)  (204.572, 204.682)  (204.682, 205.11)   (-1.0, -1.0)        (205.926, 205.964)  (205.964, 206.054)  (206.054, 206.214)  (206.214, 206.294)  (206.294, 206.504)  (206.504, 206.574)  (206.574, 206.964)  (206.964, 207.601)  (208.057, 208.164) 
Token Types      : 4                   4                   4                   4                   4                   4                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġsure               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (203.992, 204.262)  (204.262, 204.352)  (204.352, 204.572)  (204.572, 204.682)  (204.682, 205.11)   (205.505, 205.891)  (-1.0, -1.0)        (205.964, 206.054)  (206.054, 206.214)  (206.214, 206.294)  (206.294, 206.504)  (206.504, 206.574)  (206.574, 206.964)  (206.964, 207.601)  (208.057, 208.164) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   80781355515911      80781355515911      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġmeant              Ġsomething          Ġto                 Ġyou                Ġin                 Ġorder              Ġto                 Ġto                 Ġhave               Ġthe                Ġright              Ġto                 Ġsay                Ġwhat              
Timings          : (208.164, 208.274)  (208.274, 208.524)  (208.524, 208.884)  (208.884, 209.053)  (209.053, 209.411)  (209.411, 209.544)  (209.544, 210.1)    (211.627, 211.999)  (212.213, 212.305)  (212.305, 212.555)  (212.555, 212.665)  (212.665, 212.915)  (212.915, 213.035)  (213.035, 213.729)  (213.729, 213.965) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (208.164, 208.274)  (208.274, 208.524)  (208.524, 208.884)  (208.884, 209.053)  (209.053, 209.411)  (209.411, 209.544)  (209.544, 210.1)    (211.627, 211.999)  (212.213, 212.305)  (212.305, 212.555)  (212.555, 212.665)  (212.665, 212.915)  (212.915, 213.035)  (213.035, 213.729)  (213.729, 213.965) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġought              Ġto                 Ġhappen             Ġuh                 Ġand                Ġso                 Ġthat               Ġyou                Ġyou                Ġknow               Ġi                  'm                  Ġsort               Ġof                 Ġtorn              
Timings          : (213.965, 214.125)  (214.125, 214.215)  (214.215, 214.619)  (215.696, 216.368)  (216.881, 217.028)  (217.028, 217.144)  (217.144, 217.456)  (217.456, 217.667)  (217.667, 217.874)  (217.874, 217.984)  (217.984, 218.064)  (218.064, 218.144)  (218.144, 218.324)  (218.324, 218.414)  (218.414, 218.884) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (213.965, 214.125)  (214.125, 214.215)  (214.215, 214.619)  (215.696, 216.368)  (216.881, 217.028)  (217.028, 217.144)  (217.144, 217.456)  (217.456, 217.667)  (217.667, 217.874)  (217.874, 217.984)  (217.984, 218.064)  (218.064, 218.144)  (218.144, 218.324)  (218.324, 218.414)  (218.414, 218.884) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġidea               Ġmakes              Ġa                  Ġwhole              Ġlot                Ġof                 Ġsense              Ġtoo                Ġpeople             Ġwho                Ġare                Ġjust               Ġalong              Ġfor               
Timings          : (218.884, 219.144)  (219.144, 219.694)  (219.694, 220.034)  (220.034, 220.104)  (220.104, 220.254)  (220.254, 220.414)  (220.414, 220.514)  (220.514, 220.864)  (220.864, 221.074)  (221.074, 221.644)  (221.644, 221.764)  (221.764, 221.874)  (221.874, 222.104)  (222.104, 222.444)  (222.444, 222.604) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000      80780818645000     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (218.884, 219.144)  (219.144, 219.694)  (219.694, 220.034)  (220.034, 220.104)  (220.104, 220.254)  (220.254, 220.414)  (220.414, 220.514)  (220.514, 220.864)  (220.864, 221.074)  (221.074, 221.644)  (221.644, 221.764)  (221.764, 221.874)  (221.874, 222.104)  (222.104, 222.444)  (222.444, 222.604) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
