A                : well                Ġthe                Ġso                 v                   iet                 Ġunion              Ġuh                 Ġnow                Ġreally             Ġcalled             Ġthe                Ġcommon             wealth              Ġof                 Ġindependent       


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (158.445, 158.715)  (158.715, 158.875)  (158.875, 159.158)  (159.158, 159.441)  (160.174, 160.463)  (160.463, 160.75)   (160.75, 160.89)    (160.89, 161.54)    (161.54, 161.74)    (161.74, 161.83)    (161.83, 162.337)   (162.797, 163.06)   (163.06, 163.341)   (163.518, 163.9)    (163.9, 163.985)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthrough            Ġan                 Ġas                 ian                 Ġtype               Ġof                 Ġuh                 Ġintroduction       Ġinto               Ġthe                Ġbusiness           Ġworld              Ġwhere              Ġbeginning          Ġthere             
Timings          : (158.445, 158.715)  (158.715, 158.875)  (158.875, 159.158)  (159.158, 159.441)  (160.174, 160.463)  (160.463, 160.75)   (160.75, 160.89)    (160.89, 161.54)    (161.54, 161.74)    (161.74, 161.83)    (161.83, 162.337)   (162.797, 163.06)   (163.06, 163.341)   (163.518, 163.9)    (163.9, 163.985)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (163.985, 164.07)   (164.07, 164.19)    (164.19, 164.495)   (164.601, 165.145)  (165.811, 166.241)  (166.241, 166.459)  (166.82, 167.02)    (167.02, 167.11)    (167.11, 167.25)    (167.25, 167.47)    (167.47, 167.56)    (167.56, 167.77)    (167.77, 168.05)    (168.05, 168.3)     (168.3, 168.39)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 'll                 Ġbe                 Ġcheap              Ġlabor              Ġand                Ġuh                 Ġyou                Ġyou                Ġknow               Ġthen               Ġwe                 Ġwill               Ġhave               Ġan                 Ġi                 
Timings          : (163.985, 164.07)   (164.07, 164.19)    (164.19, 164.495)   (164.601, 165.145)  (165.811, 166.241)  (166.241, 166.459)  (166.82, 167.02)    (167.02, 167.11)    (167.11, 167.25)    (167.25, 167.47)    (167.47, 167.56)    (167.56, 167.77)    (167.77, 168.05)    (168.05, 168.3)     (168.3, 168.39)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (168.39, 168.48)    (168.48, 168.68)    (168.68, 168.98)    (168.98, 169.31)    (169.31, 169.43)    (169.43, 169.66)    (169.66, 169.83)    (169.83, 169.92)    (169.92, 170.06)    (170.06, 170.21)    (170.21, 170.34)    (170.34, 170.639)   (171.153, 171.255)  (171.255, 171.398)  (171.398, 171.748) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 'd                  Ġsay                Ġthirty             Ġyears              Ġif                 Ġthings             Ġstay               Ġthe                Ġway                Ġthings             Ġare                Ġnow                Ġthey               Ġcould              Ġbecome            
Timings          : (168.39, 168.48)    (168.48, 168.68)    (168.68, 168.98)    (168.98, 169.31)    (169.31, 169.43)    (169.43, 169.66)    (169.66, 169.83)    (169.83, 169.92)    (169.92, 170.06)    (170.06, 170.21)    (170.21, 170.34)    (170.34, 170.639)   (171.153, 171.255)  (171.255, 171.398)  (171.398, 171.748) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.748, 172.048)  (172.048, 172.368)  (172.368, 172.688)  (172.688, 173.152)  (173.54, 173.746)   (173.746, 173.952)  (173.952, 174.158)  (174.158, 174.388)  (174.388, 174.758)  (174.758, 175.128)  (175.128, 175.408)  (175.408, 175.542)  (175.898, 176.158)  (176.158, 176.298)  (176.298, 176.581) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġanother            Ġk                  orea                Ġor                 Ġmal                ays                 ia                  Ġor                 Ġth                 ailand              Ġtype               Ġof                 Ġsource             Ġfor                Ġcheap             
Timings          : (171.748, 172.048)  (172.048, 172.368)  (172.368, 172.688)  (172.688, 173.152)  (173.54, 173.746)   (173.746, 173.952)  (173.952, 174.158)  (174.158, 174.388)  (174.388, 174.758)  (174.758, 175.128)  (175.128, 175.408)  (175.408, 175.542)  (175.898, 176.158)  (176.158, 176.298)  (176.298, 176.581) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.689, 177.242)  (177.242, 177.442)  (177.74, 178.014)   (178.014, 178.288)  (178.288, 178.738)  (178.738, 178.928)  (178.928, 179.058)  (179.058, 179.533)  (180.49, 180.943)   (180.943, 181.062)  (181.062, 181.193)  (181.193, 181.413)  (181.413, 181.527)  (181.527, 181.643)  (181.643, 181.783) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlabor              Ġwhere              Ġameric             an                  Ġproducts           Ġcould              Ġbe                 Ġbuilt              Ġand                Ġuh                 Ġi                  Ġthink              Ġthat               's                  Ġwhere             
Timings          : (176.689, 177.242)  (177.242, 177.442)  (177.74, 178.014)   (178.014, 178.288)  (178.288, 178.738)  (178.738, 178.928)  (178.928, 179.058)  (179.058, 179.533)  (180.49, 180.943)   (180.943, 181.062)  (181.062, 181.193)  (181.193, 181.413)  (181.413, 181.527)  (181.527, 181.643)  (181.643, 181.783) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557      83736293015557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġright              Ġwell               Ġi                  Ġthink              Ġthat               Ġthat               Ġthere              's                  Ġa                  Ġuh                 Ġqualitative        Ġdifference        
Timings          : (181.783, 181.962)  (181.962, 182.072)  (182.072, 182.492)  (183.055, 183.45)   (183.887, 183.968)  (183.968, 184.066)  (184.066, 184.265)  (184.265, 184.515)  (184.515, 184.685)  (184.685, 185.0)    (185.0, 185.315)    (185.315, 185.375)  (185.375, 185.445)  (185.445, 186.025)  (186.025, 186.379) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthey               Ġare                Ġheaded             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.783, 181.962)  (181.962, 182.072)  (182.072, 182.492)  (-1.0, -1.0)        (183.887, 183.968)  (183.968, 184.066)  (184.066, 184.265)  (184.265, 184.515)  (184.515, 184.685)  (184.685, 185.0)    (185.0, 185.315)    (185.315, 185.375)  (185.375, 185.445)  (185.445, 186.025)  (186.025, 186.379) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83736293015557      83736293015557      83736293015557      83736293015557      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġuh                 Ġr                  ussia               Ġand                Ġand                Ġmuch               Ġof                 Ġthe                Ġso                 v                   iet                 Ġunion              Ġstill              Ġhas               
Timings          : (186.473, 186.702)  (186.932, 187.655)  (187.655, 187.875)  (187.875, 188.095)  (188.095, 188.355)  (188.355, 188.785)  (188.785, 188.925)  (188.925, 188.985)  (188.985, 189.045)  (189.045, 189.122)  (189.122, 189.198)  (189.198, 189.275)  (189.275, 189.489)  (189.983, 190.145)  (190.145, 190.385) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (186.473, 186.702)  (186.932, 187.655)  (187.655, 187.875)  (187.875, 188.095)  (188.095, 188.355)  (188.355, 188.785)  (188.785, 188.925)  (188.925, 188.985)  (188.985, 189.045)  (189.045, 189.122)  (189.122, 189.198)  (189.198, 189.275)  (189.275, 189.489)  (189.983, 190.145)  (190.145, 190.385) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġlot                Ġof                 Ġnatural            Ġresources          Ġthat               Ġsome               Ġof                 Ġthese              Ġother              Ġcountries          Ġyou                Ġmentioned          Ġjust               Ġnever             
Timings          : (190.385, 190.478)  (190.478, 190.666)  (190.666, 190.795)  (190.795, 191.165)  (191.165, 191.855)  (191.855, 192.127)  (192.266, 192.325)  (192.325, 192.385)  (192.385, 192.485)  (192.485, 192.655)  (192.655, 192.965)  (192.965, 193.035)  (193.035, 193.48)   (193.883, 194.125)  (194.125, 194.365) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.385, 190.478)  (190.478, 190.666)  (190.666, 190.795)  (190.795, 191.165)  (191.165, 191.855)  (192.029, 192.218)  (192.218, 192.406)  (-1.0, -1.0)        (192.385, 192.485)  (192.485, 192.655)  (192.655, 192.965)  (192.965, 193.035)  (193.035, 193.48)   (193.883, 194.125)  (194.125, 194.365) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83738440499203      83738440499203      83738440499203      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhad                Ġso                 Ġthat               Ġuh                 Ġyou                Ġknow               Ġthe                Ġcommon             wealth              Ġstates             Ġcould              Ġcould              Ġeasily             Ġyou                Ġknow              
Timings          : (194.365, 194.725)  (195.321, 195.421)  (195.421, 195.701)  (195.903, 196.376)  (197.197, 197.34)   (197.34, 197.541)   (197.541, 197.726)  (197.726, 198.037)  (198.037, 198.348)  (198.348, 198.878)  (198.878, 199.324)  (199.784, 199.948)  (199.948, 200.428)  (200.428, 200.538)  (200.538, 200.678) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (194.365, 194.725)  (195.321, 195.421)  (195.421, 195.701)  (195.903, 196.376)  (197.197, 197.34)   (197.34, 197.541)   (197.541, 197.726)  (197.726, 198.037)  (198.037, 198.348)  (198.348, 198.878)  (198.878, 199.324)  (199.784, 199.948)  (199.948, 200.428)  (200.428, 200.538)  (200.538, 200.678) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġleap               frog                Ġthe                Ġuh                 Ġthe                Ġyou                Ġknow               Ġstepping           Ġstone              Ġpath               Ġuh                 Ġlaid               Ġout                Ġby                 Ġthe               
Timings          : (200.678, 201.096)  (201.096, 201.514)  (201.514, 201.801)  (201.801, 202.125)  (202.798, 202.925)  (202.925, 203.054)  (203.199, 203.489)  (203.489, 203.869)  (203.869, 204.259)  (204.259, 204.849)  (204.849, 205.029)  (205.029, 205.259)  (205.259, 205.429)  (205.429, 205.599)  (205.599, 205.823) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (200.678, 201.096)  (201.096, 201.514)  (201.514, 201.801)  (201.801, 202.125)  (202.798, 202.925)  (202.925, 203.054)  (203.199, 203.489)  (203.489, 203.869)  (203.869, 204.259)  (204.259, 204.849)  (204.849, 205.029)  (205.029, 205.259)  (205.259, 205.429)  (205.429, 205.599)  (205.599, 205.823) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġby                 Ġthe                Ġsoutheast          Ġas                 ian                 Ġcountries          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (206.734, 206.819)  (206.819, 206.909)  (206.909, 207.709)  (207.709, 207.859)  (207.859, 208.009)  (208.009, 208.544)  (-1.0, -1.0)        (209.155, 209.304)  (209.304, 209.52)   (209.52, 209.69)    (209.69, 209.8)     (209.8, 210.37)     (210.37, 210.76)    (210.76, 211.25)    (211.25, 211.33)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      83735756144646      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthey               Ġdo                 Ġhave               Ġa                  Ġhuge               Ġoil                Ġreserve            Ġthe               
Timings          : (206.734, 206.819)  (206.819, 206.909)  (206.909, 207.709)  (207.709, 207.859)  (207.859, 208.009)  (208.009, 208.544)  (209.036, 209.155)  (209.155, 209.304)  (209.304, 209.52)   (209.52, 209.69)    (209.69, 209.8)     (209.8, 210.37)     (210.37, 210.76)    (210.76, 211.25)    (211.25, 211.33)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83736293015559      83736293015559      83736293015559      83736293015559      83736293015559      83736293015559      83736293015559      83736293015559      83736293015559     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (211.33, 211.76)    (211.76, 211.92)    (211.92, 212.07)    (212.07, 212.245)   (212.403, 212.515)  (212.515, 212.627)  (212.627, 212.84)   (212.84, 213.014)   (213.014, 213.31)   (213.31, 213.42)    (213.42, 214.11)    (214.11, 214.22)    (214.22, 214.37)    (214.37, 214.57)    (214.57, 215.005)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġproblem            Ġis                 Ġthat               Ġthey               Ġdon                't                  Ġhave               Ġthe                Ġability            Ġto                 Ġexploit            Ġit                 Ġat                 Ġthis               Ġpoint             
Timings          : (211.33, 211.76)    (211.76, 211.92)    (211.92, 212.07)    (212.07, 212.245)   (212.403, 212.515)  (212.515, 212.627)  (212.627, 212.84)   (212.84, 213.014)   (213.014, 213.31)   (213.31, 213.42)    (213.42, 214.11)    (214.11, 214.22)    (214.22, 214.37)    (214.37, 214.57)    (214.57, 215.005)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
