A                : budget              ing                 Ġactivity           Ġin                 Ġour                Ġhousehold          Ġi                  Ġhas                Ġis                 Ġuh                 Ġuh                 Ġkind               Ġof                 Ġan                 Ġinformal          
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġmy                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (158.236, 158.423)  (158.423, 158.833)  (158.833, 158.893)  (158.893, 159.263)  (159.263, 159.503)  (159.503, 159.97)   (160.05, 160.222)   (160.222, 160.676)  (-1.0, -1.0)        (160.583, 160.672)  (160.672, 160.762)  (161.035, 161.233)  (161.233, 161.293)  (161.293, 161.573)  (161.573, 161.683) 
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83637508767751      83637508767751      83637508767751      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġwe                 Ġgot                Ġa                  Ġmonster            Ġyou                Ġknow               Ġbill               Ġcoming             Ġin                 Ġbut                Ġbut                Ġwe                 Ġalso               Ġhave              
Timings          : (161.683, 162.633)  (162.633, 162.763)  (162.763, 162.933)  (162.933, 162.973)  (162.973, 163.477)  (163.696, 163.803)  (163.803, 163.923)  (163.923, 164.173)  (164.173, 164.473)  (164.473, 164.593)  (164.593, 164.748)  (165.354, 165.503)  (165.503, 165.653)  (165.653, 166.092)  (166.585, 166.825) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (161.683, 162.633)  (162.633, 162.763)  (162.763, 162.933)  (162.933, 162.973)  (162.973, 163.477)  (163.696, 163.803)  (163.803, 163.923)  (163.923, 164.173)  (164.173, 164.473)  (164.473, 164.593)  (164.593, 164.748)  (165.354, 165.503)  (165.503, 165.653)  (165.653, 166.092)  (166.585, 166.825) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġzero               Ġuh                 Ġinterest           Ġbeing              Ġpaid               Ġand                Ġwe                 Ġpay                Ġit                 Ġoff                Ġas                 Ġas                 Ġit                 Ġgoes               <eot>              
Timings          : (166.825, 167.352)  (167.585, 167.789)  (167.789, 168.197)  (168.423, 168.645)  (168.645, 169.201)  (169.201, 169.385)  (169.385, 169.505)  (169.505, 169.685)  (169.685, 169.795)  (169.795, 170.135)  (170.135, 170.345)  (170.345, 170.555)  (170.555, 170.625)  (170.625, 171.065)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546      83632676929546     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                 
Timings          : (166.825, 167.352)  (167.585, 167.789)  (167.789, 168.197)  (168.423, 168.645)  (168.645, 169.201)  (169.201, 169.385)  (169.385, 169.505)  (169.505, 169.685)  (169.685, 169.795)  (169.795, 170.135)  (170.135, 170.345)  (170.345, 170.555)  (170.555, 170.625)  (171.021, 171.102)  (171.102, 171.182) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83633213800459      83633213800459     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġso                 Ġwe                
Timings          : (171.182, 171.262)  (171.262, 171.432)  (171.432, 171.507)  (171.507, 171.582)  (171.582, 171.642)  (171.642, 171.772)  (171.772, 171.892)  (171.892, 172.042)  (172.042, 172.232)  (172.232, 172.512)  (172.512, 172.822)  (172.822, 173.053)  (173.521, 173.612)  (173.612, 173.822)  (173.822, 173.962) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83632676929548      83632676929548      83632676929548     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : uh                  Ġand                Ġthat               's                  Ġthe                Ġway                Ġi                  Ġdo                 Ġmy                 Ġcredit             Ġcards              Ġnow                <eot>               <emp>               <emp>              
Timings          : (171.182, 171.262)  (171.262, 171.432)  (171.432, 171.507)  (171.507, 171.582)  (171.582, 171.642)  (171.642, 171.772)  (171.772, 171.892)  (171.892, 172.042)  (172.042, 172.232)  (172.232, 172.512)  (172.512, 172.822)  (172.822, 173.053)  (-1.0, -1.0)        (173.612, 173.822)  (173.822, 173.962) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      83633213800459      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġnever              Ġreally             Ġget                Ġthat               Ġmuch               Ġover               Ġuh                 Ġover               Ġextended           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.962, 174.232)  (174.232, 174.492)  (174.492, 174.682)  (174.682, 174.882)  (174.882, 175.162)  (175.162, 175.679)  (175.679, 175.992)  (175.992, 176.292)  (176.292, 176.801)  (-1.0, -1.0)        (177.257, 177.342)  (177.342, 177.442)  (177.442, 177.842)  (177.842, 177.992)  (177.992, 178.102) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 83632676929548      83632676929548      83632676929548      83632676929548      83632676929548      83632676929548      83632676929548      83632676929548      83632676929548      83632676929548      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġdo                 Ġalmost             Ġall                Ġmy                
Timings          : (173.962, 174.232)  (174.232, 174.492)  (174.492, 174.682)  (174.682, 174.882)  (174.882, 175.162)  (175.162, 175.679)  (175.679, 175.992)  (175.992, 176.292)  (176.292, 176.801)  (176.74, 176.884)   (177.257, 177.342)  (177.342, 177.442)  (177.442, 177.842)  (177.842, 177.992)  (177.992, 178.102) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                  m                   <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.102, 178.702)  (178.702, 178.882)  (178.882, 179.172)  (179.172, 179.57)   (180.098, 180.202)  (180.188, 180.261)  (180.261, 180.334)  (-1.0, -1.0)        (180.422, 180.512)  (180.512, 180.812)  (180.812, 180.902)  (180.902, 181.022)  (181.022, 181.192)  (181.192, 181.492)  (181.492, 181.602) 
Token Types      : 0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83636971896842      83636971896842      83636971896842      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġpurchasing         Ġon                 Ġcredit             Ġcards              Ġbut                Ġit                 <emp>               's                  Ġthe                Ġfact               Ġthat               Ġi                  Ġhave               Ġenough             Ġof                
Timings          : (178.102, 178.702)  (178.702, 178.882)  (178.882, 179.172)  (179.172, 179.57)   (180.098, 180.202)  (180.202, 180.312)  (180.261, 180.334)  (180.312, 180.422)  (180.422, 180.512)  (180.512, 180.812)  (180.812, 180.902)  (180.902, 181.022)  (181.022, 181.192)  (181.192, 181.492)  (181.492, 181.602) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.602, 181.902)  (181.902, 181.992)  (181.992, 182.052)  (182.052, 182.432)  (182.432, 182.532)  (182.532, 182.602)  (182.602, 182.962)  (182.962, 183.152)  (183.152, 183.322)  (183.322, 183.472)  (183.472, 183.572)  (183.572, 183.952)  (183.952, 184.032)  (184.032, 184.202)  (184.202, 184.382) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġof                 Ġa                  Ġcushion            Ġin                 Ġthe                Ġbank               Ġso                 Ġthat               Ġwhen               Ġthey               Ġcome               Ġi                  Ġcan                Ġpay               
Timings          : (181.602, 181.902)  (181.902, 181.992)  (181.992, 182.052)  (182.052, 182.432)  (182.432, 182.532)  (182.532, 182.602)  (182.602, 182.962)  (182.962, 183.152)  (183.152, 183.322)  (183.322, 183.472)  (183.472, 183.572)  (183.572, 183.952)  (183.952, 184.032)  (184.032, 184.202)  (184.202, 184.382) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461      83633213800461     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyeah               Ġwe                 're                 Ġwe                 're                 Ġdoing              Ġthat               Ġwe                 Ġhave               Ġyou                Ġknow               Ġuh                
Timings          : (184.382, 184.532)  (184.532, 184.612)  (184.612, 184.926)  (186.359, 186.514)  (186.514, 186.632)  (186.632, 186.75)   (187.055, 187.12)   (187.12, 187.186)   (187.186, 187.415)  (187.415, 187.536)  (187.536, 187.656)  (187.656, 187.912)  (188.711, 188.755)  (188.755, 188.956)  (188.956, 189.251) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthem               Ġin                 Ġfull               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.382, 184.532)  (184.532, 184.612)  (184.612, 184.926)  (-1.0, -1.0)        (186.514, 186.632)  (186.632, 186.75)   (187.055, 187.12)   (187.12, 187.186)   (187.186, 187.415)  (187.415, 187.536)  (187.536, 187.656)  (187.656, 187.912)  (188.711, 188.755)  (188.755, 188.956)  (188.956, 189.251) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83633213800461      83633213800461      83633213800461      83633213800461      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthis               Ġthis               Ġis                 Ġour                Ġour                Ġour                Ġbig                Ġuh                 Ġwe                 Ġdid                Ġred                ec                  or                  ating               Ġtwo               
Timings          : (189.484, 189.668)  (189.668, 189.876)  (189.876, 190.036)  (190.036, 190.415)  (190.415, 190.699)  (191.094, 191.292)  (191.292, 191.671)  (191.671, 192.05)   (192.483, 192.686)  (192.686, 193.076)  (193.076, 193.26)   (193.26, 193.445)   (193.445, 193.63)   (193.63, 193.816)   (193.816, 194.092) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.484, 189.668)  (189.668, 189.876)  (189.876, 190.036)  (190.036, 190.415)  (190.415, 190.699)  (191.094, 191.292)  (191.292, 191.671)  (191.671, 192.05)   (192.483, 192.686)  (192.686, 193.076)  (193.076, 193.26)   (193.26, 193.445)   (193.445, 193.63)   (193.63, 193.816)   (193.816, 194.092) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġtwo                Ġnew                Ġpieces             Ġin                 Ġthe                Ġrefrigerator       Ġin                 Ġthe                Ġfamily             Ġroom               Ġand                Ġnew                Ġcarpet            
Timings          : (194.092, 194.225)  (194.225, 194.436)  (194.436, 194.555)  (194.555, 194.676)  (194.676, 195.096)  (195.096, 195.186)  (195.186, 195.306)  (195.306, 195.562)  (195.562, 195.676)  (195.676, 195.86)   (196.244, 196.605)  (196.605, 196.876)  (196.876, 196.995)  (196.995, 197.105)  (197.105, 197.626) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (194.092, 194.225)  (194.225, 194.436)  (194.436, 194.555)  (194.555, 194.676)  (194.676, 195.096)  (195.096, 195.186)  (195.186, 195.306)  (195.306, 195.562)  (195.562, 195.676)  (195.676, 195.86)   (196.244, 196.605)  (196.605, 196.876)  (196.876, 196.995)  (196.995, 197.105)  (197.105, 197.626) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġmean               Ġwe                 Ġjust               Ġuh                 Ġwe                 've                 Ġjust               Ġspent              Ġspending           Ġspending           Ġspending           <eot>               <emp>               <emp>              
Timings          : (197.626, 197.706)  (197.706, 197.986)  (197.986, 198.135)  (198.135, 198.525)  (198.525, 198.786)  (198.786, 198.9)    (198.9, 199.016)    (199.016, 199.286)  (199.286, 199.669)  (200.196, 200.665)  (200.665, 201.055)  (201.055, 201.455)  (-1.0, -1.0)        (201.82, 201.886)   (201.886, 202.2)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      83632676929550      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġoh                 Ġmy                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  'm                  Ġen                
Timings          : (197.626, 197.706)  (197.706, 197.986)  (197.986, 198.135)  (198.08, 198.36)    (198.36, 198.814)   (-1.0, -1.0)        (198.9, 199.016)    (199.016, 199.286)  (199.286, 199.669)  (200.196, 200.665)  (200.665, 201.055)  (201.055, 201.455)  (201.754, 201.82)   (201.82, 201.886)   (201.886, 202.2)   
Token Types      : 0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83637508767754      83637508767754      83637508767754      0                   0                   0                   0                   0                   0                   83633213800463      83633213800463      83633213800463     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               Ġbut                Ġbut                Ġbut                Ġwe                 Ġhaven              't                  Ġreally             Ġdone               Ġanything           Ġfor                Ġa                  Ġlong               Ġtime               Ġbecause           
Timings          : (202.2, 202.514)    (203.133, 203.226)  (203.61, 203.759)   (203.759, 203.909)  (203.909, 204.019)  (204.019, 204.149)  (204.149, 204.279)  (204.279, 204.479)  (204.479, 204.669)  (204.669, 205.009)  (205.009, 205.159)  (205.159, 205.199)  (205.199, 205.489)  (205.489, 205.749)  (205.749, 206.139) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024      83635898155024     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : vious               <emp>               Ġwell               Ġi                  <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (202.2, 202.514)    (203.133, 203.226)  (203.594, 203.734)  (203.734, 203.878)  (-1.0, -1.0)        (204.019, 204.149)  (204.149, 204.279)  (204.279, 204.479)  (204.479, 204.669)  (204.669, 205.009)  (205.009, 205.159)  (205.159, 205.199)  (205.199, 205.489)  (205.489, 205.749)  (205.749, 206.139) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83633213800463      83633213800463      83633213800463      83633213800463      83633213800463      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
