A                : have                Ġyou                Ġever               Ġdone               Ġthis               <eot>               <emp>               <emp>               <emp>               Ġwhat               Ġdid                Ġyou                Ġdo                 <yield>             Ġunfortunately     

B                : <emp>               Ġwe                 've                 Ġbeen               Ġhaving             Ġthem               Ġin                 Ġid                 aho                 Ġthat               's                  Ġwhere              <yield>             <emp>               <emp>              
Timings          : (147.51, 147.701)   (147.717, 147.822)  (147.822, 147.927)  (147.927, 148.087)  (148.087, 148.387)  (148.387, 148.517)  (148.517, 148.617)  (148.617, 148.887)  (148.887, 149.157)  (150.041, 150.221)  (150.221, 150.401)  (150.401, 150.731)  (-1.0, -1.0)        (150.875, 151.15)   (151.2, 151.76)    
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      82244865622031      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġor                 Ġi                  Ġmean               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġso                
Timings          : (151.76, 151.95)    (151.95, 152.079)   (152.079, 152.298)  (-1.0, -1.0)        (152.951, 153.071)  (153.071, 153.191)  (153.191, 153.451)  (153.451, 153.749)  (153.964, 154.291)  (154.291, 154.621)  (154.621, 155.07)   (155.665, 155.851)  (155.851, 155.911)  (155.911, 156.694)  (157.04, 157.37)   
Token Types      : 4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 82244328751120      82244328751120      82244328751120      82244328751120      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82244328751122     
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : <emp>               Ġum                 <emp>               Ġno                 Ġwe                 've                 Ġhad                Ġthem               Ġout                Ġin                 Ġuh                 Ġkind               Ġof                 Ġwilderness         Ġuh                
Timings          : (151.76, 151.95)    (151.881, 152.411)  (152.079, 152.298)  (152.601, 152.951)  (152.951, 153.071)  (153.071, 153.191)  (153.191, 153.451)  (153.451, 153.749)  (153.964, 154.291)  (154.291, 154.621)  (154.621, 155.07)   (155.665, 155.851)  (155.851, 155.911)  (155.911, 156.694)  (157.056, 157.281) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyou                Ġgo                 Ġcamping            Ġdo                 Ġyou                <emp>               Ġi                  Ġsee                Ġwell               Ġthat               's                  Ġkind               Ġof                 Ġgood               <yield>            
Timings          : (157.37, 157.53)    (157.53, 157.72)    (157.72, 158.35)    (158.35, 158.49)    (158.49, 158.745)   (158.617, 159.223)  (159.114, 159.4)    (159.4, 159.65)     (159.65, 159.74)    (159.74, 159.87)    (159.87, 160.0)     (160.0, 160.24)     (160.24, 160.4)     (160.4, 160.78)     (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122      82244328751122     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġareas              <emp>               Ġbefore             Ġwe                 Ġgo                 Ġcamping            <yield>             <emp>               <emp>               <emp>               <emp>               Ġand                <emp>               <emp>               Ġwe                
Timings          : (157.281, 157.821)  (157.53, 157.72)    (157.821, 158.371)  (158.371, 158.481)  (158.481, 158.617)  (158.617, 159.223)  (-1.0, -1.0)        (159.4, 159.65)     (159.65, 159.74)    (159.74, 159.87)    (159.87, 160.0)     (160.075, 160.565)  (160.24, 160.4)     (160.4, 160.78)     (161.035, 161.11)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   4                   4                   4                   4                  
turn_ids         : 82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      82244865622033      0                   0                   0                   0                   82244865622035      82244865622035      82244865622035      82244865622035     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               Ġbut               
Timings          : (161.11, 161.185)   (161.185, 161.365)  (161.365, 161.485)  (161.485, 161.675)  (161.675, 162.275)  (162.275, 162.675)  (162.795, 162.865)  (162.865, 162.965)  (162.965, 163.365)  (163.711, 163.861)  (163.861, 164.011)  (164.011, 164.161)  (-1.0, -1.0)        (165.845, 165.915)  (165.962, 166.062) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82243255009292      82243255009292      82243255009292      82243255009292      0                   82244328751124     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   1                  

B                : 've                 Ġhad                Ġthem               Ġat                 Ġresorts            Ġuh                 Ġyou                Ġknow               Ġsmaller            Ġresort             Ġplaces             <emp>               Ġuh                 Ġyou                Ġknow              
Timings          : (161.11, 161.185)   (161.185, 161.365)  (161.365, 161.485)  (161.485, 161.675)  (161.675, 162.275)  (162.275, 162.675)  (162.795, 162.865)  (162.865, 162.965)  (162.965, 163.365)  (163.365, 163.795)  (163.795, 164.431)  (164.011, 164.161)  (164.603, 165.044)  (165.845, 165.915)  (165.915, 166.055) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġthat               Ġway                Ġno                 Ġone                Ġhas                Ġall                Ġthe                Ġwork               Ġi                  Ġmean               Ġonce               Ġit                 's                  Ġplanned            Ġnobody            
Timings          : (166.062, 166.272)  (166.272, 166.402)  (166.402, 166.622)  (166.622, 166.842)  (166.842, 167.052)  (167.052, 167.232)  (167.232, 167.302)  (167.302, 167.832)  (167.832, 167.912)  (167.912, 168.122)  (168.122, 168.402)  (168.402, 168.487)  (168.487, 168.572)  (168.572, 169.142)  (170.127, 170.607) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġkind               Ġof                 Ġlike               <emp>               Ġcamp               Ġground             <emp>               Ġthings             <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (166.055, 166.345)  (166.345, 166.405)  (166.405, 166.545)  (166.622, 166.842)  (166.795, 167.095)  (167.095, 167.375)  (167.232, 167.302)  (167.375, 167.765)  (-1.0, -1.0)        (167.912, 168.122)  (168.122, 168.402)  (168.402, 168.487)  (168.487, 168.572)  (168.572, 169.142)  (170.127, 170.607) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      82244865622035      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġhas                Ġto                 Ġworry              Ġabout              Ġfixing             Ġfood               Ġfor                Ġeverybody          Ġand                Ġthat               Ġkind               Ġof                 Ġthing              Ġright              <eot>              
Timings          : (170.607, 170.827)  (170.827, 170.987)  (170.987, 171.297)  (171.297, 171.605)  (172.1, 172.622)    (172.893, 173.137)  (173.137, 173.287)  (173.287, 174.057)  (174.057, 174.267)  (174.267, 174.437)  (174.437, 174.687)  (174.687, 174.797)  (174.797, 175.067)  (175.067, 175.357)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124      82244328751124     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell              
Timings          : (170.607, 170.827)  (170.827, 170.987)  (170.987, 171.297)  (171.297, 171.605)  (172.1, 172.622)    (172.893, 173.137)  (173.137, 173.287)  (173.287, 174.057)  (174.057, 174.267)  (174.267, 174.437)  (174.437, 174.687)  (174.687, 174.797)  (174.797, 175.067)  (175.067, 175.357)  (176.042, 176.352) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82241644396565     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.352, 176.582)  (176.582, 177.042)  (177.042, 177.472)  (177.472, 177.782)  (178.947, 179.087)  (179.087, 179.287)  (179.287, 179.497)  (179.497, 179.707)  (179.707, 180.277)  (180.277, 180.697)  (180.697, 180.807)  (180.807, 180.867)  (180.867, 181.197)  (181.197, 181.362)  (181.362, 181.527) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwe                 Ġwe                 Ġdo                 Ġuh                 Ġwe                 Ġwe                 Ġhave               Ġsome               Ġtraditional        Ġthings             Ġand                Ġthe                Ġfirst              Ġnight              's                 
Timings          : (176.352, 176.582)  (176.582, 177.042)  (177.042, 177.472)  (177.472, 177.782)  (178.947, 179.087)  (179.087, 179.287)  (179.287, 179.497)  (179.497, 179.707)  (179.707, 180.277)  (180.277, 180.697)  (180.697, 180.807)  (180.807, 180.867)  (180.867, 181.197)  (181.197, 181.362)  (181.362, 181.527) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.527, 181.997)  (181.997, 182.217)  (182.217, 182.277)  (182.277, 182.587)  (182.587, 182.897)  (183.796, 183.963)  (183.963, 184.13)   (184.13, 184.296)   (-1.0, -1.0)        (185.439, 185.839)  (185.839, 186.019)  (186.019, 186.389)  (186.389, 186.699)  (187.333, 187.593)  (187.593, 187.673) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82243255009294      82243255009294      82243255009294      82243255009294      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġusually            Ġlike               Ġa                  Ġpot                luck                Ġeverybody          Ġjust               <emp>               Ġbrings             Ġwhatever           Ġthey               Ġwant               Ġand                Ġand                Ġwe                
Timings          : (181.527, 181.997)  (181.997, 182.217)  (182.217, 182.277)  (182.277, 182.587)  (182.587, 182.897)  (183.559, 184.009)  (184.009, 184.939)  (184.13, 184.296)   (184.939, 185.439)  (185.439, 185.839)  (185.839, 186.019)  (186.019, 186.389)  (186.389, 186.699)  (187.333, 187.593)  (187.593, 187.673) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (187.673, 187.893)  (187.893, 188.123)  (188.123, 188.403)  (188.403, 188.473)  (188.473, 188.901)  (188.901, 189.185)  (189.607, 189.96)   (189.96, 190.443)   (190.803, 191.233)  (191.233, 191.293)  (191.293, 191.703)  (191.703, 192.133)  (192.133, 192.683)  (192.683, 192.883)  (192.883, 193.24)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhave               Ġthose              Ġkind               Ġof                 Ġfoods              Ġand                Ġand                Ġthen               Ġusually            Ġthe                Ġfirst              Ġmorning            Ġbreakfast          Ġis                 Ġjust              
Timings          : (187.673, 187.893)  (187.893, 188.123)  (188.123, 188.403)  (188.403, 188.473)  (188.473, 188.901)  (188.901, 189.185)  (189.607, 189.96)   (189.96, 190.443)   (190.803, 191.233)  (191.233, 191.293)  (191.293, 191.703)  (191.703, 192.133)  (192.133, 192.683)  (192.683, 192.883)  (192.883, 193.24)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġso                 Ġthere              Ġis                
Timings          : (193.477, 193.813)  (193.813, 194.383)  (194.617, 194.823)  (194.823, 195.093)  (195.093, 195.293)  (195.293, 195.573)  (196.723, 197.393)  (198.003, 198.163)  (198.163, 198.343)  (198.343, 198.693)  (198.693, 198.853)  (198.853, 199.163)  (200.47, 200.71)    (200.71, 200.89)    (200.89, 201.02)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82241107525654      82241107525654      82241107525654     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġthat               Ġeach               Ġbody               Ġdoes               Ġtheir              Ġown                Ġand                Ġthen               Ġhave               Ġgames              Ġall                Ġday                <eot>               <emp>               <emp>              
Timings          : (193.477, 193.813)  (193.813, 194.383)  (194.617, 194.823)  (194.823, 195.093)  (195.093, 195.293)  (195.293, 195.573)  (196.723, 197.393)  (198.003, 198.163)  (198.163, 198.343)  (198.343, 198.693)  (198.693, 198.853)  (198.853, 199.163)  (-1.0, -1.0)        (200.71, 200.89)    (200.89, 201.02)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      82241644396565      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġa                  Ġlot                Ġof                 Ġplanning           Ġthough             Ġfor                Ġthings             <emp>               Ġlike               Ġthat               Ġi                  Ġguess              Ġanyway             <emp>               Ġhuh               
Timings          : (201.02, 201.1)     (201.1, 201.26)     (201.26, 201.32)    (201.32, 201.81)    (201.81, 201.97)    (201.97, 202.15)    (202.15, 202.48)    (202.324, 202.504)  (202.48, 202.71)    (202.71, 202.94)    (202.94, 203.02)    (203.02, 203.31)    (203.31, 203.67)    (203.459, 203.689)  (203.67, 203.893)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654      82241107525654     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <eint>              <emp>               <emp>               Ġyeah               Ġthere              Ġthere              Ġis                
Timings          : (201.02, 201.1)     (201.1, 201.26)     (201.26, 201.32)    (201.32, 201.81)    (201.81, 201.97)    (201.97, 202.15)    (202.144, 202.324)  (202.324, 202.504)  (-1.0, -1.0)        (202.71, 202.94)    (202.94, 203.02)    (203.099, 203.259)  (203.259, 203.459)  (203.459, 203.689)  (203.689, 203.879) 
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82245939363855      82245939363855      82245939363855      0                   0                   82244865622039      82244865622039      82244865622039      82244865622039     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   2                   2                   2                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (204.079, 204.399)  (204.399, 204.789)  (204.789, 205.059)  (205.465, 205.625)  (205.625, 205.805)  (205.805, 205.895)  (206.015, 206.205)  (206.205, 206.295)  (206.295, 206.435)  (206.435, 206.645)  (206.645, 206.865)  (206.865, 206.905)  (206.905, 207.415)  (207.415, 207.515) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82241107525654      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwe                 Ġwe                 Ġdo                 Ġuh                 Ġuh                 Ġyou                Ġknow               Ġwe                 Ġhave               Ġwe                 Ġhave               Ġquite              Ġa                  Ġfew                Ġwe                
Timings          : (203.879, 204.079)  (204.079, 204.399)  (204.399, 204.789)  (204.789, 205.059)  (205.465, 205.625)  (205.625, 205.805)  (205.805, 205.895)  (206.015, 206.205)  (206.205, 206.295)  (206.295, 206.435)  (206.435, 206.645)  (206.645, 206.865)  (206.865, 206.905)  (206.905, 207.415)  (207.415, 207.515) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039      82244865622039     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (207.515, 207.657)  (207.657, 207.74)   (207.74, 207.985)   (207.985, 208.345)  (208.345, 208.455)  (208.455, 208.665)  (208.665, 208.725)  (208.725, 208.97)   (208.97, 209.215)   (209.215, 209.475)  (209.475, 209.535)  (209.535, 209.905)  (209.905, 210.085)  (210.085, 210.435)  (210.435, 210.595) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
