A                : ok                  ay                  Ġuh                 Ġokay               Ġso                 Ġour                Ġsubject            Ġis                 Ġnursing            Ġhomes              Ġum                 Ġdo                 Ġyou                Ġhave               Ġany               
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġa                  Ġgreat              Ġdeal               Ġmore               Ġmoney              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (165.148, 165.197)  (165.197, 165.408)  (165.408, 165.527)  (165.527, 165.717)  (165.717, 166.213)  (-1.0, -1.0)        (166.939, 167.241)  (167.479, 167.592)  (167.592, 167.706)  (167.706, 167.816)  (167.816, 168.146)  (168.146, 168.476)  (168.476, 168.666)  (168.666, 168.906)  (168.906, 169.096) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82722680733707      82722680733707      82722680733707      82722680733707      82722680733707      82722680733707      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġa                  Ġsmall              Ġtown               Ġalso               Ġand                Ġi                  Ġknow               Ġyou                Ġknow               Ġthe                Ġfunds              Ġjust               Ġaren               't                 
Timings          : (169.096, 169.186)  (169.186, 169.276)  (169.276, 169.536)  (169.536, 169.806)  (169.806, 170.176)  (170.176, 170.286)  (170.286, 170.38)   (170.38, 170.663)   (170.821, 170.966)  (170.966, 171.066)  (171.066, 171.136)  (171.136, 171.556)  (171.556, 171.816)  (171.816, 171.896)  (171.896, 171.976) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.096, 169.186)  (169.186, 169.276)  (169.276, 169.536)  (169.536, 169.806)  (169.806, 170.176)  (170.176, 170.286)  (170.286, 170.38)   (170.38, 170.663)   (170.821, 170.966)  (170.966, 171.066)  (171.066, 171.136)  (171.136, 171.556)  (171.556, 171.816)  (171.816, 171.896)  (171.896, 171.976) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġavailable          Ġuh                 Ġto                 Ġdo                 Ġsomething          Ġin                 Ġa                  Ġsmall              Ġtown               Ġthat               Ġyou                Ġhave               Ġthat               Ġyou                Ġcan               
Timings          : (171.976, 172.533)  (173.176, 173.416)  (173.416, 173.596)  (173.596, 173.726)  (173.726, 174.222)  (175.152, 175.316)  (175.316, 175.376)  (175.376, 175.676)  (175.676, 176.006)  (176.006, 176.156)  (176.156, 176.256)  (176.256, 176.405)  (176.977, 177.106)  (177.106, 177.216)  (177.216, 177.366) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (171.976, 172.533)  (173.176, 173.416)  (173.416, 173.596)  (173.596, 173.726)  (173.726, 174.222)  (175.152, 175.316)  (175.316, 175.376)  (175.376, 175.676)  (175.676, 176.006)  (176.006, 176.156)  (176.156, 176.256)  (176.256, 176.405)  (176.977, 177.106)  (177.106, 177.216)  (177.216, 177.366) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdo                 Ġin                 Ġa                  Ġlarger             Ġtown               Ġbut                Ġum                 Ġuh                 Ġyou                Ġknow               Ġother              Ġthan               Ġcare               Ġconditions         Ġyou               
Timings          : (177.366, 177.556)  (177.556, 177.646)  (177.646, 177.73)   (177.73, 178.039)   (178.039, 178.402)  (180.644, 181.055)  (181.055, 181.452)  (181.971, 182.211)  (182.211, 182.461)  (182.461, 182.561)  (182.561, 182.771)  (182.771, 183.149)  (183.839, 184.211)  (184.211, 185.1)    (185.393, 185.511) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (177.366, 177.556)  (177.556, 177.646)  (177.646, 177.73)   (177.73, 178.039)   (178.039, 178.402)  (180.644, 181.055)  (181.055, 181.452)  (181.971, 182.211)  (182.211, 182.461)  (182.461, 182.561)  (182.561, 182.771)  (182.771, 183.149)  (183.839, 184.211)  (184.211, 185.1)    (185.393, 185.511) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġi                  Ġdon                't                  Ġknow               Ġreally             Ġwhat               Ġelse               Ġa                  Ġperson             Ġlooks              Ġfor                Ġuh                 Ġconvenience        Ġfor               
Timings          : (185.511, 185.611)  (185.611, 185.701)  (185.701, 185.811)  (185.811, 185.921)  (185.921, 186.231)  (186.231, 186.501)  (186.501, 186.671)  (186.671, 186.871)  (186.871, 186.911)  (186.911, 188.181)  (188.181, 188.481)  (188.481, 188.842)  (189.23, 189.407)   (189.407, 190.011)  (190.011, 190.121) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.511, 185.611)  (185.611, 185.701)  (185.701, 185.811)  (185.811, 185.921)  (185.921, 186.231)  (186.231, 186.501)  (186.501, 186.671)  (186.671, 186.871)  (186.871, 186.911)  (186.911, 188.181)  (188.181, 188.481)  (188.481, 188.842)  (189.23, 189.407)   (189.407, 190.011)  (190.011, 190.121) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġfamily             Ġwould              Ġbe                 Ġa                  Ġa                  Ġwonderful          Ġthing              Ġuh                 Ġbut                Ġthat               's                  Ġthat               's                  Ġyou               
Timings          : (190.121, 190.191)  (190.191, 190.671)  (190.671, 190.851)  (190.851, 190.973)  (190.973, 191.207)  (191.207, 191.335)  (191.335, 191.731)  (191.731, 192.087)  (193.802, 194.12)   (194.611, 194.751)  (195.12, 195.173)   (195.173, 195.226)  (196.283, 196.515)  (196.515, 196.747)  (196.747, 196.923) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.121, 190.191)  (190.191, 190.671)  (190.671, 190.851)  (190.851, 190.973)  (190.973, 191.207)  (191.207, 191.335)  (191.335, 191.731)  (191.731, 192.087)  (193.802, 194.12)   (194.611, 194.751)  (195.12, 195.173)   (195.173, 195.226)  (196.283, 196.515)  (196.515, 196.747)  (196.747, 196.923) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġthat               's                  Ġnot                Ġalways             Ġan                 Ġoption             Ġeither             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (196.923, 197.003)  (197.003, 197.118)  (197.118, 197.234)  (197.234, 197.374)  (197.374, 197.624)  (197.624, 197.726)  (197.726, 198.032)  (198.032, 198.383)  (-1.0, -1.0)        (199.132, 199.285)  (199.544, 199.656)  (199.656, 199.786)  (199.786, 200.006)  (200.006, 200.156)  (200.156, 200.276) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      82722143862796      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġbut                Ġyou                Ġknow               Ġif                 Ġmy                 Ġfamily            
Timings          : (196.923, 197.003)  (197.003, 197.118)  (197.118, 197.234)  (197.234, 197.374)  (197.374, 197.624)  (197.624, 197.726)  (197.726, 198.032)  (198.032, 198.383)  (198.384, 198.612)  (199.132, 199.285)  (199.544, 199.656)  (199.656, 199.786)  (199.786, 200.006)  (200.006, 200.156)  (200.156, 200.276) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (200.276, 200.556)  (200.556, 200.716)  (200.716, 200.786)  (200.786, 200.916)  (200.916, 201.166)  (201.166, 201.386)  (201.386, 201.526)  (201.526, 201.676)  (201.676, 201.776)  (201.776, 201.836)  (201.836, 201.946)  (201.946, 202.146)  (202.146, 202.236)  (202.236, 202.396)  (202.396, 202.556) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġif                 Ġall                Ġof                 Ġmy                 Ġkids               Ġstill              Ġlive               Ġhere               Ġand                Ġi                  Ġgo                 Ġback               Ġto                 Ġi                  owa                
Timings          : (200.276, 200.556)  (200.556, 200.716)  (200.716, 200.786)  (200.786, 200.916)  (200.916, 201.166)  (201.166, 201.386)  (201.386, 201.526)  (201.526, 201.676)  (201.676, 201.776)  (201.776, 201.836)  (201.836, 201.946)  (201.946, 202.146)  (202.146, 202.236)  (202.236, 202.396)  (202.396, 202.556) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (202.556, 202.806)  (202.806, 202.916)  (202.916, 203.079)  (203.079, 203.206)  (203.206, 204.306)  (204.306, 204.506)  (204.506, 205.026)  (205.026, 205.096)  (205.096, 205.226)  (205.226, 205.362)  (205.362, 205.499)  (205.499, 205.636)  (205.636, 205.986)  (207.448, 207.549)  (207.549, 207.876) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcourse             Ġthere              Ġis                 Ġno                 Ġconvenience        Ġso                 Ġprobably           Ġit                 Ġwould              Ġbeh                o                   ove                 Ġme                 Ġto                 Ġtry               
Timings          : (202.556, 202.806)  (202.806, 202.916)  (202.916, 203.079)  (203.079, 203.206)  (203.206, 204.306)  (204.306, 204.506)  (204.506, 205.026)  (205.026, 205.096)  (205.096, 205.226)  (205.226, 205.362)  (205.362, 205.499)  (205.499, 205.636)  (205.636, 205.986)  (207.448, 207.549)  (207.549, 207.876) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (207.876, 208.056)  (208.056, 208.516)  (208.516, 209.116)  (209.116, 209.246)  (209.246, 209.516)  (209.516, 209.726)  (209.726, 209.886)  (209.886, 209.996)  (209.996, 210.214)  (210.214, 210.432)  (210.557, 210.818)  (210.818, 211.079)  (-1.0, -1.0)        (212.391, 212.611)  (214.101, 214.197) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82724291346446      82724291346446      82724291346446      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġto                 Ġstart              Ġsomething          Ġof                 Ġthis               Ġsort               Ġhere               Ġin                 Ġd                  allas               <emp>               <emp>               Ġbut                Ġuh                 Ġthat              
Timings          : (207.876, 208.056)  (208.056, 208.516)  (208.516, 209.116)  (209.116, 209.246)  (209.246, 209.516)  (209.516, 209.726)  (209.726, 209.886)  (209.886, 209.996)  (209.996, 210.214)  (210.214, 210.432)  (210.557, 210.818)  (210.818, 211.079)  (212.068, 212.391)  (212.391, 212.611)  (214.101, 214.197) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (214.197, 214.294)  (214.294, 214.361)  (214.361, 214.491)  (214.491, 214.841)  (214.841, 214.971)  (214.971, 215.486)  (215.486, 215.741)  (216.536, 216.695)  (216.695, 216.908)  (216.908, 217.238)  (217.238, 217.348)  (217.348, 217.808)  (217.808, 217.898)  (217.898, 218.458)  (218.458, 218.538) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġa                  Ġbig                Ġjob                Ġyou                Ġknow               Ġuh                 Ġso                 Ġmany               Ġneeds              Ġare                Ġcrying             Ġthe                Ġhomeless           Ġthe               
Timings          : (214.197, 214.294)  (214.294, 214.361)  (214.361, 214.491)  (214.491, 214.841)  (214.841, 214.971)  (214.971, 215.486)  (215.486, 215.741)  (216.536, 216.695)  (216.695, 216.908)  (216.908, 217.238)  (217.238, 217.348)  (217.348, 217.808)  (217.808, 217.898)  (217.898, 218.458)  (218.458, 218.538) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (218.538, 218.908)  (218.908, 219.418)  (219.418, 219.568)  (219.568, 219.668)  (219.668, 220.048)  (220.048, 220.538)  (220.538, 220.648)  (220.648, 220.748)  (220.748, 220.838)  (220.838, 220.928)  (220.928, 221.068)  (221.068, 221.378)  (221.378, 221.668)  (221.668, 221.948)  (221.948, 222.208) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġabused             Ġchildren           Ġthe                Ġthe                Ġbeaten             Ġwives              Ġyou                Ġknow               Ġthere              's                  Ġso                 Ġmany               Ġthings             Ġgoing              Ġon                
Timings          : (218.538, 218.908)  (218.908, 219.418)  (219.418, 219.568)  (219.568, 219.668)  (219.668, 220.048)  (220.048, 220.538)  (220.538, 220.648)  (220.648, 220.748)  (220.748, 220.838)  (220.838, 220.928)  (220.928, 221.068)  (221.068, 221.378)  (221.378, 221.668)  (221.668, 221.948)  (221.948, 222.208) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
