A                : i                   Ġguess              Ġi                  Ġguess              Ġby                 Ġwhat               Ġyou                Ġsaid               Ġyou                're                 Ġyou                Ġyou                Ġdon                't                  Ġfeel              
Timings          : (160.046, 160.126)  (160.126, 160.406)  (160.406, 160.556)  (160.556, 160.876)  (160.876, 161.188)  (161.188, 161.368)  (161.368, 162.243)  (-1.0, -1.0)        (162.711, 163.341)  (164.123, 164.243)  (164.243, 164.343)  (164.343, 164.453)  (164.453, 164.723)  (164.723, 164.853)  (164.853, 165.153) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthis               Ġhere               's                  Ġsomething          Ġthat               Ġuh                 Ġhas                Ġbeen               Ġkind               Ġof                 Ġconcerning         Ġme                 Ġlately             Ġmy                 Ġfiance            
Timings          : (165.153, 165.423)  (165.423, 165.548)  (165.548, 165.673)  (165.673, 166.113)  (166.113, 166.373)  (166.373, 166.553)  (166.553, 166.623)  (166.623, 166.803)  (166.803, 167.013)  (167.013, 167.073)  (167.073, 167.613)  (167.613, 167.763)  (167.763, 168.134)  (168.439, 168.627)  (168.627, 169.322) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (165.153, 165.423)  (165.423, 165.548)  (165.548, 165.673)  (165.673, 166.113)  (166.113, 166.373)  (166.373, 166.553)  (166.553, 166.623)  (166.623, 166.803)  (166.803, 167.013)  (167.013, 167.073)  (167.073, 167.613)  (167.613, 167.763)  (167.763, 168.134)  (168.439, 168.627)  (168.627, 169.322) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġreceived           Ġa                  Ġbill               Ġfrom               Ġa                  Ġa                  Ġlord               Ġand                Ġt                  aylor               Ġcompany            Ġuh                 Ġyou                Ġyou                Ġknow              
Timings          : (169.638, 170.093)  (170.093, 170.143)  (170.143, 170.433)  (170.433, 170.863)  (170.916, 171.311)  (171.394, 171.463)  (171.463, 171.783)  (171.783, 171.903)  (171.903, 172.058)  (172.058, 172.213)  (172.213, 172.767)  (173.008, 173.143)  (173.143, 173.433)  (173.433, 173.503)  (173.503, 173.653) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.638, 170.093)  (170.093, 170.143)  (170.143, 170.433)  (170.433, 170.863)  (170.916, 171.311)  (171.394, 171.463)  (171.463, 171.783)  (171.783, 171.903)  (171.903, 172.058)  (172.058, 172.213)  (172.213, 172.767)  (173.008, 173.143)  (173.143, 173.433)  (173.433, 173.503)  (173.503, 173.653) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               're                 Ġa                  Ġthey               're                 Ġa                  Ġdepartment         Ġstore              <emp>               Ġshe                Ġreceived           Ġa                  Ġbill               Ġfrom               Ġthem              
Timings          : (173.653, 173.783)  (173.783, 173.913)  (173.913, 173.999)  (174.266, 174.35)   (174.35, 174.433)   (174.433, 174.483)  (174.483, 174.983)  (174.983, 175.333)  (175.406, 175.586)  (176.0, 176.196)    (176.196, 176.673)  (176.673, 176.811)  (176.811, 177.151)  (177.151, 177.421)  (177.421, 177.749) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.653, 173.783)  (173.783, 173.913)  (173.913, 173.999)  (174.266, 174.35)   (174.35, 174.433)   (174.433, 174.483)  (174.483, 174.983)  (175.227, 175.406)  (175.406, 175.586)  (-1.0, -1.0)        (176.196, 176.673)  (176.673, 176.811)  (176.811, 177.151)  (177.151, 177.421)  (177.421, 177.749) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83051245731843      83051245731843      83051245731843      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġthat               Ġshe                Ġhad                Ġvisited            Ġsome               Ġsome               Ġstore              Ġand                Ġand                Ġi                  Ġthink              Ġit                 Ġwas                Ġthere             
Timings          : (177.896, 178.361)  (178.361, 178.581)  (178.581, 178.821)  (178.821, 179.021)  (179.021, 179.471)  (179.471, 179.731)  (179.731, 180.041)  (180.041, 180.311)  (180.311, 180.501)  (180.501, 180.631)  (180.631, 180.711)  (180.711, 180.921)  (180.921, 181.001)  (181.001, 181.131)  (181.131, 181.281) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (177.896, 178.361)  (178.361, 178.581)  (178.581, 178.821)  (178.821, 179.021)  (179.021, 179.471)  (179.471, 179.731)  (179.731, 180.041)  (180.041, 180.311)  (180.311, 180.501)  (180.501, 180.631)  (180.631, 180.711)  (180.711, 180.921)  (180.921, 181.001)  (181.001, 181.131)  (181.131, 181.281) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġfl                 or                  ida                 Ġmaybe              Ġit                 Ġwas                Ġin                 Ġm                  iami                Ġuh                 Ġthat               Ġshe                Ġhad                Ġvisited           
Timings          : (181.281, 181.351)  (181.351, 181.474)  (181.474, 181.598)  (181.598, 181.721)  (181.721, 181.951)  (181.951, 182.081)  (182.081, 182.171)  (182.171, 182.231)  (182.231, 182.475)  (182.475, 182.719)  (183.314, 183.498)  (183.498, 183.628)  (183.628, 183.768)  (183.768, 183.898)  (183.898, 184.308) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (181.281, 181.351)  (181.351, 181.474)  (181.474, 181.598)  (181.598, 181.721)  (181.721, 181.951)  (181.951, 182.081)  (182.081, 182.171)  (182.171, 182.231)  (182.231, 182.475)  (182.475, 182.719)  (183.314, 183.498)  (183.498, 183.628)  (183.628, 183.768)  (183.768, 183.898)  (183.898, 184.308) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġstore              Ġthere              Ġand                Ġuh                 Ġthey               Ġhad                Ġthis               Ġbill               Ġuh                 Ġthat               Ġshe                Ġhad                Ġbought             Ġsuch              
Timings          : (184.308, 184.398)  (184.398, 184.978)  (184.978, 185.397)  (185.642, 185.97)   (185.97, 186.198)   (186.198, 186.368)  (186.368, 186.658)  (186.658, 186.858)  (186.858, 187.416)  (188.087, 188.358)  (188.358, 188.478)  (188.478, 188.628)  (188.628, 188.758)  (188.758, 188.958)  (188.958, 189.178) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (184.308, 184.398)  (184.398, 184.978)  (184.978, 185.397)  (185.642, 185.97)   (185.97, 186.198)   (186.198, 186.368)  (186.368, 186.658)  (186.658, 186.858)  (186.858, 187.416)  (188.087, 188.358)  (188.358, 188.478)  (188.478, 188.628)  (188.628, 188.758)  (188.758, 188.958)  (188.958, 189.178) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġsuch               Ġamount             Ġof                 Ġmerchandise        Ġuh                 Ġover               Ġtwo                Ġhundred            Ġdollars            Ġworth              Ġof                 Ġmerchandise        <emp>               <emp>              
Timings          : (189.178, 189.288)  (189.288, 189.528)  (189.528, 189.818)  (189.818, 189.928)  (189.928, 190.758)  (190.758, 190.998)  (190.998, 191.318)  (191.318, 191.488)  (191.488, 191.708)  (191.708, 191.968)  (191.968, 192.138)  (192.138, 192.218)  (192.218, 192.887)  (192.928, 193.13)   (193.13, 193.331)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (189.178, 189.288)  (189.288, 189.528)  (189.528, 189.818)  (189.818, 189.928)  (189.928, 190.758)  (190.758, 190.998)  (190.998, 191.318)  (191.318, 191.488)  (191.488, 191.708)  (191.708, 191.968)  (191.968, 192.138)  (192.138, 192.218)  (192.218, 192.887)  (192.928, 193.13)   (193.13, 193.331)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83051245731844      83051245731844     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġuh                 Ġand                Ġthe                Ġdate               Ġthat               Ġthat               Ġshe                Ġsupposedly         Ġmade               Ġthis               Ġpurchase           Ġshe                Ġwas                Ġin                 Ġden               
Timings          : (193.559, 193.836)  (193.836, 194.128)  (194.246, 194.344)  (194.344, 194.591)  (194.591, 194.742)  (194.945, 195.111)  (195.111, 195.291)  (195.291, 195.841)  (195.841, 196.101)  (196.101, 196.241)  (196.241, 196.671)  (196.671, 196.861)  (196.861, 197.031)  (197.031, 197.191)  (197.191, 197.366) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (193.836, 194.128)  (194.246, 194.344)  (194.344, 194.591)  (194.591, 194.742)  (194.945, 195.111)  (195.111, 195.291)  (195.291, 195.841)  (195.841, 196.101)  (196.101, 196.241)  (196.241, 196.671)  (196.671, 196.861)  (196.861, 197.031)  (197.031, 197.191)  (197.191, 197.366) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83051245731844      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : ver                 Ġwith               Ġme                 Ġfor                Ġthanks             giving              <emp>               <emp>               Ġum                 Ġand                Ġapparently         Ġwhat               Ġhad                Ġhappened           Ġis                
Timings          : (197.366, 197.541)  (197.541, 197.751)  (197.751, 197.931)  (197.931, 198.071)  (198.071, 198.428)  (198.428, 198.784)  (199.068, 199.23)   (199.23, 199.391)   (199.458, 199.859)  (199.921, 200.256)  (200.256, 200.701)  (200.701, 200.841)  (200.841, 200.941)  (200.941, 201.271)  (201.271, 201.371) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (197.366, 197.541)  (197.541, 197.751)  (197.751, 197.931)  (197.931, 198.071)  (198.071, 198.428)  (198.428, 198.784)  (199.068, 199.23)   (199.23, 199.391)   (-1.0, -1.0)        (199.921, 200.256)  (200.256, 200.701)  (200.701, 200.841)  (200.841, 200.941)  (200.941, 201.271)  (201.271, 201.371) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83051245731845      83051245731845      83051245731845      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġsomeone            Ġused               Ġher                Ġsocial             Ġsecurity           Ġnumber             <emp>               <emp>               Ġum                 Ġand                Ġand                Ġi                  've                 Ġi                  've                
Timings          : (201.371, 201.711)  (201.711, 202.061)  (202.061, 202.241)  (202.241, 202.561)  (202.561, 203.141)  (203.141, 203.573)  (203.784, 203.956)  (203.956, 204.128)  (204.157, 204.664)  (205.846, 206.116)  (206.219, 206.395)  (206.395, 206.527)  (206.527, 206.659)  (206.772, 206.858)  (206.858, 206.945) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (201.371, 201.711)  (201.711, 202.061)  (202.061, 202.241)  (202.241, 202.561)  (202.561, 203.141)  (203.141, 203.573)  (203.784, 203.956)  (203.956, 204.128)  (-1.0, -1.0)        (205.846, 206.116)  (206.219, 206.395)  (206.395, 206.527)  (206.527, 206.659)  (206.772, 206.858)  (206.858, 206.945) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83051245731846      83051245731846      83051245731846      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġheard              Ġrecently           Ġthat               Ġuh                 Ġuh                 Ġthat               Ġthis               Ġis                 Ġa                  Ġcommon             Ġoccurrence         Ġwhere              Ġpeople             Ġare                Ġusing             
Timings          : (206.945, 207.255)  (207.255, 207.867)  (208.199, 208.565)  (208.565, 208.901)  (209.576, 209.76)   (209.76, 209.918)   (209.918, 210.108)  (210.108, 210.228)  (210.228, 210.298)  (210.298, 210.718)  (210.718, 211.288)  (211.288, 211.418)  (211.418, 211.828)  (211.828, 211.978)  (211.978, 212.358) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (206.945, 207.255)  (207.255, 207.867)  (208.199, 208.565)  (208.565, 208.901)  (209.576, 209.76)   (209.76, 209.918)   (209.918, 210.108)  (210.108, 210.228)  (210.228, 210.298)  (210.298, 210.718)  (210.718, 211.288)  (211.288, 211.418)  (211.418, 211.828)  (211.828, 211.978)  (211.978, 212.358) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsomeone            's                  Ġyou                Ġknow               Ġthey               Ġthey               Ġuse                Ġjo                 e                   Ġblow               's                  Ġsocial             Ġuh                 Ġsocial             Ġsecurity          
Timings          : (212.358, 212.413)  (212.413, 212.468)  (212.468, 212.598)  (212.598, 212.758)  (212.758, 212.988)  (212.988, 213.148)  (213.148, 213.388)  (213.388, 213.473)  (213.473, 213.558)  (213.558, 213.698)  (213.698, 213.838)  (213.838, 214.038)  (214.038, 214.288)  (214.288, 214.568)  (214.568, 214.968) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286      83048561377286     
