A                : ok                  ay                  Ġhow                Ġdo                 Ġyou                Ġget                Ġyour               Ġnews               Ġmostly             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġat                 Ġnight              Ġyou                Ġknow               Ġi                  Ġdon                't                  Ġwant               Ġlike               Ġwatching           Ġthe                Ġnews               Ġlate               Ġat                 Ġnight             
Timings          : (160.418, 160.518)  (160.518, 160.798)  (160.798, 160.868)  (160.868, 161.048)  (161.048, 161.098)  (161.098, 161.208)  (161.208, 161.318)  (161.318, 161.438)  (161.438, 161.758)  (161.758, 162.068)  (162.068, 162.128)  (162.128, 162.358)  (162.358, 162.558)  (162.558, 162.658)  (162.658, 162.948) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (163.058, 163.188)  (163.188, 163.288)  (163.288, 163.443)  (163.443, 163.598)  (163.598, 163.968)  (163.968, 164.198)  (164.198, 164.378)  (164.378, 164.518)  (164.562, 164.782)  (164.782, 165.002)  (-1.0, -1.0)        (165.076, 165.208)  (165.208, 165.298)  (165.298, 165.443)  (165.443, 165.588) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80061411622919      80061411622919      80061411622919      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġbut                Ġmy                 Ġwife               's                  Ġusually            Ġup                 Ġthen               Ġand                Ġso                 <emp>               Ġyou                Ġknow               Ġi                  Ġcan                't                 
Timings          : (163.058, 163.188)  (163.188, 163.288)  (163.288, 163.443)  (163.443, 163.598)  (163.598, 163.968)  (163.968, 164.198)  (164.198, 164.378)  (164.378, 164.518)  (164.518, 164.998)  (164.782, 165.002)  (164.998, 165.076)  (165.076, 165.208)  (165.208, 165.298)  (165.298, 165.443)  (165.443, 165.588) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġum                 hum                 <eot>               <emp>               <emp>               <emp>              
Timings          : (165.588, 165.658)  (165.658, 165.758)  (165.758, 166.008)  (166.008, 166.118)  (166.118, 166.178)  (166.178, 166.578)  (166.578, 166.888)  (167.025, 167.278)  (167.278, 167.531)  (167.629, 167.847)  (167.847, 168.065)  (-1.0, -1.0)        (168.471, 168.643)  (169.717, 169.907)  (169.907, 169.997) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80059264139276      80059264139276      80059264139276      80059264139276      80059264139276      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġgo                 Ġto                 Ġsleep              Ġwith               Ġthe                Ġtv                 Ġon                 <eot>               <emp>               <emp>               <emp>               Ġi                  Ġuh                 Ġbut                Ġyou               
Timings          : (165.588, 165.658)  (165.658, 165.758)  (165.758, 166.008)  (166.008, 166.118)  (166.118, 166.178)  (166.178, 166.578)  (166.578, 166.888)  (-1.0, -1.0)        (167.278, 167.531)  (167.629, 167.847)  (167.847, 168.065)  (168.181, 168.471)  (168.471, 168.643)  (169.717, 169.907)  (169.907, 169.997) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      80059801010187      0                   0                   0                   80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.997, 170.117)  (170.117, 170.227)  (170.367, 170.487)  (170.487, 170.767)  (170.767, 170.887)  (170.887, 171.337)  (171.337, 171.487)  (171.817, 172.047)  (172.047, 172.337)  (172.337, 172.477)  (172.477, 172.797)  (172.797, 173.117)  (173.117, 173.227)  (173.227, 173.337)  (173.337, 173.717) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġi                  Ġi                  Ġwish               Ġi                  Ġhad                Ġuh                 Ġmore               Ġnews               Ġon                 Ġthings             Ġlike               Ġthat               Ġi                  Ġconsider          
Timings          : (169.997, 170.117)  (170.117, 170.227)  (170.367, 170.487)  (170.487, 170.767)  (170.767, 170.887)  (170.887, 171.337)  (171.337, 171.487)  (171.817, 172.047)  (172.047, 172.337)  (172.337, 172.477)  (172.477, 172.797)  (172.797, 173.117)  (173.117, 173.227)  (173.227, 173.337)  (173.337, 173.717) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (173.717, 174.067)  (174.067, 174.447)  (174.487, 174.737)  (174.737, 174.957)  (174.957, 175.457)  (175.457, 175.577)  (175.577, 176.017)  (176.017, 176.187)  (176.536, 176.766)  (176.766, 176.996)  (-1.0, -1.0)        (177.831, 177.891)  (177.891, 178.228)  (178.721, 178.801)  (178.801, 179.021) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80061411622921      80061411622921      80061411622921      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġlong               Ġrange              Ġthings             Ġlike               Ġscience            Ġand                Ġmedicine           Ġum                 <emp>               <emp>               Ġi                  'm                  Ġmore               Ġi                  Ġguess             
Timings          : (173.717, 174.067)  (174.067, 174.447)  (174.487, 174.737)  (174.737, 174.957)  (174.957, 175.457)  (175.457, 175.577)  (175.577, 176.017)  (176.017, 176.187)  (176.536, 176.766)  (176.766, 176.996)  (177.771, 177.831)  (177.831, 177.891)  (177.891, 178.228)  (178.721, 178.801)  (178.801, 179.021) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (179.021, 179.071)  (179.071, 179.121)  (179.121, 179.301)  (179.301, 179.441)  (179.441, 179.861)  (179.861, 179.961)  (179.961, 180.321)  (180.321, 180.822)  (181.274, 181.651)  (181.651, 181.997)  (181.997, 182.199)  (182.199, 182.401)  (182.401, 182.491)  (182.491, 182.601)  (182.601, 182.841) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  'm                  Ġmore               Ġinto               Ġscience            Ġand                Ġscience            Ġfiction            Ġand                Ġuh                 Ġthere              's                  Ġyou                Ġknow               Ġnot               
Timings          : (179.021, 179.071)  (179.071, 179.121)  (179.121, 179.301)  (179.301, 179.441)  (179.441, 179.861)  (179.861, 179.961)  (179.961, 180.321)  (180.321, 180.822)  (181.274, 181.651)  (181.651, 181.997)  (181.997, 182.199)  (182.199, 182.401)  (182.401, 182.491)  (182.491, 182.601)  (182.601, 182.841) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (182.841, 182.931)  (182.931, 182.991)  (182.991, 183.181)  (183.181, 183.321)  (183.321, 183.641)  (183.641, 184.091)  (184.091, 184.381)  (184.381, 184.631)  (185.336, 185.702)  (186.156, 186.192)  (186.192, 186.228)  (186.228, 186.418)  (186.418, 186.868)  (186.868, 186.928)  (186.928, 187.128) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġthe                Ġnews               Ġis                 Ġscience            Ġfiction            Ġbut                Ġuh                 Ġuh                 Ġi                  'm                  Ġmore               Ġinterested         Ġin                 Ġthat              
Timings          : (182.841, 182.931)  (182.931, 182.991)  (182.991, 183.181)  (183.181, 183.321)  (183.321, 183.641)  (183.641, 184.091)  (184.091, 184.381)  (184.381, 184.631)  (185.336, 185.702)  (186.156, 186.192)  (186.192, 186.228)  (186.228, 186.418)  (186.418, 186.868)  (186.868, 186.928)  (186.928, 187.128) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (187.128, 187.378)  (187.378, 187.828)  (187.828, 188.17)   (188.419, 188.538)  (188.538, 188.748)  (188.748, 188.958)  (188.958, 189.158)  (189.158, 189.258)  (189.258, 189.488)  (189.488, 189.828)  (189.828, 190.205)  (190.657, 190.928)  (190.928, 191.038)  (191.038, 191.292)  (191.409, 191.628) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthings             Ġlike               Ġuh                 Ġis                 Ġn                  asa                 Ġready              Ġfor                Ġanother            Ġspace              Ġshot               Ġuh                 Ġyou                Ġknow               Ġhow               
Timings          : (187.128, 187.378)  (187.378, 187.828)  (187.828, 188.17)   (188.419, 188.538)  (188.538, 188.748)  (188.748, 188.958)  (188.958, 189.158)  (189.158, 189.258)  (189.258, 189.488)  (189.488, 189.828)  (189.828, 190.205)  (190.657, 190.928)  (190.928, 191.038)  (191.038, 191.292)  (191.409, 191.628) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (191.628, 191.798)  (191.798, 191.908)  (191.908, 192.068)  (192.068, 192.178)  (192.178, 192.238)  (192.238, 192.638)  (192.638, 192.738)  (192.738, 192.858)  (192.858, 193.188)  (193.188, 193.308)  (193.308, 193.548)  (193.548, 193.638)  (193.638, 193.878)  (193.878, 194.478)  (194.725, 195.01)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80061411622922     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġhot                Ġare                Ġthey               Ġon                 Ġthe                Ġtrail              Ġof                 Ġa                  Ġcure               Ġfor                Ġsuch               Ġand                Ġsuch               Ġcancer             <emp>              
Timings          : (191.628, 191.798)  (191.798, 191.908)  (191.908, 192.068)  (192.068, 192.178)  (192.178, 192.238)  (192.238, 192.638)  (192.638, 192.738)  (192.738, 192.858)  (192.858, 193.188)  (193.188, 193.308)  (193.308, 193.548)  (193.548, 193.638)  (193.638, 193.878)  (193.878, 194.478)  (194.725, 195.01)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.01, 195.295)   (-1.0, -1.0)        (196.376, 196.724)  (197.582, 197.662)  (197.662, 197.782)  (197.782, 197.812)  (197.812, 198.032)  (198.032, 198.092)  (198.092, 198.152)  (198.152, 198.432)  (198.432, 198.562)  (198.562, 198.692)  (198.692, 198.862)  (198.862, 199.422)  (199.422, 199.522) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80061411622922      80061411622922      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġuh                 Ġum                 Ġyou                Ġknow               Ġa                  Ġlot                Ġof                 Ġthe                Ġnews               Ġisn                't                  Ġthat               Ġinteresting        Ġto                
Timings          : (195.145, 195.508)  (195.508, 195.728)  (196.376, 196.724)  (197.582, 197.662)  (197.662, 197.782)  (197.782, 197.812)  (197.812, 198.032)  (198.032, 198.092)  (198.092, 198.152)  (198.152, 198.432)  (198.432, 198.562)  (198.562, 198.692)  (198.692, 198.862)  (198.862, 199.422)  (199.422, 199.522) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189      80059801010189     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               Ġwell               Ġyou                're                 Ġright              Ġthere              Ġis                 Ġa                  Ġlot                Ġof                 Ġit                 Ġthat               's                  Ġthat              
Timings          : (199.522, 199.762)  (200.121, 200.489)  (200.489, 200.637)  (200.637, 200.757)  (200.757, 200.876)  (200.876, 201.145)  (201.145, 201.286)  (201.286, 201.495)  (201.495, 201.555)  (201.555, 201.736)  (201.736, 201.848)  (201.848, 201.942)  (201.942, 202.158)  (202.158, 202.374)  (203.025, 203.135) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġme                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (199.522, 199.762)  (-1.0, -1.0)        (200.489, 200.637)  (200.637, 200.757)  (200.757, 200.876)  (200.876, 201.145)  (201.145, 201.286)  (201.286, 201.495)  (201.495, 201.555)  (201.555, 201.736)  (201.736, 201.848)  (201.848, 201.942)  (201.942, 202.158)  (202.158, 202.374)  (203.025, 203.135) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80059801010189      80059801010189      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġjust               Ġgarbage            Ġas                 Ġfar                Ġas                 Ġi                  'm                  Ġconcerned          Ġyou                Ġknow               <emp>               <emp>               Ġbut                Ġi                 
Timings          : (203.135, 203.245)  (203.245, 203.686)  (203.686, 204.186)  (204.186, 204.316)  (204.316, 204.495)  (204.495, 204.626)  (204.626, 204.721)  (204.721, 204.816)  (204.816, 205.266)  (205.266, 205.376)  (205.376, 205.585)  (205.928, 206.122)  (206.122, 206.315)  (206.374, 206.524)  (206.524, 206.634) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278      80059264139278     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>              
Timings          : (203.135, 203.245)  (203.245, 203.686)  (203.686, 204.186)  (204.186, 204.316)  (204.316, 204.495)  (204.495, 204.626)  (204.626, 204.721)  (204.721, 204.816)  (204.816, 205.266)  (205.266, 205.376)  (205.376, 205.585)  (205.928, 206.122)  (206.122, 206.315)  (-1.0, -1.0)        (206.524, 206.634) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80061948493834      80061948493834      80061948493834      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
