A                : what                Ġdo                 Ġyou                Ġthink              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġtheir              Ġtv                 Ġshows              Ġand                Ġthat               Ġand                Ġsome               Ġof                 Ġthat               Ġis                 Ġreally             Ġbad                Ġi                 
Timings          : (156.47, 156.58)    (156.58, 156.75)    (156.75, 157.01)    (157.01, 157.41)    (157.41, 157.84)    (157.84, 157.98)    (157.98, 158.28)    (158.28, 158.64)    (158.64, 158.91)    (158.91, 158.98)    (158.98, 159.23)    (159.23, 159.48)    (159.48, 159.72)    (159.72, 160.266)   (160.266, 160.47)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (156.47, 156.58)    (156.58, 156.75)    (156.75, 157.01)    (157.01, 157.41)    (157.41, 157.84)    (157.84, 157.98)    (157.98, 158.28)    (158.28, 158.64)    (158.64, 158.91)    (158.91, 158.98)    (158.98, 159.23)    (159.23, 159.48)    (159.48, 159.72)    (159.72, 160.266)   (160.266, 160.47)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthink              Ġbut                Ġwe                 Ġhave               Ġall                Ġsingle             Ġfamilies           Ġso                 Ġmany               Ġsingle             Ġfamilies           Ġnow                Ġum                 Ġa                  Ġlot               
Timings          : (160.47, 160.86)    (161.687, 161.995)  (162.814, 162.963)  (162.963, 163.143)  (163.143, 163.293)  (163.293, 163.719)  (163.82, 164.183)   (164.183, 164.373)  (164.373, 164.748)  (164.895, 165.183)  (165.183, 165.773)  (165.773, 166.153)  (166.863, 167.241)  (169.247, 169.349)  (169.349, 169.524) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.47, 160.86)    (161.687, 161.995)  (162.814, 162.963)  (162.963, 163.143)  (163.143, 163.293)  (163.293, 163.719)  (163.82, 164.183)   (164.183, 164.373)  (164.373, 164.748)  (164.895, 165.183)  (165.183, 165.773)  (165.773, 166.153)  (166.863, 167.241)  (169.247, 169.349)  (169.349, 169.524) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġworking            Ġboth               Ġparents            Ġare                Ġworking            Ġso                 Ġthere              's                  Ġa                  Ġwhole              Ġbig                Ġeffect             Ġon                 Ġour               
Timings          : (169.524, 169.734)  (169.734, 170.212)  (170.422, 170.644)  (170.644, 171.064)  (171.064, 171.164)  (171.164, 171.661)  (172.721, 172.8)    (172.8, 172.877)    (172.877, 172.954)  (172.954, 173.044)  (173.044, 173.464)  (173.464, 173.714)  (173.714, 174.304)  (174.304, 174.454)  (174.454, 174.554) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.524, 169.734)  (169.734, 170.212)  (170.422, 170.644)  (170.644, 171.064)  (171.064, 171.164)  (171.164, 171.661)  (172.721, 172.8)    (172.8, 172.877)    (172.877, 172.954)  (172.954, 173.044)  (173.044, 173.464)  (173.464, 173.714)  (173.714, 174.304)  (174.304, 174.454)  (174.454, 174.554) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġkids               Ġand                Ġnot                Ġvery               Ġmany               Ġof                 Ġmy                 Ġdaughter           's                  Ġfriends            Ġreally             Ġare                Ġon                 Ġtheir              Ġoriginal          
Timings          : (174.554, 174.964)  (174.964, 175.094)  (175.094, 175.331)  (175.606, 175.884)  (175.884, 176.254)  (176.254, 176.424)  (176.424, 176.654)  (176.654, 176.849)  (176.849, 177.044)  (177.044, 177.624)  (179.054, 179.414)  (179.414, 179.514)  (179.514, 179.709)  (179.709, 179.995)  (179.995, 180.644) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.554, 174.964)  (174.964, 175.094)  (175.094, 175.331)  (175.606, 175.884)  (175.884, 176.254)  (176.254, 176.424)  (176.424, 176.654)  (176.654, 176.849)  (176.849, 177.044)  (177.044, 177.624)  (179.054, 179.414)  (179.414, 179.514)  (179.514, 179.709)  (179.709, 179.995)  (179.995, 180.644) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmother             Ġand                Ġfather             Ġyou                Ġknow               Ġi                  'm                  Ġwondering          Ġwhat               Ġthis               Ġis                 Ġgoing              Ġto                 Ġdo                 Ġin                
Timings          : (180.644, 180.954)  (180.954, 181.064)  (181.064, 181.533)  (182.539, 182.676)  (182.676, 182.799)  (182.799, 182.939)  (182.939, 183.079)  (183.079, 183.579)  (183.579, 183.74)   (183.74, 183.919)   (183.919, 184.029)  (184.029, 184.21)   (184.21, 184.32)    (184.32, 184.67)    (185.314, 185.51)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.644, 180.954)  (180.954, 181.064)  (181.064, 181.533)  (182.539, 182.676)  (182.676, 182.799)  (182.799, 182.939)  (182.939, 183.079)  (183.079, 183.579)  (183.579, 183.74)   (183.74, 183.919)   (183.919, 184.029)  (184.029, 184.21)   (184.21, 184.32)    (184.32, 184.67)    (185.314, 185.51)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġten                Ġand                Ġtwenty             Ġyears              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (185.51, 185.71)    (185.71, 185.889)   (185.889, 186.189)  (186.189, 186.628)  (-1.0, -1.0)        (187.656, 187.751)  (187.751, 187.846)  (187.846, 188.146)  (188.146, 188.286)  (188.286, 188.381)  (188.381, 188.476)  (188.476, 188.536)  (188.536, 188.866)  (188.866, 189.066)  (189.306, 189.396) 
Token Types      : 4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthere              's                  Ġthat               Ġand                Ġthere              's                  Ġthe                Ġfact               Ġthat               Ġyou               
Timings          : (185.51, 185.71)    (185.71, 185.889)   (185.889, 186.189)  (186.189, 186.628)  (187.406, 187.656)  (187.656, 187.751)  (187.751, 187.846)  (187.846, 188.146)  (188.146, 188.286)  (188.286, 188.381)  (188.381, 188.476)  (188.476, 188.536)  (188.536, 188.866)  (188.866, 189.066)  (189.306, 189.396) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (189.396, 189.476)  (189.476, 190.156)  (190.156, 190.706)  (190.706, 190.836)  (190.836, 191.327)  (191.949, 192.576)  (192.576, 192.726)  (192.726, 193.156)  (193.156, 193.236)  (193.236, 193.503)  (193.503, 194.004)  (194.644, 194.854)  (194.854, 195.234)  (195.234, 195.474)  (195.474, 195.584) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġnowadays           Ġfewer              Ġand                Ġfewer              Ġcouples            Ġare                Ġdeciding           Ġto                 Ġhave               Ġkids               Ġwhat               Ġgenerally          Ġtends              Ġto                
Timings          : (189.396, 189.476)  (189.476, 190.156)  (190.156, 190.706)  (190.706, 190.836)  (190.836, 191.327)  (191.949, 192.576)  (192.576, 192.726)  (192.726, 193.156)  (193.156, 193.236)  (193.236, 193.503)  (193.503, 194.004)  (194.644, 194.854)  (194.854, 195.234)  (195.234, 195.474)  (195.474, 195.584) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.584, 195.964)  (195.964, 196.024)  (196.024, 196.144)  (196.144, 196.204)  (196.204, 196.444)  (196.444, 196.744)  (196.744, 196.894)  (196.974, 197.363)  (197.833, 198.502)  (198.781, 199.534)  (199.534, 199.654)  (199.654, 200.384)  (200.384, 201.054)  (201.054, 201.174)  (201.174, 201.294) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhappen             Ġi                  Ġmean               Ġthe                Ġu                  Ġs                  Ġwould              Ġbe                 Ġactually           Ġdeclining          Ġin                 Ġpopulation         Ġslightly           Ġif                 Ġit                
Timings          : (195.584, 195.964)  (195.964, 196.024)  (196.024, 196.144)  (196.144, 196.204)  (196.204, 196.444)  (196.444, 196.744)  (196.744, 196.894)  (196.974, 197.363)  (197.833, 198.502)  (198.781, 199.534)  (199.534, 199.654)  (199.654, 200.384)  (200.384, 201.054)  (201.054, 201.174)  (201.174, 201.294) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (201.294, 201.404)  (201.404, 201.514)  (201.514, 201.664)  (201.664, 201.724)  (201.724, 201.994)  (201.994, 202.084)  (202.084, 202.154)  (202.154, 202.244)  (202.244, 202.964)  (202.964, 203.284)  (203.284, 203.703)  (204.204, 204.754)  (204.754, 204.924)  (204.924, 205.02)   (205.02, 205.488)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġweren              't                  Ġfor                Ġthe                Ġfact               Ġthat               Ġwe                 Ġhave               Ġcontinuation       Ġlarge              Ġscale              Ġimmigration        Ġinto               Ġthe                Ġcountry           
Timings          : (201.294, 201.404)  (201.404, 201.514)  (201.514, 201.664)  (201.664, 201.724)  (201.724, 201.994)  (201.994, 202.084)  (202.084, 202.154)  (202.154, 202.244)  (202.244, 202.964)  (202.964, 203.284)  (203.284, 203.703)  (204.204, 204.754)  (204.754, 204.924)  (204.924, 205.02)   (205.02, 205.488)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999      80042621140999     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyou                're                 Ġprobably           Ġright              Ġand                Ġi                  'm                  Ġan                 Ġo                  Ġb                  Ġnurse              Ġand                Ġthat               's                  Ġnever             
Timings          : (206.205, 206.25)   (206.25, 206.295)   (206.295, 206.815)  (206.815, 207.315)  (207.315, 207.635)  (207.635, 207.715)  (207.715, 207.795)  (207.795, 207.915)  (207.915, 207.965)  (207.965, 208.245)  (208.245, 208.625)  (208.625, 208.715)  (208.715, 208.84)   (208.84, 208.965)   (208.965, 209.185) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (206.25, 206.295)   (206.295, 206.815)  (206.815, 207.315)  (207.315, 207.635)  (207.635, 207.715)  (207.715, 207.795)  (207.795, 207.915)  (207.915, 207.965)  (207.965, 208.245)  (208.245, 208.625)  (208.625, 208.715)  (208.715, 208.84)   (208.84, 208.965)   (208.965, 209.185) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80042621140999      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġreally             Ġoccurred           Ġto                 Ġme                 Ġbut                Ġthat               's                  Ġthat               's                  Ġinteresting        Ġi                  Ġnever              Ġreally             Ġthought            Ġabout             
Timings          : (209.185, 209.505)  (209.505, 209.855)  (209.855, 210.005)  (210.005, 210.293)  (210.489, 210.595)  (210.595, 210.855)  (210.855, 211.115)  (211.575, 211.695)  (211.695, 211.815)  (211.815, 212.425)  (212.545, 212.666)  (212.666, 212.885)  (212.885, 213.125)  (213.125, 213.395)  (213.395, 213.695) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088      80042084270088     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (209.185, 209.505)  (209.505, 209.855)  (209.855, 210.005)  (210.005, 210.293)  (210.489, 210.595)  (210.595, 210.855)  (210.855, 211.115)  (211.575, 211.695)  (211.695, 211.815)  (211.815, 212.425)  (212.545, 212.666)  (212.666, 212.885)  (212.885, 213.125)  (213.125, 213.395)  (213.395, 213.695) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġthat               Ġway                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (213.695, 213.815)  (213.815, 214.055)  (214.055, 214.288)  (-1.0, -1.0)        (215.441, 215.572)  (215.572, 215.628)  (215.628, 215.799)  (215.799, 216.014)  (216.014, 216.144)  (216.144, 216.524)  (216.524, 216.634)  (216.634, 216.774)  (216.774, 216.994)  (216.994, 217.214)  (217.214, 217.304) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80042084270088      80042084270088      80042084270088      80042084270088      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
