A                : the                 Ġbiggest            Ġsocial             Ġchange             Ġthat               Ġi                  've                 Ġseen               Ġin                 Ġthe                Ġlast               Ġten                Ġyears              Ġis                 Ġthat              

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (145.369, 145.429)  (145.429, 145.609)  (145.609, 146.119)  (146.119, 146.529)  (146.529, 146.871)  (146.979, 147.567)  (-1.0, -1.0)        (147.896, 148.065)  (148.065, 148.425)  (148.425, 148.595)  (148.595, 148.975)  (148.975, 149.115)  (149.115, 149.515)  (149.515, 149.879)  (149.879, 150.295) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83034065862661      83034065862661      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwriting            Ġand                Ġi                  'll                 Ġgo                 Ġback               Ġbecause            Ġi                  'm                  Ġthinking           Ġso                 Ġi                  'm                  Ġthinking           Ġat                
Timings          : (150.295, 150.575)  (150.575, 150.685)  (150.685, 150.72)   (150.72, 150.755)   (150.755, 150.895)  (150.895, 151.245)  (151.245, 151.525)  (151.525, 151.6)    (151.6, 151.675)    (151.675, 152.145)  (152.145, 152.397)  (152.397, 152.466)  (152.466, 152.535)  (152.535, 152.935)  (152.935, 153.035) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (150.295, 150.575)  (150.575, 150.685)  (150.685, 150.72)   (150.72, 150.755)   (150.755, 150.895)  (150.895, 151.245)  (151.245, 151.525)  (151.525, 151.6)    (151.6, 151.675)    (151.675, 152.145)  (152.145, 152.397)  (152.397, 152.466)  (152.466, 152.535)  (152.535, 152.935)  (152.935, 153.035) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġspeed              Ġthat               Ġi                  Ġtype               Ġon                 Ġthe                Ġcomputer           <emp>               Ġand                Ġyou                Ġknow               Ġwe                 Ġdidn               't                 
Timings          : (153.035, 153.095)  (153.095, 153.445)  (153.445, 153.585)  (153.585, 153.645)  (153.645, 154.055)  (154.055, 154.195)  (154.195, 154.294)  (154.294, 154.897)  (155.07, 155.452)   (155.827, 156.215)  (156.441, 156.547)  (156.547, 156.707)  (156.707, 157.007)  (157.007, 157.162)  (157.162, 157.317) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (153.035, 153.095)  (153.095, 153.445)  (153.445, 153.585)  (153.585, 153.645)  (153.645, 154.055)  (154.055, 154.195)  (154.195, 154.294)  (154.545, 155.07)   (155.07, 155.452)   (-1.0, -1.0)        (156.441, 156.547)  (156.547, 156.707)  (156.707, 157.007)  (157.007, 157.162)  (157.162, 157.317) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83034065862662      83034065862662      83034065862662      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġhave               Ġthat               Ġproblem            Ġten                Ġyears              Ġago                Ġand                Ġthen               Ġwe                 Ġdidn               't                  Ġhave               Ġfax                Ġmachines           Ġand               
Timings          : (157.317, 157.597)  (157.597, 157.817)  (157.817, 158.279)  (158.279, 158.597)  (158.597, 158.887)  (158.887, 159.237)  (159.237, 159.387)  (159.387, 159.487)  (159.487, 159.577)  (159.577, 159.687)  (159.687, 159.797)  (159.797, 159.977)  (159.977, 160.417)  (160.417, 161.067)  (161.067, 161.332) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright             
Timings          : (157.317, 157.597)  (157.597, 157.817)  (157.817, 158.279)  (158.279, 158.597)  (158.597, 158.887)  (158.887, 159.237)  (159.237, 159.387)  (159.387, 159.487)  (159.487, 159.577)  (159.577, 159.687)  (159.687, 159.797)  (159.797, 159.977)  (159.977, 160.417)  (160.417, 161.067)  (161.025, 161.395) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83034065862663     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġwe                 Ġdidn               't                  Ġhave               Ġto                 Ġyou                Ġknow               Ġpress              Ġone                Ġif                 Ġyou                Ġwant               Ġto                 Ġbe                 Ġdirected          
Timings          : (161.679, 161.767)  (161.767, 161.857)  (161.857, 161.947)  (161.947, 162.097)  (162.097, 162.227)  (162.227, 162.377)  (162.377, 162.517)  (162.517, 162.967)  (162.967, 163.277)  (163.277, 163.427)  (163.427, 163.497)  (163.497, 163.747)  (163.747, 163.827)  (163.827, 163.937)  (163.937, 164.397) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (161.767, 161.857)  (161.857, 161.947)  (161.947, 162.097)  (162.097, 162.227)  (162.227, 162.377)  (162.377, 162.517)  (162.517, 162.967)  (162.967, 163.277)  (163.277, 163.427)  (163.427, 163.497)  (163.497, 163.747)  (163.747, 163.827)  (163.827, 163.937)  (163.937, 164.397) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83034065862663      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġthe                Ġservice            Ġdepartment         Ġpress              Ġtwo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.397, 164.487)  (164.487, 164.587)  (164.587, 165.037)  (165.037, 165.647)  (165.647, 165.957)  (165.957, 166.373)  (-1.0, -1.0)        (167.515, 167.797)  (167.932, 168.135)  (168.135, 168.245)  (168.245, 168.441)  (168.573, 168.939)  (169.12, 169.235)   (169.235, 169.3)    (169.3, 169.365)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġyou                Ġknow               Ġi                  Ġi                  Ġi                  Ġdon                't                 
Timings          : (164.397, 164.487)  (164.487, 164.587)  (164.587, 165.037)  (165.037, 165.647)  (165.647, 165.957)  (165.957, 166.373)  (167.318, 167.515)  (167.515, 167.797)  (167.932, 168.135)  (168.135, 168.245)  (168.245, 168.441)  (168.573, 168.939)  (169.12, 169.235)   (169.235, 169.3)    (169.3, 169.365)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.365, 169.505)  (169.505, 169.645)  (169.645, 169.745)  (169.745, 169.935)  (169.935, 170.205)  (170.205, 170.555)  (170.555, 170.875)  (170.875, 171.085)  (171.085, 171.145)  (171.145, 171.285)  (171.285, 171.575)  (171.575, 171.905)  (171.905, 172.095)  (172.095, 172.225)  (172.225, 172.515) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġeven               Ġwrite              Ġany                Ġmore               Ġmainly             Ġbecause            Ġuh                 Ġwell               Ġi                  Ġcan                Ġtype               Ġfaster             Ġlike               Ġyou                Ġcan               
Timings          : (169.365, 169.505)  (169.505, 169.645)  (169.645, 169.745)  (169.745, 169.935)  (169.935, 170.205)  (170.205, 170.555)  (170.555, 170.875)  (170.875, 171.085)  (171.085, 171.145)  (171.145, 171.285)  (171.285, 171.575)  (171.575, 171.905)  (171.905, 172.095)  (172.095, 172.225)  (172.225, 172.515) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (172.515, 172.655)  (172.655, 173.015)  (173.015, 173.185)  (173.185, 173.585)  (173.585, 173.736)  (174.136, 174.399)  (174.399, 174.663)  (174.663, 174.86)   (175.226, 175.505)  (175.505, 175.785)  (175.785, 175.815)  (175.815, 175.96)   (175.96, 176.105)   (176.105, 176.305)  (176.305, 176.415) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġalso               Ġmy                 Ġhandwriting        Ġis                 Ġleg                ible                Ġi                  Ġcan                't                  Ġi                  Ġcan                't                  Ġblame              Ġit                
Timings          : (172.515, 172.655)  (172.655, 173.015)  (173.015, 173.185)  (173.185, 173.585)  (173.585, 173.736)  (174.136, 174.399)  (174.399, 174.663)  (174.663, 174.86)   (175.226, 175.505)  (175.505, 175.785)  (175.785, 175.815)  (175.815, 175.96)   (175.96, 176.105)   (176.105, 176.305)  (176.305, 176.415) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 's                  Ġit                 's                  Ġincredible         Ġyou                Ġknow              
Timings          : (176.415, 176.495)  (176.495, 176.635)  (176.635, 177.085)  (177.085, 177.355)  (177.355, 177.415)  (177.415, 177.475)  (177.475, 177.785)  (177.785, 178.184)  (178.819, 178.935)  (178.935, 179.05)   (179.05, 179.17)    (179.17, 179.29)    (179.29, 179.88)    (179.88, 179.97)    (179.97, 180.12)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġon                 Ġthat               Ġprinter            Ġmost               Ġof                 Ġthe                Ġtime               Ġso                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (176.415, 176.495)  (176.495, 176.635)  (176.635, 177.085)  (177.085, 177.355)  (177.355, 177.415)  (177.415, 177.475)  (177.475, 177.785)  (177.785, 178.184)  (-1.0, -1.0)        (178.935, 179.05)   (179.05, 179.17)    (179.17, 179.29)    (179.29, 179.88)    (179.88, 179.97)    (179.97, 180.12)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      83031918379017      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġremember           Ġi                  Ġstarted            Ġon                 Ġa                  Ġcommod             ore                 Ġsixty              Ġfour               Ġin                 Ġninety             Ġeighty             Ġsix                Ġthat              
Timings          : (180.12, 180.22)    (180.22, 180.65)    (180.65, 180.73)    (180.73, 181.15)    (181.15, 181.25)    (181.25, 181.31)    (181.31, 181.55)    (181.55, 181.79)    (181.79, 182.18)    (182.18, 182.48)    (182.48, 182.57)    (182.57, 182.88)    (182.88, 183.18)    (183.18, 183.49)    (183.49, 183.63)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (180.12, 180.22)    (180.22, 180.65)    (180.65, 180.73)    (180.73, 181.15)    (181.15, 181.25)    (181.25, 181.31)    (181.31, 181.55)    (181.55, 181.79)    (181.79, 182.18)    (182.18, 182.48)    (182.48, 182.57)    (182.57, 182.88)    (182.88, 183.18)    (183.18, 183.49)    (183.49, 183.63)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwas                Ġmy                 Ġfirst              Ġcomputer           Ġand                Ġtoday              Ġi                  'm                  Ġon                 Ġa                  Ġthree              Ġeight              Ġsix                Ġthirty             Ġthree             
Timings          : (183.63, 183.75)    (183.75, 183.93)    (183.93, 184.25)    (184.25, 184.851)   (185.618, 186.058)  (186.058, 186.628)  (186.628, 186.733)  (186.733, 186.838)  (186.838, 187.018)  (187.018, 187.058)  (187.058, 187.428)  (187.428, 187.556)  (187.556, 187.888)  (187.888, 188.259)  (188.259, 188.654) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (183.63, 183.75)    (183.75, 183.93)    (183.93, 184.25)    (184.25, 184.851)   (185.618, 186.058)  (186.058, 186.628)  (186.628, 186.733)  (186.733, 186.838)  (186.838, 187.018)  (187.018, 187.058)  (187.058, 187.428)  (187.428, 187.556)  (187.556, 187.888)  (187.888, 188.259)  (188.259, 188.654) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġit                 's                  Ġtoo                Ġslow               Ġyou                Ġknow               Ġi                  Ġcan                't                  Ġwait               <yield>             <emp>               <emp>               Ġit                
Timings          : (188.654, 188.788)  (188.788, 188.883)  (188.883, 188.978)  (188.978, 189.198)  (189.198, 189.738)  (189.738, 189.868)  (189.868, 190.073)  (190.073, 190.216)  (190.216, 190.357)  (190.357, 190.498)  (190.498, 190.792)  (-1.0, -1.0)        (191.372, 191.697)  (191.697, 192.1)    (192.943, 193.019) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   4                  
turn_ids         : 83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      83031381508106      0                   0                   83034602733580     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               Ġhey                <emp>               Ġsame               Ġhere               Ġsame               Ġhere               Ġyeah              
Timings          : (188.654, 188.788)  (188.788, 188.883)  (188.883, 188.978)  (188.978, 189.198)  (189.198, 189.738)  (189.738, 189.868)  (189.912, 190.223)  (190.073, 190.216)  (190.223, 190.433)  (190.357, 190.498)  (190.433, 190.753)  (190.753, 191.195)  (191.372, 191.697)  (191.697, 192.1)    (192.925, 193.23)  
Token Types      : 0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83035139604491      83035139604491      83035139604491      83035139604491      83035139604491      83035139604491      83035139604491      83035139604491      83035139604491     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : 's                  Ġgot                Ġto                 Ġgo                 Ġfaster             Ġyou                Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (193.019, 193.094)  (193.094, 193.264)  (193.264, 193.344)  (193.344, 193.504)  (193.504, 194.217)  (194.217, 194.344)  (194.344, 194.562)  (-1.0, -1.0)        (194.982, 195.04)   (195.04, 195.098)   (195.098, 195.328)  (195.328, 195.668)  (195.668, 195.738)  (195.738, 196.058)  (196.058, 196.288) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                  
