A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġhave               Ġfive               <eot>               <emp>               <emp>               right              
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (161.96, 162.12)    (162.12, 162.19)    (162.19, 162.39)    (162.39, 162.9)     (162.9, 163.04)     (163.04, 163.115)   (163.115, 163.19)   (163.19, 163.36)    (163.36, 163.45)    (163.45, 163.67)    (163.67, 163.74)    (163.74, 163.81)    (163.81, 164.22)    (164.22, 164.335)  
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79595407671311      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġparent             Ġgo                 Ġin                 Ġone                Ġdirection          Ġand                Ġi                  'd                  Ġhave               Ġto                 Ġgo                 Ġin                 Ġthe                Ġother              Ġand               
Timings          : (161.59, 161.96)    (161.96, 162.12)    (162.12, 162.19)    (162.19, 162.39)    (162.39, 162.9)     (162.9, 163.04)     (163.04, 163.115)   (163.115, 163.19)   (163.19, 163.36)    (163.36, 163.45)    (163.45, 163.67)    (163.67, 163.74)    (163.74, 163.81)    (163.81, 164.22)    (164.22, 164.335)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġi                  Ġknow               Ġi                 
Timings          : (164.962, 165.105)  (165.105, 165.249)  (165.249, 165.392)  (-1.0, -1.0)        (165.573, 165.673)  (165.673, 165.883)  (165.883, 166.213)  (166.213, 166.493)  (166.493, 166.603)  (166.603, 166.99)   (167.182, 167.52)   (167.652, 167.757)  (167.757, 167.837)  (167.837, 168.117)  (168.117, 168.291) 
Token Types      : 3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 79597555154958      79597555154958      79597555154958      79597555154958      0                   0                   0                   0                   0                   0                   79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġwe                 Ġcould              Ġonly               Ġcover              Ġtwo                Ġat                 Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (164.962, 165.105)  (165.105, 165.249)  (165.249, 165.392)  (165.374, 165.573)  (165.573, 165.673)  (165.673, 165.883)  (165.883, 166.213)  (166.213, 166.493)  (166.493, 166.603)  (166.603, 166.99)   (-1.0, -1.0)        (167.652, 167.757)  (167.757, 167.837)  (167.837, 168.117)  (168.117, 168.291) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                  
turn_ids         : 79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      79599165767696      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġspent              Ġhours              Ġin                 Ġthe                Ġgym                Ġeveryday           Ġwith               Ġmy                 Ġdaughter           Ġand                Ġmy                 Ġlittle             Ġone                Ġalso               Ġcompeted          
Timings          : (168.291, 168.651)  (168.892, 169.327)  (169.327, 169.477)  (169.477, 169.57)   (169.627, 169.985)  (170.373, 170.827)  (170.827, 171.037)  (171.037, 171.187)  (171.187, 171.527)  (171.527, 171.697)  (171.697, 171.827)  (171.827, 172.107)  (172.107, 172.417)  (172.537, 173.144)  (173.707, 174.305) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (168.291, 168.651)  (168.892, 169.327)  (169.327, 169.477)  (169.477, 169.57)   (169.627, 169.985)  (170.373, 170.827)  (170.827, 171.037)  (171.037, 171.187)  (171.187, 171.527)  (171.527, 171.697)  (171.697, 171.827)  (171.827, 172.107)  (172.107, 172.417)  (172.537, 173.144)  (173.707, 174.305) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbecause            Ġreally             Ġshe                Ġhad                Ġno                 Ġchoice             Ġshe                Ġhad                Ġto                 Ġgo                 Ġwith               Ġme                 <emp>               Ġso                 Ġthe               
Timings          : (174.392, 174.847)  (174.847, 175.127)  (175.127, 175.337)  (175.337, 175.537)  (175.537, 175.709)  (175.758, 176.137)  (176.137, 176.377)  (176.377, 176.567)  (176.567, 176.645)  (176.702, 176.857)  (176.857, 177.038)  (177.157, 177.347)  (177.793, 178.015)  (177.998, 178.128)  (178.128, 178.228) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (174.392, 174.847)  (174.847, 175.127)  (175.127, 175.337)  (175.337, 175.537)  (175.537, 175.709)  (175.758, 176.137)  (176.137, 176.377)  (176.377, 176.567)  (176.567, 176.645)  (176.702, 176.857)  (176.857, 177.038)  (177.157, 177.347)  (177.793, 178.015)  (178.015, 178.237)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79598092025870      79598092025870      79598092025870     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġthree              Ġof                 Ġus                 Ġjust               Ġspent              Ġa                  Ġlot                Ġof                 Ġtime               Ġtraveling          Ġand                Ġand                Ġcompeting          Ġand                Ġof                
Timings          : (178.228, 178.588)  (178.588, 178.688)  (178.688, 178.987)  (179.059, 179.278)  (179.278, 179.598)  (179.598, 179.628)  (179.628, 179.988)  (179.988, 180.076)  (180.14, 180.528)   (180.528, 181.248)  (181.248, 181.448)  (182.028, 182.208)  (182.208, 182.818)  (182.818, 182.968)  (182.968, 183.028) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (178.228, 178.588)  (178.588, 178.688)  (178.688, 178.987)  (179.059, 179.278)  (179.278, 179.598)  (179.598, 179.628)  (179.628, 179.988)  (179.988, 180.076)  (180.14, 180.528)   (180.528, 181.248)  (181.248, 181.448)  (182.028, 182.208)  (182.208, 182.818)  (182.818, 182.968)  (182.968, 183.028) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcourse             Ġthe                Ġcompeting          Ġitself             Ġreally             Ġdidn               't                  Ġmatter             Ġwhat               Ġit                 Ġwas                Ġit                 Ġwas                Ġmaking             Ġthe               
Timings          : (183.028, 183.438)  (183.498, 183.578)  (183.578, 184.168)  (184.168, 184.768)  (184.768, 184.978)  (184.978, 185.068)  (185.068, 185.158)  (185.158, 185.418)  (185.418, 185.608)  (185.608, 185.718)  (185.718, 186.048)  (186.048, 186.128)  (186.128, 186.308)  (186.308, 186.678)  (186.678, 186.748) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (183.028, 183.438)  (183.498, 183.578)  (183.578, 184.168)  (184.168, 184.768)  (184.768, 184.978)  (184.978, 185.068)  (185.068, 185.158)  (185.158, 185.418)  (185.418, 185.608)  (185.608, 185.718)  (185.718, 186.048)  (186.048, 186.128)  (186.128, 186.308)  (186.308, 186.678)  (186.678, 186.748) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfriends            Ġand                Ġgoing              Ġall                Ġthe                Ġplaces             Ġand                Ġit                 Ġwas                Ġa                  Ġreally             Ġneat               Ġexperience         Ġbut                Ġit                
Timings          : (186.748, 187.198)  (187.198, 187.328)  (187.328, 187.638)  (187.638, 187.768)  (187.768, 187.828)  (187.828, 188.438)  (188.438, 188.606)  (189.094, 189.164)  (189.164, 189.294)  (189.294, 189.384)  (189.384, 189.704)  (189.704, 189.904)  (189.904, 190.634)  (190.634, 190.804)  (190.804, 190.974) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (186.748, 187.198)  (187.198, 187.328)  (187.328, 187.638)  (187.638, 187.768)  (187.768, 187.828)  (187.828, 188.438)  (188.438, 188.606)  (189.094, 189.164)  (189.164, 189.294)  (189.294, 189.384)  (189.384, 189.704)  (189.704, 189.904)  (189.904, 190.634)  (190.634, 190.804)  (190.804, 190.974) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtook               Ġour                Ġtotal              Ġtime               Ġi                  Ġdid                Ġnot                Ġwork               Ġum                 Ġwhen               Ġi                  Ġdid                Ġthis               Ġnow                Ġi                 
Timings          : (190.974, 191.224)  (191.224, 191.384)  (191.384, 191.754)  (191.754, 192.204)  (192.204, 192.324)  (192.324, 192.554)  (192.554, 192.793)  (192.844, 193.277)  (193.921, 194.374)  (195.064, 195.224)  (195.224, 195.324)  (195.324, 195.574)  (195.574, 195.874)  (195.874, 196.114)  (196.114, 196.214) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (190.974, 191.224)  (191.224, 191.384)  (191.384, 191.754)  (191.754, 192.204)  (192.204, 192.324)  (192.324, 192.554)  (192.554, 192.793)  (192.844, 193.277)  (193.921, 194.374)  (195.064, 195.224)  (195.224, 195.324)  (195.324, 195.574)  (195.574, 195.874)  (195.874, 196.114)  (196.114, 196.214) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdo                 Ġwork               Ġfull               Ġtime               <emp>               <emp>               Ġand                Ġit                 's                  Ġjust               Ġmy                 Ġthirteen           Ġyear               Ġold                Ġand               
Timings          : (196.214, 196.434)  (196.434, 196.744)  (196.744, 196.964)  (196.964, 197.337)  (197.532, 197.742)  (197.742, 197.952)  (198.063, 198.363)  (198.363, 198.428)  (198.428, 198.493)  (198.493, 198.768)  (198.979, 199.103)  (199.103, 199.523)  (199.523, 199.643)  (199.643, 199.803)  (199.803, 199.963) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (196.214, 196.434)  (196.434, 196.744)  (196.744, 196.964)  (196.964, 197.337)  (197.532, 197.742)  (197.742, 197.952)  (-1.0, -1.0)        (198.363, 198.428)  (198.428, 198.493)  (198.493, 198.768)  (198.979, 199.103)  (199.103, 199.523)  (199.523, 199.643)  (199.643, 199.803)  (199.803, 199.963) 
Token Types      : 0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   79598092025871      79598092025871      79598092025871      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmyself             Ġand                Ġso                 Ġwe                 Ġreally             Ġhave               Ġto                 Ġkeep               Ġit                 Ġtogether           Ġto                 Ġget                Ġjust               Ġher                Ġactivities        
Timings          : (199.963, 200.516)  (200.685, 200.887)  (200.887, 201.169)  (201.169, 201.333)  (201.333, 201.783)  (201.783, 202.13)   (202.179, 202.543)  (203.108, 203.343)  (203.343, 203.483)  (203.483, 204.104)  (204.187, 204.323)  (204.323, 204.542)  (204.61, 204.883)   (204.883, 205.153)  (205.153, 205.803) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (199.963, 200.516)  (200.685, 200.887)  (200.887, 201.169)  (201.169, 201.333)  (201.333, 201.783)  (201.783, 202.13)   (202.179, 202.543)  (203.108, 203.343)  (203.343, 203.483)  (203.483, 204.104)  (204.187, 204.323)  (204.323, 204.542)  (204.61, 204.883)   (204.883, 205.153)  (205.153, 205.803) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġand                Ġstill              Ġhave               Ġtime               Ġto                 Ġspend              Ġwith               Ġeach               Ġother              <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (205.803, 206.083)  (206.153, 206.343)  (206.343, 206.653)  (206.653, 206.784)  (206.859, 207.133)  (207.133, 207.27)   (207.349, 207.513)  (207.513, 207.693)  (207.693, 207.883)  (207.883, 208.163)  (-1.0, -1.0)        (209.261, 209.421)  (209.421, 209.581)  (209.581, 210.049)  (210.106, 210.674) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      79595407671313      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġdon                't                  Ġthink              Ġalthough          
Timings          : (205.803, 206.083)  (206.153, 206.343)  (206.343, 206.653)  (206.653, 206.784)  (206.859, 207.133)  (207.133, 207.27)   (207.349, 207.513)  (207.513, 207.693)  (207.693, 207.883)  (207.883, 208.163)  (208.991, 209.261)  (209.261, 209.421)  (209.421, 209.581)  (209.581, 210.049)  (210.106, 210.674) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79595944542226      79595944542226      79595944542226      79595944542226      79595944542226     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (211.65, 211.847)   (211.847, 212.101)  (212.101, 212.395)  (212.761, 212.981)  (212.981, 213.221)  (213.221, 213.381)  (213.381, 213.561)  (213.561, 213.831)  (213.831, 214.161)  (214.271, 214.732)  (215.018, 215.411)  (215.411, 215.521)  (215.521, 215.951)  (215.951, 216.081)  (216.081, 216.551) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġthink              Ġa                  Ġa                  Ġmore               Ġthan               Ġone                Ġchild              Ġprobably           Ġthree              Ġchildren           Ġis                 Ġprobably           Ġthe                Ġideal             
Timings          : (211.65, 211.847)   (211.847, 212.101)  (212.101, 212.395)  (212.761, 212.981)  (212.981, 213.221)  (213.221, 213.381)  (213.381, 213.561)  (213.561, 213.831)  (213.831, 214.161)  (214.271, 214.732)  (215.018, 215.411)  (215.411, 215.521)  (215.521, 215.951)  (215.951, 216.081)  (216.081, 216.551) 
