A                : well                Ġi                  'm                  Ġare                Ġyou                Ġthere              <emp>               Ġokay               Ġi                  'm                  Ġsure               Ġthat               Ġi                  Ġprobably           Ġum                
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (150.535, 150.635)  (150.635, 150.825)  (150.825, 151.005)  (151.005, 151.525)  (151.525, 151.665)  (151.665, 151.745)  (151.745, 152.045)  (152.045, 152.195)  (152.195, 152.575)  (153.688, 153.91)   (153.91, 154.521)   (155.872, 156.011)  (156.011, 156.15)   (156.15, 156.45)    (156.45, 156.75)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġlook               Ġlike               Ġarticles           Ġbut                Ġare                Ġpaid               Ġfor                Ġand                Ġit                 Ġis                 Ġit                 's                  Ġclear              Ġthat              
Timings          : (150.535, 150.635)  (150.635, 150.825)  (150.825, 151.005)  (151.005, 151.525)  (151.525, 151.665)  (151.665, 151.745)  (151.745, 152.045)  (152.045, 152.195)  (152.195, 152.575)  (153.688, 153.91)   (153.91, 154.521)   (155.872, 156.011)  (156.011, 156.15)   (156.15, 156.45)    (156.45, 156.75)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (156.75, 156.91)    (156.91, 157.02)    (157.02, 157.13)    (157.21, 157.43)    (157.43, 157.6)     (157.6, 157.73)     (157.73, 157.92)    (158.27, 158.46)    (158.46, 158.712)   (158.712, 158.963)  (158.963, 159.215)  (159.64, 159.8)     (159.8, 159.9)      (159.9, 159.99)     (159.99, 160.08)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġi                  've                 Ġbought             Ġsome               Ġof                 Ġthese              Ġthrough            Ġwholes             al                  ers                 Ġand                Ġthey               Ġdon                't                 
Timings          : (156.75, 156.91)    (156.91, 157.02)    (157.02, 157.13)    (157.21, 157.43)    (157.43, 157.6)     (157.6, 157.73)     (157.73, 157.92)    (158.27, 158.46)    (158.46, 158.712)   (158.712, 158.963)  (158.963, 159.215)  (159.64, 159.8)     (159.8, 159.9)      (159.9, 159.99)     (159.99, 160.08)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (160.08, 160.27)    (160.27, 160.39)    (160.39, 160.488)   (160.488, 160.71)   (160.71, 160.92)    (160.92, 161.23)    (161.23, 161.36)    (161.36, 161.43)    (161.43, 161.91)    (161.91, 162.5)     (162.5, 162.56)     (162.56, 162.62)    (162.62, 162.89)    (162.89, 163.34)    (163.34, 163.47)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcare               Ġif                 Ġthey               Ġmake               Ġany                Ġmoney              Ġon                 Ġthe                Ġmagazine           Ġsubscription       Ġthey               're                 Ġmaking             Ġeverything         Ġon                
Timings          : (160.08, 160.27)    (160.27, 160.39)    (160.39, 160.488)   (160.488, 160.71)   (160.71, 160.92)    (160.92, 161.23)    (161.23, 161.36)    (161.36, 161.43)    (161.43, 161.91)    (161.91, 162.5)     (162.5, 162.56)     (162.56, 162.62)    (162.62, 162.89)    (162.89, 163.34)    (163.34, 163.47)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697      81746649415697     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               Ġright              Ġright              Ġyeah               Ġwell               Ġi                  Ġi                  Ġonly               Ġyou                Ġknow               Ġsubscribe          Ġto                 Ġthe                Ġthings            
Timings          : (163.47, 163.85)    (163.876, 164.266)  (164.266, 164.751)  (164.909, 165.407)  (166.372, 166.622)  (166.622, 166.802)  (166.802, 167.054)  (167.306, 167.372)  (167.372, 167.662)  (167.662, 167.842)  (167.842, 168.064)  (168.305, 168.892)  (168.892, 169.052)  (169.052, 169.178)  (169.178, 169.598) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġads                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (163.47, 163.85)    (-1.0, -1.0)        (164.266, 164.751)  (164.909, 165.407)  (166.372, 166.622)  (166.622, 166.802)  (166.802, 167.054)  (167.306, 167.372)  (167.372, 167.662)  (167.662, 167.842)  (167.842, 168.064)  (168.305, 168.892)  (168.892, 169.052)  (169.052, 169.178)  (169.178, 169.598) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81746649415697      81746649415697      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġi                  'm                  Ġinterested         Ġin                 Ġi                  Ġused               Ġto                 Ġbe                 Ġinto               Ġcoin               Ġcollecting         Ġso                 Ġi                  Ġused              
Timings          : (169.598, 169.69)   (169.69, 169.829)   (169.829, 169.969)  (169.969, 170.582)  (170.582, 170.842)  (170.842, 170.912)  (170.912, 171.162)  (171.162, 171.333)  (171.506, 171.758)  (171.758, 172.086)  (172.086, 172.432)  (172.432, 172.948)  (172.948, 173.208)  (173.818, 173.932)  (173.932, 174.212) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (169.598, 169.69)   (169.69, 169.829)   (169.829, 169.969)  (169.969, 170.582)  (170.582, 170.842)  (170.842, 170.912)  (170.912, 171.162)  (171.162, 171.333)  (171.506, 171.758)  (171.758, 172.086)  (172.086, 172.432)  (172.432, 172.948)  (172.948, 173.208)  (173.818, 173.932)  (173.932, 174.212) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġget                Ġthe                Ġcoin               Ġmagazine           Ġthe                Ġpaper              Ġactually           Ġis                 Ġwhat               Ġit                 Ġwas                Ġyou                Ġknow               Ġi                 
Timings          : (174.212, 174.422)  (174.882, 175.089)  (175.089, 175.217)  (175.217, 175.567)  (175.567, 176.202)  (176.202, 176.262)  (176.262, 176.742)  (176.742, 177.152)  (177.152, 177.292)  (177.292, 177.432)  (177.432, 177.542)  (177.542, 177.922)  (177.922, 178.032)  (178.032, 178.272)  (179.075, 179.145) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (174.212, 174.422)  (174.882, 175.089)  (175.089, 175.217)  (175.217, 175.567)  (175.567, 176.202)  (176.202, 176.262)  (176.262, 176.742)  (176.742, 177.152)  (177.152, 177.292)  (177.292, 177.432)  (177.432, 177.542)  (177.542, 177.922)  (177.922, 178.032)  (178.032, 178.272)  (179.075, 179.145) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġused               Ġto                 Ġget                Ġthat               Ġso                 Ġnow                Ġthat               Ġi                  'm                  Ġinto               Ġdolls              Ġthat               's                  Ġabout              <emp>              
Timings          : (179.145, 179.375)  (179.375, 179.475)  (179.475, 179.715)  (179.715, 180.188)  (180.832, 181.088)  (181.088, 181.285)  (181.285, 181.445)  (181.445, 181.525)  (181.525, 181.605)  (181.605, 181.815)  (181.815, 182.275)  (182.275, 182.39)   (182.39, 182.505)   (182.505, 182.868)  (183.204, 183.378) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (179.145, 179.375)  (179.375, 179.475)  (179.475, 179.715)  (179.715, 180.188)  (180.832, 181.088)  (181.088, 181.285)  (181.285, 181.445)  (181.445, 181.525)  (181.525, 181.605)  (181.605, 181.815)  (181.815, 182.275)  (182.275, 182.39)   (182.39, 182.505)   (182.505, 182.868)  (183.204, 183.378) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81745575673868     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               Ġall                Ġi                  Ġreally             Ġreally             Ġwant               Ġyou                Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (183.378, 183.551)  (183.858, 184.108)  (184.108, 184.208)  (184.208, 184.607)  (184.945, 185.218)  (185.218, 185.598)  (185.598, 185.728)  (185.728, 185.983)  (-1.0, -1.0)        (186.463, 186.543)  (186.543, 186.829)  (187.003, 187.448)  (187.659, 187.843)  (187.843, 187.933)  (187.933, 188.393) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      81742891319314      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġhave               Ġyou                Ġever               Ġum                 Ġread               Ġor                 Ġsubscribe         
Timings          : (183.378, 183.551)  (-1.0, -1.0)        (184.108, 184.208)  (184.208, 184.607)  (184.945, 185.218)  (185.218, 185.598)  (185.598, 185.728)  (185.728, 185.983)  (186.363, 186.463)  (186.463, 186.543)  (186.543, 186.829)  (187.003, 187.448)  (187.659, 187.843)  (187.843, 187.933)  (187.933, 188.393) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81745575673868      81745575673868      0                   0                   0                   0                   0                   0                   81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      81743428190227     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġhuh                uh                  Ġum                 Ġi                  Ġthink              Ġthey              
Timings          : (188.393, 188.523)  (188.523, 188.913)  (188.913, 189.433)  (189.433, 189.563)  (189.563, 189.683)  (189.683, 189.953)  (189.953, 190.033)  (190.033, 190.393)  (190.381, 191.071)  (191.301, 191.526)  (191.526, 191.751)  (192.853, 193.413)  (195.121, 195.271)  (195.271, 195.571)  (195.571, 195.641) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81742891319316      81742891319316      81742891319316      81742891319316      81742891319316      81742891319316      81742891319316     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġto                 Ġconsumer           Ġreports            Ġfor                Ġany                Ġlength             Ġof                 Ġtime               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (188.393, 188.523)  (188.523, 188.913)  (188.913, 189.433)  (189.433, 189.563)  (189.563, 189.683)  (189.683, 189.953)  (189.953, 190.033)  (190.033, 190.393)  (-1.0, -1.0)        (191.301, 191.526)  (191.526, 191.751)  (192.853, 193.413)  (195.121, 195.271)  (195.271, 195.571)  (195.571, 195.641) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      81743428190227      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : 're                 Ġinteresting        <eot>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.641, 195.711)  (195.711, 196.493)  (-1.0, -1.0)        (197.96, 198.15)    (198.15, 198.39)    (198.39, 198.58)    (198.742, 199.351)  (-1.0, -1.0)        (199.625, 199.72)   (199.72, 199.815)   (199.815, 200.015)  (200.015, 200.225)  (200.225, 200.448)  (200.855, 201.025)  (201.025, 201.085) 
Token Types      : 1                   1                   1                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81742891319316      81742891319316      81742891319316      0                   0                   0                   81745038802961      81745038802961      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġbut                Ġnot                Ġworth              Ġit                 <emp>               Ġi                  Ġi                  've                 Ġalways             Ġhad                Ġthis               Ġone                Ġof                
Timings          : (195.641, 195.711)  (195.711, 196.493)  (197.78, 197.96)    (197.96, 198.15)    (198.15, 198.39)    (198.39, 198.58)    (198.742, 199.351)  (199.435, 199.625)  (199.625, 199.72)   (199.72, 199.815)   (199.815, 200.015)  (200.015, 200.225)  (200.225, 200.448)  (200.855, 201.025)  (201.025, 201.085) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (201.085, 201.145)  (201.145, 201.395)  (201.395, 201.465)  (201.465, 201.665)  (201.665, 201.935)  (201.935, 202.085)  (202.255, 202.465)  (202.465, 202.645)  (202.645, 203.215)  (203.215, 203.335)  (203.335, 203.605)  (203.605, 204.245)  (204.817, 204.935)  (204.935, 205.065)  (205.065, 205.155) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġreasons            Ġi                  Ġlike               Ġto                 Ġto                 Ġpick               Ġup                 Ġmagazines          Ġin                 Ġother              Ġfields             Ġis                 Ġthat               Ġyou               
Timings          : (201.085, 201.145)  (201.145, 201.395)  (201.395, 201.465)  (201.465, 201.665)  (201.665, 201.935)  (201.935, 202.085)  (202.255, 202.465)  (202.465, 202.645)  (202.645, 203.215)  (203.215, 203.335)  (203.335, 203.605)  (203.605, 204.245)  (204.817, 204.935)  (204.935, 205.065)  (205.065, 205.155) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (205.155, 205.395)  (205.395, 205.515)  (205.515, 205.685)  (205.685, 205.725)  (205.725, 205.935)  (205.935, 206.245)  (206.245, 206.915)  (207.14, 207.413)   (207.413, 207.687)  (-1.0, -1.0)        (208.287, 208.357)  (208.357, 208.567)  (208.567, 208.757)  (208.757, 209.077)  (209.077, 210.017) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81745038802962      81745038802962      81745038802962      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġseem               Ġto                 Ġget                Ġa                  Ġvery               Ġdifferent          Ġperspective        Ġso                 <emp>               Ġi                  've                 Ġalways             Ġhad                Ġthis               Ġproblem           
